Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,71.33,72.79,71.26,72.64,2180300,0.0,0
2019-03-22,72.43,72.51,71.43,71.52,3324000,0.0,0
2019-03-25,71.25,72.25,71.25,71.77,2867800,0.0,0
2019-03-26,72.19,72.59,71.48,72.04,2864900,0.0,0
2019-03-27,71.93,72.55,71.7,72.4,1988900,0.0,0
2019-03-28,72.55,73.47,72.4,73.42,3220500,0.0,0
2019-03-29,73.89,74.14,73.64,73.8,3910400,0.0,0
2019-04-01,74.32,75.73,74.11,75.65,4763600,0.0,0
2019-04-02,75.87,76.1,75.08,75.14,3603600,0.0,0
2019-04-03,75.28,75.55,74.07,74.19,7191900,0.0,0
2019-04-04,74.01,74.21,73.57,73.78,7786300,0.0,0
2019-04-05,73.74,74.22,73.17,73.41,4410500,0.0,0
2019-04-08,73.52,74.71,73.36,74.59,4186400,0.0,0
2019-04-09,74.07,74.29,73.1,73.67,4356400,0.0,0
2019-04-10,73.81,74.22,73.24,74.05,2555700,0.0,0
2019-04-11,74.19,74.48,73.86,74.37,2000700,0.0,0
2019-04-12,74.76,75.77,74.51,75.61,3720600,0.0,0
2019-04-15,75.36,75.6,74.51,74.84,3678600,0.0,0
2019-04-16,75.08,75.27,74.54,74.86,3439000,0.0,0
2019-04-17,78.32,79.41,77.63,77.86,8194600,0.0,0
2019-04-18,78.74,78.74,77.4,77.89,6296100,0.0,0
2019-04-22,77.62,78.18,77.13,77.75,3478100,0.0,0
2019-04-23,77.74,78.01,77.14,77.94,3437500,0.0,0
2019-04-24,78.01,79.27,78.01,78.24,3753600,0.0,0
2019-04-25,77.78,77.96,76.97,77.47,3041100,0.0,0
2019-04-26,77.58,78.25,77.56,78.09,2969800,0.0,0
2019-04-29,78.0,78.48,77.66,78.29,2681600,0.0,0
2019-04-30,78.26,78.74,77.45,78.54,3507600,0.0,0
2019-05-01,78.47,78.71,77.84,78.05,3613100,0.0,0
2019-05-02,77.91,78.1,76.99,77.83,2808000,0.0,0
2019-05-03,78.25,79.63,78.05,79.42,2464000,0.0,0
2019-05-06,78.04,79.22,77.98,78.98,2884000,0.0,0
2019-05-07,78.11,78.16,76.19,77.2,5421600,0.0,0
2019-05-08,77.19,78.03,76.94,77.13,3310600,0.0,0
2019-05-09,76.52,77.29,75.88,77.1,2841000,0.0,0
2019-05-10,76.86,77.86,75.72,77.62,2989900,0.0,0
2019-05-13,76.15,76.52,75.38,75.72,4918900,0.0,0
2019-05-14,75.89,77.72,75.85,77.17,3222100,0.0,0
2019-05-15,76.51,77.44,76.28,76.33,4185200,0.0,0
2019-05-16,76.52,77.51,76.29,77.15,3622600,0.0,0
2019-05-17,76.83,77.7,76.36,77.33,3522700,0.0,0
2019-05-20,76.93,77.48,76.45,77.0,2718800,0.0,0
