Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,202.04,206.44,202.04,206.12,838300,0.0,0
2019-03-22,200.96,202.05,191.89,192.68,1549600,0.0,0
2019-03-25,192.25,195.48,190.06,195.12,1171600,0.0,0
2019-03-26,196.59,197.69,195.86,197.46,452100,0.0,0
2019-03-27,197.65,199.33,196.19,197.15,388100,0.0,0
2019-03-28,197.59,198.97,196.64,198.7,300100,0.0,0
2019-03-29,200.11,200.57,198.11,200.16,389000,0.0,0
2019-04-01,202.24,203.38,201.38,203.01,515600,0.0,0
2019-04-02,203.22,204.36,202.71,204.11,397300,0.0,0
2019-04-03,204.82,206.1,204.31,205.39,407600,0.0,0
2019-04-04,206.15,206.15,202.77,203.36,280000,0.0,0
2019-04-05,204.16,205.57,203.46,204.38,219900,0.0,0
2019-04-08,203.43,204.55,201.8,204.32,340100,0.0,0
2019-04-09,203.23,204.59,202.29,202.76,300500,0.0,0
2019-04-10,203.0,203.78,201.5,203.0,274100,0.0,0
2019-04-11,203.07,203.74,201.52,203.49,320500,0.0,0
2019-04-12,204.39,205.5,202.0,205.4,409400,0.0,0
2019-04-15,205.5,206.61,204.52,206.23,423700,0.0,0
2019-04-16,206.41,207.74,206.32,207.32,277800,0.0,0
2019-04-17,208.01,208.75,206.45,207.92,413200,0.0,0
2019-04-18,208.94,211.69,207.92,211.62,587700,0.0,0
2019-04-22,209.82,210.92,208.36,208.74,293800,0.0,0
2019-04-23,209.49,211.63,208.35,211.35,333700,0.0,0
2019-04-24,211.61,213.92,211.03,213.72,496600,0.0,0
2019-04-25,212.23,213.32,211.28,212.73,548300,0.0,0
2019-04-26,214.11,215.37,212.44,214.69,269600,0.0,0
2019-04-29,214.52,215.74,213.97,214.78,491300,0.0,0
2019-04-30,214.4,215.16,213.64,215.05,571100,0.0,0
2019-05-01,215.52,216.91,213.97,213.98,383500,0.0,0
2019-05-02,213.32,217.83,213.32,217.66,485900,0.0,0
2019-05-03,217.27,220.99,216.32,220.78,456400,0.0,0
2019-05-06,216.26,221.83,216.26,220.75,416600,0.0,0
2019-05-07,218.16,220.11,215.56,216.74,542800,0.0,0
2019-05-08,217.48,220.07,216.49,217.8,537900,0.0,0
2019-05-09,216.08,219.78,214.31,219.38,351500,0.0,0
2019-05-10,217.68,221.45,215.65,220.69,401000,0.0,0
2019-05-13,215.86,218.05,213.8,214.42,581600,0.0,0
2019-05-14,215.12,219.41,214.3,217.95,365700,0.0,0
2019-05-15,216.34,220.31,215.89,219.42,423800,0.0,0
2019-05-16,219.79,222.71,219.5,221.57,354200,0.0,0
2019-05-17,220.33,223.16,219.69,221.27,350900,0.0,0
2019-05-20,219.33,221.86,219.16,221.23,271700,0.0,0
2019-05-21,222.88,225.45,222.39,224.83,570000,0.0,0
2019-05-22,224.43,225.16,223.71,224.11,337800,0.0,0
2019-05-23,222.45,222.88,221.05,222.04,362800,0.0,0
2019-05-24,222.71,223.55,220.24,220.36,434800,0.0,0
2019-05-28,220.75,221.75,218.49,218.57,686700,0.0,0
2019-05-29,218.84,220.3,217.6,219.8,392700,0.0,0
2019-05-30,219.95,222.59,219.81,221.45,345800,0.0,0
2019-05-31,219.32,220.81,218.87,219.7,341800,0.0,0
2019-06-03,220.02,222.47,219.74,221.24,431200,0.0,0
2019-06-04,222.83,224.69,221.77,224.32,521000,0.0,0
2019-06-05,225.31,228.83,224.94,228.29,545300,0.0,0
2019-06-06,227.94,229.67,227.43,229.31,373900,0.0,0
2019-06-07,230.92,231.22,229.65,230.38,684800,0.0,0
2019-06-10,231.29,233.04,230.77,232.28,616700,0.0,0
2019-06-11,232.98,234.11,229.02,230.04,443800,0.0,0
2019-06-12,230.18,232.97,230.18,232.44,361800,0.0,0
2019-06-13,232.23,234.35,231.39,233.69,486400,0.0,0
2019-06-14,233.87,235.16,232.89,234.1,336100,0.0,0
2019-06-17,233.68,234.3,229.85,230.03,677600,0.0,0
2019-06-18,231.58,232.74,228.29,229.21,803400,0.0,0
2019-06-19,228.93,234.22,228.45,232.84,814100,0.0,0
2019-06-20,234.6,235.26,227.82,230.39,813700,0.0,0
2019-06-21,230.44,231.88,228.65,230.14,924400,0.0,0
2019-06-24,230.24,231.48,229.04,230.87,441600,0.0,0
2019-06-25,231.6,231.63,228.47,229.22,536700,0.0,0
2019-06-26,230.83,232.13,229.98,230.53,544900,0.0,0
2019-06-27,230.79,233.67,230.26,233.41,379900,0.0,0
2019-06-28,233.83,235.21,232.9,235.01,655600,0.0,0
2019-07-01,237.69,237.69,233.63,236.57,555700,0.0,0
2019-07-02,236.57,236.88,235.47,235.71,444500,0.0,0
2019-07-03,236.13,237.86,236.01,237.22,283600,0.0,0
2019-07-05,236.03,237.49,234.12,237.22,580200,0.0,0
