Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,10.91,11.2,10.84,11.15,14863600,0.0,0
2019-03-22,11.16,11.35,11.15,11.2,14364300,0.0,0
2019-03-25,11.22,11.34,11.04,11.06,12217200,0.0,0
2019-03-26,11.09,11.35,11.07,11.32,10948900,0.0,0
2019-03-27,11.27,11.37,11.16,11.16,8022000,0.0,0
2019-03-28,11.16,11.22,11.06,11.09,6127200,0.0,0
2019-03-29,11.16,11.22,10.93,11.04,9491200,0.0,0
2019-04-01,11.11,11.44,11.1,11.39,12138300,0.0,0
2019-04-02,11.4,11.54,11.16,11.16,13310400,0.0,0
2019-04-03,11.27,11.41,11.27,11.39,8722700,0.0,0
2019-04-04,11.39,11.52,11.39,11.4,6916900,0.0,0
2019-04-05,11.43,11.68,11.42,11.55,16273700,0.0,0
2019-04-08,11.51,11.57,11.39,11.53,8558400,0.0,0
2019-04-09,11.45,11.46,11.33,11.4,7873100,0.0,0
2019-04-10,11.42,11.57,11.35,11.55,8055100,0.0,0
2019-04-11,11.55,11.7,11.48,11.59,7849600,0.0,0
2019-04-12,11.62,11.62,11.14,11.16,11889900,0.0,0
2019-04-15,11.18,11.23,10.98,11.02,11415200,0.0,0
2019-04-16,11.04,11.27,10.91,11.27,15016200,0.0,0
2019-04-17,11.23,11.31,11.1,11.15,6889100,0.0,0
2019-04-18,11.11,11.2,11.0,11.17,9396000,0.0,0
2019-04-22,11.16,11.16,10.85,10.93,16563100,0.0,0
2019-04-23,10.96,11.01,10.71,10.93,13112700,0.0,0
2019-04-24,10.86,10.98,10.59,10.67,12004700,0.0,0
2019-04-25,10.62,10.77,10.49,10.52,10754400,0.0,0
2019-04-26,10.58,10.9,10.55,10.7,12893200,0.0,0
2019-04-29,10.71,10.83,10.63,10.73,8129600,0.0,0
2019-04-30,10.74,10.75,10.49,10.51,10898500,0.0,0
2019-05-01,10.48,10.62,10.44,10.46,8711200,0.0,0
2019-05-02,10.48,10.58,10.38,10.51,10071200,0.0,0
2019-05-03,10.55,10.79,10.52,10.75,7848000,0.0,0
2019-05-06,10.59,10.73,10.57,10.6,9629500,0.0,0
2019-05-07,10.56,10.58,10.39,10.5,16329300,0.0,0
2019-05-08,10.57,10.8,10.46,10.52,16355800,0.0,0
2019-05-09,10.13,10.17,9.46,10.0,27458900,0.0,0
2019-05-10,9.98,10.35,9.86,10.02,11189700,0.0,0
2019-05-13,9.83,9.91,9.61,9.67,19390600,0.0,0
2019-05-14,9.85,10.16,9.77,10.12,14838700,0.0,0
2019-05-15,10.01,10.1,9.91,10.08,11889700,0.0,0
2019-05-16,10.18,10.18,9.78,9.8,14660600,0.0,0
2019-05-17,9.71,9.88,9.66,9.75,10552700,0.0,0
2019-05-20,9.68,9.73,9.26,9.32,18718700,0.0,0
