Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-05-24,29.33,31.54,28.09,28.59,44000,0.0,0
2019-05-28,28.83,30.07,28.1,28.36,61500,0.0,0
2019-05-29,29.47,29.47,27.27,28.09,207800,0.0,0
2019-05-30,28.58,28.74,27.82,28.39,666000,0.0,0
2019-05-31,28.09,28.18,26.59,26.59,853800,0.0,0
2019-06-03,26.16,26.62,24.02,24.46,19259600,0.0,0
2019-06-04,24.0,27.54,24.0,27.35,20135100,0.0,0
2019-06-05,27.15,27.82,26.08,27.61,10740200,0.0,0
2019-06-06,27.3,27.3,25.86,26.52,13986100,0.0,0
2019-06-07,25.8,26.55,25.35,25.94,10049100,0.0,0
2019-06-10,25.7,26.36,24.76,24.95,10247200,0.0,0
2019-06-11,24.65,25.0,24.18,24.59,11641200,0.0,0
2019-06-12,24.75,25.09,24.13,24.71,13392000,0.0,0
2019-06-13,24.7,24.83,24.35,24.61,9710800,0.0,0
2019-06-14,24.41,24.88,24.2,24.83,7036800,0.0,0
2019-06-17,25.17,26.52,25.09,25.58,13710100,0.0,0
2019-06-18,25.66,27.18,25.38,26.91,14485400,0.0,0
2019-06-19,27.09,27.09,26.49,26.76,10228800,0.0,0
2019-06-20,26.98,27.21,26.04,26.77,7728000,0.0,0
2019-06-21,26.49,27.32,26.49,26.82,12548900,0.0,0
2019-06-24,26.75,28.04,26.67,27.61,6494900,0.0,0
2019-06-25,27.62,27.69,27.09,27.28,6698600,0.0,0
2019-06-26,27.53,28.96,27.45,28.84,6735100,0.0,0
2019-06-27,28.96,29.9,28.84,29.15,5879600,0.0,0
2019-06-28,29.18,29.33,28.84,29.15,15517800,0.0,0
2019-07-01,29.16,30.31,28.54,29.26,5290400,0.0,0
2019-07-02,29.08,29.18,27.74,28.58,5438300,0.0,0
2019-07-03,28.37,28.49,27.8,28.39,2234900,0.0,0
2019-07-05,28.04,28.9,27.86,28.23,2888200,0.0,0
2019-07-08,27.99,27.99,27.25,27.37,3478600,0.0,0
2019-07-09,27.08,27.37,26.45,26.61,5285700,0.0,0
2019-07-10,26.43,26.62,26.06,26.12,5133700,0.0,0
2019-07-11,26.17,26.42,25.59,26.05,6066200,0.0,0
2019-07-12,26.04,27.33,25.89,27.21,5154500,0.0,0
