Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,108.28,109.94,106.84,109.07,925700,0.0,0
2019-03-22,107.52,107.64,103.11,103.71,1480600,0.0,0
2019-03-25,103.32,104.77,102.22,104.35,1105800,0.0,0
2019-03-26,105.95,109.08,105.69,107.59,1303800,0.0,0
2019-03-27,106.77,108.79,106.13,108.12,1168300,0.0,0
2019-03-28,105.54,110.87,105.54,110.46,1439800,0.0,0
2019-03-29,112.22,112.89,109.73,110.12,1363700,0.0,0
2019-04-01,111.22,112.98,109.96,111.26,1497700,0.0,0
2019-04-02,111.46,112.55,110.27,110.74,967000,0.0,0
2019-04-03,111.38,111.51,106.58,108.04,2218500,0.0,0
2019-04-04,108.02,108.42,105.51,108.38,1704000,0.0,0
2019-04-05,108.72,109.43,107.44,108.99,4722400,0.0,0
2019-04-08,109.93,112.24,109.68,111.15,2561800,0.0,0
2019-04-09,110.68,110.68,106.69,107.27,1651800,0.0,0
2019-04-10,107.57,108.29,106.58,106.92,1621700,0.0,0
2019-04-11,106.37,106.55,100.83,103.93,3948900,0.0,0
2019-04-12,113.16,116.42,111.83,113.02,4189800,0.0,0
2019-04-15,112.47,116.65,112.1,114.56,2418400,0.0,0
2019-04-16,114.64,116.04,113.49,115.01,1383600,0.0,0
2019-04-17,115.87,116.53,112.97,113.68,1715700,0.0,0
2019-04-18,113.43,116.21,112.86,116.07,1891900,0.0,0
2019-04-22,117.67,119.54,115.93,119.32,2598300,0.0,0
2019-04-23,119.33,122.36,118.18,121.62,2937400,0.0,0
2019-04-24,123.14,123.58,119.91,120.26,3611200,0.0,0
2019-04-25,120.02,122.08,119.14,120.09,2216500,0.0,0
2019-04-26,118.7,119.06,115.16,117.21,2894600,0.0,0
2019-04-29,116.32,117.06,114.8,115.09,1527700,0.0,0
2019-04-30,115.91,116.31,113.29,114.5,2890600,0.0,0
2019-05-01,115.07,116.48,107.91,107.94,3854300,0.0,0
2019-05-02,107.47,108.0,103.12,104.06,3804500,0.0,0
2019-05-03,104.93,109.79,104.93,108.66,2595900,0.0,0
2019-05-06,106.7,108.11,105.31,107.08,2363000,0.0,0
2019-05-07,105.66,106.47,102.71,105.39,2783400,0.0,0
2019-05-08,104.8,111.17,104.8,109.32,2434000,0.0,0
2019-05-09,108.3,111.34,106.71,110.2,1827700,0.125,0
2019-05-10,109.84,112.12,107.7,111.72,2107600,0.0,0
2019-05-13,110.54,112.04,109.16,110.56,1289800,0.0,0
2019-05-14,111.24,112.58,110.88,111.19,1447200,0.0,0
2019-05-15,109.76,113.13,109.5,112.55,975700,0.0,0
2019-05-16,113.12,114.44,113.03,113.29,963000,0.0,0
2019-05-17,112.26,113.56,111.48,112.17,1311300,0.0,0
2019-05-20,112.17,112.58,110.94,111.45,1455100,0.0,0
2019-05-21,112.02,116.16,112.02,114.85,1260900,0.0,0
2019-05-22,114.12,114.12,108.89,109.16,1728200,0.0,0
2019-05-23,107.29,107.29,100.49,102.2,2369000,0.0,0
2019-05-24,103.44,103.74,98.04,100.57,2639000,0.0,0
2019-05-28,100.94,101.09,98.86,99.48,1534900,0.0,0
2019-05-29,97.65,100.05,96.01,99.84,2036200,0.0,0
2019-05-30,100.16,100.28,96.14,97.49,1329500,0.0,0
2019-05-31,95.47,98.49,95.26,97.37,1893900,0.0,0
2019-06-03,98.13,99.64,97.45,98.81,1288000,0.0,0
2019-06-04,99.77,101.68,98.09,100.59,1668000,0.0,0
2019-06-05,100.72,100.72,96.32,97.76,2187700,0.0,0
2019-06-06,98.39,100.59,97.53,99.45,2165900,0.0,0
2019-06-07,99.96,100.27,98.35,99.57,2458700,0.0,0
2019-06-10,99.39,100.34,97.7,98.85,1572800,0.0,0
2019-06-11,100.25,101.81,99.83,100.19,1330000,0.0,0
2019-06-12,99.01,99.21,96.73,97.52,1254000,0.0,0
2019-06-13,99.12,99.82,98.19,99.7,1105800,0.0,0
2019-06-14,99.58,100.02,97.53,97.72,1528400,0.0,0
2019-06-17,97.09,100.61,96.8,100.39,1326600,0.0,0
2019-06-18,101.34,104.65,101.34,104.22,1960600,0.0,0
2019-06-19,103.87,104.79,101.31,101.91,1531500,0.0,0
2019-06-20,104.31,105.3,102.68,104.29,2211200,0.0,0
2019-06-21,104.84,106.75,104.29,106.18,2558000,0.0,0
2019-06-24,106.07,106.99,102.12,102.54,1441700,0.0,0
2019-06-25,102.18,102.65,100.66,101.43,1255000,0.0,0
2019-06-26,102.9,104.41,101.86,101.89,1569900,0.0,0
2019-06-27,101.5,103.38,101.14,101.18,1410400,0.0,0
2019-06-28,101.53,103.25,101.46,102.51,2261000,0.0,0
2019-07-01,104.82,105.25,100.88,102.73,2056500,0.0,0
2019-07-02,102.34,102.81,97.87,98.33,1774600,0.0,0
2019-07-03,98.82,99.32,97.91,98.16,883300,0.0,0
2019-07-05,98.05,100.35,98.05,100.28,1055500,0.0,0
2019-07-08,99.42,101.34,99.03,100.2,893900,0.0,0
2019-07-09,99.75,99.96,98.18,99.62,1338000,0.0,0
2019-07-10,100.62,102.58,100.45,102.33,1317900,0.0,0
2019-07-11,102.47,102.84,101.2,102.03,1102500,0.0,0
2019-07-12,101.78,102.58,100.99,101.53,935200,0.0,0
2019-07-15,101.92,102.35,98.04,98.43,1124700,0.0,0
2019-07-16,98.69,99.04,96.71,98.16,1608800,0.0,0
2019-07-17,97.86,99.05,97.4,97.58,2097100,0.0,0
2019-07-18,97.28,98.81,96.77,98.2,2510400,0.0,0
2019-07-19,98.3,101.13,97.33,100.96,1975800,0.0,0
2019-07-22,101.03,101.66,98.99,100.04,1169800,0.0,0
2019-07-23,100.06,101.54,99.25,101.41,990700,0.0,0
2019-07-24,101.06,104.2,101.06,101.6,1277700,0.0,0
2019-07-25,102.91,103.07,97.43,97.67,1660900,0.0,0
2019-07-26,97.27,97.69,95.77,96.5,1326700,0.0,0
2019-07-29,96.38,96.93,93.83,94.48,1186300,0.0,0
2019-07-30,94.23,97.93,93.81,97.29,1445200,0.0,0
2019-07-31,97.23,98.78,96.3,97.05,1707500,0.0,0
2019-08-01,78.19,80.6,72.51,75.48,17881200,0.0,0
2019-08-02,75.56,76.71,72.29,72.38,8016800,0.0,0
2019-08-05,70.29,71.49,69.2,69.77,4567000,0.0,0
2019-08-06,68.95,69.76,65.77,66.21,6437900,0.0,0
2019-08-07,64.67,68.96,63.51,67.56,10101600,0.0,0
2019-08-08,69.15,73.17,68.98,73.07,5159500,0.125,0
2019-08-09,73.25,73.3,71.51,71.58,2096500,0.0,0
2019-08-12,71.01,71.37,69.44,70.65,2402900,0.0,0
2019-08-13,69.92,72.53,69.39,70.89,2185400,0.0,0
2019-08-14,68.76,68.89,66.99,68.55,3347200,0.0,0
2019-08-15,68.62,69.98,68.09,68.94,2335000,0.0,0
2019-08-16,69.19,71.46,69.02,71.3,2829500,0.0,0
2019-08-19,72.85,73.28,71.93,72.64,1569400,0.0,0
2019-08-20,71.96,72.43,70.77,71.99,3048800,0.0,0
2019-08-21,72.91,73.67,71.19,72.42,1362600,0.0,0
2019-08-22,72.79,73.9,72.26,72.71,1407700,0.0,0
2019-08-23,71.17,72.79,69.27,69.63,2150400,0.0,0
2019-08-26,70.54,70.95,68.4,68.87,1118300,0.0,0
2019-08-27,69.49,69.65,67.93,68.7,1282700,0.0,0
2019-08-28,69.27,70.98,68.87,70.4,1334600,0.0,0
2019-08-29,70.92,73.06,70.45,72.33,1539500,0.0,0
2019-08-30,72.44,73.29,71.3,72.81,2209500,0.0,0
2019-09-03,71.43,71.89,68.96,69.12,7471300,0.0,0
2019-09-04,70.67,72.84,70.02,72.63,3330500,0.0,0
2019-09-05,73.16,73.55,69.79,70.03,3900300,0.0,0
2019-09-06,69.49,69.82,68.17,69.36,4079600,0.0,0
2019-09-09,70.21,73.95,70.15,73.89,2370400,0.0,0
2019-09-10,74.64,77.07,74.1,74.42,2250900,0.0,0
2019-09-11,74.99,76.94,73.78,74.4,2016200,0.0,0
2019-09-12,72.66,73.0,71.11,72.05,3133100,0.0,0
2019-09-13,73.21,73.76,71.11,73.22,1737800,0.0,0
2019-09-16,78.56,78.56,73.61,75.8,4899500,0.0,0
2019-09-17,75.24,75.72,70.81,74.03,2919100,0.0,0
2019-09-18,72.83,74.26,71.92,73.12,1844100,0.0,0
2019-09-19,73.71,74.51,71.77,72.34,1744700,0.0,0
2019-09-20,72.87,74.09,72.25,72.89,3634700,0.0,0
2019-09-23,71.45,73.13,71.2,72.57,1405900,0.0,0
2019-09-24,71.99,72.43,70.58,71.04,1588300,0.0,0
2019-09-25,70.17,71.03,68.84,69.83,1430600,0.0,0
2019-09-26,69.1,69.12,67.68,68.03,1791400,0.0,0
2019-09-27,67.12,68.93,66.72,68.48,1746800,0.0,0
2019-09-30,68.19,68.85,67.4,67.58,1383500,0.0,0
2019-10-01,68.28,68.44,64.2,64.2,2303800,0.0,0
2019-10-02,63.91,65.55,62.68,62.81,2968400,0.0,0
2019-10-03,62.42,64.97,62.27,64.6,2445200,0.0,0
2019-10-04,64.58,65.38,63.34,64.3,1996800,0.0,0
2019-10-07,64.61,64.95,62.9,62.98,2023300,0.0,0
2019-10-08,62.02,62.57,61.08,61.66,2474800,0.0,0
2019-10-09,62.62,63.04,61.75,62.87,1996400,0.0,0
2019-10-10,63.05,64.71,62.47,63.89,1975300,0.0,0
