Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,48.4,49.28,48.39,48.98,5128700,0.0,0
2019-03-22,48.72,48.92,48.22,48.45,5896200,0.0,0
2019-03-25,48.29,48.72,47.68,47.74,6454000,0.0,0
2019-03-26,48.06,48.32,47.4,47.8,5321500,0.0,0
2019-03-27,47.76,49.2,47.69,48.65,7907200,0.0,0
2019-03-28,48.79,49.32,48.59,48.99,6600100,0.0,0
2019-03-29,49.39,50.39,49.05,50.29,9162100,0.0,0
2019-04-01,50.46,50.95,50.16,50.81,8501400,0.0,0
2019-04-02,53.09,54.47,52.5,53.87,15920700,0.0,0
2019-04-03,54.49,56.05,54.34,55.5,13299500,0.0,0
2019-04-04,55.95,56.15,54.89,55.71,8998000,0.0,0
2019-04-05,55.93,56.67,55.82,56.21,6918300,0.0,0
2019-04-08,55.99,56.37,55.41,56.19,7921600,0.0,0
2019-04-09,55.69,55.93,55.28,55.45,9581600,0.0,0
2019-04-10,57.42,57.42,55.27,56.34,14398200,0.0,0
2019-04-11,56.42,57.29,56.3,56.85,8452400,0.0,0
2019-04-12,57.28,57.29,56.03,56.52,7693900,0.0,0
2019-04-15,56.47,56.95,55.86,55.94,5327000,0.0,0
2019-04-16,56.14,56.59,56.13,56.58,3970200,0.0,0
2019-04-17,57.3,57.44,56.56,56.89,4987600,0.0,0
2019-04-18,56.96,57.04,56.49,56.64,4108100,0.0,0
2019-04-22,56.27,56.44,55.77,56.23,4043900,0.0,0
2019-04-23,56.14,56.87,56.14,56.71,4593000,0.0,0
2019-04-24,56.71,56.99,56.28,56.33,3275200,0.0,0
2019-04-25,56.32,56.94,54.89,55.22,5557400,0.0,0
2019-04-26,55.07,55.96,54.99,55.61,3714100,0.0,0
2019-04-29,55.73,56.37,55.55,56.21,3215500,0.0,0
2019-04-30,56.3,57.03,56.24,56.75,4030300,0.0,0
2019-05-01,57.01,57.31,55.94,56.01,5629800,0.35,0
2019-05-02,56.15,56.89,56.08,56.48,3426100,0.0,0
2019-05-03,56.55,56.95,56.34,56.62,4673000,0.0,0
2019-05-06,55.81,56.78,55.58,56.55,4105400,0.0,0
2019-05-07,56.08,56.32,55.18,56.0,4784800,0.0,0
2019-05-08,55.61,55.91,55.03,55.3,3641400,0.0,0
2019-05-09,54.99,55.57,54.55,55.43,5003500,0.0,0
2019-05-10,55.1,55.71,53.93,55.46,3737800,0.0,0
2019-05-13,54.31,54.38,52.96,53.68,5223700,0.0,0
2019-05-14,53.78,54.49,53.63,54.12,2463400,0.0,0
2019-05-15,53.46,54.24,52.98,53.92,2998900,0.0,0
2019-05-16,54.01,54.82,54.01,54.25,2731400,0.0,0
2019-05-17,53.64,54.4,53.38,53.77,3969900,0.0,0
2019-05-20,52.9,53.55,52.65,53.17,3722800,0.0,0
2019-05-21,53.56,53.9,53.47,53.71,2816800,0.0,0
2019-05-22,53.38,53.72,52.79,52.95,3616700,0.0,0
2019-05-23,52.55,53.83,52.15,52.9,5278900,0.0,0
2019-05-24,53.31,53.5,52.61,53.01,2502800,0.0,0
2019-05-28,53.03,53.51,52.77,52.78,3454100,0.0,0
2019-05-29,52.65,52.65,51.73,52.12,3929600,0.0,0
2019-05-30,52.29,52.7,51.79,51.95,3775200,0.0,0
2019-05-31,51.4,51.72,50.26,50.45,5615100,0.0,0
2019-06-03,50.43,51.62,50.36,51.03,7244600,0.0,0
2019-06-04,51.77,53.26,51.74,53.2,7619300,0.0,0
2019-06-05,53.73,54.1,53.13,53.82,6379100,0.0,0
2019-06-06,53.93,54.09,53.25,53.57,6192000,0.0,0
2019-06-07,53.8,54.71,53.8,53.94,4234800,0.0,0
2019-06-10,54.36,54.76,53.53,53.61,3312900,0.0,0
2019-06-11,53.89,54.18,53.37,53.76,2833700,0.0,0
2019-06-12,53.92,54.34,53.78,54.32,3856200,0.0,0
2019-06-13,54.55,56.07,54.53,55.36,6300400,0.0,0
2019-06-14,55.41,55.47,54.64,54.84,4382500,0.0,0
2019-06-17,54.64,54.8,54.13,54.53,4057300,0.0,0
2019-06-18,54.81,55.36,54.33,54.88,3642500,0.0,0
2019-06-19,55.13,55.4,54.81,55.21,3196800,0.0,0
2019-06-20,55.69,55.72,54.2,54.82,5055700,0.0,0
2019-06-21,54.85,55.7,54.42,54.84,8573500,0.0,0
2019-06-24,54.95,55.08,54.53,54.92,2896000,0.0,0
2019-06-25,54.9,55.56,54.72,54.78,3579600,0.0,0
2019-06-26,54.92,55.65,54.7,55.23,4437700,0.0,0
2019-06-27,55.59,56.25,55.34,55.66,4375400,0.0,0
2019-06-28,55.73,56.25,55.54,55.59,8034800,0.0,0
2019-07-01,56.13,56.72,56.08,56.61,5020600,0.0,0
2019-07-02,57.4,58.01,56.9,57.34,6837100,0.0,0
2019-07-03,57.79,58.4,57.69,57.94,3303900,0.0,0
2019-07-05,57.94,58.17,56.67,57.5,5896900,0.0,0
2019-07-08,57.69,58.45,57.64,58.16,7800600,0.0,0
2019-07-09,58.35,58.76,57.36,57.75,7870200,0.0,0
2019-07-10,58.13,58.45,57.56,58.25,7781300,0.0,0
2019-07-11,59.02,59.55,58.25,58.93,12695600,0.0,0
