Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,75.97,78.85,75.93,77.85,16503700,0.0,0.0
2019-03-22,76.99,77.13,74.64,75.07,13462600,0.0,0.0
2019-03-25,74.71,75.43,74.13,74.16,15950900,0.0,0.0
2019-03-26,75.23,75.28,73.38,74.04,13859100,0.0,0.0
2019-03-27,74.12,74.32,72.73,73.31,11013700,0.0,0.0
2019-03-28,73.09,73.58,72.48,73.4,10133200,0.0,0.0
2019-03-29,71.39,74.27,71.35,74.22,19805400,0.0,0.0
2019-04-01,75.03,76.45,74.54,75.76,31947600,0.0,0.0
2019-04-02,75.6,76.95,74.71,75.54,22565300,0.0,1.487
2019-04-03,76.12,78.34,75.62,77.32,28021600,0.0,0.0
2019-04-04,77.49,78.23,76.12,78.21,21978100,0.0,0.0
2019-04-05,78.56,79.39,77.96,78.46,17653000,0.0,0.0
2019-04-08,77.92,79.04,77.69,78.96,11854200,0.0,0.0
2019-04-09,78.56,79.5,77.94,79.12,13993200,0.0,0.0
2019-04-10,78.94,79.85,78.85,79.7,10712200,0.0,0.0
2019-04-11,79.43,80.8,78.87,80.51,11925000,0.0,0.0
2019-04-12,81.03,81.81,80.37,81.71,13297300,0.0,0.0
2019-04-15,81.71,81.83,80.26,80.53,7412900,0.0,0.0
2019-04-16,80.22,81.15,79.93,81.05,9660500,0.0,0.0
2019-04-17,81.55,81.9,80.82,81.15,8320100,0.0,0.0
2019-04-18,81.3,81.34,79.95,80.74,7169500,0.0,0.0
2019-04-22,80.03,80.16,79.16,79.33,6629600,0.0,0.0
2019-04-23,78.71,79.54,78.38,79.25,10305600,0.0,0.0
2019-04-24,79.52,80.01,78.81,79.27,7221900,0.0,0.0
2019-04-25,79.26,79.33,77.95,78.24,10019900,0.42,0.0
2019-04-26,78.04,79.22,77.89,79.08,7754500,0.0,0.0
2019-04-29,79.16,79.41,78.52,78.99,13563100,0.0,0.0
2019-04-30,79.18,80.1,78.68,80.01,14294700,0.0,0.0
2019-05-01,79.89,80.45,77.64,77.64,13776300,0.0,0.0
2019-05-02,76.92,76.92,70.84,72.28,25473100,0.14,0.0
2019-05-03,72.61,73.48,71.65,72.73,14819000,0.0,0.0
2019-05-06,70.88,71.21,69.63,70.09,20020600,0.0,0.0
2019-05-07,69.27,69.32,66.79,67.0,23905100,0.0,0.0
2019-05-08,67.13,67.4,66.0,66.04,23196800,0.0,0.0
2019-05-09,65.15,65.67,64.25,64.6,19898600,0.0,0.0
2019-05-10,64.17,66.15,63.4,65.63,18567100,0.0,0.0
2019-05-13,63.9,63.94,62.75,63.04,14642300,0.0,0.0
2019-05-14,63.35,64.79,63.19,64.12,14217900,0.0,0.0
2019-05-15,63.27,63.98,62.67,62.75,15508500,0.0,0.0
2019-05-16,63.35,64.37,63.08,64.21,17371300,0.0,0.0
2019-05-17,63.48,65.27,63.35,64.56,14015500,0.0,0.0
2019-05-20,63.85,65.35,63.81,64.69,12470600,0.0,0.0
2019-05-21,65.63,67.36,65.56,66.69,15978100,0.0,0.0
2019-05-22,66.33,67.29,66.13,66.13,13426200,0.0,0.0
2019-05-23,65.19,65.27,63.87,64.5,17621800,0.0,0.0
2019-05-24,65.38,65.42,63.98,64.79,9551100,0.0,0.0
2019-05-28,64.79,65.0,63.98,64.15,16938600,0.0,0.0
2019-05-29,63.35,65.13,63.02,64.81,14494100,0.0,0.0
2019-05-30,65.0,65.46,64.65,64.98,14675200,0.0,0.0
2019-05-31,63.9,63.96,62.87,63.62,16206400,0.0,0.0
2019-06-03,64.69,74.96,64.52,74.96,10946100,0.0,0.4725
2019-06-04,75.15,75.35,72.27,73.0,12732500,0.0,0.0
2019-06-05,73.02,74.36,71.53,73.74,6699800,0.0,0.0
2019-06-06,73.67,73.67,70.28,71.57,9096300,0.0,0.0
2019-06-07,72.42,72.99,71.7,72.54,4921400,0.0,0.0
2019-06-10,73.56,73.94,72.55,72.64,4831200,0.0,0.0
2019-06-11,73.19,73.31,72.43,72.62,4867700,0.0,0.0
2019-06-12,72.41,72.75,71.41,72.36,3391100,0.0,0.0
2019-06-13,72.38,73.71,72.17,73.71,3624700,0.0,0.0
2019-06-14,73.65,74.22,73.06,73.95,3412600,0.0,0.0
2019-06-17,73.38,74.35,73.16,73.63,3627000,0.0,0.0
2019-06-18,73.7,74.16,73.04,73.14,5370000,0.0,0.0
2019-06-19,73.54,73.58,71.37,71.88,4716400,0.0,0.0
2019-06-20,72.25,74.03,72.25,73.86,4571100,0.0,0.0
2019-06-21,74.07,74.96,73.47,73.52,5420200,0.0,0.0
2019-06-24,73.38,74.49,72.66,73.58,2942900,0.0,0.0
2019-06-25,73.28,73.34,71.97,73.02,2704800,0.0,0.0
2019-06-26,73.23,73.28,71.93,72.73,3521700,0.0,0.0
2019-06-27,73.0,73.27,72.54,72.72,2980100,0.0,0.0
2019-06-28,72.82,74.0,72.64,73.94,5285300,0.0,0.0
2019-07-01,73.75,75.88,73.75,74.68,4096600,0.0,0.0
2019-07-02,74.71,74.83,73.33,73.72,3510100,0.0,0.0
2019-07-03,73.68,73.68,71.76,73.07,2920100,0.0,0.0
2019-07-05,71.94,72.72,71.66,72.63,3062800,0.0,0.0
2019-07-08,72.32,72.48,70.6,71.03,3700900,0.0,0.0
2019-07-09,70.35,70.56,68.92,68.95,4957900,0.0,0.0
2019-07-10,69.51,69.89,68.53,68.61,4124100,0.0,0.0
2019-07-11,68.53,68.75,68.11,68.46,3718500,0.0,0.0
2019-07-12,68.87,70.68,68.83,70.45,4927300,0.0,0.0
2019-07-15,70.44,71.04,69.25,70.86,2596800,0.0,0.0
2019-07-16,70.92,72.62,70.72,71.24,4159500,0.0,0.0
2019-07-17,71.46,71.46,69.79,70.23,3052800,0.0,0.0
2019-07-18,69.92,70.64,69.66,70.51,2396900,0.0,0.0
2019-07-19,70.6,71.13,70.45,70.5,3377100,0.0,0.0
2019-07-22,70.67,71.1,69.97,70.89,2231100,0.0,0.0
2019-07-23,70.6,72.58,70.51,72.14,2658600,0.0,0.0
2019-07-24,71.73,73.26,71.64,73.12,2736800,0.0,0.0
2019-07-25,72.31,73.07,70.88,72.05,2972900,0.0,0.0
2019-07-26,71.91,72.37,70.5,72.11,2336300,0.0,0.0
2019-07-29,71.79,72.31,71.25,71.99,2347000,0.0,0.0
2019-07-30,71.27,72.64,70.82,72.6,2171600,0.3,0.0
2019-07-31,72.47,72.99,70.76,71.37,3344500,0.0,0.0
2019-08-01,72.4,72.76,70.25,70.91,5325000,0.0,0.0
2019-08-02,70.62,70.76,67.37,68.3,4424400,0.0,0.0
2019-08-05,67.42,67.63,65.17,65.34,4647800,0.0,0.0
2019-08-06,65.77,68.49,64.81,67.78,7196700,0.0,0.0
2019-08-07,66.41,69.17,66.27,69.01,4840700,0.0,0.0
2019-08-08,69.41,70.33,68.86,69.99,4378200,0.0,0.0
2019-08-09,69.47,69.88,68.17,68.29,2732700,0.0,0.0
2019-08-12,67.38,68.29,66.98,67.16,1919300,0.0,0.0
2019-08-13,67.74,69.7,66.61,67.73,3273800,0.0,0.0
2019-08-14,66.49,66.92,64.75,65.06,4310800,0.0,0.0
2019-08-15,65.48,65.48,63.77,64.46,3138800,0.0,0.0
2019-08-16,64.94,66.04,64.26,65.4,2860500,0.0,0.0
2019-08-19,66.09,67.0,66.09,66.69,2730300,0.0,0.0
2019-08-20,66.4,66.58,65.72,66.37,2966000,0.0,0.0
2019-08-21,66.84,67.84,66.36,67.02,2686500,0.0,0.0
2019-08-22,67.58,68.16,66.36,66.93,3092900,0.0,0.0
2019-08-23,66.2,67.0,64.88,65.28,4571900,0.0,0.0
2019-08-26,65.78,66.25,62.9,63.56,5761600,0.0,0.0
2019-08-27,63.84,64.76,63.06,63.26,4451100,0.0,0.0
2019-08-28,62.9,63.91,62.59,63.36,6097700,0.0,0.0
2019-08-29,64.25,65.38,64.25,65.05,2813400,0.0,0.0
2019-08-30,67.03,68.61,66.58,67.19,3869300,0.0,0.0
2019-09-03,66.48,66.86,65.85,66.71,2217100,0.0,0.0
2019-09-04,68.25,68.25,67.23,67.73,2201600,0.0,0.0
2019-09-05,68.48,69.33,68.15,68.19,3365600,0.0,0.0
2019-09-06,68.52,68.75,67.56,68.46,1812300,0.0,0.0
2019-09-09,68.63,70.08,68.16,69.74,2791300,0.0,0.0
2019-09-10,70.12,71.17,69.87,70.62,4044900,0.0,0.0
2019-09-11,70.45,71.08,69.85,70.77,2901300,0.0,0.0
2019-09-12,71.21,71.42,69.94,70.51,3166000,0.0,0.0
2019-09-13,70.81,72.96,70.74,72.74,3831500,0.0,0.0
2019-09-16,72.22,72.96,71.28,71.35,4241100,0.0,0.0
2019-09-17,71.19,71.78,70.19,70.47,5795000,0.0,0.0
2019-09-18,70.26,71.22,69.77,71.2,2305400,0.0,0.0
2019-09-19,71.46,71.99,70.13,70.28,2256000,0.0,0.0
2019-09-20,70.12,71.15,70.05,70.82,5327900,0.0,0.0
2019-09-23,69.76,70.96,69.73,70.14,4631300,0.0,0.0
2019-09-24,70.23,70.87,69.45,69.55,3362100,0.0,0.0
2019-09-25,69.78,70.44,69.4,70.14,3102100,0.0,0.0
2019-09-26,70.12,70.12,68.91,69.33,3025700,0.0,0.0
2019-09-27,69.21,70.27,68.93,69.48,1958500,0.0,0.0
2019-09-30,69.78,70.61,69.53,70.53,2798500,0.0,0.0
2019-10-01,70.95,71.06,67.17,67.21,3370900,0.0,0.0
2019-10-02,65.93,66.74,64.99,66.51,4754000,0.0,0.0
2019-10-03,66.65,67.42,65.58,67.38,2624400,0.0,0.0
2019-10-04,67.4,67.85,66.92,67.41,3386400,0.0,0.0
2019-10-07,67.1,67.19,65.96,65.97,4609800,0.0,0.0
2019-10-08,65.15,65.24,64.11,64.21,5206500,0.0,0.0
2019-10-09,65.0,65.14,63.86,64.1,4790900,0.0,0.0
2019-10-10,64.15,64.25,62.18,62.45,7573900,0.0,0.0
2019-10-11,63.13,65.17,62.93,64.45,4957700,0.0,0.0
2019-10-14,64.04,64.66,63.81,64.09,2247600,0.0,0.0
2019-10-15,64.13,65.58,63.82,64.84,2704700,0.0,0.0
2019-10-16,64.81,67.08,64.65,65.88,4206900,0.0,0.0
2019-10-17,66.16,66.7,65.46,65.51,2257100,0.0,0.0
2019-10-18,65.54,65.91,64.66,64.81,2181700,0.0,0.0
