Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,155.64,157.76,155.62,156.83,1082200,0.0,0
2019-03-22,155.45,156.07,152.44,153.11,2177400,0.0,0
2019-03-25,153.52,155.38,153.16,154.48,1137200,0.0,0
2019-03-26,155.57,155.99,153.67,154.74,1036700,0.0,0
2019-03-27,155.26,155.68,153.25,155.4,1068200,0.0,0
2019-03-28,155.88,156.38,154.63,155.96,1123300,0.76,0
2019-03-29,156.78,159.04,156.36,157.7,1862600,0.0,0
2019-04-01,159.47,160.89,158.53,159.74,1371400,0.0,0
2019-04-02,159.73,160.53,158.67,159.95,1184300,0.0,0
2019-04-03,160.85,161.86,160.0,161.2,1356100,0.0,0
2019-04-04,161.28,162.57,161.15,162.04,1197200,0.0,0
2019-04-05,162.63,163.23,162.01,162.82,1294600,0.0,0
2019-04-08,161.78,162.83,161.0,162.79,1133300,0.0,0
2019-04-09,160.01,160.23,156.34,156.7,2451000,0.0,0
2019-04-10,156.87,157.5,153.67,156.5,2746800,0.0,0
2019-04-11,156.51,158.15,155.78,158.01,1162200,0.0,0
2019-04-12,159.52,160.14,157.76,159.3,1220200,0.0,0
2019-04-15,159.66,160.41,159.22,160.31,1062500,0.0,0
2019-04-16,160.31,163.03,160.19,162.35,1310200,0.0,0
2019-04-17,162.65,163.57,161.65,163.23,1350700,0.0,0
2019-04-18,163.77,167.71,163.5,166.78,2215500,0.0,0
2019-04-22,165.98,167.68,165.65,166.88,1376600,0.0,0
2019-04-23,166.47,167.03,165.24,165.51,1891200,0.0,0
2019-04-24,165.06,165.47,163.04,163.09,1463400,0.0,0
2019-04-25,161.8,162.32,159.08,159.64,1256600,0.0,0
2019-04-26,160.65,162.82,159.44,162.8,988500,0.0,0
2019-04-29,163.19,164.4,162.85,164.06,889700,0.0,0
2019-04-30,164.44,164.44,161.15,163.41,1573700,0.0,0
2019-05-01,163.39,165.08,162.33,162.33,1327400,0.0,0
2019-05-02,162.78,164.42,159.98,161.92,1702400,0.0,0
2019-05-03,162.91,164.99,162.25,164.67,1050800,0.0,0
2019-05-06,159.09,159.34,156.01,158.03,2913100,0.0,0
2019-05-07,156.22,156.75,153.22,155.65,2182200,0.0,0
2019-05-08,155.04,155.67,153.27,153.5,1806400,0.0,0
2019-05-09,151.69,154.2,149.76,153.4,2026000,0.0,0
2019-05-10,152.74,154.24,149.93,153.96,1753700,0.0,0
2019-05-13,147.99,148.52,143.23,144.32,3172500,0.0,0
2019-05-14,144.26,146.93,143.5,145.14,2325400,0.0,0
2019-05-15,143.85,144.64,142.09,142.9,2330500,0.0,0
2019-05-16,144.23,146.08,143.06,144.03,2893400,0.0,0
2019-05-17,138.12,139.48,131.38,133.01,7817500,0.0,0
2019-05-20,132.17,134.18,130.9,133.56,3715300,0.0,0
2019-05-21,135.22,137.63,134.73,137.03,3567300,0.0,0
2019-05-22,136.07,138.2,135.87,136.92,2626800,0.0,0
2019-05-23,134.84,135.96,133.63,134.64,2584400,0.0,0
2019-05-24,136.33,137.53,135.59,137.09,2597200,0.0,0
2019-05-28,138.59,138.59,135.71,135.73,2054400,0.0,0
2019-05-29,135.34,139.47,134.71,139.24,3013000,0.0,0
2019-05-30,139.42,141.77,139.42,139.78,3110600,0.0,0
2019-05-31,137.63,138.87,135.95,138.29,2206600,0.0,0
2019-06-03,137.67,141.87,137.67,141.37,2213600,0.0,0
2019-06-04,143.06,144.62,141.96,143.67,1872000,0.0,0
2019-06-05,144.33,144.98,142.23,144.26,1634100,0.0,0
2019-06-06,143.98,145.2,142.9,144.53,1391300,0.0,0
2019-06-07,145.32,147.2,144.6,146.72,1555800,0.0,0
2019-06-10,147.66,149.2,147.64,147.8,1708500,0.0,0
2019-06-11,149.42,150.51,146.85,147.99,2019800,0.0,0
2019-06-12,147.25,147.84,145.73,146.8,1344100,0.0,0
2019-06-13,147.6,150.2,147.0,149.5,1192500,0.0,0
2019-06-14,149.63,150.06,147.52,149.48,1013500,0.0,0
2019-06-17,151.25,153.12,150.22,152.3,1742200,0.0,0
2019-06-18,153.8,157.83,153.43,157.24,2617000,0.0,0
2019-06-19,157.23,159.3,156.94,157.8,1671100,0.0,0
2019-06-20,160.08,160.94,158.69,160.58,1945100,0.0,0
2019-06-21,161.27,162.49,159.94,162.08,2380800,0.0,0
2019-06-24,162.92,166.12,162.69,164.64,2582200,0.0,0
2019-06-25,165.15,165.15,163.69,164.08,2084800,0.0,0
