Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,69.6,71.28,69.33,70.86,2088000,0.0,0
2019-03-22,70.16,70.28,68.46,68.84,1956900,0.0,0
2019-03-25,68.69,69.19,67.77,68.26,1880200,0.0,0
2019-03-26,68.82,69.22,68.27,69.06,2016600,0.0,0
2019-03-27,69.06,69.55,68.72,68.96,2035700,0.0,0
2019-03-28,69.19,69.79,68.78,69.2,2058900,0.0,0
2019-03-29,69.92,70.28,69.44,69.63,1933100,0.0,0
2019-04-01,70.19,72.08,70.19,71.92,1749000,0.0,0
2019-04-02,71.96,72.53,71.58,72.19,1432200,0.0,0
2019-04-03,72.59,73.12,72.1,72.39,1217800,0.0,0
2019-04-04,72.39,73.27,72.28,72.63,1768400,0.0,0
2019-04-05,72.83,73.39,72.6,73.34,1546700,0.0,0
2019-04-08,73.01,73.26,72.63,73.2,1126400,0.0,0
2019-04-09,72.78,72.99,72.28,72.57,1079600,0.0,0
2019-04-10,72.72,73.02,72.45,72.93,1119400,0.0,0
2019-04-11,73.15,73.54,72.6,73.26,1131500,0.0,0
2019-04-12,73.92,74.87,73.92,74.57,1309400,0.0,0
2019-04-15,74.34,74.64,73.87,74.18,926000,0.0,0
2019-04-16,74.53,75.41,74.32,75.29,1924100,0.0,0
2019-04-17,75.6,75.61,74.96,75.21,842800,0.0,0
2019-04-18,75.11,76.18,74.94,75.49,1565100,0.0,0
2019-04-22,75.2,75.62,74.97,75.24,981200,0.0,0
2019-04-23,75.11,75.67,74.7,75.54,1722200,0.0,0
2019-04-24,75.32,75.76,75.04,75.36,1288500,0.0,0
2019-04-25,75.15,76.17,74.84,75.86,1700700,0.0,0
2019-04-26,77.39,79.78,76.67,79.44,3190400,0.0,0
2019-04-29,79.51,80.23,79.33,79.69,2017300,0.0,0
2019-04-30,79.88,80.17,79.11,79.74,3889500,0.0,0
2019-05-01,79.73,80.26,79.3,79.35,3341900,0.0,0
2019-05-02,79.43,80.09,78.88,79.39,1666300,0.0,0
2019-05-03,79.78,80.68,79.73,80.5,1569500,0.0,0
2019-05-06,79.0,80.73,78.69,80.26,1355100,0.0,0
2019-05-07,79.04,79.63,78.25,78.74,2346900,0.0,0
2019-05-08,77.79,78.39,76.6,77.36,2347200,0.0,0
2019-05-09,76.54,77.47,75.84,77.3,1850100,0.0,0
2019-05-10,76.8,77.97,76.13,77.75,1857400,0.0,0
2019-05-13,76.31,76.35,74.84,74.97,1956200,0.0,0
2019-05-14,75.12,76.6,75.05,75.97,2130400,0.0,0
2019-05-15,75.97,76.42,74.92,75.57,2180600,0.0,0
2019-05-16,75.95,77.0,75.72,76.44,1483700,0.0,0
2019-05-17,75.56,76.41,75.34,75.63,1356600,0.0,0
2019-05-20,75.39,76.48,75.19,76.15,1260300,0.0,0
2019-05-21,76.7,77.02,76.45,76.97,1227500,0.0,0
2019-05-22,76.69,77.12,76.57,76.76,1528500,0.0,0
2019-05-23,76.15,76.27,74.96,75.29,2501400,0.4,0
2019-05-24,75.8,76.0,75.17,75.63,1783800,0.0,0
2019-05-28,75.46,75.91,74.89,74.94,2399800,0.0,0
2019-05-29,74.66,75.38,74.01,75.26,2100800,0.0,0
2019-05-30,75.62,75.85,74.38,74.68,754700,0.0,0
2019-05-31,73.86,74.11,73.13,73.32,1432400,0.0,0
2019-06-03,73.32,74.15,73.15,73.48,1925400,0.0,0
2019-06-04,74.45,75.99,74.1,75.96,1853700,0.0,0
2019-06-05,76.51,76.53,75.46,76.44,1432800,0.0,0
2019-06-06,76.51,77.05,76.0,76.81,1514900,0.0,0
2019-06-07,77.17,77.62,76.68,76.85,1101500,0.0,0
2019-06-10,77.47,77.97,76.9,76.9,1176300,0.0,0
2019-06-11,77.52,78.24,77.12,77.46,1040300,0.0,0
2019-06-12,77.33,77.51,75.52,76.16,1962200,0.0,0
2019-06-13,76.16,76.85,76.0,76.17,2387600,0.0,0
2019-06-14,76.33,76.35,75.08,76.17,1937800,0.0,0
2019-06-17,76.26,76.35,75.49,75.61,1995700,0.0,0
2019-06-18,75.86,77.46,75.5,76.54,1477600,0.0,0
2019-06-19,76.6,76.93,75.49,75.74,1508900,0.0,0
2019-06-20,76.59,77.26,76.07,77.1,1395700,0.0,0
2019-06-21,77.27,77.35,76.79,77.09,2569500,0.0,0
2019-06-24,76.95,77.57,76.22,76.31,2245700,0.0,0
2019-06-25,76.22,76.45,75.44,76.14,1204600,0.0,0
2019-06-26,76.42,76.97,75.99,76.31,1304200,0.0,0
2019-06-27,76.37,76.68,76.07,76.31,1717700,0.0,0
2019-06-28,76.31,76.82,75.73,76.31,3766600,0.0,0
2019-07-01,77.43,78.34,76.84,77.28,1994000,0.0,0
2019-07-02,77.34,78.01,77.21,77.57,1463100,0.0,0
2019-07-03,77.94,79.11,77.94,79.05,824000,0.0,0
2019-07-05,79.17,79.38,78.56,78.88,1038800,0.0,0
2019-07-08,78.52,79.23,78.45,78.95,1281400,0.0,0
2019-07-09,78.34,79.3,78.29,79.19,1796100,0.0,0
2019-07-10,79.4,80.42,78.61,78.78,1303900,0.0,0
2019-07-11,79.05,79.82,78.84,79.26,1491400,0.0,0
2019-07-12,79.35,80.13,79.19,79.95,1110100,0.0,0
2019-07-15,80.12,80.12,79.03,79.69,1110600,0.0,0
2019-07-16,79.95,80.63,79.54,79.6,1845300,0.0,0
2019-07-17,79.43,79.79,78.66,78.7,1283800,0.0,0
2019-07-18,78.41,80.31,78.39,80.28,1854800,0.0,0
2019-07-19,80.51,80.86,79.91,80.39,2404100,0.0,0
2019-07-22,80.31,81.21,80.24,80.97,3052900,0.0,0
