Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,86.51,88.06,86.51,87.76,690400,0.0,0
2019-03-22,87.63,88.56,86.66,87.39,1284800,0.0,0
2019-03-25,87.31,87.31,85.77,86.61,1317700,0.0,0
2019-03-26,86.87,87.37,86.41,86.82,674700,0.0,0
2019-03-27,86.47,87.11,85.87,86.67,866200,0.0,0
2019-03-28,86.8,87.27,86.23,87.2,640900,0.0,0
2019-03-29,87.28,88.28,87.18,88.05,1357600,0.0,0
2019-04-01,88.48,88.96,87.97,88.27,1094500,0.0,0
2019-04-02,89.6,89.63,87.85,89.03,1438200,0.0,0
2019-04-03,89.41,89.42,88.17,88.69,914100,0.0,0
2019-04-04,88.62,89.14,88.21,89.13,724300,0.0,0
2019-04-05,89.15,89.53,88.67,89.41,1298200,0.53,0
2019-04-08,89.22,89.48,88.25,89.12,744400,0.0,0
2019-04-09,88.74,89.17,88.39,88.6,607400,0.0,0
2019-04-10,88.65,89.23,88.12,89.01,794300,0.0,0
2019-04-11,89.38,89.38,88.11,88.37,1110400,0.0,0
2019-04-12,88.38,89.61,88.31,88.53,944600,0.0,0
2019-04-15,89.03,89.68,88.67,89.62,607900,0.0,0
2019-04-16,90.05,90.05,87.56,87.75,2157400,0.0,0
2019-04-17,87.86,88.06,83.4,84.41,1576800,0.0,0
2019-04-18,84.49,85.26,83.05,84.46,1486500,0.0,0
2019-04-22,84.17,85.28,83.66,83.9,1209500,0.0,0
2019-04-23,85.02,93.1,85.02,91.68,3584100,0.0,0
2019-04-24,92.01,94.11,91.78,93.34,2239200,0.0,0
2019-04-25,93.32,93.47,91.83,92.83,1295200,0.0,0
2019-04-26,92.98,93.94,92.65,93.91,1040900,0.0,0
2019-04-29,93.89,95.0,93.62,94.76,1166300,0.0,0
2019-04-30,95.05,95.39,93.38,94.93,1316200,0.0,0
2019-05-01,95.24,95.36,94.15,94.8,1239800,0.0,0
2019-05-02,94.84,97.04,94.84,96.69,1410100,0.0,0
2019-05-03,96.71,97.6,96.4,97.31,1019000,0.0,0
2019-05-06,95.76,97.27,95.57,97.18,795100,0.0,0
2019-05-07,96.59,97.2,95.49,96.2,961200,0.0,0
2019-05-08,96.14,97.51,95.06,96.49,1434200,0.0,0
2019-05-09,95.61,97.49,95.32,97.26,1553100,0.0,0
2019-05-10,97.11,97.82,95.99,97.68,842900,0.0,0
2019-05-13,96.32,96.47,95.17,95.62,906800,0.0,0
2019-05-14,96.09,96.91,95.26,95.3,786100,0.0,0
2019-05-15,94.69,96.22,94.46,95.92,634500,0.0,0
2019-05-16,95.9,96.51,94.8,94.94,949100,0.0,0
2019-05-17,94.15,96.66,94.06,95.77,1122000,0.0,0
2019-05-20,95.32,96.4,95.16,95.62,794500,0.0,0
2019-05-21,95.96,96.76,95.8,96.3,940100,0.0,0
2019-05-22,96.11,96.55,95.58,96.15,1331200,0.0,0
2019-05-23,95.9,96.19,95.04,96.17,1056800,0.0,0
2019-05-24,96.18,96.79,95.23,96.57,866300,0.0,0
2019-05-28,96.24,97.48,95.47,95.64,1755200,0.0,0
2019-05-29,95.33,95.76,94.38,95.36,1557300,0.0,0
2019-05-30,95.49,95.82,94.07,94.56,681700,0.0,0
2019-05-31,94.09,94.66,93.26,94.47,691500,0.0,0
2019-06-03,94.43,96.58,93.82,94.72,960000,0.0,0
2019-06-04,95.31,96.27,94.98,95.75,699200,0.0,0
2019-06-05,96.64,96.64,94.88,96.28,701600,0.0,0
2019-06-06,96.5,97.83,96.09,97.27,957100,0.0,0
2019-06-07,97.69,98.31,97.21,97.85,600500,0.0,0
2019-06-10,98.12,98.49,97.72,98.17,781400,0.0,0
2019-06-11,98.08,98.43,97.03,97.43,658700,0.0,0
2019-06-12,97.11,98.04,96.88,98.01,584500,0.0,0
2019-06-13,98.04,99.43,97.7,99.35,1541900,0.0,0
2019-06-14,99.33,100.24,99.25,99.51,727900,0.0,0
2019-06-17,99.61,100.76,99.39,100.41,895800,0.0,0
2019-06-18,100.96,100.96,98.83,99.06,1002200,0.0,0
2019-06-19,99.34,100.64,98.81,100.39,679100,0.0,0
2019-06-20,100.58,100.68,98.44,98.83,922400,0.0,0
2019-06-21,98.95,99.88,98.58,99.76,1497800,0.0,0
2019-06-24,99.84,99.84,98.68,99.39,498200,0.0,0
2019-06-25,99.38,99.99,98.46,99.51,590000,0.0,0
2019-06-26,99.41,99.62,98.2,98.22,529600,0.0,0
2019-06-27,98.71,99.12,98.28,99.02,604900,0.0,0
2019-06-28,98.99,100.28,98.57,100.28,960900,0.0,0
2019-07-01,101.03,102.11,100.33,100.91,880100,0.0,0
2019-07-02,100.8,101.7,99.87,101.68,511400,0.0,0
2019-07-03,101.82,102.63,101.82,102.41,412200,0.0,0
2019-07-05,102.24,103.0,101.5,102.23,568200,0.53,0
2019-07-08,101.94,101.95,101.05,101.45,667300,0.0,0
2019-07-09,100.67,101.2,100.06,100.99,548500,0.0,0
2019-07-10,101.44,102.01,101.12,101.5,427300,0.0,0
2019-07-11,102.3,103.16,101.44,102.47,810900,0.0,0
2019-07-12,102.25,102.59,101.47,101.95,620900,0.0,0
2019-07-15,99.4,100.21,98.76,100.11,1186900,0.0,0
2019-07-16,100.82,101.12,99.59,100.46,867500,0.0,0
2019-07-17,100.31,100.46,98.93,99.16,1073400,0.0,0
2019-07-18,99.16,99.97,98.67,99.86,948800,0.0,0
2019-07-19,99.77,99.97,98.22,98.29,993400,0.0,0
2019-07-22,98.69,99.1,96.69,97.1,1536800,0.0,0
2019-07-23,102.68,103.85,100.56,102.35,2662300,0.0,0
2019-07-24,102.77,103.28,101.92,102.33,1453300,0.0,0
2019-07-25,102.37,102.55,100.46,101.2,990100,0.0,0
2019-07-26,101.34,102.36,100.0,100.27,1029400,0.0,0
2019-07-29,100.06,101.53,99.99,101.48,1062300,0.0,0
2019-07-30,100.33,102.69,99.17,102.62,1126700,0.0,0
2019-07-31,103.06,103.06,100.34,101.06,1058700,0.0,0
2019-08-01,100.92,101.65,100.03,100.24,815100,0.0,0
2019-08-02,100.32,100.48,98.94,99.34,672100,0.0,0
2019-08-05,98.35,99.0,95.97,96.87,1102700,0.0,0
2019-08-06,97.31,98.07,96.38,97.93,912400,0.0,0
2019-08-07,97.28,99.12,96.43,98.97,981300,0.0,0
2019-08-08,99.22,100.57,99.22,100.22,1015800,0.0,0
2019-08-09,100.24,100.74,99.29,99.74,594500,0.0,0
2019-08-12,99.57,100.18,98.91,99.29,424600,0.0,0
2019-08-13,98.83,101.17,98.83,100.49,511800,0.0,0
2019-08-14,99.5,100.14,98.51,98.54,866500,0.0,0
2019-08-15,98.99,99.41,98.24,98.89,963600,0.0,0
2019-08-16,99.56,100.07,99.3,99.6,897100,0.0,0
2019-08-19,100.32,101.38,100.05,101.06,792400,0.0,0
2019-08-20,101.32,101.32,100.39,100.43,734000,0.0,0
2019-08-21,101.02,102.26,100.74,102.12,883500,0.0,0
2019-08-22,102.27,102.57,101.01,101.6,938800,0.0,0
2019-08-23,101.55,102.64,100.22,100.59,1758700,0.0,0
2019-08-26,101.12,101.24,99.87,100.3,972600,0.0,0
2019-08-27,100.87,101.22,99.46,99.46,806900,0.0,0
2019-08-28,99.25,100.13,99.11,99.92,800300,0.0,0
2019-08-29,100.84,101.46,100.1,101.33,898600,0.0,0
2019-08-30,101.53,102.55,101.13,101.35,1413800,0.0,0
2019-09-03,100.57,101.39,100.32,101.26,741100,0.0,0
2019-09-04,101.92,102.03,101.05,101.71,539400,0.0,0
2019-09-05,102.66,102.66,101.21,101.7,703100,0.0,0
2019-09-06,101.82,103.36,101.1,103.17,1542500,0.0,0
2019-09-09,103.47,104.18,102.32,103.96,1412000,0.0,0
2019-09-10,103.88,104.27,102.86,103.51,1164600,0.0,0
2019-09-11,103.72,103.95,101.77,102.89,1012800,0.0,0
2019-09-12,103.69,104.27,102.92,103.92,1219200,0.0,0
