Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,38.9,40.33,38.81,40.03,7053600,0.0,0
2019-03-22,39.96,40.92,39.77,40.41,5385600,0.0,0
2019-03-25,40.28,41.72,40.28,41.43,8424000,0.0,0
2019-03-26,41.39,41.51,40.39,41.07,5675300,0.0,0
2019-03-27,41.61,42.81,41.38,42.0,6669400,0.0,0
2019-03-28,42.01,42.2,40.83,41.15,4367400,0.0,0
2019-03-29,41.32,41.79,40.8,40.86,7049100,0.0,0
2019-04-01,41.05,41.32,40.38,41.18,5622900,0.0,0
2019-04-02,41.2,41.32,40.86,41.18,3603800,0.0,0
2019-04-03,41.47,42.02,41.13,41.36,4155400,0.0,0
2019-04-04,41.2,42.46,41.2,42.27,5879000,0.0,0
2019-04-05,42.42,43.05,42.23,43.0,5736400,0.0,0
2019-04-08,42.93,43.25,42.71,43.15,3187100,0.0,0
2019-04-09,42.97,43.25,42.7,42.85,3837300,0.0,0
2019-04-10,42.99,43.45,42.97,43.38,3492800,0.0,0
2019-04-11,43.25,44.39,43.11,44.29,6245400,0.0,0
2019-04-12,44.37,44.83,44.13,44.78,10711900,0.0,0
2019-04-15,45.0,45.1,44.56,44.85,7150100,0.0,0
2019-04-16,45.01,45.28,44.88,45.11,6132900,0.0,0
2019-04-17,45.05,45.37,44.9,45.19,5424400,0.0,0
2019-04-18,45.22,45.92,45.03,45.84,7803400,0.0,0
2019-04-22,45.42,45.77,44.63,45.09,5696300,0.0,0
2019-04-23,45.54,46.03,45.23,45.82,5908700,0.0,0
2019-04-24,45.84,46.43,45.59,46.08,5190500,0.0,0
2019-04-25,43.37,44.39,43.09,43.89,9968900,0.0,0
2019-04-26,43.73,43.77,43.11,43.45,5502000,0.0,0
2019-04-29,43.32,43.58,43.02,43.4,2931100,0.0,0
2019-04-30,43.48,43.97,43.18,43.75,3827700,0.0,0
2019-05-01,44.05,45.06,43.73,43.79,3982400,0.0,0
2019-05-02,43.81,44.57,43.36,43.82,4019800,0.0,0
2019-05-03,44.05,44.23,43.53,43.57,3625600,0.0,0
2019-05-06,43.01,43.57,42.75,43.57,3530200,0.0,0
2019-05-07,43.41,43.54,42.78,43.2,2771700,0.0,0
2019-05-08,43.22,43.38,42.67,42.69,1989000,0.0,0
2019-05-09,42.6,43.13,41.98,43.07,2727300,0.0,0
2019-05-10,42.88,43.33,42.43,43.12,2427100,0.15,0
2019-05-13,42.53,42.93,42.21,42.83,2919800,0.0,0
2019-05-14,42.81,44.06,42.77,43.58,4342300,0.0,0
2019-05-15,43.36,43.84,43.14,43.65,3396700,0.0,0
2019-05-16,43.98,44.71,43.84,44.55,4488900,0.0,0
2019-05-17,44.1,44.89,44.09,44.13,3616200,0.0,0
2019-05-20,43.99,44.33,42.86,42.96,4117800,0.0,0
2019-05-21,42.96,43.56,42.77,43.4,3155500,0.0,0
2019-05-22,42.74,43.79,42.74,43.36,4597900,0.0,0
2019-05-23,43.14,43.97,42.92,43.22,4316800,0.0,0
2019-05-24,43.39,44.27,43.38,44.22,2661500,0.0,0
2019-05-28,44.26,44.48,43.7,43.7,3204300,0.0,0
2019-05-29,43.62,43.62,42.76,43.08,4599100,0.0,0
2019-05-30,43.0,43.85,42.94,43.56,2894400,0.0,0
2019-05-31,43.29,43.42,41.98,42.37,4806900,0.0,0
2019-06-03,42.3,43.31,42.16,42.87,3647700,0.0,0
2019-06-04,43.32,44.07,43.07,44.0,3368900,0.0,0
2019-06-05,44.28,44.41,43.56,44.22,2660400,0.0,0
2019-06-06,44.41,45.2,44.35,44.76,2189100,0.0,0
2019-06-07,44.82,45.72,44.75,45.18,2693100,0.0,0
2019-06-10,45.37,45.79,44.67,45.07,2002500,0.0,0
2019-06-11,45.3,45.3,43.93,44.46,3120500,0.0,0
2019-06-12,44.52,45.19,44.48,44.63,3689500,0.0,0
2019-06-13,44.85,45.41,44.7,45.04,3765400,0.0,0
2019-06-14,44.94,45.66,44.63,45.54,2816500,0.0,0
2019-06-17,45.57,45.68,44.86,45.54,2314400,0.0,0
2019-06-18,45.67,46.04,44.9,45.42,2524500,0.0,0
2019-06-19,45.22,45.34,43.49,44.44,5037700,0.0,0
2019-06-20,45.12,45.57,44.55,45.27,3763800,0.0,0
2019-06-21,45.24,45.24,44.07,44.25,4407500,0.0,0
2019-06-24,44.36,44.82,43.78,43.87,3859800,0.0,0
2019-06-25,44.79,44.88,41.67,42.18,8529100,0.0,0
2019-06-26,42.05,42.16,41.03,41.67,7103600,0.0,0
2019-06-27,42.32,43.01,41.92,42.82,4364100,0.0,0
2019-06-28,42.71,43.6,42.67,42.73,7192500,0.0,0
2019-07-01,43.33,43.72,42.9,43.22,5479300,0.0,0
2019-07-02,43.35,43.8,43.14,43.71,2748500,0.0,0
2019-07-03,43.73,44.16,43.57,43.94,1312000,0.0,0
2019-07-05,43.59,43.71,42.54,43.08,2445200,0.0,0
2019-07-08,43.0,43.75,42.77,43.69,2202200,0.0,0
2019-07-09,43.51,43.83,43.27,43.51,3432600,0.0,0
2019-07-10,44.14,44.52,43.85,44.25,3482500,0.0,0
2019-07-11,44.4,44.49,43.4,44.0,2459600,0.0,0
2019-07-12,44.27,45.38,44.24,45.07,3541000,0.0,0
2019-07-15,45.14,45.44,44.64,44.8,2563300,0.0,0
2019-07-16,44.7,45.19,44.63,45.02,3163000,0.0,0
2019-07-17,45.24,45.62,44.73,44.78,1726000,0.0,0
2019-07-18,44.79,45.44,44.38,44.82,2561900,0.0,0
2019-07-19,45.0,45.12,44.51,44.59,2211700,0.0,0
2019-07-22,44.79,44.84,44.3,44.35,1780400,0.0,0
2019-07-23,44.44,44.62,42.77,43.21,5319300,0.0,0
2019-07-24,43.2,43.76,42.97,43.5,2845100,0.0,0
2019-07-25,43.71,44.43,43.6,44.09,5065900,0.0,0
2019-07-26,44.16,44.48,43.77,44.09,3405900,0.0,0
2019-07-29,44.03,44.11,43.2,43.6,3992100,0.0,0
2019-07-30,43.89,46.33,43.56,46.09,7934300,0.0,0
2019-07-31,46.45,46.83,44.89,45.51,5713600,0.0,0
2019-08-01,45.79,47.58,45.56,46.62,7588600,0.0,0
2019-08-02,46.46,46.85,45.96,46.57,4972200,0.0,0
2019-08-05,45.96,46.56,44.99,45.51,4853400,0.0,0
2019-08-06,45.57,46.14,45.45,45.84,5287800,0.0,0
2019-08-07,45.44,47.47,45.14,47.37,6321500,0.0,0
2019-08-08,47.33,47.94,47.23,47.48,4855700,0.0,0
2019-08-09,47.35,47.55,46.9,46.94,3071800,0.15,0
2019-08-12,46.79,46.9,46.45,46.7,2611500,0.0,0
2019-08-13,46.84,47.91,46.8,47.67,7240200,0.0,0
2019-08-14,46.99,47.4,46.54,47.07,3880200,0.0,0
2019-08-15,47.02,47.37,46.59,46.68,3492600,0.0,0
2019-08-16,47.03,47.59,46.59,47.46,2697900,0.0,0
2019-08-19,47.71,48.25,47.51,47.88,3283500,0.0,0
2019-08-20,48.13,49.24,47.89,48.61,4841400,0.0,0
2019-08-21,48.71,49.32,48.4,49.15,3975900,0.0,0
2019-08-22,49.46,50.33,49.08,50.03,4655000,0.0,0
2019-08-23,50.08,50.31,48.72,48.91,6304000,0.0,0
2019-08-26,48.85,49.33,48.5,48.91,4120900,0.0,0
2019-08-27,49.37,49.37,48.45,48.63,3338200,0.0,0
2019-08-28,48.52,48.93,48.17,48.7,2501700,0.0,0
2019-08-29,49.04,49.34,48.73,48.97,3029000,0.0,0
2019-08-30,49.27,49.28,48.74,49.17,1576700,0.0,0
2019-09-03,48.85,49.65,48.85,49.49,2377200,0.0,0
2019-09-04,49.64,50.48,49.46,50.19,3430400,0.0,0
2019-09-05,50.52,50.58,49.04,49.66,3909100,0.0,0
2019-09-06,49.83,50.23,49.74,49.83,2754700,0.0,0
2019-09-09,49.9,50.01,49.26,49.47,3396400,0.0,0
2019-09-10,49.07,49.2,48.18,49.13,4099200,0.0,0
2019-09-11,49.42,49.71,49.09,49.15,5276000,0.0,0
2019-09-12,49.46,50.31,49.39,49.47,4898400,0.0,0
2019-09-13,49.93,50.14,48.71,49.19,3623200,0.0,0
2019-09-16,49.15,49.53,48.64,48.73,5077300,0.0,0
2019-09-17,48.76,49.62,48.74,49.39,11185500,0.0,0
2019-09-18,49.36,50.11,48.95,50.05,4714900,0.0,0
2019-09-19,50.47,50.81,50.13,50.56,4142200,0.0,0
2019-09-20,50.62,51.43,50.56,51.27,5197700,0.0,0
2019-09-23,51.19,52.37,51.19,51.88,7215200,0.0,0
2019-09-24,51.87,52.2,51.44,51.61,4090300,0.0,0
2019-09-25,51.83,52.45,51.75,52.2,3900800,0.0,0
2019-09-26,52.61,52.74,51.57,52.09,2071400,0.0,0
2019-09-27,52.19,52.21,51.6,51.82,2212300,0.0,0
2019-09-30,51.91,52.62,51.9,52.39,3412800,0.0,0
2019-10-01,52.29,52.64,51.62,51.72,3214500,0.0,0
2019-10-02,51.78,52.04,50.54,51.09,5272300,0.0,0
2019-10-03,51.19,51.37,50.29,51.03,3730800,0.0,0
2019-10-04,51.2,52.44,51.18,52.22,7354800,0.0,0
2019-10-07,52.07,52.39,51.8,52.01,4147500,0.0,0
2019-10-08,51.77,53.21,51.71,52.6,3979800,0.0,0
2019-10-09,52.93,52.98,52.28,52.33,3327000,0.0,0
2019-10-10,52.14,52.27,51.45,52.18,5154100,0.0,0
2019-10-11,52.61,52.67,51.63,51.67,3206300,0.0,0
2019-10-14,51.85,52.31,51.69,51.97,1947200,0.0,0
2019-10-15,52.15,52.46,51.95,52.31,3204400,0.0,0
2019-10-16,52.41,53.37,52.07,53.34,3638700,0.0,0
2019-10-17,53.9,54.08,52.95,53.17,3866400,0.0,0
2019-10-18,53.25,53.69,52.9,53.64,3546100,0.0,0
2019-10-21,53.83,54.03,52.76,52.85,4397000,0.0,0
2019-10-22,53.47,53.47,52.63,52.98,7296200,0.0,0
2019-10-23,53.1,53.23,52.66,53.02,2382500,0.0,0
2019-10-24,53.02,53.71,52.83,53.65,2099600,0.0,0
2019-10-25,53.63,54.09,53.21,53.38,2934000,0.0,0
2019-10-28,53.2,53.34,51.41,51.51,4282700,0.0,0
2019-10-29,51.43,52.23,51.1,51.25,5218600,0.0,0
2019-10-30,51.26,51.94,49.85,51.87,7430900,0.0,0
2019-10-31,51.95,52.35,51.74,52.05,5146300,0.0,0
2019-11-01,52.18,53.01,52.04,52.98,3414400,0.0,0
2019-11-04,53.03,53.25,50.53,50.84,6209700,0.0,0
2019-11-05,50.85,50.85,50.0,50.4,6937100,0.0,0
2019-11-06,50.53,51.79,50.42,51.73,4830300,0.0,0
2019-11-07,51.73,51.92,49.9,50.72,4878200,0.0,0
2019-11-08,50.7,51.23,50.55,50.84,3183700,0.0,0
2019-11-11,50.94,52.33,50.86,52.33,4334000,0.0,0
2019-11-12,54.59,55.33,51.51,53.94,9582600,0.0,0
2019-11-13,53.95,54.99,53.72,54.0,9974700,0.0,0
2019-11-14,53.94,54.74,53.55,53.93,8772500,0.0,0
2019-11-15,54.2,54.23,53.05,53.18,5933600,0.0,0
2019-11-18,53.34,54.64,53.23,54.3,5334300,0.0,0
2019-11-19,54.31,54.5,53.57,53.81,3211300,0.0,0
2019-11-20,54.08,54.68,53.79,54.24,5287900,0.0,0
2019-11-21,54.24,54.7,53.55,53.58,2801000,0.0,0
2019-11-22,53.84,54.3,53.6,53.78,3934400,0.0,0
2019-11-25,53.8,54.52,53.8,54.49,3648800,0.0,0
2019-11-26,54.66,55.35,54.45,55.23,6042000,0.175,0
2019-11-27,55.24,55.64,55.0,55.14,6022600,0.0,0
2019-11-29,54.95,55.51,54.89,55.19,1853800,0.0,0
2019-12-02,55.12,55.18,54.17,54.69,3527700,0.0,0
2019-12-03,54.22,54.76,54.17,54.6,2870400,0.0,0
2019-12-04,54.64,55.32,54.36,55.18,3853300,0.0,0
2019-12-05,55.12,55.65,55.02,55.6,4135600,0.0,0
2019-12-06,54.98,55.28,53.69,54.04,4996400,0.0,0
2019-12-09,54.04,54.98,53.87,54.73,2974000,0.0,0
2019-12-10,54.63,55.01,54.25,54.97,2899900,0.0,0
2019-12-11,54.78,55.77,54.72,55.75,2366000,0.0,0
2019-12-12,55.55,55.96,54.19,54.2,3674700,0.0,0
2019-12-13,54.09,54.93,53.94,54.65,2928100,0.0,0
2019-12-16,54.64,55.11,54.17,54.54,4245000,0.0,0
2019-12-17,54.08,54.89,53.35,53.54,4547700,0.0,0
2019-12-18,53.97,54.09,52.28,52.64,5862700,0.0,0
2019-12-19,52.48,52.86,51.56,52.2,4699500,0.0,0
2019-12-20,52.34,53.57,52.17,53.53,5785600,0.0,0
2019-12-23,53.46,53.76,52.48,52.65,1953400,0.0,0
2019-12-24,52.79,53.14,52.6,53.05,677500,0.0,0
2019-12-26,53.06,53.17,52.53,52.86,1146300,0.0,0
2019-12-27,52.96,53.05,52.67,52.76,1584400,0.0,0
2019-12-30,52.65,52.7,51.92,52.4,2145500,0.0,0
2019-12-31,52.29,52.7,52.24,52.6,1702100,0.0,0
2020-01-02,52.8,52.96,51.98,52.42,3492000,0.0,0
2020-01-03,52.3,53.07,52.25,52.81,4330400,0.0,0
2020-01-06,53.21,53.94,53.06,53.26,4305500,0.0,0
2020-01-07,53.8,53.85,52.96,53.06,4440400,0.0,0
2020-01-08,53.59,54.59,53.34,53.35,5279600,0.0,0
2020-01-09,53.46,53.81,52.71,53.12,5505200,0.0,0
2020-01-10,52.93,54.01,52.8,53.61,3681100,0.0,0
2020-01-13,53.48,53.88,53.24,53.42,2383600,0.0,0
2020-01-14,53.42,54.33,53.4,54.13,2578700,0.0,0
2020-01-15,54.15,55.01,54.11,54.78,3846500,0.0,0
2020-01-16,54.87,55.3,54.42,55.22,3461800,0.0,0
2020-01-17,55.55,55.9,55.14,55.55,4468700,0.0,0
2020-01-21,55.55,56.84,55.49,56.81,3288800,0.0,0
2020-01-22,56.81,57.53,56.6,57.25,2415400,0.0,0
2020-01-23,57.28,59.06,57.25,58.82,4510100,0.0,0
2020-01-24,58.91,59.69,57.86,58.34,6602500,0.0,0
2020-01-27,58.98,60.77,58.85,59.5,7759600,0.0,0
2020-01-28,60.11,61.59,60.06,61.2,6038200,0.0,0
2020-01-29,61.3,61.52,59.43,60.55,3610100,0.0,0
2020-01-30,60.23,60.93,59.83,60.13,2413000,0.0,0
2020-01-31,60.09,60.37,58.79,59.03,3755700,0.0,0
2020-02-03,59.23,59.41,58.43,58.57,2832900,0.0,0
2020-02-04,58.63,58.74,57.37,57.5,3994100,0.0,0
2020-02-05,57.32,59.52,57.09,59.51,3933900,0.0,0
2020-02-06,59.64,60.68,59.61,60.42,3605000,0.0,0
2020-02-07,60.91,61.37,60.61,60.7,2423900,0.175,0
2020-02-10,60.93,61.61,60.85,61.52,4470200,0.0,0
2020-02-11,61.81,62.12,61.27,61.86,2453100,0.0,0
2020-02-12,61.25,61.77,61.08,61.6,2463900,0.0,0
2020-02-13,61.59,62.05,61.48,61.67,5426400,0.0,0
2020-02-14,62.05,62.09,61.39,61.81,2252000,0.0,0
2020-02-18,61.95,62.54,61.64,61.83,2548100,0.0,0
2020-02-19,62.13,62.45,61.79,61.88,3295900,0.0,0
2020-02-20,61.87,62.27,61.17,62.05,3685100,0.0,0
2020-02-21,62.13,62.52,61.65,61.88,3450500,0.0,0
2020-02-24,61.09,61.53,60.43,60.43,2415300,0.0,0
2020-02-25,60.52,60.63,57.87,58.09,4366800,0.0,0
2020-02-26,57.06,57.98,56.26,56.57,5325100,0.0,0
2020-02-27,55.73,57.58,55.17,55.86,7207300,0.0,0
2020-02-28,54.59,54.75,52.05,53.27,8175500,0.0,0
2020-03-02,53.82,55.11,53.16,54.83,8169200,0.0,0
2020-03-03,55.1,57.24,54.54,55.59,6180700,0.0,0
2020-03-04,56.68,58.59,56.32,58.56,6693600,0.0,0
2020-03-05,57.4,58.4,56.43,56.71,4097600,0.0,0
2020-03-06,54.71,55.13,53.16,54.8,6155100,0.0,0
2020-03-09,51.25,51.56,48.48,49.12,5103900,0.0,0
2020-03-10,50.41,51.16,47.74,50.99,7057400,0.0,0
2020-03-11,48.91,49.31,45.47,45.62,6110400,0.0,0
2020-03-12,41.26,41.9,36.23,39.22,8171300,0.0,0
2020-03-13,41.59,41.96,36.34,39.3,7475100,0.0,0
2020-03-16,34.08,34.91,31.2,31.35,8400400,0.0,0
2020-03-17,32.26,33.34,27.91,31.23,9478700,0.0,0
2020-03-18,28.91,30.05,25.51,28.78,11532900,0.0,0
2020-03-19,28.36,31.95,27.6,30.01,7251500,0.0,0
