Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,128.17,131.79,128.17,131.66,3006200,0.0,0
2019-03-22,130.9,131.96,129.04,129.07,2942900,0.0,0
2019-03-25,128.75,129.6,128.23,128.84,1750300,0.0,0
2019-03-26,130.06,131.42,129.79,130.45,1902400,0.0,0
2019-03-27,130.22,130.53,128.21,129.12,2945300,0.0,0
2019-03-28,129.55,129.77,128.57,129.39,1458100,0.17,0
2019-03-29,129.98,131.71,129.62,131.56,3211100,0.0,0
2019-04-01,132.69,134.03,130.85,131.36,2384400,0.0,0
2019-04-02,131.54,131.56,130.96,131.16,2069100,0.0,0
2019-04-03,131.61,131.61,130.39,130.51,2349100,0.0,0
2019-04-04,130.8,131.17,129.74,130.01,2266400,0.0,0
2019-04-05,130.36,131.31,129.97,131.13,2703000,0.0,0
2019-04-08,131.19,131.58,129.83,131.49,2123800,0.0,0
2019-04-09,130.77,132.07,130.57,131.37,2063400,0.0,0
2019-04-10,131.48,131.99,130.89,131.04,1634200,0.0,0
2019-04-11,131.3,131.43,130.39,130.97,1451900,0.0,0
2019-04-12,131.19,132.06,130.56,131.17,2187500,0.0,0
2019-04-15,131.15,131.47,129.23,130.04,2447700,0.0,0
2019-04-16,130.96,131.24,127.37,127.73,3125800,0.0,0
2019-04-17,128.66,129.34,123.58,124.44,5906300,0.0,0
2019-04-18,127.79,129.26,124.85,126.33,5793700,0.0,0
2019-04-22,125.09,127.12,124.56,126.43,2732300,0.0,0
2019-04-23,125.05,128.21,124.41,127.33,3482200,0.0,0
2019-04-24,127.31,129.43,126.84,128.85,2607000,0.0,0
2019-04-25,128.31,130.31,127.69,129.93,2165400,0.0,0
2019-04-26,130.5,130.95,129.34,130.47,1705900,0.0,0
2019-04-29,130.53,131.48,129.69,130.86,2343300,0.0,0
2019-04-30,131.25,132.29,130.27,131.98,2565100,0.0,0
2019-05-01,132.2,132.22,130.65,131.1,1811800,0.0,0
2019-05-02,131.28,133.09,130.76,133.04,1702500,0.0,0
2019-05-03,133.52,134.2,132.75,134.11,2315100,0.0,0
2019-05-06,131.7,133.59,131.65,133.32,2746000,0.0,0
2019-05-07,132.63,132.63,129.27,130.27,2261600,0.0,0
2019-05-08,130.38,132.51,129.92,131.26,2371200,0.0,0
2019-05-09,129.86,130.97,129.38,130.88,2184900,0.0,0
2019-05-10,130.5,131.81,128.47,131.22,1587600,0.0,0
2019-05-13,128.99,129.83,127.86,129.01,2323700,0.0,0
2019-05-14,129.43,131.38,129.3,130.29,1759500,0.0,0
2019-05-15,129.27,131.08,128.53,130.59,1649300,0.0,0
2019-05-16,131.28,132.68,130.9,131.81,2303700,0.0,0
2019-05-17,130.4,132.43,130.4,130.64,2729500,0.0,0
2019-05-20,129.73,130.48,128.94,129.86,2548400,0.0,0
2019-05-21,130.84,131.64,129.75,129.76,2871400,0.0,0
2019-05-22,129.91,131.67,129.64,131.28,1923800,0.0,0
2019-05-23,130.29,131.26,129.77,131.17,1664600,0.0,0
2019-05-24,132.18,132.77,131.34,131.58,1789600,0.0,0
2019-05-28,132.18,133.64,129.44,129.68,3548100,0.0,0
2019-05-29,129.49,130.12,128.71,129.83,1803400,0.0,0
2019-05-30,129.81,132.12,129.67,131.98,1991500,0.0,0
2019-05-31,131.14,132.37,130.29,131.55,1991900,0.0,0
2019-06-03,131.74,133.35,130.75,131.46,2306700,0.0,0
2019-06-04,133.24,133.24,131.39,131.99,3340000,0.0,0
2019-06-05,133.22,134.35,132.27,133.73,3029600,0.0,0
2019-06-06,133.79,135.33,133.4,134.45,2142000,0.0,0
2019-06-07,135.31,137.37,134.76,137.04,2381500,0.0,0
2019-06-10,137.71,138.5,136.54,137.49,1755600,0.0,0
2019-06-11,138.24,138.99,135.72,137.43,1747200,0.0,0
2019-06-12,137.5,138.5,137.38,138.29,1825400,0.0,0
2019-06-13,138.61,138.97,137.89,138.93,1527500,0.0,0
2019-06-14,138.93,139.76,138.6,139.14,2297200,0.0,0
2019-06-17,139.5,139.74,138.17,138.86,2199600,0.0,0
2019-06-18,139.97,141.05,139.13,140.52,1830100,0.0,0
2019-06-19,140.26,142.68,140.26,142.04,1923100,0.0,0
2019-06-20,143.43,144.07,142.13,143.15,2053700,0.0,0
2019-06-21,142.8,143.58,142.07,143.23,3016100,0.0,0
2019-06-24,143.13,143.59,141.62,141.65,2170600,0.0,0
2019-06-25,141.93,143.09,141.31,141.7,2333800,0.0,0
2019-06-26,141.51,141.99,139.34,140.42,2317400,0.0,0
2019-06-27,141.44,141.77,140.29,141.66,1616100,0.17,0
2019-06-28,141.66,142.78,140.41,142.59,3777800,0.0,0
2019-07-01,143.71,144.55,143.03,143.67,1516400,0.0,0
2019-07-02,144.08,144.18,142.67,143.81,1770900,0.0,0
2019-07-03,144.21,145.01,143.86,144.98,1453400,0.0,0
2019-07-05,144.24,145.17,142.78,144.12,1124700,0.0,0
2019-07-08,143.64,143.67,142.32,143.29,1955000,0.0,0
2019-07-09,142.75,142.98,141.77,141.96,2502000,0.0,0
2019-07-10,142.4,143.29,142.23,142.27,2352300,0.0,0
2019-07-11,142.86,142.9,141.64,142.38,2320100,0.0,0
2019-07-12,142.07,142.31,139.19,139.71,4283800,0.0,0
2019-07-15,140.06,141.04,139.21,140.79,2434100,0.0,0
2019-07-16,141.13,141.41,139.38,139.51,2178600,0.0,0
2019-07-17,140.07,141.0,139.11,139.33,2755200,0.0,0
2019-07-18,141.13,143.67,140.55,142.67,4990100,0.0,0
2019-07-19,143.17,143.37,141.11,141.29,3821800,0.0,0
2019-07-22,141.68,141.99,140.71,141.3,2391200,0.0,0
2019-07-23,141.54,142.53,141.19,142.18,3298400,0.0,0
2019-07-24,142.11,142.55,140.73,142.36,2946300,0.0,0
2019-07-25,142.27,143.38,141.46,142.88,1317600,0.0,0
2019-07-26,143.71,143.81,141.64,141.95,1567800,0.0,0
2019-07-29,142.02,142.86,141.32,142.35,1468000,0.0,0
2019-07-30,141.66,142.75,141.14,142.37,2040900,0.0,0
2019-07-31,142.16,142.45,138.95,140.18,1986400,0.0,0
2019-08-01,140.52,142.03,138.82,139.9,2489800,0.0,0
2019-08-02,139.96,140.11,138.31,138.87,2021200,0.0,0
2019-08-05,136.86,137.64,133.8,135.39,2780300,0.0,0
2019-08-06,135.98,137.93,135.48,137.91,2984100,0.0,0
2019-08-07,135.98,138.36,134.19,137.88,2064600,0.0,0
2019-08-08,138.77,140.75,138.29,140.57,1870000,0.0,0
2019-08-09,140.43,141.19,138.87,139.99,1306800,0.0,0
2019-08-12,139.24,140.4,137.71,138.09,1047600,0.0,0
2019-08-13,137.4,141.12,137.4,140.22,1675900,0.0,0
2019-08-14,138.81,139.92,135.98,136.05,2390700,0.0,0
2019-08-15,137.42,139.08,136.17,136.88,2248300,0.0,0
2019-08-16,138.25,140.23,137.56,140.03,1988700,0.0,0
2019-08-19,141.5,141.81,139.91,141.39,1604200,0.0,0
2019-08-20,141.59,142.17,139.68,139.75,1551900,0.0,0
2019-08-21,141.08,141.26,138.88,140.0,1458500,0.0,0
2019-08-22,140.43,141.23,138.45,139.24,1244600,0.0,0
2019-08-23,139.2,139.88,134.23,135.09,2258800,0.0,0
2019-08-26,136.07,136.64,134.66,136.09,1461700,0.0,0
2019-08-27,137.66,138.48,136.7,137.93,3026100,0.0,0
2019-08-28,137.12,139.47,136.94,139.17,1636100,0.0,0
2019-08-29,140.32,141.95,139.73,141.36,2204200,0.0,0
2019-08-30,142.49,143.05,140.9,141.76,1960300,0.0,0
2019-09-03,140.23,140.68,138.65,139.55,1920700,0.0,0
2019-09-04,140.16,141.68,139.12,139.94,1564700,0.0,0
2019-09-05,141.56,143.12,140.67,142.62,2231500,0.0,0
2019-09-06,143.26,144.6,142.79,144.0,1712100,0.0,0
2019-09-09,143.77,143.94,138.76,139.04,2026400,0.0,0
2019-09-10,137.97,138.04,133.53,136.28,3862300,0.0,0
2019-09-11,136.24,139.44,135.17,139.18,2860800,0.0,0
2019-09-12,140.04,141.82,139.79,141.42,2180700,0.0,0
2019-09-13,141.07,142.42,139.7,140.7,2151700,0.0,0
2019-09-16,140.01,141.33,139.25,140.33,2313200,0.0,0
2019-09-17,140.33,142.38,140.2,142.0,1818000,0.0,0
2019-09-18,142.06,144.43,141.51,143.62,2610100,0.0,0
2019-09-19,143.67,146.59,143.57,145.42,2621800,0.0,0
2019-09-20,146.32,146.99,145.5,146.13,5103500,0.0,0
2019-09-23,144.97,146.01,143.88,144.27,1799500,0.0,0
2019-09-24,145.04,145.86,142.74,144.22,3075800,0.0,0
2019-09-25,143.83,144.37,142.34,143.62,2088500,0.0,0
2019-09-26,144.7,144.82,141.58,142.6,1838600,0.17,0
2019-09-27,143.08,143.45,140.59,141.4,1666200,0.0,0
2019-09-30,142.07,144.99,141.67,144.27,2181100,0.0,0
2019-10-01,144.09,145.2,141.6,141.76,1679800,0.0,0
2019-10-02,140.37,140.92,136.32,136.96,2869800,0.0,0
2019-10-03,136.6,138.69,135.18,138.66,1907200,0.0,0
2019-10-04,139.21,141.57,139.06,141.49,1916200,0.0,0
2019-10-07,140.56,140.97,139.5,139.53,1839200,0.0,0
2019-10-08,138.24,138.5,134.27,135.47,2725800,0.0,0
2019-10-09,136.81,137.6,136.06,137.05,1629700,0.0,0
2019-10-10,136.41,139.27,136.04,138.61,1783700,0.0,0
2019-10-11,139.99,141.83,138.54,138.57,1950400,0.0,0
2019-10-14,139.67,139.84,138.27,138.65,1100300,0.0,0
2019-10-15,139.55,140.54,137.44,137.44,2088000,0.0,0
2019-10-16,137.05,138.33,136.76,137.24,2112900,0.0,0
2019-10-17,137.82,138.35,137.44,137.62,1029100,0.0,0
2019-10-18,137.28,138.43,136.86,137.86,1434300,0.0,0
2019-10-21,138.54,138.75,137.37,138.08,1347000,0.0,0
2019-10-22,138.2,139.58,136.82,136.93,1830300,0.0,0
2019-10-23,137.53,138.85,137.25,138.3,2395700,0.0,0
2019-10-24,137.53,138.18,135.54,136.29,2781000,0.0,0
2019-10-25,135.58,136.16,134.93,135.72,2365200,0.0,0
2019-10-28,136.13,137.36,135.87,136.06,1945500,0.0,0
2019-10-29,135.69,138.56,135.63,137.12,2352500,0.0,0
2019-10-30,137.26,138.66,136.65,138.1,3171600,0.0,0
2019-10-31,138.05,138.55,136.51,137.67,2537400,0.0,0
2019-11-01,138.57,139.18,136.38,136.42,2298400,0.0,0
2019-11-04,137.41,137.84,135.05,135.07,2174500,0.0,0
2019-11-05,135.02,135.4,132.73,133.32,3161500,0.0,0
2019-11-06,133.72,134.9,133.2,134.71,2569800,0.0,0
2019-11-07,134.69,135.07,133.92,134.35,2543300,0.0,0
2019-11-08,134.56,135.47,134.22,135.08,1662400,0.0,0
2019-11-11,134.5,135.59,134.02,134.37,1099500,0.0,0
2019-11-12,134.52,136.14,134.38,135.39,1530800,0.0,0
2019-11-13,135.14,137.55,134.31,136.9,4636300,0.0,0
2019-11-14,136.69,136.99,134.98,136.0,2158400,0.0,0
2019-11-15,139.11,142.87,138.82,142.83,13746200,0.0,0
2019-11-18,142.44,142.91,139.95,140.07,5222300,0.0,0
2019-11-19,140.0,143.64,139.1,143.44,7171300,0.0,0
2019-11-20,142.91,143.66,142.28,142.8,6078500,0.0,0
2019-11-21,142.45,143.12,140.89,143.02,6931100,0.0,0
2019-11-22,143.43,143.69,142.3,143.16,4440900,0.0,0
2019-11-25,143.83,144.84,143.49,144.78,4892000,0.0,0
2019-11-26,144.84,146.24,144.58,145.82,8609800,0.0,0
2019-11-27,146.15,147.04,145.61,146.43,8756100,0.0,0
2019-11-29,146.5,146.84,145.05,145.82,1997900,0.0,0
2019-12-02,146.33,146.52,143.91,145.53,8350400,0.0,0
2019-12-03,144.37,146.83,143.95,146.53,9678100,0.0,0
2019-12-04,146.74,149.44,145.81,147.15,15413500,0.0,0
2019-12-05,146.78,147.14,145.35,147.03,15095700,0.0,0
2019-12-06,147.55,148.77,146.63,148.06,22420000,0.0,0
2019-12-09,148.31,149.14,147.11,147.37,34785200,0.0,0
2019-12-10,147.72,148.77,146.08,148.67,40697000,0.0,0
2019-12-11,149.23,150.3,148.03,149.5,53190400,0.0,0
