Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,26.34,26.82,26.23,26.68,6061000,0,0
2019-03-22,26.56,26.87,26.08,26.67,4861500,0,0
2019-03-25,26.84,27.79,26.65,27.11,4043200,0,0
2019-03-26,27.21,28.1,27.1,27.64,4641000,0,0
2019-03-27,27.66,27.96,27.46,27.58,2636800,0,0
2019-03-28,27.6,27.87,26.87,26.91,1964000,0,0
2019-03-29,27.0,27.15,26.75,27.02,4493600,0,0
2019-04-01,27.47,28.07,27.4,27.75,4004200,0,0
2019-04-02,27.79,27.85,27.29,27.39,3380900,0,0
2019-04-03,27.58,28.15,27.35,27.87,3377500,0,0
2019-04-04,27.87,28.92,27.87,28.88,3607500,0,0
2019-04-05,29.0,29.91,28.99,29.48,4464100,0,0
2019-04-08,29.42,29.48,28.82,28.87,3871900,0,0
2019-04-09,28.89,28.97,28.58,28.84,2337500,0,0
2019-04-10,28.78,31.0,28.73,30.59,10635700,0,0
2019-04-11,30.78,31.34,30.06,30.19,6015700,0,0
2019-04-12,30.28,30.8,29.65,30.02,5015800,0,0
2019-04-15,29.95,30.22,29.86,30.05,2287700,0,0
2019-04-16,30.16,30.45,29.8,29.98,2084700,0,0
2019-04-17,30.1,30.59,30.0,30.41,2886100,0,0
2019-04-18,30.6,30.65,30.05,30.13,2685400,0,0
2019-04-22,30.13,30.13,28.85,29.12,3814000,0,0
2019-04-23,29.06,29.79,29.06,29.47,4026500,0,0
2019-04-24,28.85,30.52,28.85,30.38,4505700,0,0
2019-04-25,30.3,30.72,29.53,30.37,3674700,0,0
2019-04-26,30.4,31.53,30.38,31.51,4524600,0,0
2019-04-29,31.54,32.06,31.36,31.63,4569100,0,0
2019-04-30,31.65,31.85,30.72,30.9,4050600,0,0
2019-05-01,30.9,31.29,30.58,30.89,4534800,0,0
2019-05-02,31.73,31.85,28.84,29.26,8866700,0,0
2019-05-03,29.45,29.71,29.03,29.34,5192400,0,0
2019-05-06,28.99,29.45,28.7,29.14,3645700,0,0
2019-05-07,28.88,29.41,28.52,28.69,4053500,0,0
2019-05-08,28.55,29.11,28.45,28.92,6335600,0,0
2019-05-09,28.8,28.88,27.95,28.45,5160600,0,0
2019-05-10,28.4,28.5,27.74,28.46,5222900,0,0
2019-05-13,28.05,28.3,27.31,27.34,3771800,0,0
2019-05-14,27.38,28.02,27.38,27.74,3332800,0,0
2019-05-15,27.7,28.04,27.42,27.75,4904800,0,0
2019-05-16,27.93,28.01,27.5,27.88,5071500,0,0
2019-05-17,27.66,27.91,27.45,27.87,3423600,0,0
2019-05-20,27.65,27.71,27.15,27.31,3492800,0,0
2019-05-21,27.43,28.09,27.41,28.01,4551400,0,0
2019-05-22,27.94,28.08,27.39,27.42,3044700,0,0
2019-05-23,27.18,27.33,26.82,27.24,2755300,0,0
2019-05-24,27.42,27.47,26.98,27.14,2556200,0,0
2019-05-28,27.29,28.02,27.28,27.92,5389300,0,0
2019-05-29,27.74,28.1,27.23,27.47,3593800,0,0
2019-05-30,27.44,27.89,27.05,27.13,3128700,0,0
2019-05-31,27.17,27.7,27.03,27.26,3633600,0,0
2019-06-03,27.25,27.85,27.0,27.32,4131900,0,0
2019-06-04,27.56,28.69,27.56,28.62,4954600,0,0
2019-06-05,28.49,28.75,27.8,28.05,4172500,0,0
2019-06-06,28.07,28.42,28.0,28.38,2844600,0,0
2019-06-07,28.5,28.88,28.38,28.42,2563000,0,0
2019-06-10,28.52,28.68,28.18,28.25,2317500,0,0
2019-06-11,28.45,29.07,28.36,28.97,4220900,0,0
2019-06-12,29.0,29.54,28.87,29.23,2551600,0,0
2019-06-13,29.42,29.91,29.18,29.89,4069300,0,0
2019-06-14,29.35,29.41,28.89,29.02,5004700,0,0
2019-06-17,29.11,29.65,28.64,29.52,2808500,0,0
2019-06-18,29.65,29.97,29.42,29.65,4151900,0,0
2019-06-19,29.82,30.6,29.73,30.5,3949800,0,0
2019-06-20,30.63,30.98,30.43,30.93,3931100,0,0
2019-06-21,30.88,31.06,30.56,30.69,5349500,0,0
2019-06-24,30.63,31.04,30.52,31.01,2859200,0,0
2019-06-25,31.12,31.12,29.75,29.93,4453100,0,0
2019-06-26,30.02,30.23,29.49,29.52,3711900,0,0
2019-06-27,29.59,29.8,29.18,29.74,2068900,0,0
2019-06-28,29.98,30.73,29.86,30.7,3747500,0,0
2019-07-01,31.06,31.24,30.03,30.68,3806400,0,0
2019-07-02,30.73,31.18,30.56,30.88,3813600,0,0
2019-07-03,31.02,31.31,30.81,30.9,1680800,0,0
2019-07-05,30.71,31.31,30.61,31.26,1967800,0,0
2019-07-08,31.25,31.33,30.99,31.3,2533200,0,0
2019-07-09,31.15,31.93,31.14,31.63,3252600,0,0
2019-07-10,31.87,31.93,31.23,31.65,3323000,0,0
2019-07-11,31.8,31.82,31.43,31.62,3289100,0,0
2019-07-12,31.72,32.7,31.5,32.41,4959300,0,0
2019-07-15,32.53,32.71,32.18,32.38,15071500,0,0
2019-07-16,32.44,32.87,32.24,32.57,4304100,0,0
2019-07-17,32.52,32.53,31.78,31.8,1861500,0,0
2019-07-18,31.8,31.8,31.18,31.32,2349700,0,0
2019-07-19,31.38,31.65,31.26,31.46,1993700,0,0
2019-07-22,31.46,31.62,30.93,30.98,2364500,0,0
2019-07-23,31.03,31.13,30.33,30.89,3757100,0,0
2019-07-24,30.71,31.56,30.43,31.49,3706900,0,0
2019-07-25,31.28,31.58,31.13,31.46,2631300,0,0
2019-07-26,31.54,31.69,31.2,31.47,2806700,0,0
2019-07-29,31.5,31.55,30.93,31.08,2508500,0,0
2019-07-30,30.87,31.11,30.63,31.02,4336800,0,0
2019-07-31,30.94,31.05,30.03,30.31,4103100,0,0
2019-08-01,30.28,30.62,29.73,29.94,3718700,0,0
2019-08-02,29.79,29.94,28.73,29.43,5964800,0,0
2019-08-05,28.83,29.41,28.65,29.18,7176500,0,0
2019-08-06,29.97,30.23,29.2,29.54,5895300,0,0
2019-08-07,29.34,29.95,28.89,29.86,5531900,0,0
2019-08-08,29.99,30.29,29.48,29.67,3685100,0,0
2019-08-09,29.49,29.61,29.03,29.46,3134900,0,0
2019-08-12,29.23,29.62,29.2,29.25,3522300,0,0
2019-08-13,29.12,30.23,29.12,29.6,4308300,0,0
2019-08-14,29.17,29.2,27.36,27.49,7318600,0,0
2019-08-15,27.57,27.7,26.7,27.17,7293100,0,0
2019-08-16,27.39,28.12,27.28,27.95,3017800,0,0
2019-08-19,28.26,28.77,28.26,28.42,2958500,0,0
2019-08-20,28.49,28.62,28.18,28.21,2205200,0,0
2019-08-21,27.94,28.44,27.66,28.28,2688400,0,0
2019-08-22,28.33,28.6,28.03,28.03,2636500,0,0
2019-08-23,27.89,28.08,26.88,27.01,3137500,0,0
2019-08-26,27.13,27.48,27.05,27.2,3269400,0,0
2019-08-27,27.49,27.49,26.44,26.47,3259700,0,0
2019-08-28,26.33,27.03,26.21,26.94,4328000,0,0
2019-08-29,27.19,28.12,27.19,27.73,3727300,0,0
2019-08-30,27.84,28.12,27.4,27.6,3163900,0,0
2019-09-03,27.32,27.51,26.73,26.89,5009000,0,0
2019-09-04,27.08,27.36,26.57,27.04,4598100,0,0
2019-09-05,27.33,27.52,27.14,27.4,2984600,0,0
2019-09-06,27.51,27.93,27.32,27.34,2166500,0,0
2019-09-09,27.32,27.65,27.21,27.3,3901400,0,0
2019-09-10,27.34,28.46,27.34,28.43,4404400,0,0
2019-09-11,28.37,28.58,27.74,28.55,3260800,0,0
2019-09-12,28.49,28.54,27.6,28.11,3530900,0,0
2019-09-13,28.2,28.63,27.83,27.89,2909700,0,0
2019-09-16,27.88,27.97,27.56,27.97,1925600,0,0
2019-09-17,27.8,27.83,26.8,27.2,6628300,0,0
2019-09-18,27.05,27.25,26.49,27.21,5576600,0,0
2019-09-19,27.23,27.46,26.59,26.67,3122600,0,0
2019-09-20,26.83,26.83,26.22,26.23,4448800,0,0
2019-09-23,26.19,26.62,25.9,26.58,2991600,0,0
2019-09-24,27.12,27.12,26.12,26.42,4319200,0,0
2019-09-25,26.36,26.92,26.22,26.69,4245900,0,0
