Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,29.26,29.89,29.16,29.89,1761600,0.0,0
2019-03-22,29.92,30.14,29.81,29.87,2548000,0.0,0
2019-03-25,29.88,30.02,29.67,29.85,1233600,0.0,0
2019-03-26,29.92,30.04,29.81,29.96,1283300,0.0,0
2019-03-27,29.93,30.04,29.67,29.77,1604800,0.0,0
2019-03-28,29.74,30.03,29.7,30.02,1450100,0.0,0
2019-03-29,30.05,30.05,29.71,29.78,2182800,0.0,0
2019-04-01,29.85,30.04,29.49,29.97,1732100,0.0,0
2019-04-02,29.98,30.17,29.76,30.13,3415900,0.0,0
2019-04-03,30.1,30.26,29.87,30.06,1988000,0.0,0
2019-04-04,30.16,30.16,29.83,29.99,1462700,0.0,0
2019-04-05,29.94,30.19,29.88,30.16,1746200,0.0,0
2019-04-08,30.19,30.22,29.78,29.85,2114000,0.0,0
2019-04-09,29.83,29.89,29.55,29.6,4279400,0.0,0
2019-04-10,29.74,30.03,29.6,30.02,3332000,0.0,0
2019-04-11,30.16,30.26,29.7,29.82,3118500,0.0,0
2019-04-12,29.8,30.1,29.64,30.05,2286000,0.0,0
2019-04-15,30.08,30.11,29.7,29.81,1169600,0.0,0
2019-04-16,29.83,29.9,28.93,29.12,1984400,0.0,0
2019-04-17,29.22,29.22,28.82,28.93,1472200,0.0,0
2019-04-18,28.94,29.38,28.91,29.34,1546500,0.0,0
2019-04-22,29.31,29.31,28.71,28.95,1383100,0.0,0
2019-04-23,29.08,29.47,29.03,29.46,993600,0.0,0
2019-04-24,29.62,29.79,29.43,29.76,1730500,0.0,0
2019-04-25,29.64,30.15,29.64,30.01,2061800,0.0,0
2019-04-26,30.17,30.22,29.94,30.09,1429000,0.0,0
2019-04-29,30.02,30.18,29.86,29.87,1214100,0.0,0
2019-04-30,29.89,30.33,29.75,30.3,2004600,0.0,0
2019-05-01,30.32,30.86,30.27,30.62,2924700,0.0,0
2019-05-02,30.63,30.84,30.26,30.34,2120300,0.0,0
2019-05-03,30.52,30.59,30.26,30.56,1025700,0.0,0
2019-05-06,30.32,30.47,30.11,30.27,1148600,0.0,0
2019-05-07,30.16,30.19,29.27,29.51,1809700,0.0,0
2019-05-08,29.51,29.72,29.37,29.39,1398200,0.0,0
2019-05-09,29.34,29.67,29.06,29.65,1860300,0.0,0
2019-05-10,29.62,29.91,29.45,29.88,1315000,0.0,0
2019-05-13,29.61,29.75,29.44,29.63,1535300,0.0,0
2019-05-14,29.63,29.78,29.54,29.64,2087400,0.0,0
2019-05-15,29.62,30.11,29.52,29.97,1495500,0.215,0
2019-05-16,29.98,30.33,29.89,30.15,1455400,0.0,0
2019-05-17,29.98,30.16,29.81,30.14,1971400,0.0,0
2019-05-20,30.12,30.17,29.55,29.69,1437600,0.0,0
2019-05-21,29.82,30.22,29.79,30.2,1476600,0.0,0
2019-05-22,30.14,30.23,29.98,30.16,1431800,0.0,0
2019-05-23,30.07,30.14,29.96,30.14,1291700,0.0,0
2019-05-24,30.25,30.44,30.07,30.11,1638200,0.0,0
2019-05-28,30.24,30.36,30.0,30.02,2951900,0.0,0
2019-05-29,29.96,30.07,29.31,29.39,2518500,0.0,0
2019-05-30,29.42,29.66,29.22,29.42,2030100,0.0,0
2019-05-31,29.32,29.68,29.11,29.51,1818400,0.0,0
2019-06-03,29.65,29.96,29.49,29.9,1918700,0.0,0
2019-06-04,30.02,30.02,29.29,29.86,2227600,0.0,0
2019-06-05,30.07,30.65,29.97,30.65,1728700,0.0,0
2019-06-06,30.72,30.92,30.51,30.9,1459200,0.0,0
2019-06-07,31.09,31.25,30.81,30.85,1730800,0.0,0
2019-06-10,30.85,30.89,30.54,30.74,928300,0.0,0
2019-06-11,30.82,30.87,30.52,30.81,1270400,0.0,0
2019-06-12,30.84,31.13,30.8,31.03,1485000,0.0,0
2019-06-13,31.04,31.25,31.03,31.2,1112000,0.0,0
2019-06-14,31.16,31.28,31.01,31.14,2297200,0.0,0
2019-06-17,31.26,31.52,31.19,31.52,1468500,0.0,0
2019-06-18,31.68,31.78,31.2,31.45,1746700,0.0,0
2019-06-19,31.34,31.76,31.21,31.66,1513200,0.0,0
2019-06-20,31.82,31.96,31.69,31.8,1578500,0.0,0
2019-06-21,31.71,31.72,31.27,31.29,3930000,0.0,0
2019-06-24,31.42,31.46,31.1,31.21,1552400,0.0,0
2019-06-25,31.26,31.47,30.7,30.72,1483100,0.0,0
2019-06-26,30.77,30.77,30.11,30.22,2387200,0.0,0
2019-06-27,30.58,30.81,30.51,30.61,1907300,0.0,0
2019-06-28,30.59,31.02,30.59,31.0,3390100,0.0,0
2019-07-01,31.25,31.29,30.57,31.19,1910600,0.0,0
2019-07-02,31.28,31.73,31.24,31.64,1948100,0.0,0
2019-07-03,31.72,32.03,31.7,31.99,1027200,0.0,0
2019-07-05,31.86,32.06,31.35,31.98,1166400,0.0,0
2019-07-08,31.94,32.22,31.92,32.15,1542300,0.0,0
2019-07-09,32.13,32.38,32.06,32.35,2183800,0.0,0
2019-07-10,32.48,32.6,32.25,32.55,1668400,0.0,0
2019-07-11,32.55,32.59,32.08,32.25,3061300,0.0,0
2019-07-12,32.27,32.35,31.97,32.3,1873300,0.0,0
2019-07-15,32.36,32.4,32.17,32.28,2353400,0.0,0
2019-07-16,32.27,32.68,32.13,32.6,2653600,0.0,0
2019-07-17,32.66,32.77,32.25,32.57,1679100,0.0,0
2019-07-18,32.44,32.86,32.28,32.79,1456300,0.0,0
2019-07-19,32.85,32.91,32.12,32.32,2941300,0.0,0
2019-07-22,32.35,32.48,32.1,32.31,1374600,0.0,0
2019-07-23,32.36,32.64,32.18,32.6,1345100,0.0,0
2019-07-24,32.6,32.67,32.34,32.66,1278100,0.0,0
2019-07-25,32.7,32.77,32.42,32.58,1008200,0.0,0
2019-07-26,32.59,32.89,32.55,32.81,1996200,0.0,0
2019-07-29,32.9,33.07,32.66,32.83,1594100,0.0,0
2019-07-30,32.83,33.18,32.78,33.03,2611800,0.0,0
2019-07-31,32.84,33.16,32.65,32.69,4885100,0.0,0
2019-08-01,32.73,32.94,32.16,32.37,2007700,0.0,0
2019-08-02,32.3,32.44,32.15,32.26,1732000,0.0,0
2019-08-05,31.98,32.02,31.04,31.46,2724700,0.0,0
2019-08-06,31.66,32.16,31.45,32.11,1744600,0.0,0
2019-08-07,31.96,32.33,31.62,32.04,1974000,0.0,0
2019-08-08,32.15,32.7,31.82,32.67,1714100,0.0,0
2019-08-09,32.56,32.65,32.2,32.54,1815000,0.0,0
2019-08-12,32.52,32.7,32.33,32.41,1115900,0.0,0
2019-08-13,32.43,32.7,32.23,32.52,1240000,0.0,0
2019-08-14,32.35,32.52,32.12,32.17,2350700,0.215,0
2019-08-15,32.26,32.6,32.13,32.49,1664500,0.0,0
2019-08-16,32.57,32.93,32.42,32.83,1681500,0.0,0
2019-08-19,33.09,33.33,32.81,33.2,1445800,0.0,0
2019-08-20,33.23,33.25,32.52,32.53,1856800,0.0,0
2019-08-21,32.68,32.91,32.55,32.75,1677700,0.0,0
2019-08-22,32.81,33.03,32.62,33.01,1986400,0.0,0
2019-08-23,33.0,33.15,32.32,32.41,1477700,0.0,0
2019-08-26,32.63,32.73,32.36,32.71,879700,0.0,0
2019-08-27,32.91,33.07,32.46,32.48,1656700,0.0,0
2019-08-28,32.48,32.76,32.38,32.66,1135600,0.0,0
2019-08-29,32.86,33.02,32.75,32.87,837700,0.0,0
2019-08-30,32.91,33.0,32.74,32.84,1539700,0.0,0
2019-09-03,32.59,33.1,32.56,33.03,1249200,0.0,0
2019-09-04,33.29,33.38,33.05,33.3,1691400,0.0,0
2019-09-05,33.26,33.33,32.85,32.97,1792400,0.0,0
2019-09-06,33.03,33.13,32.69,32.89,2010900,0.0,0
2019-09-09,33.05,33.05,32.55,32.73,1479700,0.0,0
2019-09-10,32.59,32.59,31.67,31.87,2863800,0.0,0
2019-09-11,31.81,31.9,31.49,31.71,2564200,0.0,0
2019-09-12,32.04,32.2,31.82,31.97,2178300,0.0,0
2019-09-13,31.96,32.34,31.58,31.84,1764000,0.0,0
2019-09-16,31.89,32.52,31.79,32.51,1636800,0.0,0
2019-09-17,32.54,33.01,32.4,33.0,2224500,0.0,0
2019-09-18,33.05,33.09,32.47,32.84,3285500,0.0,0
2019-09-19,32.89,33.11,32.77,32.93,3089200,0.0,0
2019-09-20,32.99,33.12,32.81,32.92,3727200,0.0,0
2019-09-23,32.8,33.2,32.37,33.06,1454000,0.0,0
2019-09-24,33.18,33.34,32.91,33.09,2491400,0.0,0
2019-09-25,32.93,33.31,32.93,33.23,2963400,0.0,0
2019-09-26,33.38,33.7,33.11,33.66,1780700,0.0,0
2019-09-27,33.76,33.8,33.31,33.6,2178700,0.0,0
2019-09-30,33.57,33.8,33.52,33.53,2147400,0.0,0
2019-10-01,33.48,33.59,33.04,33.22,2303200,0.0,0
2019-10-02,33.11,33.38,33.07,33.34,2077300,0.0,0
2019-10-03,33.32,33.8,33.27,33.67,2102200,0.0,0
2019-10-04,33.77,34.0,33.67,33.82,2152700,0.0,0
2019-10-07,33.45,33.72,33.29,33.39,2345000,0.0,0
2019-10-08,33.28,33.63,32.98,33.37,2213400,0.0,0
2019-10-09,33.6,33.68,33.02,33.1,1470700,0.0,0
2019-10-10,33.03,33.15,32.86,32.9,2442700,0.0,0
2019-10-11,33.02,33.25,32.87,33.12,3303100,0.0,0
2019-10-14,33.12,33.12,32.75,32.92,1560400,0.0,0
2019-10-15,32.9,33.1,32.77,33.08,1953900,0.0,0
2019-10-16,33.0,33.11,32.75,33.03,2599100,0.0,0
2019-10-17,33.03,33.51,32.98,33.5,2511100,0.0,0
2019-10-18,33.52,33.6,33.29,33.53,1721800,0.0,0
2019-10-21,33.51,33.87,33.46,33.85,1003900,0.0,0
2019-10-22,33.94,33.94,33.46,33.61,1358500,0.0,0
2019-10-23,33.61,33.8,33.42,33.75,1978900,0.0,0
2019-10-24,33.83,34.05,33.66,34.02,2242800,0.0,0
2019-10-25,34.07,34.15,33.87,34.11,2172200,0.0,0
2019-10-28,34.24,34.97,34.24,34.8,6420400,0.0,0
2019-10-29,34.75,35.26,34.63,34.69,3105200,0.0,0
2019-10-30,34.83,35.12,34.71,35.03,2921800,0.0,0
2019-10-31,35.4,35.58,34.65,34.69,3160500,0.0,0
2019-11-01,34.78,34.88,34.44,34.88,3090000,0.0,0
2019-11-04,34.88,35.09,34.61,34.9,2503400,0.0,0
2019-11-05,34.76,34.82,34.18,34.26,2174800,0.0,0
2019-11-06,34.37,34.6,34.21,34.45,2211800,0.0,0
2019-11-07,34.42,34.44,34.03,34.17,2078300,0.0,0
2019-11-08,34.1,34.36,34.05,34.14,1688500,0.0,0
2019-11-11,34.22,34.43,34.03,34.31,1630100,0.0,0
2019-11-12,34.29,34.75,34.27,34.45,2875900,0.0,0
2019-11-13,34.51,34.77,34.35,34.62,1755000,0.235,0
2019-11-14,34.72,34.84,34.55,34.77,1958700,0.0,0
2019-11-15,34.79,34.95,34.69,34.93,1746000,0.0,0
2019-11-18,34.98,35.08,34.77,34.86,2427800,0.0,0
2019-11-19,34.83,35.2,34.7,35.11,1788100,0.0,0
2019-11-20,35.05,35.19,34.85,34.97,1245700,0.0,0
2019-11-21,34.88,34.88,34.49,34.55,1907400,0.0,0
2019-11-22,34.63,34.64,34.19,34.42,996000,0.0,0
2019-11-25,34.49,34.68,34.24,34.3,2852900,0.0,0
2019-11-26,34.35,35.03,34.3,35.03,5622800,0.0,0
2019-11-27,34.99,35.11,34.8,35.06,1811800,0.0,0
2019-11-29,35.06,35.22,34.92,34.96,1382800,0.0,0
2019-12-02,34.94,34.94,34.38,34.42,2444600,0.0,0
2019-12-03,34.34,34.68,34.34,34.52,3287000,0.0,0
2019-12-04,34.47,35.02,34.39,34.85,2175300,0.0,0
2019-12-05,34.78,35.02,34.58,35.01,2599200,0.0,0
2019-12-06,35.02,35.23,34.92,34.95,1411200,0.0,0
2019-12-09,34.95,34.96,34.66,34.93,1213300,0.0,0
2019-12-10,34.99,35.06,34.61,34.94,1444400,0.0,0
2019-12-11,35.0,35.04,34.48,34.6,1530300,0.0,0
2019-12-12,34.58,34.87,34.05,34.1,2735900,0.0,0
2019-12-13,34.09,34.27,33.68,34.0,2747700,0.0,0
2019-12-16,34.06,34.28,33.71,34.23,1995100,0.0,0
2019-12-17,34.32,34.36,33.74,33.85,1574400,0.0,0
2019-12-18,33.94,34.07,33.71,33.99,1527500,0.0,0
2019-12-19,33.96,34.07,33.84,34.07,1848200,0.0,0
2019-12-20,34.1,34.24,34.01,34.03,4280500,0.0,0
2019-12-23,34.19,34.27,33.75,33.81,1149700,0.0,0
2019-12-24,33.83,33.95,33.74,33.89,319500,0.0,0
2019-12-26,33.94,34.07,33.85,34.04,659800,0.0,0
2019-12-27,34.15,34.26,33.96,34.13,804800,0.0,0
2019-12-30,34.05,34.17,33.93,34.17,1085400,0.0,0
2019-12-31,34.2,34.46,34.11,34.45,2174100,0.0,0
2020-01-02,34.67,34.67,33.78,34.16,3052400,0.0,0
2020-01-03,33.91,34.82,33.89,34.78,3005300,0.0,0
2020-01-06,34.58,34.68,34.27,34.41,2952300,0.0,0
2020-01-07,34.11,34.29,33.77,34.19,1869600,0.0,0
2020-01-08,34.15,34.45,34.0,34.39,3240700,0.0,0
2020-01-09,34.35,34.44,34.16,34.22,2580600,0.0,0
2020-01-10,34.36,34.73,34.27,34.7,3677900,0.0,0
2020-01-13,34.71,35.18,34.68,35.15,2295800,0.0,0
2020-01-14,35.16,35.16,34.55,34.77,2590700,0.0,0
2020-01-15,34.83,35.16,34.83,34.93,2703300,0.0,0
2020-01-16,34.98,35.24,34.97,35.17,2277400,0.0,0
2020-01-17,35.2,35.46,35.12,35.45,2482900,0.0,0
2020-01-21,35.44,35.72,35.33,35.72,1890400,0.0,0
2020-01-22,35.83,35.91,35.32,35.39,2151600,0.0,0
2020-01-23,35.31,35.74,35.18,35.74,1927400,0.0,0
2020-01-24,35.79,36.05,35.66,35.88,1677300,0.0,0
2020-01-27,35.72,35.92,35.6,35.79,1648100,0.0,0
2020-01-28,35.78,36.09,35.68,36.0,1762700,0.0,0
2020-01-29,35.99,36.29,35.88,36.15,3189600,0.0,0
2020-01-30,35.97,36.68,35.97,36.5,2737200,0.0,0
2020-01-31,36.51,36.59,36.03,36.08,3875100,0.0,0
2020-02-03,36.25,36.25,35.9,36.08,2787900,0.0,0
2020-02-04,36.18,36.57,36.1,36.45,1754700,0.0,0
2020-02-05,36.45,36.66,36.3,36.46,1594400,0.0,0
2020-02-06,36.53,36.67,36.46,36.52,1596700,0.0,0
2020-02-07,36.63,36.68,36.35,36.4,1088800,0.0,0
2020-02-10,36.56,37.07,36.48,37.06,1653300,0.0,0
2020-02-11,37.25,37.43,37.09,37.39,1997200,0.0,0
2020-02-12,37.43,37.75,37.25,37.62,2573200,0.0,0
2020-02-13,37.63,38.0,37.6,37.94,1841000,0.235,0
2020-02-14,38.06,38.49,37.88,38.48,1532600,0.0,0
2020-02-18,38.54,38.58,38.09,38.52,2179400,0.0,0
2020-02-19,38.55,38.55,38.12,38.36,2146800,0.0,0
2020-02-20,38.34,38.75,38.13,38.67,2004900,0.0,0
2020-02-21,38.67,38.88,38.51,38.83,2879100,0.0,0
2020-02-24,38.34,38.45,37.67,37.72,2656200,0.0,0
2020-02-25,37.81,37.93,36.49,36.53,2579200,0.0,0
2020-02-26,36.55,37.13,36.18,36.2,3125400,0.0,0
2020-02-27,35.55,35.89,33.88,33.88,3217800,0.0,0
2020-02-28,33.13,33.15,31.47,32.47,6102700,0.0,0
2020-03-02,32.69,33.91,32.36,33.9,4391000,0.0,0
2020-03-03,34.04,35.0,33.65,34.12,4621300,0.0,0
2020-03-04,34.66,35.85,34.66,35.77,2324900,0.0,0
2020-03-05,34.88,35.41,34.22,34.64,2189700,0.0,0
2020-03-06,33.64,34.37,32.71,33.95,3146700,0.0,0
2020-03-09,32.4,32.98,31.13,31.16,4336300,0.0,0
2020-03-10,31.93,32.73,30.68,32.71,3869400,0.0,0
2020-03-11,31.77,31.77,30.16,30.36,3941800,0.0,0
2020-03-12,28.08,29.74,26.88,27.44,4101700,0.0,0
2020-03-13,28.96,31.9,27.67,31.88,3705500,0.0,0
2020-03-16,28.4,30.18,26.13,26.15,4889300,0.0,0
2020-03-17,26.94,29.69,25.61,29.11,3455300,0.0,0
2020-03-18,27.11,29.68,26.75,29.12,3934800,0.0,0
2020-03-19,28.39,29.95,27.5,28.23,4728200,0.0,0
