Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,110.26,113.24,109.3,112.8,3790600,0.0,0
2019-03-22,112.91,114.83,112.51,114.1,1957700,0.0,0
2019-03-25,114.31,115.73,114.05,115.33,1678700,0.0,0
2019-03-26,115.02,116.55,114.92,115.71,1404700,0.0,0
2019-03-27,115.61,116.11,115.0,115.63,1520200,0.0,0
2019-03-28,116.13,117.85,115.92,117.68,1319800,0.0,0
2019-03-29,118.23,118.89,117.34,118.01,1270100,0.0,0
2019-04-01,118.65,118.88,116.54,117.05,950700,0.0,0
2019-04-02,116.74,116.74,114.95,115.79,1374400,0.0,0
2019-04-03,116.56,116.56,114.64,115.08,1297900,0.0,0
2019-04-04,115.2,115.35,113.67,115.14,1063800,0.0,0
2019-04-05,115.48,115.99,115.05,115.59,1564800,0.0,0
2019-04-08,115.61,116.13,115.17,115.93,1185700,0.0,0
2019-04-09,115.42,115.61,114.3,114.42,779700,0.75,0
2019-04-10,114.51,115.03,113.48,114.4,789500,0.0,0
2019-04-11,114.38,114.88,113.22,113.75,1130200,0.0,0
2019-04-12,113.9,114.72,113.63,113.9,1039000,0.0,0
2019-04-15,113.84,113.9,112.98,113.26,853300,0.0,0
2019-04-16,113.7,114.13,112.2,113.16,879300,0.0,0
2019-04-17,113.08,113.28,111.28,111.87,1657700,0.0,0
2019-04-18,112.32,114.5,112.09,114.26,1632800,0.0,0
2019-04-22,113.77,114.67,113.65,114.21,1446100,0.0,0
2019-04-23,114.22,115.67,113.6,114.39,1395800,0.0,0
2019-04-24,114.35,115.83,114.13,115.3,828500,0.0,0
2019-04-25,115.21,116.93,114.99,116.49,1793700,0.0,0
2019-04-26,117.47,119.16,116.81,118.9,1565900,0.0,0
2019-04-29,119.02,119.16,117.08,117.64,1178100,0.0,0
2019-04-30,117.26,117.26,113.44,114.97,1617800,0.0,0
2019-05-01,114.75,115.01,112.88,112.95,1024700,0.0,0
2019-05-02,113.66,115.67,113.48,115.18,1764900,0.0,0
2019-05-03,115.5,115.8,114.44,115.05,945500,0.0,0
2019-05-06,113.84,116.24,113.43,116.03,997600,0.0,0
2019-05-07,115.42,117.03,115.42,116.79,1691700,0.0,0
2019-05-08,116.59,117.01,115.64,116.22,886900,0.0,0
2019-05-09,115.95,117.67,115.57,117.66,974800,0.0,0
2019-05-10,117.46,119.3,116.84,119.03,984300,0.0,0
2019-05-13,117.38,118.03,116.73,117.5,1015900,0.0,0
2019-05-14,117.49,119.3,117.4,118.33,1057900,0.0,0
2019-05-15,118.18,119.09,117.92,118.26,999200,0.0,0
2019-05-16,118.6,119.39,116.03,116.29,1405000,0.0,0
2019-05-17,115.39,117.87,115.39,117.18,1863500,0.0,0
2019-05-20,117.48,120.52,116.96,120.17,2044100,0.0,0
2019-05-21,120.46,122.53,120.35,121.99,1696900,0.0,0
2019-05-22,121.65,122.34,119.54,120.28,1781500,0.0,0
2019-05-23,120.16,120.35,116.97,118.06,1739000,0.0,0
2019-05-24,117.99,118.34,116.56,117.45,1232500,0.0,0
2019-05-28,118.03,118.29,115.44,115.49,2376500,0.0,0
2019-05-29,114.78,114.87,112.14,113.34,1746100,0.0,0
2019-05-30,113.2,115.52,113.07,115.02,949600,0.0,0
2019-05-31,114.08,114.83,113.32,113.72,1359700,0.0,0
2019-06-03,113.42,114.05,112.81,113.85,1402000,0.0,0
2019-06-04,114.44,116.9,114.24,115.39,1633700,0.0,0
2019-06-05,115.65,115.91,114.56,115.38,1210500,0.0,0
2019-06-06,115.37,118.66,115.12,117.99,1114600,0.0,0
2019-06-07,118.63,119.9,118.31,118.61,1146000,0.0,0
2019-06-10,118.89,120.01,115.82,116.32,886400,0.0,0
2019-06-11,116.9,118.07,116.07,116.37,1094900,0.0,0
2019-06-12,117.16,117.34,114.51,115.18,1143600,0.0,0
2019-06-13,115.47,116.83,115.38,116.25,1265900,0.0,0
2019-06-14,116.11,117.51,115.97,117.01,895300,0.0,0
2019-06-17,117.15,117.3,114.32,115.67,1833000,0.0,0
2019-06-18,115.7,116.72,114.63,115.3,2129500,0.0,0
2019-06-19,115.28,116.6,113.2,114.79,2491700,0.0,0
2019-06-20,112.29,117.16,109.99,116.02,4003800,0.0,0
2019-06-21,116.38,118.74,116.02,118.52,2277600,0.0,0
2019-06-24,118.9,121.2,118.79,119.27,2263700,0.0,0
2019-06-25,119.66,121.13,119.35,120.39,1561500,0.0,0
2019-06-26,120.27,120.69,116.61,117.33,1788600,0.0,0
2019-06-27,117.32,118.98,117.04,118.83,1047100,0.0,0
2019-06-28,118.29,119.27,117.49,119.01,2434900,0.0,0
2019-07-01,120.13,120.56,117.66,118.88,1201300,0.0,0
2019-07-02,118.89,118.96,117.63,118.13,1076400,0.0,0
2019-07-03,118.25,119.71,118.25,118.99,605900,0.0,0
2019-07-05,119.15,120.92,118.6,120.88,630200,0.0,0
2019-07-08,120.52,122.39,119.77,122.19,1860100,0.0,0
2019-07-09,122.01,122.91,120.27,120.69,1370800,0.88,0
2019-07-10,120.73,121.31,118.85,119.63,1128300,0.0,0
2019-07-11,119.86,120.84,119.05,120.45,958500,0.0,0
2019-07-12,121.13,123.21,120.84,122.84,1000800,0.0,0
2019-07-15,123.06,124.05,122.79,123.49,842600,0.0,0
2019-07-16,122.27,123.54,121.23,121.31,1511900,0.0,0
2019-07-17,121.54,121.98,119.39,120.33,1437900,0.0,0
2019-07-18,120.54,122.19,120.08,122.16,989900,0.0,0
2019-07-19,121.97,123.21,121.32,122.49,999000,0.0,0
2019-07-22,122.81,123.84,122.15,123.53,941800,0.0,0
2019-07-23,124.22,124.5,122.77,123.23,954400,0.0,0
2019-07-24,123.26,124.13,121.67,122.33,989800,0.0,0
2019-07-25,122.1,122.42,121.11,121.69,955300,0.0,0
2019-07-26,122.35,124.4,121.81,124.02,827500,0.0,0
2019-07-29,124.02,124.8,123.2,124.67,1009900,0.0,0
2019-07-30,124.19,124.41,121.85,122.76,651400,0.0,0
2019-07-31,122.21,122.21,118.29,119.69,1159200,0.0,0
2019-08-01,119.73,120.18,118.27,119.02,977900,0.0,0
2019-08-02,119.08,119.93,118.01,118.24,890200,0.0,0
2019-08-05,116.93,117.96,114.92,116.2,1000400,0.0,0
2019-08-06,116.49,117.52,115.91,116.08,974500,0.0,0
2019-08-07,115.55,117.53,114.58,117.1,1092800,0.0,0
2019-08-08,117.59,120.21,117.06,120.17,1075900,0.0,0
2019-08-09,119.85,121.98,118.95,120.55,1513900,0.0,0
2019-08-12,120.25,120.84,116.31,118.8,1038200,0.0,0
2019-08-13,118.83,121.03,118.07,119.29,899500,0.0,0
2019-08-14,118.15,118.47,114.98,115.0,1173600,0.0,0
2019-08-15,114.98,115.45,112.88,113.14,1480000,0.0,0
2019-08-16,113.54,115.84,113.33,115.3,839900,0.0,0
2019-08-19,116.64,118.48,116.08,117.73,921800,0.0,0
2019-08-20,117.58,117.84,115.55,117.04,698600,0.0,0
2019-08-21,117.5,118.13,116.7,117.69,947200,0.0,0
2019-08-22,117.72,120.07,117.72,119.04,844700,0.0,0
2019-08-23,118.99,120.82,118.2,118.67,1038000,0.0,0
2019-08-26,119.4,119.4,117.64,119.33,786600,0.0,0
2019-08-27,119.33,119.6,117.32,117.68,1118100,0.0,0
2019-08-28,117.58,118.85,117.21,118.35,639500,0.0,0
2019-08-29,118.64,120.57,118.52,119.96,941800,0.0,0
2019-08-30,119.9,121.03,118.85,119.12,905100,0.0,0
2019-09-03,118.71,119.58,116.79,117.68,805800,0.0,0
2019-09-04,118.19,121.03,117.79,120.24,1200500,0.0,0
2019-09-05,121.27,122.86,119.95,122.15,1020000,0.0,0
2019-09-06,122.76,125.65,122.54,123.55,1812400,0.0,0
2019-09-09,123.93,125.74,123.14,125.61,1166600,0.0,0
2019-09-10,124.84,125.2,123.02,125.0,1049000,0.0,0
2019-09-11,125.49,126.02,124.52,125.24,977300,0.0,0
2019-09-12,125.12,125.5,124.03,124.12,1044800,0.0,0
2019-09-13,124.29,126.43,124.02,125.38,1088100,0.0,0
2019-09-16,124.3,126.1,124.13,124.96,1282200,0.0,0
2019-09-17,125.33,125.97,122.91,124.06,1330200,0.0,0
