Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,85.73,86.54,85.55,86.22,4461100,0.0,0
2019-03-22,86.46,87.91,86.22,86.98,4174400,0.0,0
2019-03-25,87.17,87.39,86.74,87.05,3350900,0.0,0
2019-03-26,86.98,87.91,86.91,87.78,3342100,0.0,0
2019-03-27,87.83,87.87,86.53,86.77,3592200,0.0,0
2019-03-28,86.96,87.17,85.37,85.71,4565800,0.0,0
2019-03-29,85.57,86.4,85.17,86.31,5434800,0.0,0
2019-04-01,86.07,86.15,85.0,85.62,4555500,0.0,0
2019-04-02,85.93,85.93,85.01,85.48,3386400,0.0,0
2019-04-03,85.35,85.53,84.6,85.21,2998800,0.0,0
2019-04-04,85.38,85.86,84.32,85.69,4847600,0.0,0
2019-04-05,85.82,86.9,85.52,86.82,5433200,0.0,0
2019-04-08,86.79,86.9,85.97,86.41,3115500,0.0,0
2019-04-09,86.37,86.77,86.14,86.55,2475300,0.0,0
2019-04-10,86.78,87.35,86.02,86.25,3412300,0.0,0
2019-04-11,86.35,86.75,86.12,86.56,2424500,0.0,0
2019-04-12,86.02,86.76,85.55,86.74,3520900,0.0,0
2019-04-15,86.79,87.02,86.46,86.73,2808900,0.0,0
2019-04-16,86.44,86.93,85.22,85.44,3166400,0.0,0
2019-04-17,85.48,86.04,85.07,85.41,4518200,0.0,0
2019-04-18,85.66,85.97,85.29,85.48,2822400,0.0,0
2019-04-22,85.36,85.89,84.9,85.09,2615800,0.0,0
2019-04-23,85.18,85.65,84.67,85.36,2336800,0.0,0
2019-04-24,85.62,86.29,85.24,86.0,1942400,0.0,0
2019-04-25,85.75,86.94,85.61,86.74,2506600,0.0,0
2019-04-26,86.98,87.58,86.58,86.62,1921400,0.0,0
2019-04-29,86.22,86.59,85.66,85.91,2370800,0.0,0
2019-04-30,86.01,87.48,85.76,87.38,3242700,0.0,0
2019-05-01,86.96,87.33,86.41,86.7,2323400,0.0,0
2019-05-02,86.73,87.09,85.94,86.13,2656600,0.0,0
2019-05-03,86.47,86.74,86.14,86.46,2988600,0.0,0
2019-05-06,86.48,86.71,85.64,85.81,2659600,0.0,0
2019-05-07,85.83,85.96,85.19,85.6,2546200,0.0,0
2019-05-08,85.49,85.64,84.12,84.2,2832400,0.0,0
2019-05-09,85.04,85.04,83.12,83.27,3165000,0.0,0
2019-05-10,83.07,84.46,82.9,84.38,2965400,0.0,0
2019-05-13,84.1,84.54,83.24,84.44,4046600,0.0,0
2019-05-14,83.74,84.03,83.01,83.44,4955500,0.0,0
2019-05-15,83.63,83.97,83.21,83.23,3653200,0.0,0
2019-05-16,83.29,84.05,83.09,83.6,4151900,0.9275,0
2019-05-17,83.07,84.76,83.05,84.53,4428300,0.0,0
2019-05-20,84.63,84.92,84.0,84.29,3100200,0.0,0
2019-05-21,84.52,85.33,84.21,84.41,2728300,0.0,0
2019-05-22,84.7,85.3,84.48,85.12,2225700,0.0,0
2019-05-23,85.42,86.26,85.24,86.18,3862000,0.0,0
2019-05-24,86.18,86.71,85.93,86.09,1987700,0.0,0
2019-05-28,86.09,86.13,84.27,84.45,3837700,0.0,0
2019-05-29,84.72,84.9,83.1,83.18,2319000,0.0,0
2019-05-30,83.26,83.64,82.72,82.91,2319200,0.0,0
2019-05-31,82.93,83.45,81.87,82.99,3182500,0.0,0
2019-06-03,83.4,83.5,82.65,83.38,3061800,0.0,0
2019-06-04,83.34,83.52,81.7,83.27,2498700,0.0,0
2019-06-05,83.52,84.98,82.89,84.55,2819200,0.0,0
2019-06-06,84.64,85.3,84.29,85.02,2985500,0.0,0
2019-06-07,85.26,85.88,84.29,84.37,3243300,0.0,0
2019-06-10,84.27,84.3,83.41,83.65,3028400,0.0,0
2019-06-11,83.4,83.84,82.46,83.02,2841300,0.0,0
2019-06-12,83.48,84.21,83.48,83.99,2893800,0.0,0
2019-06-13,84.29,84.76,83.67,84.11,3753100,0.0,0
2019-06-14,84.12,85.47,84.09,85.18,3237600,0.0,0
2019-06-17,85.38,85.87,84.84,85.25,2448600,0.0,0
2019-06-18,85.65,85.79,83.67,84.57,2532600,0.0,0
2019-06-19,84.24,85.42,84.02,84.96,2683200,0.0,0
2019-06-20,85.44,86.12,84.99,85.87,2428300,0.0,0
2019-06-21,85.92,86.85,85.27,86.79,6867500,0.0,0
2019-06-24,86.87,87.37,86.49,87.15,3305700,0.0,0
2019-06-25,87.15,87.9,87.03,87.36,3996800,0.0,0
2019-06-26,87.09,87.18,85.24,85.28,3437000,0.0,0
2019-06-27,85.37,86.0,85.08,85.84,2726700,0.0,0
2019-06-28,85.78,86.41,85.24,85.54,3875700,0.0,0
2019-07-01,85.31,85.54,84.57,85.31,2848000,0.0,0
2019-07-02,85.47,86.71,85.46,86.41,2039000,0.0,0
2019-07-03,86.47,87.82,86.47,87.34,1717600,0.0,0
2019-07-05,86.68,87.02,85.51,86.93,1744000,0.0,0
2019-07-08,87.14,87.3,86.33,86.91,2046900,0.0,0
2019-07-09,87.48,87.5,86.15,86.66,2598000,0.0,0
2019-07-10,87.05,87.38,86.56,86.88,2401700,0.0,0
2019-07-11,86.75,87.27,85.89,86.71,2379100,0.0,0
2019-07-12,86.84,86.84,85.73,85.98,2101400,0.0,0
2019-07-15,86.09,86.79,85.84,86.64,1847700,0.0,0
2019-07-16,86.38,86.79,85.66,86.3,1727100,0.0,0
2019-07-17,86.6,86.94,86.17,86.41,2102700,0.0,0
2019-07-18,86.48,87.1,85.94,87.04,1911700,0.0,0
2019-07-19,86.89,87.07,85.72,85.74,2408000,0.0,0
2019-07-22,85.88,85.97,85.15,85.45,2160300,0.0,0
2019-07-23,85.48,85.54,84.69,84.99,3141800,0.0,0
2019-07-24,85.25,85.28,84.14,84.51,2386500,0.0,0
2019-07-25,84.24,84.71,83.53,83.84,2680300,0.0,0
2019-07-26,83.85,84.41,83.63,84.25,2426000,0.0,0
2019-07-29,84.56,85.19,84.35,85.1,2442900,0.0,0
2019-07-30,84.92,85.48,84.25,85.05,2693400,0.0,0
2019-07-31,84.93,85.14,83.66,84.06,2824800,0.0,0
2019-08-01,84.14,85.32,83.73,84.82,3055000,0.0,0
2019-08-02,85.15,86.01,84.87,85.42,3228900,0.0,0
2019-08-05,85.77,86.13,83.88,84.29,3969200,0.0,0
2019-08-06,84.62,86.69,83.66,86.19,3943300,0.0,0
2019-08-07,86.19,86.76,85.15,86.12,2630100,0.0,0
2019-08-08,85.71,86.78,85.63,86.57,2252100,0.0,0
2019-08-09,86.75,87.42,86.54,87.0,2355200,0.0,0
2019-08-12,87.19,87.24,86.24,86.76,2223400,0.0,0
2019-08-13,86.89,87.27,86.08,87.07,2400900,0.0,0
2019-08-14,87.4,87.78,85.93,86.09,3584600,0.0,0
2019-08-15,85.92,87.77,85.8,87.47,2384800,0.945,0
2019-08-16,87.59,88.32,87.43,87.95,2285500,0.0,0
2019-08-19,87.89,89.28,87.55,88.84,2632000,0.0,0
2019-08-20,89.19,89.69,88.84,89.34,3611300,0.0,0
2019-08-21,88.64,89.44,88.27,89.39,2754400,0.0,0
2019-08-22,89.44,90.25,88.67,89.47,1945500,0.0,0
2019-08-23,89.6,89.82,88.43,88.91,3153900,0.0,0
2019-08-26,89.09,89.54,88.74,89.5,2037100,0.0,0
2019-08-27,89.91,90.96,89.81,90.29,3668000,0.0,0
2019-08-28,90.54,91.27,90.04,90.43,2639200,0.0,0
2019-08-29,90.88,90.92,89.68,90.88,2231400,0.0,0
2019-08-30,91.12,91.46,90.74,90.86,2157900,0.0,0
2019-09-03,90.63,91.82,90.46,91.78,2620200,0.0,0
2019-09-04,92.0,92.28,91.34,92.07,2102600,0.0,0
2019-09-05,91.61,91.95,90.93,91.52,2721200,0.0,0
2019-09-06,91.74,92.38,91.48,91.86,2578000,0.0,0
2019-09-09,91.67,91.94,91.2,91.82,2935100,0.0,0
2019-09-10,91.37,92.63,91.35,92.04,3179600,0.0,0
2019-09-11,91.66,92.63,91.36,92.58,2756500,0.0,0
2019-09-12,93.24,93.76,92.76,93.04,2339400,0.0,0
2019-09-13,92.58,93.08,91.77,92.0,3322200,0.0,0
2019-09-16,91.93,92.08,90.86,91.24,2934600,0.0,0
2019-09-17,91.44,92.3,91.28,91.97,2615600,0.0,0
2019-09-18,92.38,92.77,91.63,92.35,3066500,0.0,0
2019-09-19,92.64,92.65,91.86,92.58,2049900,0.0,0
2019-09-20,93.28,93.51,92.33,93.34,5069100,0.0,0
2019-09-23,93.36,93.78,93.16,93.47,2089100,0.0,0
2019-09-24,93.73,94.84,93.62,94.33,3166100,0.0,0
2019-09-25,94.24,94.68,93.8,94.06,2383600,0.0,0
2019-09-26,94.07,94.66,93.94,94.25,1986100,0.0,0
2019-09-27,94.34,94.51,93.74,94.31,1960700,0.0,0
2019-09-30,94.3,94.54,93.66,93.92,2501700,0.0,0
2019-10-01,93.64,94.25,93.32,94.24,2009200,0.0,0
2019-10-02,94.26,94.4,92.7,92.79,3044000,0.0,0
2019-10-03,93.08,93.68,92.84,93.18,3015800,0.0,0
2019-10-04,93.53,95.4,93.38,95.21,3129600,0.0,0
2019-10-07,94.79,95.28,94.45,94.96,2311700,0.0,0
2019-10-08,95.0,95.1,94.05,94.15,2470800,0.0,0
2019-10-09,94.33,94.61,94.03,94.09,2608800,0.0,0
2019-10-10,93.93,94.51,93.58,94.34,2382200,0.0,0
2019-10-11,94.34,94.65,93.52,94.03,2320000,0.0,0
2019-10-14,94.22,94.22,92.92,93.21,2483600,0.0,0
2019-10-15,93.22,93.54,92.75,93.08,1904600,0.0,0
2019-10-16,92.81,93.23,92.5,93.21,2617100,0.0,0
2019-10-17,93.19,93.68,93.02,93.25,2051700,0.0,0
2019-10-18,93.03,93.66,92.59,93.42,3041900,0.0,0
2019-10-21,93.24,93.47,92.75,93.4,1550200,0.0,0
2019-10-22,93.57,93.68,93.16,93.39,1743700,0.0,0
2019-10-23,93.6,94.24,93.34,94.23,2199800,0.0,0
2019-10-24,94.11,94.55,94.02,94.13,1763400,0.0,0
2019-10-25,94.32,94.41,93.07,93.5,1818100,0.0,0
2019-10-28,93.11,93.32,91.98,92.2,2761600,0.0,0
2019-10-29,91.89,92.04,91.44,91.64,2675100,0.0,0
2019-10-30,91.76,92.46,91.54,92.11,1831200,0.0,0
2019-10-31,92.0,92.53,91.69,92.35,2454100,0.0,0
