Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,53.85,55.67,53.78,55.0,2314100,0,0
2019-03-22,54.74,55.0,54.01,54.05,1275200,0,0
2019-03-25,53.97,54.0,52.59,53.24,1021700,0,0
2019-03-26,53.39,53.87,52.66,53.09,1143900,0,0
2019-03-27,53.03,53.8,52.55,53.48,1551400,0,0
2019-03-28,53.65,53.84,53.09,53.52,921300,0,0
2019-03-29,53.93,54.36,53.63,54.29,692200,0,0
2019-04-01,54.64,55.02,54.47,54.92,757600,0,0
2019-04-02,54.77,54.98,54.24,54.6,1363700,0,0
2019-04-03,54.9,55.5,54.84,55.27,1498200,0,0
2019-04-04,55.27,55.75,54.97,55.11,736600,0,0
2019-04-05,55.14,56.12,55.13,55.95,1790100,0,0
2019-04-08,55.82,55.88,55.05,55.24,567200,0,0
2019-04-09,55.0,55.25,54.27,55.11,984200,0,0
2019-04-10,54.97,56.01,54.87,55.9,1253400,0,0
2019-04-11,55.98,56.06,54.43,54.63,1046900,0,0
2019-04-12,54.99,55.5,54.39,54.54,898200,0,0
2019-04-15,54.79,55.27,53.99,55.17,652300,0,0
2019-04-16,55.6,56.55,55.09,55.32,2574900,0,0
2019-04-17,55.43,55.43,50.87,51.05,3318200,0,0
2019-04-18,51.08,52.64,51.06,52.23,1975400,0,0
2019-04-22,52.24,52.61,51.03,51.1,1507600,0,0
2019-04-23,51.21,53.39,51.21,53.03,1495000,0,0
2019-04-24,53.21,54.54,53.05,54.03,1596100,0,0
2019-04-25,53.79,54.52,53.44,53.89,1909300,0,0
2019-04-26,54.15,55.71,53.63,55.61,1257900,0,0
2019-04-29,55.74,57.01,55.36,56.15,1457700,0,0
2019-04-30,56.22,56.5,54.47,55.24,897600,0,0
2019-05-01,55.51,56.18,55.24,55.6,964400,0,0
2019-05-02,55.6,56.61,55.21,56.51,1131800,0,0
2019-05-03,56.61,57.25,56.55,56.99,1570200,0,0
2019-05-06,55.92,57.96,55.67,57.79,2288400,0,0
2019-05-07,57.09,57.35,55.99,56.6,1462000,0,0
2019-05-08,54.25,54.25,51.3,51.76,4088000,0,0
2019-05-09,51.16,52.74,50.93,52.38,1996100,0,0
2019-05-10,52.29,52.5,50.64,52.11,1352200,0,0
2019-05-13,50.93,51.34,50.18,51.18,1613900,0,0
2019-05-14,51.15,51.9,51.07,51.24,1447900,0,0
2019-05-15,50.71,50.94,49.79,50.22,1599300,0,0
2019-05-16,50.26,51.15,49.95,50.0,1215400,0,0
2019-05-17,49.49,50.02,49.22,49.23,1862300,0,0
2019-05-20,49.1,49.1,48.53,48.87,1546800,0,0
2019-05-21,49.1,49.71,48.9,49.6,1486800,0,0
2019-05-22,49.35,49.53,48.69,49.25,929000,0,0
2019-05-23,48.72,48.98,47.61,48.15,1467200,0,0
2019-05-24,48.24,48.36,47.5,47.56,1221000,0,0
2019-05-28,47.75,47.75,46.9,46.92,1494400,0,0
2019-05-29,46.51,46.75,44.18,44.39,2938600,0,0
2019-05-30,44.5,44.87,44.28,44.64,1604800,0,0
2019-05-31,44.24,44.24,43.4,43.42,1680300,0,0
2019-06-03,43.49,45.66,43.49,45.3,2412000,0,0
2019-06-04,45.66,47.08,45.65,47.0,2354200,0,0
2019-06-05,47.49,47.49,45.74,46.62,1653900,0,0
2019-06-06,46.55,47.17,46.36,46.56,1202900,0,0
2019-06-07,46.75,48.29,46.75,47.69,1650900,0,0
2019-06-10,47.81,48.39,47.64,47.99,738500,0,0
2019-06-11,48.2,48.46,47.58,48.23,1115900,0,0
2019-06-12,48.13,48.21,47.22,48.08,1429200,0,0
2019-06-13,48.15,49.06,48.0,49.03,1548200,0,0
2019-06-14,49.04,49.23,48.49,48.88,772700,0,0
2019-06-17,49.04,49.43,48.5,49.25,774400,0,0
2019-06-18,49.68,50.21,49.13,49.74,911400,0,0
2019-06-19,50.27,53.26,50.01,51.27,2787600,0,0
2019-06-20,51.9,53.02,51.63,52.41,2970700,0,0
2019-06-21,52.58,53.55,52.32,53.09,3248900,0,0
2019-06-24,52.98,53.54,52.82,53.41,2357700,0,0
2019-06-25,53.39,54.52,52.84,54.27,2208900,0,0
2019-06-26,54.38,55.04,53.8,54.84,2214200,0,0
2019-06-27,55.07,56.01,55.0,55.41,2192400,0,0
2019-06-28,55.44,56.39,55.06,56.26,2588400,0,0
2019-07-01,56.94,57.44,55.99,56.09,2059000,0,0
2019-07-02,56.0,57.12,55.81,56.74,1501400,0,0
2019-07-03,57.14,57.65,56.74,57.4,965000,0,0
2019-07-05,57.16,58.43,56.88,58.27,1103000,0,0
2019-07-08,57.82,58.08,55.45,55.51,2289400,0,0
2019-07-09,52.56,52.85,50.68,52.55,6672000,0,0
2019-07-10,52.74,55.19,52.29,54.65,3384100,0,0
2019-07-11,55.69,56.7,55.25,56.41,2915700,0,0
2019-07-12,56.41,57.32,56.02,56.9,2171200,0,0
2019-07-15,56.9,57.52,56.14,56.95,2009300,0,0
2019-07-16,56.95,58.44,56.93,57.7,1625400,0,0
2019-07-17,55.9,57.39,55.55,56.65,1280000,0,0
2019-07-18,56.46,57.17,56.21,56.74,1530000,0,0
2019-07-19,56.7,56.75,55.98,56.05,1104700,0,0
2019-07-22,59.31,59.89,58.4,58.8,5914700,0,0
2019-07-23,59.09,59.43,58.5,59.3,4015400,0,0
2019-07-24,59.19,59.91,58.85,59.56,2732000,0,0
2019-07-25,59.16,59.49,58.73,58.93,2791900,0,0
2019-07-26,58.59,59.72,58.47,59.4,2103100,0,0
2019-07-29,59.4,60.0,59.26,59.66,3052700,0,0
2019-07-30,59.24,60.51,58.85,60.1,2827100,0,0
2019-07-31,60.26,60.44,59.52,59.85,2704500,0,0
2019-08-01,59.85,60.6,59.07,59.34,4593200,0,0
2019-08-02,60.43,61.2,59.86,60.1,5380000,0,0
2019-08-05,59.1,59.9,57.9,58.63,3717000,0,0
2019-08-06,59.1,59.5,57.84,58.96,2979900,0,0
2019-08-07,58.15,59.79,58.03,59.75,4517200,0,0
2019-08-08,60.0,60.3,59.49,59.79,2924000,0,0
2019-08-09,59.8,60.14,59.41,59.69,2308000,0,0
2019-08-12,59.47,59.93,58.77,59.02,5006500,0,0
2019-08-13,58.8,60.0,58.7,59.39,5004300,0,0
2019-08-14,58.8,59.26,58.0,58.17,7590400,0,0
2019-08-15,58.28,58.83,57.85,58.36,6607000,0,0
2019-08-16,58.0,58.36,57.51,57.82,8253700,0,0
2019-08-19,57.1,57.64,56.51,56.97,8259900,0,0
2019-08-20,57.16,57.16,55.77,55.91,3900100,0,0
2019-08-21,56.46,57.01,56.02,56.58,3069500,0,0
2019-08-22,56.76,56.99,55.76,55.96,4685500,0,0
2019-08-23,55.52,56.12,54.45,54.7,3886500,0,0
2019-08-26,55.02,55.25,54.21,55.05,2799200,0,0
2019-08-27,55.3,55.6,53.76,53.78,2975600,0,0
2019-08-28,53.67,54.61,53.51,54.47,2331100,0,0
2019-08-29,54.87,55.77,54.87,55.51,2022400,0,0
2019-08-30,55.75,56.55,55.58,56.37,4940000,0,0
2019-09-03,56.37,58.61,56.04,58.54,4169300,0,0
2019-09-04,59.5,60.38,59.02,59.15,2933200,0,0
2019-09-05,59.66,59.72,57.89,57.98,2059700,0,0
2019-09-06,57.94,59.59,57.59,59.37,2169000,0,0
2019-09-09,59.52,61.36,59.03,61.17,3287000,0,0
2019-09-10,60.78,61.67,60.33,61.66,2613600,0,0
2019-09-11,60.48,60.77,59.17,59.81,2026500,0,0
2019-09-12,60.0,60.92,58.72,60.3,2875600,0,0
2019-09-13,60.83,62.33,60.72,61.86,3611000,0,0
2019-09-16,61.65,63.5,61.45,63.28,2963600,0,0
2019-09-17,63.2,63.26,61.39,61.65,1777700,0,0
2019-09-18,61.44,61.97,60.97,61.3,1453800,0,0
2019-09-19,61.4,61.92,58.97,59.75,5046900,0,0
2019-09-20,59.91,60.89,59.75,60.04,3947500,0,0
2019-09-23,59.97,60.26,59.33,59.35,1650300,0,0
2019-09-24,59.3,59.41,57.2,57.37,2331100,0,0
2019-09-25,57.27,58.21,57.27,57.78,1672300,0,0
2019-09-26,57.78,57.78,55.4,56.0,2013600,0,0
2019-09-27,56.35,57.08,55.97,56.32,1506500,0,0
2019-09-30,56.47,57.47,56.32,57.07,1559100,0,0
2019-10-01,57.07,58.76,56.59,56.66,1527100,0,0
2019-10-02,56.18,56.58,55.46,55.6,1573500,0,0
2019-10-03,55.41,56.04,55.02,55.87,923700,0,0
2019-10-04,55.93,56.28,55.54,56.0,963500,0,0
2019-10-07,55.9,56.59,55.62,55.67,1498300,0,0
2019-10-08,55.49,55.51,54.09,54.2,1864400,0,0
2019-10-09,54.69,55.44,54.46,55.21,1557000,0,0
2019-10-10,55.28,56.24,54.98,55.82,1500500,0,0
2019-10-11,56.75,57.45,56.38,56.44,1450300,0,0
2019-10-14,56.24,56.4,55.6,55.67,1040700,0,0
2019-10-15,56.0,56.8,55.94,56.72,1291000,0,0
2019-10-16,56.71,57.61,56.39,57.01,855000,0,0
2019-10-17,56.99,58.25,56.98,57.85,865100,0,0
2019-10-18,57.73,58.78,57.73,58.69,1522900,0,0
2019-10-21,58.72,59.51,58.42,58.66,1372300,0,0
2019-10-22,58.42,59.71,58.4,59.21,1176500,0,0
2019-10-23,59.4,59.71,58.96,59.12,857600,0,0
2019-10-24,59.05,59.39,57.74,58.05,876100,0,0
2019-10-25,57.66,58.53,56.99,57.83,1458500,0,0
2019-10-28,57.94,58.74,57.75,57.84,1296000,0,0
2019-10-29,58.12,59.24,57.93,58.95,1367300,0,0
2019-10-30,58.94,59.3,58.56,58.97,987900,0,0
