Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,172.86,174.27,172.6,174.11,864600,0.0,0
2019-03-22,172.97,173.75,171.19,171.69,831000,0.0,0
2019-03-25,171.66,172.88,170.86,172.4,811200,0.0,0
2019-03-26,173.24,174.42,172.09,173.64,959300,0.0,0
2019-03-27,173.86,174.97,172.39,173.53,828800,0.0,0
2019-03-28,174.17,175.14,173.71,174.24,793200,0.0,0
2019-03-29,174.85,175.04,173.58,174.82,1031400,0.0,0
2019-04-01,175.75,177.01,175.45,176.93,1009900,0.0,0
2019-04-02,177.01,177.01,175.51,176.41,634900,0.0,0
2019-04-03,177.01,180.77,176.54,179.68,2009400,0.0,0
2019-04-04,179.37,180.81,178.46,180.78,1377100,0.0,0
2019-04-05,180.78,181.62,179.12,179.94,889900,0.0,0
2019-04-08,179.54,180.01,178.42,179.48,685200,0.0,0
2019-04-09,178.87,179.77,177.99,179.73,860600,0.0,0
2019-04-10,179.84,180.82,178.18,180.8,688700,0.0,0
2019-04-11,180.58,181.39,180.06,181.2,610900,0.0,0
2019-04-12,181.99,183.51,181.04,183.29,769300,0.0,0
2019-04-15,183.1,183.23,181.28,181.98,1125800,0.0,0
2019-04-16,182.49,183.95,182.04,183.56,1170600,0.0,0
2019-04-17,184.11,184.46,181.07,181.18,775300,0.0,0
2019-04-18,180.24,181.74,178.31,181.42,1026900,0.0,0
2019-04-22,181.14,182.05,180.6,181.09,578900,0.0,0
2019-04-23,181.22,184.53,180.41,182.6,1023900,0.0,0
2019-04-24,182.6,183.15,181.94,182.74,881800,0.0,0
2019-04-25,182.11,182.37,180.46,181.6,625700,0.0,0
2019-04-26,182.27,183.1,181.09,183.09,793600,0.0,0
2019-04-29,183.39,183.61,181.94,182.61,958300,0.0,0
2019-04-30,179.01,183.4,177.39,182.29,1942000,0.0,0
2019-05-01,181.68,182.97,180.49,180.6,977500,0.0,0
2019-05-02,180.73,182.53,179.87,182.53,930000,0.0,0
2019-05-03,183.2,183.59,182.09,183.2,777600,0.0,0
2019-05-06,181.15,182.4,181.15,181.85,1087700,0.0,0
2019-05-07,180.4,181.15,176.81,177.86,1305400,0.0,0
2019-05-08,177.85,180.11,177.07,179.55,1266800,0.0,0
2019-05-09,178.06,179.49,176.04,178.99,819500,0.0,0
2019-05-10,178.59,179.54,176.58,179.31,1184200,0.0,0
2019-05-13,177.07,177.99,175.75,176.5,782300,0.0,0
2019-05-14,177.13,178.66,176.23,177.51,1059200,0.0,0
2019-05-15,176.61,179.25,176.03,178.11,605300,0.0,0
2019-05-16,179.45,181.19,179.18,180.41,1070400,0.0,0
2019-05-17,178.97,181.2,178.93,179.76,856400,0.0,0
2019-05-20,179.0,180.21,178.02,179.21,689400,0.0,0
2019-05-21,180.65,182.03,179.98,181.37,892800,0.0,0
2019-05-22,181.45,183.43,180.96,181.95,900900,0.0,0
2019-05-23,181.15,182.61,179.83,180.7,1139600,0.0,0
2019-05-24,181.87,182.43,180.21,180.7,673200,0.0,0
2019-05-28,180.53,182.26,179.89,180.23,1154400,0.0,0
2019-05-29,179.67,181.4,179.04,180.81,793100,0.0,0
2019-05-30,180.45,181.95,180.45,181.59,570600,0.0,0
2019-05-31,179.8,182.73,179.8,182.3,819900,0.0,0
2019-06-03,182.36,183.95,181.62,183.83,2045700,0.0,0
2019-06-04,185.59,188.55,183.88,188.55,1723800,0.0,0
2019-06-05,188.41,191.24,186.88,191.24,1628700,0.0,0
2019-06-06,192.16,195.24,190.81,194.85,1625500,0.0,0
2019-06-07,195.22,198.2,195.08,196.82,1242900,0.0,0
2019-06-10,198.24,198.49,196.27,197.75,880100,0.0,0
2019-06-11,198.61,198.97,195.19,195.72,1412300,0.0,0
2019-06-12,196.33,197.74,195.45,197.18,747400,0.0,0
2019-06-13,197.72,198.82,196.09,196.83,733500,0.0,0
2019-06-14,196.78,197.37,195.79,196.93,749700,0.0,0
2019-06-17,196.46,196.46,188.05,189.02,2251300,0.46,0
2019-06-18,188.72,190.85,186.51,187.57,1986100,0.0,0
2019-06-19,187.57,187.92,185.05,187.17,1653100,0.0,0
2019-06-20,188.89,191.23,188.21,190.93,1494000,0.0,0
2019-06-21,190.83,191.02,187.91,188.18,1888900,0.0,0
2019-06-24,188.84,190.96,188.19,190.21,929100,0.0,0
2019-06-25,190.56,191.08,188.92,190.2,909900,0.0,0
2019-06-26,190.64,190.79,186.72,186.85,1192200,0.0,0
2019-06-27,188.12,191.3,187.73,190.77,1467300,0.0,0
2019-06-28,191.31,195.97,190.76,195.97,5929200,0.0,0
2019-07-01,196.49,196.86,191.64,194.3,1371700,0.0,0
2019-07-02,194.5,196.57,193.86,196.5,908000,0.0,0
2019-07-03,196.82,198.32,196.18,198.29,586500,0.0,0
2019-07-05,196.31,196.31,192.76,195.6,850200,0.0,0
2019-07-08,195.53,197.43,194.36,196.08,871700,0.0,0
2019-07-09,195.28,195.78,193.68,194.4,737000,0.0,0
2019-07-10,195.97,197.74,195.16,196.66,1676700,0.0,0
2019-07-11,196.65,198.12,195.32,198.08,1103400,0.0,0
2019-07-12,198.71,198.9,196.49,198.31,813200,0.0,0
2019-07-15,198.5,198.51,196.77,197.45,656500,0.0,0
2019-07-16,197.55,198.14,195.99,196.46,847800,0.0,0
2019-07-17,196.53,196.86,194.34,194.49,887400,0.0,0
2019-07-18,195.0,196.25,193.82,196.22,688200,0.0,0
2019-07-19,196.77,197.3,195.66,195.81,627600,0.0,0
2019-07-22,196.51,196.59,195.19,195.77,494100,0.0,0
2019-07-23,196.74,198.5,196.4,198.47,594800,0.0,0
2019-07-24,198.1,198.1,196.01,196.48,765100,0.0,0
2019-07-25,196.8,197.6,194.43,196.85,738300,0.0,0
2019-07-26,196.83,198.33,195.02,198.14,623100,0.0,0
2019-07-29,198.18,199.7,198.17,199.13,1606300,0.0,0
2019-07-30,197.89,207.68,196.95,204.15,2193400,0.0,0
2019-07-31,204.48,206.3,197.62,200.23,1590500,0.0,0
2019-08-01,200.9,203.2,197.97,199.44,1150100,0.0,0
2019-08-02,199.17,199.72,196.8,198.5,1178800,0.0,0
2019-08-05,196.2,197.01,190.75,192.9,1325200,0.0,0
2019-08-06,194.35,195.56,191.1,195.27,1364300,0.0,0
2019-08-07,194.56,199.57,193.55,198.7,1196300,0.0,0
2019-08-08,200.52,203.64,199.73,203.51,806500,0.0,0
2019-08-09,203.15,205.38,201.89,204.44,704200,0.0,0
2019-08-12,204.19,205.31,202.82,203.35,938200,0.0,0
2019-08-13,203.69,206.75,202.24,205.92,833200,0.0,0
2019-08-14,203.48,204.7,199.72,200.14,1091600,0.0,0
2019-08-15,201.43,202.61,200.32,202.16,945900,0.0,0
2019-08-16,202.72,206.09,202.35,205.27,1177100,0.0,0
2019-08-19,207.66,208.31,204.48,207.02,963700,0.0,0
2019-08-20,206.75,207.02,204.73,205.06,734100,0.0,0
2019-08-21,206.21,206.71,204.89,205.56,677500,0.0,0
2019-08-22,206.56,207.53,203.34,205.34,794400,0.0,0
2019-08-23,205.11,206.29,199.18,200.32,1167100,0.0,0
2019-08-26,201.65,202.25,200.73,201.39,1109500,0.0,0
2019-08-27,203.24,205.39,202.44,203.2,1761000,0.0,0
2019-08-28,202.05,203.67,201.28,203.26,1157800,0.0,0
2019-08-29,204.47,206.41,204.28,205.46,1084500,0.0,0
2019-08-30,206.45,206.84,204.17,204.78,1079800,0.0,0
2019-09-03,203.45,204.29,201.59,202.97,1110300,0.0,0
2019-09-04,205.32,205.69,204.01,205.29,856100,0.0,0
2019-09-05,206.62,207.2,203.71,203.8,900900,0.0,0
2019-09-06,204.92,206.16,203.52,205.15,988900,0.0,0
2019-09-09,206.45,206.45,197.46,199.29,1381500,0.0,0
2019-09-10,198.43,198.74,194.4,195.79,1978500,0.0,0
2019-09-11,195.83,196.92,193.92,195.72,1335000,0.0,0
2019-09-12,197.94,200.5,195.48,196.3,1036000,0.0,0
2019-09-13,196.95,197.6,195.21,197.41,948800,0.0,0
2019-09-16,196.27,196.93,190.58,191.12,1396700,0.46,0
2019-09-17,191.92,195.52,191.34,193.82,1095900,0.0,0
2019-09-18,194.5,195.36,193.25,195.05,820200,0.0,0
2019-09-19,194.16,196.32,194.16,195.49,764100,0.0,0
2019-09-20,195.78,196.7,194.6,195.05,1585700,0.0,0
2019-09-23,194.25,195.64,194.22,194.82,541400,0.0,0
2019-09-24,196.3,197.83,193.66,193.86,1075500,0.0,0
2019-09-25,194.62,196.37,193.42,196.29,752600,0.0,0
2019-09-26,196.01,198.34,195.09,197.41,746100,0.0,0
2019-09-27,198.75,198.97,195.41,196.77,985000,0.0,0
2019-09-30,196.97,198.08,196.54,197.02,786700,0.0,0
2019-10-01,197.95,198.41,194.39,194.85,965600,0.0,0
2019-10-02,193.46,194.69,189.64,190.84,946000,0.0,0
2019-10-03,190.67,191.95,188.04,191.84,775100,0.0,0
2019-10-04,192.24,195.37,192.16,193.62,783200,0.0,0
2019-10-07,192.55,193.46,190.08,190.13,1328900,0.0,0
2019-10-08,189.89,190.41,188.32,188.68,1103100,0.0,0
2019-10-09,190.51,191.6,189.6,190.33,833400,0.0,0
2019-10-10,189.95,192.4,189.5,192.2,695800,0.0,0
2019-10-11,194.08,196.43,193.5,193.74,794100,0.0,0
2019-10-14,193.39,194.7,192.94,193.01,691200,0.0,0
2019-10-15,194.37,194.73,193.38,193.65,644700,0.0,0
2019-10-16,193.56,194.9,192.3,194.23,784900,0.0,0
2019-10-17,195.1,195.43,192.08,193.04,739600,0.0,0
2019-10-18,193.2,193.86,191.32,192.82,673300,0.0,0
2019-10-21,193.06,193.5,189.81,190.63,1111700,0.0,0
2019-10-22,190.63,190.86,187.37,187.43,1151800,0.0,0
2019-10-23,188.27,189.53,186.58,187.38,1588400,0.0,0
2019-10-24,187.95,191.27,187.55,189.85,1416400,0.0,0
2019-10-25,189.77,191.05,188.83,190.95,573200,0.0,0
2019-10-28,191.81,192.36,189.61,190.61,923800,0.0,0
2019-10-29,185.52,193.95,184.11,193.52,2174300,0.0,0
2019-10-30,193.65,194.23,191.35,192.71,1341600,0.0,0
2019-10-31,192.92,194.16,189.98,191.08,796900,0.0,0
2019-11-01,192.41,192.73,189.43,190.0,927200,0.0,0
2019-11-04,190.97,191.71,188.51,188.86,885100,0.0,0
2019-11-05,188.03,192.22,187.98,191.98,1325200,0.0,0
2019-11-06,192.5,192.89,191.26,191.97,739400,0.0,0
2019-11-07,192.06,192.26,188.66,189.82,775800,0.0,0
2019-11-08,190.26,191.64,188.76,189.41,587800,0.0,0
2019-11-11,188.27,189.72,187.51,187.87,502700,0.0,0
2019-11-12,188.36,189.57,186.63,187.35,685000,0.0,0
2019-11-13,186.86,189.81,186.07,189.42,737800,0.0,0
2019-11-14,189.35,191.0,189.07,190.77,584900,0.0,0
