Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,81.12,81.7,80.86,81.59,1349100,0.0,0
2019-03-22,81.88,82.75,81.62,82.09,1858400,0.0,0
2019-03-25,82.29,82.58,81.8,82.27,1335800,0.0,0
2019-03-26,82.27,82.93,82.09,82.83,1081400,0.0,0
2019-03-27,82.96,83.02,82.01,82.33,1519100,0.0,0
2019-03-28,82.43,82.62,81.02,81.47,1935100,0.0,0
2019-03-29,81.47,82.06,81.12,81.99,1623600,0.0,0
2019-04-01,81.86,81.86,80.78,81.52,1771300,0.0,0
2019-04-02,81.5,81.97,81.01,81.95,1272100,0.0,0
2019-04-03,81.7,81.94,80.88,81.64,1217700,0.0,0
2019-04-04,81.76,81.95,80.78,81.2,1281300,0.0,0
2019-04-05,81.21,82.02,80.84,81.99,921100,0.0,0
2019-04-08,81.65,81.85,80.88,81.01,1792500,0.0,0
2019-04-09,80.99,81.42,80.92,81.37,951100,0.0,0
2019-04-10,81.47,82.16,81.0,81.08,1006300,0.0,0
2019-04-11,81.21,81.77,80.99,81.66,1086400,0.0,0
2019-04-12,81.44,81.85,80.83,81.74,1640800,0.0,0
2019-04-15,81.85,82.21,81.46,81.8,1017400,0.0,0
2019-04-16,81.84,82.07,80.55,80.84,1850900,0.0,0
2019-04-17,80.98,81.37,80.63,81.11,1494500,0.0,0
2019-04-18,81.13,81.43,80.76,80.83,1417100,0.0,0
2019-04-22,80.83,81.2,80.8,81.08,1298000,0.0,0
2019-04-23,81.15,81.53,80.71,81.39,1407300,0.0,0
2019-04-24,81.65,81.94,81.18,81.52,1764500,0.0,0
2019-04-25,81.38,82.15,81.18,81.71,1522600,0.0,0
2019-04-26,82.53,83.05,82.05,82.15,3038700,0.0,0
2019-04-29,81.92,82.08,81.32,81.67,1334200,0.0,0
2019-04-30,81.77,83.37,81.63,83.3,2361400,0.0,0
2019-05-01,82.93,83.29,82.33,82.4,1266000,0.0,0
2019-05-02,82.51,82.81,81.84,82.33,1486900,0.0,0
2019-05-03,82.75,83.63,82.75,83.17,1721000,0.0,0
2019-05-06,83.48,83.48,82.33,82.58,1364400,0.0,0
2019-05-07,82.63,82.89,82.13,82.38,1295900,0.0,0
2019-05-08,81.73,81.94,80.88,81.14,8777700,0.0,0
2019-05-09,81.21,81.69,80.83,81.21,7437200,0.0,0
2019-05-10,81.21,82.47,81.09,82.47,2658000,0.0,0
2019-05-13,82.22,83.33,82.18,83.18,2726800,0.0,0
2019-05-14,83.43,83.47,82.63,82.79,2130400,0.74,0
2019-05-15,82.99,83.72,82.72,83.39,1727100,0.0,0
2019-05-16,83.18,84.34,82.89,84.23,1491300,0.0,0
2019-05-17,83.89,85.16,83.89,84.78,1804300,0.0,0
2019-05-20,85.01,85.47,84.66,84.85,1316600,0.0,0
2019-05-21,85.08,85.51,84.47,84.54,3080800,0.0,0
2019-05-22,84.74,85.52,84.35,85.35,1113500,0.0,0
2019-05-23,85.48,86.22,85.18,86.19,1376900,0.0,0
2019-05-24,86.21,86.71,85.89,85.95,1099400,0.0,0
2019-05-28,86.28,86.28,84.6,84.6,3027900,0.0,0
