Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,61.09,62.96,61.09,62.73,2039000,0.0,0
2019-03-22,63.08,64.0,62.4,62.45,3340000,0.0,0
2019-03-25,62.47,62.7,61.27,62.06,1952700,0.0,0
2019-03-26,62.14,63.17,62.14,62.81,1287700,0.0,0
2019-03-27,62.77,62.84,61.41,61.6,2054300,0.0,0
2019-03-28,61.51,62.25,60.51,60.59,2297500,0.6125,0
2019-03-29,60.62,60.82,60.12,60.35,3439300,0.0,0
2019-04-01,60.44,61.29,59.61,61.11,1502400,0.0,0
2019-04-02,61.27,61.75,60.89,60.93,1545600,0.0,0
2019-04-03,60.92,62.2,60.92,61.84,1832500,0.0,0
2019-04-04,62.06,62.45,61.82,62.08,1560800,0.0,0
2019-04-05,62.28,62.51,61.94,62.21,2196300,0.0,0
2019-04-08,62.35,62.59,61.94,62.15,1706000,0.0,0
2019-04-09,62.14,62.33,60.75,60.89,2109300,0.0,0
2019-04-10,61.14,61.35,60.49,61.07,1322000,0.0,0
2019-04-11,61.05,61.27,60.73,61.01,1779400,0.0,0
2019-04-12,60.83,65.72,60.29,65.43,8964300,0.0,0
2019-04-15,65.43,65.43,63.25,63.55,4504000,0.0,0
2019-04-16,63.4,63.48,62.67,62.81,1631200,0.0,0
2019-04-17,62.74,63.04,61.77,61.8,1285400,0.0,0
2019-04-18,61.8,62.15,61.47,61.49,1287200,0.0,0
2019-04-22,61.37,61.56,60.84,61.42,1519200,0.0,0
2019-04-23,61.67,62.21,61.06,62.01,1643600,0.0,0
2019-04-24,62.41,62.95,61.99,62.57,1417100,0.0,0
2019-04-25,62.5,62.63,61.86,61.97,1822700,0.0,0
2019-04-26,62.5,62.81,61.8,61.95,1262800,0.0,0
2019-04-29,61.9,62.13,61.43,61.7,1878500,0.0,0
2019-04-30,61.73,62.49,61.58,62.15,2703800,0.0,0
2019-05-01,60.48,60.87,58.55,58.76,3976400,0.0,0
2019-05-02,58.48,59.39,56.75,58.19,2365700,0.0,0
2019-05-03,58.61,60.2,58.56,59.06,1385800,0.0,0
2019-05-06,59.13,60.68,58.97,59.63,1401500,0.0,0
2019-05-07,59.36,59.84,59.32,59.67,1258400,0.0,0
2019-05-08,59.75,59.76,58.58,58.61,1132800,0.0,0
2019-05-09,58.52,58.56,57.78,58.32,1462200,0.0,0
2019-05-10,58.18,58.46,57.15,57.69,2488000,0.0,0
2019-05-13,57.52,58.66,57.48,58.63,1924900,0.0,0
2019-05-14,58.45,59.16,58.15,58.33,1591700,0.0,0
2019-05-15,58.54,58.77,57.91,58.49,1155200,0.0,0
2019-05-16,58.43,58.96,58.19,58.43,1300600,0.0,0
2019-05-17,58.11,58.74,57.87,58.44,2101800,0.0,0
2019-05-20,58.57,58.97,58.38,58.52,1691000,0.0,0
2019-05-21,58.58,59.84,58.35,59.07,1144800,0.0,0
2019-05-22,59.11,59.77,58.87,59.6,1219300,0.0,0
2019-05-23,59.43,60.19,58.94,60.14,1616600,0.0,0
2019-05-24,60.38,60.46,59.26,59.35,924700,0.0,0
2019-05-28,59.36,59.41,56.8,56.8,3453600,0.0,0
2019-05-29,57.23,58.2,57.01,57.18,3144400,0.0,0
2019-05-30,57.48,59.22,57.18,58.19,2693200,0.0,0
2019-05-31,58.25,58.27,57.3,57.87,1864200,0.0,0
