Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,75.29,76.69,75.29,75.86,1190200,0.0,0
2019-03-22,75.21,75.21,72.06,72.14,1513800,0.0,0
2019-03-25,72.04,72.48,71.08,71.33,1271000,0.0,0
2019-03-26,72.02,72.61,71.35,71.91,939700,0.0,0
2019-03-27,71.93,72.49,71.25,72.08,1267900,0.0,0
2019-03-28,72.2,73.0,72.1,72.88,775200,0.0,0
2019-03-29,73.09,73.51,72.35,72.85,1760600,0.0,0
2019-04-01,73.58,75.5,73.41,75.39,1115900,0.0,0
2019-04-02,75.53,76.57,74.89,75.72,1306800,0.0,0
2019-04-03,76.65,78.68,76.19,77.68,1853300,0.0,0
2019-04-04,77.66,78.6,77.58,78.45,1055000,0.0,0
2019-04-05,78.73,79.35,78.59,79.09,1237800,0.0,0
2019-04-08,79.09,79.45,78.38,78.55,1334400,0.0,0
2019-04-09,77.98,78.34,77.11,77.89,720600,0.0,0
2019-04-10,78.23,78.77,77.41,78.37,637400,0.0,0
2019-04-11,78.53,79.22,78.2,78.43,1065000,0.0,0
2019-04-12,79.56,80.76,79.12,80.59,1820300,0.0,0
2019-04-15,81.09,81.57,80.24,80.59,799900,0.0,0
2019-04-16,80.65,81.26,80.03,81.14,968600,0.0,0
2019-04-17,81.59,82.74,80.34,80.42,1080300,0.0,0
2019-04-18,80.4,80.75,79.46,80.68,956600,0.0,0
2019-04-22,80.52,80.91,79.92,79.94,744100,0.0,0
2019-04-23,79.79,80.4,78.94,80.02,1440400,0.0,0
2019-04-24,80.11,80.11,78.62,78.63,805800,0.0,0
2019-04-25,78.51,78.51,77.4,77.49,1364900,0.0,0
2019-04-26,76.33,77.74,73.4,77.01,2193800,0.0,0
2019-04-29,76.72,77.49,76.2,77.07,1002000,0.0,0
2019-04-30,77.05,77.29,74.91,75.73,1135300,0.0,0
2019-05-01,75.81,76.27,75.09,75.42,1238200,0.0,0
2019-05-02,75.08,76.24,73.72,74.53,1387500,0.0,0
2019-05-03,75.04,76.43,74.97,76.38,1222900,0.0,0
2019-05-06,74.4,74.72,73.34,74.15,1184200,0.0,0
2019-05-07,73.15,73.47,72.46,73.41,1189700,0.0,0
2019-05-08,73.02,73.8,72.59,73.34,1006400,0.0,0
2019-05-09,72.32,72.83,71.37,72.7,774500,0.0,0
2019-05-10,72.65,73.11,71.27,72.76,1029300,0.0,0
2019-05-13,71.2,71.32,68.85,69.63,1145600,0.0,0
2019-05-14,69.77,70.73,69.77,70.08,1524400,0.0,0
2019-05-15,69.35,70.49,68.98,69.49,1472300,0.0,0
2019-05-16,70.03,70.17,69.14,69.28,1281900,0.0,0
2019-05-17,68.59,69.16,68.11,68.38,942200,0.0,0
2019-05-20,67.84,68.49,67.17,67.26,863400,0.0,0
2019-05-21,67.71,69.03,67.71,68.86,1094100,0.0,0
2019-05-22,68.45,68.66,67.66,67.75,778700,0.0,0
2019-05-23,66.8,66.92,65.41,65.7,1028800,0.0,0
2019-05-24,66.42,66.7,65.5,66.04,721100,0.0,0
2019-05-28,66.45,66.8,65.05,65.18,1111300,0.0,0
2019-05-29,64.53,65.09,63.84,64.96,1136400,0.0,0
2019-05-30,65.09,66.0,64.53,64.74,810900,0.0,0
2019-05-31,63.69,63.84,62.25,62.33,1205500,0.0,0
2019-06-03,62.54,64.96,62.41,64.88,1847600,0.0,0
2019-06-04,65.92,68.45,65.64,68.45,2069600,0.0,0
2019-06-05,68.61,68.85,66.86,68.77,1551400,0.0,0
2019-06-06,68.67,69.3,67.82,68.84,1326000,0.0,0
2019-06-07,69.06,69.14,68.05,68.48,1181100,0.0,0
2019-06-10,68.68,69.98,68.68,69.29,1324900,0.0,0
2019-06-11,70.28,71.32,69.65,69.83,907500,0.0,0
2019-06-12,69.85,70.08,69.31,69.74,586300,0.0,0
2019-06-13,70.32,71.28,70.18,71.24,908500,0.0,0
2019-06-14,70.49,70.8,69.71,69.8,1019600,0.62,0
2019-06-17,69.71,70.87,69.17,69.78,800300,0.0,0
2019-06-18,70.36,72.37,70.26,71.52,995600,0.0,0
2019-06-19,71.76,72.1,71.03,71.5,1250600,0.0,0
2019-06-20,72.83,73.39,72.48,73.27,1197900,0.0,0
2019-06-21,73.27,74.28,72.37,73.79,2015500,0.0,0
2019-06-24,73.85,74.37,73.38,73.47,793500,0.0,0
2019-06-25,73.52,74.35,72.87,73.94,1251500,0.0,0
2019-06-26,74.18,74.64,73.5,73.95,1050900,0.0,0
2019-06-27,74.05,74.95,74.05,74.59,765600,0.0,0
2019-06-28,74.83,75.62,74.53,75.36,1508800,0.0,0
2019-07-01,76.16,77.21,75.82,77.06,1407200,0.0,0
2019-07-02,76.83,76.83,74.86,75.28,988400,0.0,0
2019-07-03,75.17,75.46,74.55,75.25,421900,0.0,0
2019-07-05,74.57,75.41,74.34,75.37,439300,0.0,0
2019-07-08,74.91,75.33,72.73,73.05,1356600,0.0,0
2019-07-09,72.75,73.08,71.37,72.27,945400,0.0,0
2019-07-10,72.68,72.97,71.75,71.95,643700,0.0,0
2019-07-11,71.79,72.98,71.74,72.91,686500,0.0,0
2019-07-12,73.35,75.57,73.3,75.06,896700,0.0,0
2019-07-15,75.02,75.28,73.71,75.27,658500,0.0,0
2019-07-16,75.28,77.28,75.03,76.05,1145500,0.0,0
2019-07-17,75.87,76.02,74.82,75.48,784900,0.0,0
2019-07-18,74.88,75.94,74.88,75.28,570300,0.0,0
2019-07-19,75.58,76.69,75.54,76.18,596300,0.0,0
2019-07-22,76.26,76.87,75.9,76.21,609000,0.0,0
2019-07-23,76.88,79.06,76.88,78.64,977300,0.0,0
2019-07-24,78.26,79.36,77.77,79.14,848100,0.0,0
2019-07-25,78.64,79.14,77.33,78.07,1111900,0.0,0
2019-07-26,76.49,77.38,72.89,75.18,1985200,0.0,0
2019-07-29,74.79,75.53,74.07,74.59,967700,0.0,0
2019-07-30,73.63,74.58,73.01,74.27,1679700,0.0,0
2019-07-31,74.07,74.68,72.33,72.95,1364000,0.0,0
2019-08-01,72.69,73.18,69.74,70.18,1443000,0.0,0
2019-08-02,69.5,69.8,67.68,68.18,1720400,0.0,0
2019-08-05,67.05,67.05,65.05,65.78,1448600,0.0,0
2019-08-06,66.56,66.6,64.82,65.53,1219200,0.0,0
2019-08-07,64.8,65.55,63.9,65.36,1678400,0.0,0
2019-08-08,66.14,66.8,66.02,66.27,1207600,0.0,0
2019-08-09,65.63,65.94,64.87,65.26,1066500,0.0,0
2019-08-12,65.09,65.09,63.58,63.59,727200,0.0,0
2019-08-13,63.52,66.63,62.88,65.01,1374800,0.0,0
2019-08-14,63.36,63.37,61.5,61.66,1192700,0.0,0
2019-08-15,62.35,62.61,61.41,62.21,1687600,0.0,0
2019-08-16,62.63,63.72,61.41,63.41,967400,0.0,0
2019-08-19,64.63,65.45,64.26,64.42,1054200,0.0,0
2019-08-20,63.85,64.07,62.67,63.16,1214400,0.0,0
2019-08-21,64.06,64.06,63.18,63.51,909500,0.0,0
2019-08-22,63.83,64.29,62.74,62.93,697000,0.0,0
2019-08-23,62.16,62.37,59.58,59.86,1092200,0.0,0
2019-08-26,60.93,61.1,59.94,60.24,719300,0.0,0
2019-08-27,60.79,60.95,59.44,59.59,894500,0.0,0
2019-08-28,59.53,61.22,59.27,60.79,634600,0.0,0
2019-08-29,61.75,63.25,61.53,62.53,926000,0.0,0
2019-08-30,63.48,64.32,63.07,63.29,1365300,0.0,0
2019-09-03,62.35,62.66,61.63,62.27,830000,0.0,0
2019-09-04,63.65,63.9,62.63,63.01,890200,0.0,0
2019-09-05,64.0,65.87,64.0,65.34,1087200,0.0,0
2019-09-06,65.5,66.14,64.68,65.89,979700,0.0,0
2019-09-09,66.6,68.36,66.47,68.22,1084200,0.0,0
2019-09-10,68.76,72.22,68.58,71.97,1938400,0.0,0
