Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,439.89,450.18,436.52,450.06,569500,0.0,0
2019-03-22,450.59,452.6,443.01,443.39,644400,0.0,0
2019-03-25,444.13,445.35,437.28,438.17,449500,0.0,0
2019-03-26,437.87,440.66,434.8,439.63,379200,0.0,0
2019-03-27,441.41,443.43,437.04,440.03,390900,0.0,0
2019-03-28,441.66,444.1,438.82,441.88,415200,0.0,0
2019-03-29,443.36,445.7,436.97,445.02,524400,0.0,0
2019-04-01,435.59,448.57,435.59,448.1,376200,0.0,0
2019-04-02,449.24,453.46,446.85,452.17,484000,0.0,0
2019-04-03,453.42,457.74,447.51,453.71,531700,0.0,0
2019-04-04,454.24,456.38,451.64,453.15,448900,0.0,0
2019-04-05,453.67,458.9,452.18,458.24,284800,0.0,0
2019-04-08,458.36,459.58,452.05,455.09,251000,0.0,0
2019-04-09,454.87,455.89,450.91,451.85,284600,0.0,0
2019-04-10,453.27,454.67,451.27,452.93,304200,0.0,0
2019-04-11,448.78,454.61,448.78,452.4,256300,0.0,0
2019-04-12,449.6,455.67,445.57,455.06,369900,0.0,0
2019-04-15,454.01,454.75,449.14,451.74,286100,0.0,0
2019-04-16,453.62,453.62,443.22,444.53,346900,0.0,0
2019-04-17,446.25,446.35,437.04,439.48,342300,0.0,0
2019-04-18,442.09,442.09,436.95,438.42,452600,0.0,0
2019-04-22,437.73,440.91,434.87,439.2,445200,0.0,0
2019-04-23,441.38,444.69,436.53,442.12,369800,0.0,0
2019-04-24,442.68,446.02,437.92,445.32,268400,0.0,0
2019-04-25,442.81,447.59,439.23,445.74,223800,0.0,0
2019-04-26,445.67,445.67,432.8,444.91,361000,0.0,0
2019-04-29,443.45,445.83,438.25,440.75,296200,0.0,0
2019-04-30,441.54,447.96,438.03,446.53,408100,0.0,0
2019-05-01,445.45,451.26,441.46,441.93,499000,0.0,0
2019-05-02,461.56,471.32,453.64,456.66,726200,0.0,0
2019-05-03,457.94,468.42,456.06,468.42,420200,0.0,0
2019-05-06,463.97,472.16,463.78,469.94,496500,0.0,0
2019-05-07,469.32,469.91,463.45,466.4,523700,0.0,0
2019-05-08,465.06,474.95,463.18,470.38,590600,0.0,0
2019-05-09,469.2,470.72,464.51,468.03,335800,0.0,0
2019-05-10,467.71,473.08,466.12,471.2,438200,0.0,0
2019-05-13,465.05,468.62,463.98,467.69,498800,0.0,0
2019-05-14,468.96,475.8,468.44,475.31,419700,0.0,0
2019-05-15,475.55,479.61,474.45,477.88,279100,0.0,0
2019-05-16,478.76,485.13,478.27,482.93,327000,0.0,0
2019-05-17,478.86,482.02,476.45,481.47,289400,0.0,0
2019-05-20,479.12,479.66,471.49,471.5,379400,0.0,0
