Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,68.45,69.16,68.09,69.03,1386500,0.0,0
2019-03-22,69.35,70.28,69.18,69.83,1482700,0.0,0
2019-03-25,69.86,70.13,69.55,69.91,1579600,0.0,0
2019-03-26,70.11,70.39,69.69,70.09,1103800,0.0,0
2019-03-27,70.18,70.22,69.23,69.39,1511700,0.0,0
2019-03-28,69.52,69.68,68.23,68.52,1642600,0.0,0
2019-03-29,68.4,69.15,68.13,69.11,2487800,0.0,0
2019-04-01,69.1,69.13,68.19,68.85,2113300,0.0,0
2019-04-02,69.12,69.12,68.47,68.9,1440100,0.0,0
2019-04-03,68.25,68.96,68.18,68.68,1577500,0.0,0
2019-04-04,69.12,69.12,68.21,68.54,1576900,0.0,0
2019-04-05,68.02,69.28,67.3,69.24,1147300,0.0,0
2019-04-08,69.3,69.3,68.66,68.79,1506200,0.0,0
2019-04-09,68.82,69.01,68.6,68.95,1377200,0.0,0
2019-04-10,69.24,69.55,68.42,68.49,1438800,0.0,0
2019-04-11,68.06,68.95,68.06,68.77,1294600,0.0,0
2019-04-12,68.48,68.92,68.07,68.85,1181800,0.0,0
2019-04-15,68.84,69.26,68.75,68.95,1468000,0.0,0
2019-04-16,68.85,69.25,68.17,68.33,1429800,0.0,0
2019-04-17,68.31,68.68,68.08,68.39,1350200,0.0,0
2019-04-18,68.71,68.88,68.13,68.15,1518900,0.0,0
2019-04-22,68.07,68.45,67.97,68.18,1880600,0.0,0
2019-04-23,68.38,68.69,68.04,68.58,1983900,0.0,0
2019-04-24,68.58,69.24,68.58,69.03,1431700,0.0,0
2019-04-25,68.7,69.4,68.56,69.01,1663600,0.0,0
2019-04-26,69.64,69.92,69.11,69.18,1098100,0.0,0
2019-04-29,69.03,69.3,68.55,68.75,1076700,0.0,0
2019-04-30,68.86,69.82,68.68,69.81,1584900,0.0,0
2019-05-01,69.53,69.99,69.18,69.29,1644500,0.0,0
2019-05-02,70.29,70.62,69.54,69.67,2231900,0.0,0
2019-05-03,69.77,70.24,69.51,70.21,896500,0.0,0
2019-05-06,70.23,70.5,69.79,70.01,1008900,0.0,0
2019-05-07,71.29,71.37,69.39,69.66,1175000,0.0,0
2019-05-08,69.55,69.62,68.53,68.58,1284900,0.0,0
2019-05-09,68.68,69.05,68.25,68.63,984500,0.0,0
2019-05-10,68.64,69.91,68.5,69.9,874600,0.0,0
2019-05-13,69.78,71.18,69.43,71.1,1218600,0.0,0
2019-05-14,70.96,71.33,70.45,70.71,1377600,0.0,0
2019-05-15,70.79,71.15,70.54,70.72,1067100,0.0,0
2019-05-16,70.53,71.42,70.41,71.24,1098100,0.0,0
2019-05-17,70.72,71.89,70.65,71.63,1139900,0.0,0
2019-05-20,71.78,72.16,71.57,71.72,1074500,0.0,0
2019-05-21,71.71,72.24,71.48,71.83,1003500,0.0,0
2019-05-22,72.01,72.39,71.73,72.36,852600,0.535,0
2019-05-23,72.51,73.46,72.13,73.44,1855500,0.0,0
2019-05-24,73.51,74.01,73.34,73.47,889800,0.0,0
2019-05-28,73.66,73.83,72.61,72.74,1915500,0.0,0
2019-05-29,72.9,72.9,71.21,71.52,1387500,0.0,0
2019-05-30,71.57,72.09,71.41,71.8,860900,0.0,0
2019-05-31,71.23,72.61,71.14,72.45,5976900,0.0,0
2019-06-03,72.76,73.46,72.47,73.43,2791700,0.0,0
2019-06-04,73.44,73.44,71.49,72.99,3404000,0.0,0
2019-06-05,73.47,74.99,73.25,74.89,2306800,0.0,0
2019-06-06,74.97,75.89,74.84,75.41,1586900,0.0,0
2019-06-07,76.08,76.27,74.87,74.87,1328000,0.0,0
2019-06-10,74.69,74.87,73.95,74.59,1095900,0.0,0
2019-06-11,74.42,74.79,73.68,74.06,1292100,0.0,0
2019-06-12,74.42,75.16,74.42,75.07,849900,0.0,0
2019-06-13,75.22,75.36,74.66,75.23,1760200,0.0,0
2019-06-14,75.38,76.07,75.15,75.96,1409600,0.0,0
2019-06-17,75.99,76.11,74.85,75.06,1605700,0.0,0
2019-06-18,75.77,75.77,74.46,74.86,1494500,0.0,0
2019-06-19,74.56,75.98,74.43,75.72,1280900,0.0,0
2019-06-20,76.01,76.41,75.21,76.08,1764500,0.0,0
2019-06-21,75.84,76.17,75.38,75.95,3823500,0.0,0
2019-06-24,76.37,76.41,75.7,75.94,1353500,0.0,0
2019-06-25,76.03,76.25,75.28,75.54,1640700,0.0,0
2019-06-26,75.47,75.48,73.87,73.96,1942400,0.0,0
2019-06-27,74.58,74.58,73.78,73.99,1627300,0.0,0
2019-06-28,73.95,74.64,73.86,74.34,2590700,0.0,0
2019-07-01,74.34,74.35,73.37,74.24,1683700,0.0,0
2019-07-02,74.53,75.5,74.4,75.22,1546600,0.0,0
2019-07-03,75.46,76.18,75.46,75.67,703700,0.0,0
2019-07-05,75.0,75.7,74.27,75.55,1487700,0.0,0
2019-07-08,75.63,75.99,75.2,75.59,1876400,0.0,0
2019-07-09,75.46,75.63,74.99,75.52,1496700,0.0,0
2019-07-10,75.77,76.46,75.46,76.21,1334600,0.0,0
2019-07-11,76.26,76.62,75.83,76.6,1912300,0.0,0
2019-07-12,76.5,76.6,75.82,76.08,1868300,0.0,0
2019-07-15,75.95,76.47,75.65,76.29,1258000,0.0,0
2019-07-16,75.64,76.27,75.16,75.64,1811800,0.0,0
2019-07-17,76.18,76.44,75.83,75.91,2110500,0.0,0
2019-07-18,75.95,76.95,75.5,76.93,1472200,0.0,0
