Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,277.74,282.62,277.74,282.08,251200,0.0,0
2019-03-22,282.85,287.06,282.85,283.26,302700,0.0,0
2019-03-25,282.2,283.94,279.78,281.47,299600,0.0,0
2019-03-26,281.69,285.49,281.69,285.36,164600,0.0,0
2019-03-27,285.36,286.58,282.74,284.06,251100,0.0,0
2019-03-28,284.06,285.31,282.94,284.64,213400,1.95,0
2019-03-29,284.86,285.48,283.0,283.73,349000,0.0,0
2019-04-01,283.34,283.37,278.95,282.78,270500,0.0,0
2019-04-02,282.9,286.9,279.86,286.18,379100,0.0,0
2019-04-03,285.81,286.12,282.42,284.55,322100,0.0,0
2019-04-04,285.14,285.4,280.4,282.3,270900,0.0,0
2019-04-05,282.87,283.98,281.25,283.84,285000,0.0,0
2019-04-08,283.89,283.89,280.47,282.02,281800,0.0,0
2019-04-09,282.15,282.64,280.77,281.98,235000,0.0,0
2019-04-10,282.7,284.12,282.29,283.2,330100,0.0,0
2019-04-11,283.63,284.75,282.34,284.3,151900,0.0,0
2019-04-12,283.52,284.65,281.02,284.63,245100,0.0,0
2019-04-15,285.05,285.76,282.73,283.2,275300,0.0,0
2019-04-16,282.58,283.25,272.68,273.19,452400,0.0,0
2019-04-17,274.01,274.01,268.35,269.4,312800,0.0,0
2019-04-18,269.55,273.19,269.05,272.99,298500,0.0,0
2019-04-22,272.08,272.08,266.41,269.93,272300,0.0,0
2019-04-23,270.6,273.5,269.03,271.62,310600,0.0,0
2019-04-24,273.33,274.22,271.42,273.35,403600,0.0,0
2019-04-25,273.26,277.59,272.48,273.04,353600,0.0,0
2019-04-26,274.66,277.71,273.46,276.07,288400,0.0,0
2019-04-29,276.55,277.53,272.25,272.36,173200,0.0,0
2019-04-30,272.31,277.8,271.7,277.12,499100,0.0,0
2019-05-01,276.75,282.38,276.38,278.27,368400,0.0,0
2019-05-02,278.43,281.43,276.38,277.67,261700,0.0,0
2019-05-03,278.52,279.59,276.32,278.92,220100,0.0,0
2019-05-06,279.14,280.33,276.3,278.45,159800,0.0,0
2019-05-07,278.12,279.04,271.49,273.6,239300,0.0,0
2019-05-08,274.48,276.6,273.06,273.17,226100,0.0,0
2019-05-09,272.78,275.88,271.28,274.75,240600,0.0,0
2019-05-10,274.63,279.5,274.63,278.43,277900,0.0,0
2019-05-13,277.76,279.02,276.24,278.21,370000,0.0,0
2019-05-14,278.19,279.61,276.46,277.2,210200,0.0,0
2019-05-15,276.48,279.92,276.31,278.76,183400,0.0,0
2019-05-16,278.42,281.55,278.29,280.49,208200,0.0,0
2019-05-17,279.75,280.69,278.37,280.57,335900,0.0,0
2019-05-20,281.04,281.72,277.28,278.64,165800,0.0,0
2019-05-21,279.74,282.26,279.74,281.22,218400,0.0,0
2019-05-22,281.79,283.27,279.81,282.45,180200,0.0,0
2019-05-23,282.09,284.17,281.79,283.9,208700,0.0,0
2019-05-24,284.38,287.13,284.38,285.43,293500,0.0,0
2019-05-28,286.79,287.81,283.68,283.74,422800,0.0,0
2019-05-29,284.12,284.12,278.41,279.91,339500,0.0,0
2019-05-30,279.94,281.68,279.34,280.02,250400,0.0,0
2019-05-31,279.91,287.95,279.44,286.18,499600,0.0,0
2019-06-03,287.17,288.95,280.69,284.11,337000,0.0,0
2019-06-04,284.19,284.19,278.31,282.45,268200,0.0,0
2019-06-05,283.71,290.02,282.26,289.97,237000,0.0,0
2019-06-06,289.91,292.18,288.65,290.85,151800,0.0,0
2019-06-07,292.09,293.95,290.53,291.02,114700,0.0,0
2019-06-10,291.15,292.33,287.92,290.37,104700,0.0,0
2019-06-11,290.89,293.58,288.62,293.32,286700,0.0,0
2019-06-12,293.53,295.23,292.15,293.14,213300,0.0,0
2019-06-13,293.71,293.92,291.05,292.53,219800,0.0,0
2019-06-14,292.46,294.0,291.92,293.49,144600,0.0,0
2019-06-17,294.23,297.31,294.23,296.56,194800,0.0,0
2019-06-18,297.07,297.84,293.35,295.37,244500,0.0,0
2019-06-19,294.03,297.89,292.66,295.9,285500,0.0,0
2019-06-20,296.87,299.41,296.55,297.14,373700,0.0,0
2019-06-21,296.4,296.4,292.06,294.26,599500,0.0,0
2019-06-24,294.88,294.88,291.59,292.32,263700,0.0,0
2019-06-25,293.2,294.46,288.34,288.57,212500,0.0,0
2019-06-26,288.89,288.95,281.8,282.81,319900,0.0,0
2019-06-27,285.64,288.16,283.86,284.8,313600,1.95,0
2019-06-28,285.32,289.52,284.85,288.32,666900,0.0,0
