Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,46.66,46.94,45.77,46.04,2921000,0.0,0
2019-03-22,45.55,45.73,43.91,44.48,4064000,0.0,0
2019-03-25,44.51,45.09,44.17,44.55,2460000,0.0,0
2019-03-26,44.86,45.39,44.7,45.09,1989500,0.0,0
2019-03-27,45.16,45.44,44.48,44.65,1811700,0.0,0
2019-03-28,44.73,45.41,44.54,45.39,2414700,0.0,0
2019-03-29,45.82,46.1,45.59,45.87,2227300,0.0,0
2019-04-01,46.4,47.72,46.32,47.39,2104100,0.0,0
2019-04-02,47.33,47.59,47.02,47.48,1832100,0.0,0
2019-04-03,47.97,48.32,47.19,47.45,1692600,0.0,0
2019-04-04,47.41,48.11,47.41,47.85,1128800,0.0,0
2019-04-05,47.86,48.26,47.43,48.18,1903800,0.0,0
2019-04-08,47.92,48.18,47.71,48.08,1156700,0.0,0
2019-04-09,47.78,48.08,47.11,47.41,1895500,0.0,0
2019-04-10,47.46,47.55,46.96,47.46,1705400,0.0,0
2019-04-11,47.76,48.26,47.54,47.7,1677000,0.0,0
2019-04-12,48.44,49.07,48.27,48.7,2009800,0.0,0
2019-04-15,49.09,49.21,48.17,48.38,1809000,0.0,0
2019-04-16,48.34,49.25,48.34,49.22,2499000,0.0,0
2019-04-17,49.4,49.53,48.48,49.37,3442600,0.0,0
2019-04-18,50.89,51.72,49.94,50.52,5335100,0.0,0
2019-04-22,50.26,50.74,49.73,49.8,2030500,0.0,0
2019-04-23,49.76,50.37,49.24,49.85,2013000,0.0,0
2019-04-24,49.64,49.72,48.58,49.36,2979700,0.0,0
2019-04-25,49.16,50.12,48.93,49.58,1863300,0.0,0
2019-04-26,49.63,49.86,48.5,49.65,2666400,0.0,0
2019-04-29,49.67,50.74,49.6,50.65,1699500,0.0,0
2019-04-30,50.75,51.18,49.82,50.05,2058300,0.0,0
2019-05-01,50.09,50.38,49.15,49.5,2277900,0.0,0
2019-05-02,49.43,50.45,49.41,49.85,1425400,0.0,0
2019-05-03,49.96,50.4,49.87,49.99,1082200,0.0,0
2019-05-06,49.0,50.07,48.63,49.84,1779800,0.0,0
2019-05-07,49.32,49.84,48.85,49.23,2062300,0.0,0
2019-05-08,49.18,49.88,48.88,49.18,2536400,0.0,0
2019-05-09,48.62,49.61,48.04,49.48,2799300,0.0,0
2019-05-10,49.15,49.5,48.42,49.19,2043200,0.14,0
2019-05-13,48.1,48.2,46.97,47.07,3335000,0.0,0
2019-05-14,47.14,48.46,47.11,48.05,3191700,0.0,0
2019-05-15,47.55,47.69,46.93,47.24,2611800,0.0,0
2019-05-16,47.52,48.42,47.44,47.95,2093100,0.0,0
