Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,90.53,91.97,90.37,91.86,1464600,0.0,0
2019-03-22,91.91,93.62,91.79,92.99,1778700,0.0,0
2019-03-25,93.1,93.21,92.51,92.7,1219900,0.0,0
2019-03-26,92.89,93.72,92.85,93.37,1132300,0.0,0
2019-03-27,93.55,93.55,92.49,92.84,1246800,0.0,0
2019-03-28,93.01,93.36,91.65,91.97,1663500,0.0,0
2019-03-29,92.0,92.61,91.61,92.52,1091300,0.0,0
2019-04-01,92.48,92.48,91.0,91.29,1474400,0.0,0
2019-04-02,91.63,91.63,90.57,91.07,1434700,0.0,0
2019-04-03,91.03,91.44,90.46,90.99,1283400,0.0,0
2019-04-04,91.17,91.33,90.17,90.56,980600,0.0,0
2019-04-05,90.6,91.56,90.17,91.4,1571500,0.0,0
2019-04-08,91.58,91.74,90.96,91.27,1171700,0.0,0
2019-04-09,91.42,91.66,91.2,91.63,1026300,0.0,0
2019-04-10,91.88,92.73,91.21,91.51,1107100,0.0,0
2019-04-11,91.67,92.14,91.31,91.93,1402100,0.0,0
2019-04-12,91.53,92.41,90.99,92.14,1304700,0.0,0
2019-04-15,92.13,92.46,91.65,91.96,1291600,0.0,0
2019-04-16,91.74,92.4,90.17,90.35,1764900,0.0,0
2019-04-17,90.33,90.51,89.71,89.88,1336300,0.0,0
2019-04-18,90.53,91.34,90.28,90.42,1493300,0.0,0
2019-04-22,90.42,90.82,90.21,90.59,1218500,0.0,0
2019-04-23,90.5,91.42,90.27,91.23,1426200,0.0,0
2019-04-24,91.33,91.96,91.06,91.56,1301700,0.0,0
2019-04-25,91.21,92.46,91.12,92.11,1042800,0.0,0
2019-04-26,92.5,93.03,91.97,92.03,1652000,0.0,0
2019-04-29,91.8,92.39,91.53,91.91,981900,0.0,0
2019-04-30,91.87,93.79,91.7,93.75,1486400,0.0,0
2019-05-01,93.31,94.24,92.58,92.77,1493200,0.0,0
2019-05-02,92.94,93.8,92.16,93.09,1370300,0.0,0
2019-05-03,93.13,93.92,93.09,93.49,1056500,0.0,0
2019-05-06,93.56,93.79,92.78,93.08,856600,0.0,0
2019-05-07,92.98,93.47,92.61,93.37,1338900,0.0,0
2019-05-08,93.07,93.39,91.79,92.03,2220400,0.91,0
2019-05-09,92.23,92.54,91.72,92.11,1575300,0.0,0
2019-05-10,92.01,94.09,92.01,94.08,1329900,0.0,0
2019-05-13,94.08,95.34,93.71,95.2,1203600,0.0,0
2019-05-14,95.03,95.23,94.24,94.24,1638300,0.0,0
2019-05-15,94.24,94.8,94.04,94.04,923200,0.0,0
2019-05-16,93.76,94.96,93.59,94.65,752500,0.0,0
2019-05-17,94.09,95.72,94.09,95.61,1073700,0.0,0
2019-05-20,95.71,96.21,95.19,95.66,1339500,0.0,0
2019-05-21,95.57,96.26,95.11,95.4,1297700,0.0,0
2019-05-22,95.48,96.22,95.12,96.19,898900,0.0,0
2019-05-23,96.37,97.05,96.16,97.03,927000,0.0,0
2019-05-24,97.03,97.51,96.63,96.68,1188100,0.0,0
2019-05-28,96.71,96.74,94.66,94.67,1670000,0.0,0
2019-05-29,94.85,95.08,93.27,93.43,1868300,0.0,0
2019-05-30,93.8,94.18,93.4,93.92,1968700,0.0,0
2019-05-31,94.02,95.12,93.67,94.81,2995900,0.0,0
2019-06-03,95.0,95.74,94.17,95.73,2241900,0.0,0
2019-06-04,95.66,95.66,93.19,95.17,2572300,0.0,0
2019-06-05,95.56,98.41,95.43,97.9,2699900,0.0,0
2019-06-06,98.0,99.16,97.95,98.62,1691700,0.0,0
2019-06-07,99.52,100.04,98.18,98.25,1876000,0.0,0
2019-06-10,97.95,98.39,97.1,97.52,2335600,0.0,0
2019-06-11,97.2,97.7,96.55,97.18,1728100,0.0,0
2019-06-12,97.9,99.38,97.67,98.95,1628300,0.0,0
2019-06-13,99.02,99.45,98.18,98.66,1353500,0.0,0
2019-06-14,98.9,100.08,98.9,99.66,1429100,0.0,0
2019-06-17,99.83,100.38,98.75,99.39,2088200,0.0,0
2019-06-18,99.81,99.94,98.25,98.94,1038800,0.0,0
2019-06-19,98.46,100.45,98.46,100.09,1353400,0.0,0
2019-06-20,100.6,101.37,100.14,101.03,1763800,0.0,0
2019-06-21,101.09,101.97,100.23,101.83,2815300,0.0,0
2019-06-24,101.89,102.04,101.03,101.27,1264200,0.0,0
2019-06-25,101.06,101.43,100.59,100.83,1818500,0.0,0
2019-06-26,100.81,100.9,98.73,98.85,2325500,0.0,0
2019-06-27,99.03,99.69,98.52,99.29,1153700,0.0,0
2019-06-28,99.14,100.67,99.12,100.53,3015700,0.0,0
2019-07-01,100.41,100.53,98.77,99.62,2360700,0.0,0
2019-07-02,100.08,101.66,99.96,101.27,1863600,0.0,0
