Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,47.59,48.22,47.48,48.14,8557500,0.0,0
2019-03-22,48.2,48.92,48.11,48.74,7286600,0.0,0
2019-03-25,48.77,48.94,48.53,48.84,5892100,0.0,0
2019-03-26,49.01,49.19,48.78,49.13,4179500,0.0,0
2019-03-27,49.16,49.29,48.67,48.98,5146400,0.0,0
2019-03-28,49.03,49.09,48.08,48.23,5403400,0.0,0
2019-03-29,48.19,48.61,48.07,48.59,5692200,0.0,0
2019-04-01,48.8,48.81,47.92,48.31,4213000,0.0,0
2019-04-02,48.78,48.81,48.37,48.75,6380800,0.0,0
2019-04-03,48.71,48.75,48.28,48.41,4315900,0.0,0
2019-04-04,48.53,48.56,47.97,48.12,3986400,0.0,0
2019-04-05,48.19,48.43,48.0,48.37,5030900,0.0,0
2019-04-08,48.34,48.46,47.92,48.1,6370800,0.0,0
2019-04-09,48.02,48.31,47.84,48.0,5267200,0.0,0
2019-04-10,48.42,48.72,48.0,48.04,4489200,0.0,0
2019-04-11,47.96,48.27,47.87,48.25,3576500,0.0,0
2019-04-12,48.13,48.3,47.69,48.18,6541200,0.0,0
2019-04-15,48.28,48.75,48.19,48.65,5035600,0.0,0
2019-04-16,48.54,48.66,47.59,47.69,3682200,0.0,0
2019-04-17,47.78,47.81,47.29,47.39,5184400,0.0,0
2019-04-18,47.5,48.1,47.32,47.89,8692700,0.0,0
2019-04-22,47.97,48.21,47.8,47.96,6105100,0.0,0
2019-04-23,48.0,48.44,47.8,48.21,6573000,0.0,0
2019-04-24,48.26,48.8,48.21,48.53,7003800,0.0,0
2019-04-25,48.35,49.12,48.27,48.84,4185100,0.0,0
2019-04-26,49.08,49.47,48.91,48.92,4971800,0.0,0
2019-04-29,48.83,48.9,48.16,48.54,5297300,0.0,0
2019-04-30,48.67,49.44,48.44,49.39,7601000,0.0,0
2019-05-01,49.2,49.26,48.74,48.75,5495500,0.0,0
2019-05-02,49.12,49.16,47.72,48.21,4707500,0.0,0
2019-05-03,48.22,48.52,48.07,48.35,4597000,0.0,0
2019-05-06,48.4,48.51,47.74,47.88,5252700,0.0,0
2019-05-07,47.81,47.99,47.39,47.58,4655200,0.0,0
2019-05-08,47.45,47.65,46.95,47.09,5553700,0.0,0
2019-05-09,47.19,47.43,46.85,47.26,4447000,0.0,0
2019-05-10,47.28,47.9,47.0,47.82,4062300,0.0,0
2019-05-13,47.7,48.38,47.63,48.29,4122200,0.0,0
2019-05-14,48.22,48.39,47.76,47.82,4933400,0.363,0
2019-05-15,47.86,48.05,47.59,47.62,4516400,0.0,0
2019-05-16,47.66,48.0,47.49,47.76,4584600,0.0,0
2019-05-17,47.38,48.03,47.38,47.83,4125100,0.0,0
2019-05-20,47.94,48.17,47.65,47.78,4538600,0.0,0
2019-05-21,47.83,48.19,47.64,47.78,3871200,0.0,0
2019-05-22,47.87,48.22,47.66,48.11,4696600,0.0,0
2019-05-23,48.13,48.56,48.04,48.49,3656100,0.0,0
2019-05-24,48.5,48.83,48.35,48.39,4196600,0.0,0
2019-05-28,48.41,48.45,47.52,47.63,4299500,0.0,0
2019-05-29,47.78,47.81,47.01,47.11,3623500,0.0,0
2019-05-30,47.21,47.36,46.83,46.91,3271000,0.0,0
2019-05-31,46.91,47.15,46.56,46.95,5138400,0.0,0
2019-06-03,47.17,47.47,46.86,47.38,3738400,0.0,0
2019-06-04,47.37,47.63,46.58,47.56,3402900,0.0,0
2019-06-05,47.76,48.79,47.65,48.55,4549700,0.0,0
2019-06-06,48.56,49.17,48.45,49.05,4637400,0.0,0
2019-06-07,49.57,49.97,48.77,48.77,5780600,0.0,0
2019-06-10,48.78,48.78,48.09,48.4,3739100,0.0,0
2019-06-11,48.28,48.52,47.77,48.05,4177500,0.0,0
2019-06-12,48.23,49.3,47.95,49.26,5176400,0.0,0
2019-06-13,49.34,49.48,48.65,48.99,3781700,0.0,0
2019-06-14,49.0,49.75,48.89,49.6,4110700,0.0,0
2019-06-17,49.57,49.66,49.06,49.26,3999100,0.0,0
2019-06-18,49.42,49.5,48.35,48.73,5449300,0.0,0
2019-06-19,48.49,49.0,48.16,48.82,6665600,0.0,0
2019-06-20,48.94,49.28,48.5,49.06,4882600,0.0,0
2019-06-21,48.99,49.27,48.63,49.21,8194800,0.0,0
2019-06-24,49.06,49.38,48.72,48.98,5140500,0.0,0
2019-06-25,48.84,48.92,47.85,47.89,5656000,0.0,0
2019-06-26,47.71,47.84,46.64,46.66,6191200,0.0,0
2019-06-27,46.85,46.94,46.26,46.44,6226100,0.0,0
2019-06-28,46.47,46.93,46.38,46.81,6728400,0.0,0
2019-07-01,46.84,47.01,46.38,46.92,4397000,0.0,0
2019-07-02,47.03,47.69,46.99,47.68,7305100,0.0,0
2019-07-03,47.73,48.05,47.56,47.88,3560800,0.0,0
2019-07-05,47.55,48.1,47.06,48.04,4583400,0.0,0
2019-07-08,47.99,48.1,47.44,47.62,6751800,0.0,0
2019-07-09,47.62,47.92,47.28,47.83,5700000,0.0,0
2019-07-10,48.03,48.63,47.83,48.21,6124500,0.0,0
2019-07-11,48.26,48.4,47.85,48.37,4379900,0.0,0
2019-07-12,48.45,48.54,47.87,47.9,3981700,0.0,0
2019-07-15,47.86,48.05,47.53,47.73,4945900,0.0,0
2019-07-16,47.66,47.91,46.94,47.26,5742000,0.0,0
2019-07-17,47.5,47.71,47.3,47.46,3983400,0.0,0
2019-07-18,47.57,47.71,47.17,47.61,4691400,0.0,0
2019-07-19,47.48,47.57,46.41,46.45,6827000,0.0,0
2019-07-22,46.57,46.65,45.96,46.17,5328900,0.0,0
2019-07-23,46.09,46.15,45.14,45.27,7742100,0.0,0
2019-07-24,45.06,45.21,44.05,44.41,10354600,0.0,0
2019-07-25,44.43,45.18,44.14,45.04,8945700,0.0,0
2019-07-26,45.15,45.39,44.73,44.74,5525900,0.0,0
2019-07-29,44.82,45.12,44.39,44.97,6875300,0.0,0
2019-07-30,44.98,45.35,44.79,44.97,4200500,0.0,0
2019-07-31,44.96,44.99,43.84,44.0,6978400,0.0,0
2019-08-01,43.0,44.09,42.66,43.35,7890400,0.0,0
2019-08-02,43.52,44.39,43.45,43.7,7878900,0.0,0
2019-08-05,43.75,44.24,43.27,43.37,9973900,0.0,0
2019-08-06,43.49,44.31,43.18,44.15,7561600,0.0,0
2019-08-07,44.07,44.29,43.29,43.95,5055600,0.0,0
2019-08-08,43.92,44.39,43.68,44.35,5158500,0.0,0
2019-08-09,44.54,44.71,44.07,44.14,5661700,0.0,0
2019-08-12,44.15,44.41,43.77,44.14,6072800,0.0,0
2019-08-13,44.21,44.69,43.72,44.45,6680900,0.0,0
2019-08-14,44.36,44.45,43.56,43.78,5664000,0.363,0
2019-08-15,43.72,44.25,43.62,43.95,5173500,0.0,0
2019-08-16,44.12,44.47,43.9,44.42,5429100,0.0,0
2019-08-19,44.49,44.74,44.23,44.57,3984500,0.0,0
2019-08-20,44.67,44.68,44.2,44.5,6164800,0.0,0
2019-08-21,44.51,44.87,44.34,44.73,3780500,0.0,0
2019-08-22,44.73,44.97,44.5,44.81,3670500,0.0,0
2019-08-23,44.63,44.91,44.0,44.18,6978000,0.0,0
2019-08-26,44.32,44.97,44.19,44.96,3979400,0.0,0
2019-08-27,45.87,46.26,45.48,45.51,9734400,0.0,0
2019-08-28,45.45,45.79,45.31,45.7,5309200,0.0,0
2019-08-29,45.95,46.05,45.59,46.02,3595300,0.0,0
2019-08-30,46.23,46.72,46.03,46.52,5474400,0.0,0
2019-09-03,46.34,47.2,46.23,47.17,5705100,0.0,0
2019-09-04,47.43,47.48,46.9,47.25,5124500,0.0,0
2019-09-05,47.04,47.52,46.9,47.36,9220000,0.0,0
2019-09-06,47.81,48.0,47.21,47.36,4812700,0.0,0
2019-09-09,47.17,47.49,47.03,47.28,4996600,0.0,0
2019-09-10,47.18,47.71,47.1,47.59,6037000,0.0,0
2019-09-11,47.5,47.99,47.2,47.97,3625900,0.0,0
2019-09-12,48.23,48.32,47.12,47.13,7599700,0.0,0
2019-09-13,46.85,47.13,45.91,46.53,8184100,0.0,0
2019-09-16,46.53,46.66,46.23,46.64,4223100,0.0,0
2019-09-17,46.55,46.9,46.33,46.55,5617300,0.0,0
2019-09-18,46.77,47.27,46.73,47.19,3624500,0.0,0
2019-09-19,47.33,47.33,46.87,47.05,3650400,0.0,0
2019-09-20,47.27,47.83,47.21,47.69,10352000,0.0,0
2019-09-23,47.52,47.66,47.32,47.55,4742400,0.0,0
2019-09-24,47.78,48.25,47.71,48.03,4921900,0.0,0
2019-09-25,48.02,48.28,47.72,48.24,4519500,0.0,0
2019-09-26,48.28,48.55,48.0,48.41,3835800,0.0,0
2019-09-27,48.46,48.46,47.52,47.82,4642700,0.0,0
2019-09-30,47.83,48.03,47.46,47.55,3896000,0.0,0
