Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,73.52,75.04,73.48,74.85,607800,0.0,0
2019-03-22,74.66,74.81,73.06,73.11,886700,0.0,0
2019-03-25,72.8,73.24,72.05,72.71,1308500,0.0,0
2019-03-26,73.03,73.27,72.65,73.05,1328500,0.0,0
2019-03-27,73.11,73.5,72.79,73.26,1208100,0.0,0
2019-03-28,73.34,74.01,73.34,73.95,683500,0.0,0
2019-03-29,74.41,75.07,74.23,74.86,1087200,0.0,0
2019-04-01,75.4,76.62,75.22,76.54,1000900,0.0,0
2019-04-02,76.6,77.1,76.17,77.02,1360400,0.0,0
2019-04-03,77.08,78.16,76.51,76.72,1562300,0.0,0
2019-04-04,76.54,77.41,75.96,77.28,988400,0.0,0
2019-04-05,77.56,77.9,76.83,77.04,1056100,0.0,0
2019-04-08,76.88,78.17,76.68,77.16,645900,0.0,0
2019-04-09,76.95,78.07,76.46,76.75,838300,0.0,0
2019-04-10,76.95,77.07,76.28,76.74,760900,0.0,0
2019-04-11,76.97,77.25,76.66,77.12,576700,0.0,0
2019-04-12,77.63,77.99,77.25,77.96,674700,0.0,0
2019-04-15,77.88,78.05,76.81,77.87,546900,0.0,0
2019-04-16,77.97,79.05,77.64,78.72,998300,0.0,0
2019-04-17,79.17,79.42,78.77,79.01,734300,0.0,0
2019-04-18,78.99,79.59,78.55,79.33,1095200,0.0,0
2019-04-22,78.99,78.99,78.33,78.87,687900,0.0,0
2019-04-23,78.91,78.99,78.45,78.89,817700,0.0,0
2019-04-24,78.93,79.54,78.82,79.4,1071800,0.0,0
2019-04-25,78.9,78.9,77.4,77.65,938300,0.0,0
2019-04-26,77.61,78.24,76.84,78.2,633200,0.0,0
2019-04-29,78.28,78.38,76.81,77.27,938400,0.0,0
2019-04-30,77.3,78.46,77.12,78.33,1414300,0.0,0
2019-05-01,78.24,78.24,76.01,76.07,1316500,0.0,0
2019-05-02,76.07,77.17,75.55,77.15,1024200,0.0,0
2019-05-03,77.54,78.15,77.35,78.08,703800,0.0,0
2019-05-06,76.78,78.08,76.31,77.63,1216500,0.0,0
2019-05-07,76.05,76.05,72.9,74.7,2249800,0.0,0
2019-05-08,74.89,74.96,73.58,73.92,1421000,0.0,0
2019-05-09,73.13,73.89,73.02,73.26,1365200,0.0,0
2019-05-10,72.94,73.36,71.56,72.8,1472500,0.0,0
2019-05-13,71.46,72.1,70.92,71.15,1341300,0.0,0
2019-05-14,71.31,72.65,71.12,71.83,1287700,0.0,0
2019-05-15,71.49,72.71,71.34,72.33,1181100,0.0,0
2019-05-16,72.47,73.72,72.37,73.35,1141900,0.0,0
2019-05-17,73.01,74.5,72.77,73.52,1498200,0.0,0
2019-05-20,72.91,73.1,72.33,72.84,962400,0.0,0
2019-05-21,73.25,73.61,72.83,72.94,1291400,0.0,0
2019-05-22,72.52,72.65,71.33,71.89,669700,0.0,0
2019-05-23,71.39,71.65,70.19,70.7,914900,0.0,0
2019-05-24,71.05,71.27,70.23,70.71,575300,0.0,0
2019-05-28,70.69,70.85,69.67,69.86,1820900,0.0,0
2019-05-29,69.65,69.68,68.52,69.41,1223500,0.0,0
2019-05-30,69.52,69.97,68.59,69.34,788000,0.0,0
2019-05-31,68.98,69.57,68.42,69.13,1181800,0.5,0
2019-06-03,69.0,70.11,69.0,69.69,1542800,0.0,0
2019-06-04,70.35,71.05,69.98,71.02,982800,0.0,0
2019-06-05,71.38,72.06,70.86,71.95,852500,0.0,0
2019-06-06,71.68,72.15,70.75,71.28,919200,0.0,0
2019-06-07,71.61,72.26,71.49,72.08,795200,0.0,0
2019-06-10,72.4,73.93,72.27,73.21,1169200,0.0,0
2019-06-11,73.54,73.94,72.29,72.54,1121900,0.0,0
2019-06-12,72.6,73.81,69.84,73.79,1707400,0.0,0
2019-06-13,73.92,74.5,73.65,74.04,830900,0.0,0
2019-06-14,74.05,74.18,72.82,73.48,728600,0.0,0
2019-06-17,73.38,73.86,72.58,72.63,739500,0.0,0
2019-06-18,72.94,73.94,72.8,73.83,878900,0.0,0
2019-06-19,73.85,75.01,73.83,74.88,1016000,0.0,0
2019-06-20,75.34,75.97,75.14,75.83,1173500,0.0,0
2019-06-21,75.84,75.84,74.81,74.89,1425800,0.0,0
2019-06-24,75.01,75.13,73.66,73.8,1140700,0.0,0
2019-06-25,73.86,74.33,73.18,73.34,999800,0.0,0
2019-06-26,73.26,73.8,72.44,72.7,1130200,0.0,0
2019-06-27,72.94,74.36,72.94,74.25,743600,0.0,0
2019-06-28,74.5,75.65,74.49,75.36,2065200,0.0,0
2019-07-01,76.48,76.64,74.88,75.49,915500,0.0,0
2019-07-02,75.27,75.68,73.8,73.97,948600,0.0,0
2019-07-03,73.98,75.0,73.87,74.97,606700,0.0,0
2019-07-05,74.8,74.95,73.93,74.87,501500,0.0,0
2019-07-08,74.46,74.97,74.09,74.5,613000,0.0,0
2019-07-09,73.82,74.3,72.46,73.04,1804000,0.0,0
2019-07-10,73.21,73.47,71.1,71.16,1163400,0.0,0
2019-07-11,71.22,72.05,70.9,71.95,1611800,0.0,0
2019-07-12,72.29,73.69,72.06,73.66,1182800,0.0,0
2019-07-15,73.63,73.82,73.23,73.62,770500,0.0,0
2019-07-16,73.63,75.15,73.63,74.6,932500,0.0,0
2019-07-17,74.4,74.4,73.14,73.15,1026500,0.0,0
2019-07-18,73.09,73.69,72.85,73.52,985000,0.0,0
2019-07-19,73.9,74.84,73.52,74.49,1801700,0.0,0
2019-07-22,74.51,75.12,74.11,74.18,845400,0.0,0
2019-07-23,74.45,74.94,73.72,74.92,840500,0.0,0
2019-07-24,74.72,76.48,74.42,76.03,969100,0.0,0
2019-07-25,75.94,76.2,74.47,74.9,743000,0.0,0
2019-07-26,75.09,75.84,74.69,75.69,610800,0.0,0
2019-07-29,75.38,75.73,74.95,75.69,517000,0.0,0
2019-07-30,75.44,76.29,75.06,75.75,617300,0.0,0
2019-07-31,75.42,76.69,75.19,75.85,1338100,0.0,0
2019-08-01,75.66,75.67,72.31,72.84,1302500,0.0,0
2019-08-02,72.74,73.43,72.17,72.7,911300,0.0,0
2019-08-05,71.06,71.43,68.45,69.24,1861800,0.0,0
2019-08-06,77.4,77.4,71.14,71.98,1639200,0.0,0
2019-08-07,70.9,72.33,69.04,72.11,1035700,0.0,0
2019-08-08,72.37,72.89,71.81,72.66,903400,0.0,0
2019-08-09,72.65,72.83,71.41,71.81,831600,0.0,0
2019-08-12,71.52,71.52,70.49,70.62,763100,0.0,0
2019-08-13,70.27,71.92,69.72,71.13,2568400,0.0,0
2019-08-14,70.33,70.94,69.39,69.74,1238700,0.0,0
2019-08-15,69.94,70.55,69.45,69.94,1101600,0.0,0
2019-08-16,69.99,71.36,69.5,70.96,769000,0.0,0
2019-08-19,72.02,72.09,71.16,71.25,654400,0.0,0
2019-08-20,71.3,71.3,69.93,69.98,685100,0.0,0
2019-08-21,70.64,70.78,69.98,70.15,677500,0.0,0
2019-08-22,70.49,70.49,69.41,69.78,597900,0.0,0
2019-08-23,69.21,69.74,67.52,67.87,1424700,0.0,0
2019-08-26,68.42,69.26,67.94,68.99,937300,0.0,0
2019-08-27,69.46,69.7,68.92,69.42,1190300,0.0,0
2019-08-28,69.43,70.58,68.97,70.18,674400,0.0,0
2019-08-29,70.92,71.79,70.58,71.05,484700,0.0,0
2019-08-30,71.37,71.61,70.3,70.63,892500,0.0,0
2019-09-03,70.13,70.52,69.37,69.75,703600,0.0,0
2019-09-04,70.37,70.82,70.17,70.71,735300,0.0,0
2019-09-05,70.94,72.44,70.94,72.09,775400,0.0,0
2019-09-06,72.38,72.97,72.12,72.77,809600,0.0,0
2019-09-09,72.87,73.52,72.69,73.47,523700,0.0,0
2019-09-10,73.51,75.05,73.06,75.01,965700,0.0,0
2019-09-11,74.77,75.37,74.35,75.35,946700,0.0,0
2019-09-12,75.15,75.55,74.56,74.71,788200,0.0,0
2019-09-13,74.78,76.29,74.78,75.72,1093600,0.0,0
2019-09-16,75.22,75.49,74.71,74.89,638300,0.0,0
2019-09-17,74.96,75.01,73.93,74.87,550500,0.0,0
2019-09-18,73.97,74.85,73.28,74.79,727600,0.0,0
2019-09-19,74.57,74.88,73.73,74.1,450500,0.0,0
2019-09-20,74.41,74.57,73.01,73.49,1152500,0.0,0
2019-09-23,72.98,72.98,71.76,72.1,893700,0.0,0
2019-09-24,72.46,72.84,71.13,71.28,823600,0.0,0
2019-09-25,71.49,72.63,71.17,72.39,645200,0.0,0
2019-09-26,72.45,72.53,71.63,72.38,565900,0.0,0
2019-09-27,72.84,73.56,72.49,72.81,737100,0.0,0
2019-09-30,72.84,73.91,72.67,73.8,1120900,0.0,0
2019-10-01,74.26,75.2,72.64,72.69,1082600,0.0,0
2019-10-02,71.48,71.75,70.26,70.49,953700,0.0,0
2019-10-03,70.35,70.86,69.0,70.57,676300,0.0,0
2019-10-04,70.68,71.58,70.33,71.0,632900,0.0,0
2019-10-07,70.87,70.9,70.04,70.37,679500,0.0,0
2019-10-08,69.72,69.79,68.45,68.52,847400,0.0,0
2019-10-09,69.05,70.45,68.84,70.19,1222200,0.0,0
2019-10-10,70.38,71.71,70.04,71.63,1497300,0.0,0
2019-10-11,72.75,74.7,72.7,73.88,1273700,0.0,0
2019-10-14,73.45,73.8,73.01,73.54,715800,0.0,0
2019-10-15,73.7,75.1,73.67,74.59,1108300,0.0,0
2019-10-16,74.33,74.84,73.79,73.93,642700,0.0,0
2019-10-17,74.35,74.46,73.76,73.9,515300,0.0,0
