Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,103.76,105.06,103.09,104.62,1657700,0.0,0
2019-03-22,103.78,103.78,99.85,100.13,1412700,0.0,0
2019-03-25,99.85,100.07,98.01,99.75,1053200,0.0,0
2019-03-26,100.81,103.05,100.7,101.36,1353000,0.0,0
2019-03-27,101.33,102.27,99.96,101.1,880400,0.0,0
2019-03-28,100.28,101.55,99.77,101.29,2086300,0.0,0
2019-03-29,102.51,103.49,100.01,100.29,1508800,0.0,0
2019-04-01,101.64,102.93,101.1,102.43,1414000,0.0,0
2019-04-02,102.63,103.28,101.16,101.24,1209100,0.0,0
2019-04-03,101.73,102.19,98.31,98.74,1492000,0.0,0
2019-04-04,98.78,99.3,97.59,98.62,1751900,0.0,0
2019-04-05,99.34,101.6,98.84,101.2,1951600,0.0,0
2019-04-08,101.55,103.88,101.55,103.08,1577000,0.0,0
2019-04-09,102.52,102.81,100.97,101.59,1236700,0.0,0
2019-04-10,101.65,103.23,101.35,102.6,1208200,0.0,0
2019-04-11,102.05,102.11,98.62,98.7,3192700,0.0,0
2019-04-12,103.72,106.77,103.24,104.98,3828700,0.0,0
2019-04-15,105.4,106.81,104.05,104.67,1716500,0.0,0
2019-04-16,105.25,106.1,104.16,105.57,2224300,0.0,0
2019-04-17,106.55,108.13,105.82,106.92,1890500,0.0,0
2019-04-18,107.88,108.16,105.91,105.97,1480600,0.0,0
2019-04-22,107.49,110.11,106.96,109.84,2347500,0.0,0
2019-04-23,109.84,111.42,108.8,110.45,2130300,0.0,0
2019-04-24,110.99,111.59,108.89,109.69,2721500,0.0,0
2019-04-25,109.76,110.59,108.16,108.27,1261700,0.0,0
2019-04-26,107.36,107.47,104.43,105.9,1817400,0.0,0
2019-04-29,106.18,106.48,104.84,105.6,1224400,0.0,0
2019-04-30,106.12,106.99,104.53,105.09,1917800,0.0,0
2019-05-01,104.4,104.46,100.01,100.13,2127200,0.0,0
2019-05-02,98.65,100.89,97.82,97.91,1780900,0.0,0
2019-05-03,98.8,100.25,98.48,99.24,1697800,0.0,0
2019-05-06,97.64,100.12,97.58,99.47,1715300,0.0,0
2019-05-07,98.34,98.98,94.65,97.03,2597600,0.0,0
2019-05-08,100.25,106.72,100.25,104.56,4557800,0.0,0
2019-05-09,103.68,108.27,103.32,106.92,3515200,0.0,0
2019-05-10,106.72,107.56,105.33,106.57,2279900,0.0,0
2019-05-13,105.81,107.6,104.42,105.89,1587100,0.0,0
2019-05-14,106.43,108.23,106.36,107.78,1661700,0.0,0
2019-05-15,106.38,109.08,106.12,107.73,1416400,0.0,0
2019-05-16,108.61,109.68,108.43,109.28,1044500,0.0,0
2019-05-17,108.42,110.07,108.42,109.67,1281200,0.0,0
2019-05-20,109.33,109.86,107.99,108.32,1390900,0.0,0
2019-05-21,109.55,112.75,109.4,112.41,2239300,0.0,0
2019-05-22,111.61,111.9,107.51,107.55,1444400,0.0,0
2019-05-23,105.37,105.37,100.53,102.76,2143600,0.0,0
2019-05-24,103.83,104.59,100.58,103.03,1389000,0.188,0
2019-05-28,103.3,103.78,101.66,102.44,1428900,0.0,0
2019-05-29,100.57,101.3,99.05,100.26,2679600,0.0,0
2019-05-30,100.38,101.67,98.86,99.31,1645400,0.0,0
2019-05-31,97.31,99.2,96.59,97.04,1900500,0.0,0
2019-06-03,97.68,98.59,96.27,97.15,1950100,0.0,0
2019-06-04,98.27,98.91,96.16,98.1,1769100,0.0,0
2019-06-05,98.03,98.74,93.47,95.12,2088700,0.0,0
2019-06-06,95.21,96.97,94.91,96.56,1450800,0.0,0
2019-06-07,95.93,97.68,95.76,96.01,1674000,0.0,0
2019-06-10,96.68,97.54,95.44,96.58,1750900,0.0,0
2019-06-11,97.61,99.92,97.01,98.72,1516200,0.0,0
2019-06-12,97.25,99.16,96.81,97.19,1551700,0.0,0
2019-06-13,99.27,100.52,98.49,99.13,1079900,0.0,0
2019-06-14,99.38,100.27,97.2,97.92,1093000,0.0,0
2019-06-17,97.41,101.17,97.18,100.52,1256400,0.0,0
2019-06-18,101.19,104.36,101.19,103.45,1416700,0.0,0
2019-06-19,103.02,104.3,101.75,103.04,1205700,0.0,0
2019-06-20,105.7,107.06,104.47,106.47,1871900,0.0,0
2019-06-21,106.86,108.84,105.99,108.65,2484200,0.0,0
2019-06-24,108.78,109.08,105.97,106.52,1380200,0.0,0
2019-06-25,106.03,106.69,103.96,104.12,1302600,0.0,0
2019-06-26,105.51,107.89,104.45,106.11,1645400,0.0,0
2019-06-27,106.48,107.81,106.24,106.37,1005600,0.0,0
2019-06-28,107.32,108.41,106.82,107.84,1633900,0.0,0
2019-07-01,109.89,109.99,107.04,108.21,1467900,0.0,0
2019-07-02,108.15,108.16,102.88,103.09,1834000,0.0,0
2019-07-03,103.42,104.13,102.86,104.1,584800,0.0,0
2019-07-05,104.92,107.53,104.9,106.29,1355900,0.0,0
2019-07-08,105.78,107.08,104.62,105.85,804200,0.0,0
2019-07-09,105.37,105.89,104.04,105.86,1006300,0.0,0
2019-07-10,107.35,109.24,106.61,108.54,1097200,0.0,0
2019-07-11,108.44,108.62,106.61,108.18,1230900,0.0,0
2019-07-12,108.66,110.68,108.58,109.68,1243600,0.0,0
2019-07-15,109.67,110.08,105.24,105.3,1075200,0.0,0
2019-07-16,105.43,106.33,101.77,103.03,1652000,0.0,0
2019-07-17,102.72,103.86,100.65,100.73,1230500,0.0,0
2019-07-18,100.91,102.55,99.97,102.5,1423400,0.0,0
2019-07-19,102.78,103.98,101.97,103.52,1141900,0.0,0
2019-07-22,103.47,105.39,102.29,102.41,981600,0.0,0
2019-07-23,102.7,103.73,102.17,103.35,738900,0.0,0
2019-07-24,102.79,105.23,102.79,103.36,802700,0.0,0
2019-07-25,103.45,103.82,99.63,100.34,1127400,0.0,0
2019-07-26,100.62,101.42,99.23,100.93,1005500,0.0,0
2019-07-29,100.76,101.03,98.01,98.69,1186300,0.0,0
2019-07-30,98.22,102.2,97.89,101.76,1311900,0.0,0
2019-07-31,101.42,103.9,101.04,102.35,1473000,0.0,0
2019-08-01,98.66,99.13,94.04,96.39,4983800,0.0,0
2019-08-02,96.85,98.1,93.84,96.48,2019200,0.0,0
2019-08-05,94.03,94.5,90.36,90.5,2350900,0.0,0
2019-08-06,90.84,92.03,87.87,90.11,2593600,0.0,0
2019-08-07,87.1,92.76,85.78,91.77,3916400,0.0,0
2019-08-08,93.07,94.51,92.53,94.21,4293900,0.0,0
2019-08-09,94.35,97.24,93.28,95.42,1676100,0.0,0
2019-08-12,95.06,96.78,94.28,95.87,1915000,0.0,0
2019-08-13,96.02,99.7,95.39,98.9,1796900,0.0,0
2019-08-14,96.32,97.08,95.16,95.31,1783100,0.0,0
2019-08-15,94.86,96.32,93.51,95.0,1531100,0.188,0
2019-08-16,95.16,97.01,94.77,96.44,1302500,0.0,0
2019-08-19,98.16,99.39,97.24,99.11,1109000,0.0,0
2019-08-20,98.4,99.65,97.85,98.44,1034000,0.0,0
2019-08-21,99.6,100.69,98.62,99.25,961700,0.0,0
2019-08-22,99.57,99.85,98.3,98.39,905500,0.0,0
2019-08-23,96.78,97.8,93.42,93.8,1817400,0.0,0
2019-08-26,95.77,95.92,92.32,92.71,1659800,0.0,0
2019-08-27,93.01,93.55,90.6,91.59,1528600,0.0,0
2019-08-28,92.42,96.92,92.06,95.81,1760500,0.0,0
2019-08-29,96.67,99.17,96.67,97.74,1333000,0.0,0
2019-08-30,97.94,98.95,96.03,97.25,1703700,0.0,0
2019-09-03,94.48,96.5,93.06,96.18,1427100,0.0,0
2019-09-04,98.08,98.74,96.91,96.99,1160600,0.0,0
2019-09-05,97.58,99.05,96.73,96.82,1561800,0.0,0
2019-09-06,94.97,96.18,94.28,94.79,1623800,0.0,0
2019-09-09,95.85,96.78,94.43,95.72,2582100,0.0,0
2019-09-10,96.52,100.64,96.19,98.62,2724600,0.0,0
2019-09-11,99.15,100.51,96.96,97.88,1314200,0.0,0
2019-09-12,95.67,96.62,94.76,95.35,1575400,0.0,0
2019-09-13,95.79,96.75,94.72,95.91,1189600,0.0,0
2019-09-16,103.12,105.05,100.95,104.15,3985100,0.0,0
2019-09-17,103.86,104.41,99.52,99.6,2406400,0.0,0
2019-09-18,98.51,98.66,96.37,97.42,1550000,0.0,0
2019-09-19,98.75,98.99,96.12,96.51,1270700,0.0,0
2019-09-20,96.52,97.36,94.99,96.0,3524400,0.0,0
2019-09-23,95.83,98.3,95.62,97.46,1797800,0.0,0
2019-09-24,96.67,97.46,92.8,93.69,2268100,0.0,0
2019-09-25,92.73,93.1,90.3,92.45,2199000,0.0,0
2019-09-26,91.96,92.21,88.33,89.36,2467300,0.0,0
2019-09-27,88.25,90.13,88.15,89.23,1680800,0.0,0
2019-09-30,89.05,89.63,87.85,89.15,1125800,0.0,0
2019-10-01,88.2,88.73,84.28,84.28,3069100,0.0,0
2019-10-02,83.93,84.46,81.74,82.42,2013100,0.0,0
2019-10-03,81.62,85.86,81.62,85.16,2143400,0.0,0
2019-10-04,85.49,85.97,83.28,84.7,1328400,0.0,0
2019-10-07,84.64,84.92,82.65,82.66,1750400,0.0,0
2019-10-08,81.78,82.17,80.09,80.14,1900200,0.0,0
2019-10-09,81.15,81.69,80.07,80.86,1582500,0.0,0
2019-10-10,80.95,82.11,80.45,81.84,1334000,0.0,0
2019-10-11,82.78,83.96,82.26,82.93,1397300,0.0,0
2019-10-14,81.48,83.98,80.24,83.25,1244200,0.0,0
2019-10-15,82.32,85.21,81.96,84.12,2119200,0.0,0
2019-10-16,83.33,84.75,82.63,82.72,1516900,0.0,0
2019-10-17,83.11,84.39,82.45,83.33,1900500,0.0,0
2019-10-18,83.55,84.15,81.25,81.28,1358600,0.0,0
2019-10-21,81.55,82.34,81.01,82.04,1284200,0.0,0
2019-10-22,82.6,86.33,82.13,84.96,1218600,0.0,0
2019-10-23,84.75,87.13,83.43,86.42,1333500,0.0,0
2019-10-24,87.21,87.65,85.31,86.17,1015200,0.0,0
2019-10-25,86.1,87.51,85.45,86.72,961600,0.0,0
2019-10-28,87.23,88.07,85.28,85.87,1213500,0.0,0
2019-10-29,85.07,87.59,84.71,87.17,1707800,0.0,0
2019-10-30,86.39,87.49,83.38,83.66,1786700,0.0,0
2019-10-31,83.29,85.05,82.14,85.03,1409000,0.0,0
2019-11-01,85.81,86.66,85.08,86.05,1491200,0.0,0
2019-11-04,87.44,90.1,87.26,89.59,2150000,0.0,0
2019-11-05,90.23,92.0,89.32,89.47,2512500,0.0,0
2019-11-06,79.35,80.02,75.86,76.55,13543100,0.0,0
2019-11-07,77.09,78.51,73.92,74.92,5583200,0.0,0
2019-11-08,74.22,75.88,73.62,74.79,2361000,0.0,0
2019-11-11,73.59,76.5,73.09,76.13,3207700,0.0,0
2019-11-12,77.15,78.88,76.45,77.35,2975600,0.0,0
2019-11-13,76.65,77.87,75.57,76.36,2145700,0.0,0
2019-11-14,76.4,77.54,75.42,75.83,1589300,0.188,0
2019-11-15,76.09,77.4,75.62,76.62,2195500,0.0,0
2019-11-18,76.23,76.25,74.84,75.27,1717100,0.0,0
2019-11-19,74.68,74.97,73.41,73.74,1618800,0.0,0
2019-11-20,73.8,75.72,72.74,74.83,1591600,0.0,0
2019-11-21,75.09,75.66,73.7,75.11,3014900,0.0,0
2019-11-22,75.1,76.13,74.49,74.87,1748100,0.0,0
2019-11-25,74.59,76.76,73.77,76.66,2119600,0.0,0
2019-11-26,76.85,77.13,75.61,76.63,2149300,0.0,0
2019-11-27,77.14,78.54,76.4,78.05,1881400,0.0,0
2019-11-29,77.02,77.92,76.25,76.87,946200,0.0,0
2019-12-02,77.12,78.02,76.29,77.41,1677200,0.0,0
2019-12-03,76.41,76.97,75.76,76.44,1800300,0.0,0
2019-12-04,76.84,80.59,76.69,80.07,2598900,0.0,0
2019-12-05,80.33,81.01,78.83,79.46,2013700,0.0,0
2019-12-06,79.88,83.01,79.84,82.73,2031900,0.0,0
2019-12-09,82.11,83.83,81.5,83.27,1781600,0.0,0
2019-12-10,83.35,84.11,82.75,82.96,1710000,0.0,0
