Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,44.67,45.83,44.67,45.65,872800,0.0,0
2019-03-22,45.47,45.47,44.08,44.3,1586700,0.0,0
2019-03-25,44.24,45.17,44.2,44.79,1199900,0.0,0
2019-03-26,45.01,45.26,44.43,45.09,1368100,0.0,0
2019-03-27,45.16,45.73,45.16,45.33,1774000,0.0,0
2019-03-28,45.54,46.04,45.22,46.01,2570900,0.0,0
2019-03-29,46.26,47.11,46.14,46.86,1984100,0.0,0
2019-04-01,47.19,47.9,46.94,47.13,2225100,0.0,0
2019-04-02,47.1,47.14,46.41,46.81,2268700,0.0,0
2019-04-03,46.98,47.59,46.89,47.45,1634300,0.0,0
2019-04-04,47.49,48.43,47.49,48.15,921400,0.0,0
2019-04-05,48.35,49.56,48.35,49.47,1795200,0.0,0
2019-04-08,49.43,49.81,49.01,49.69,1160800,0.0,0
2019-04-09,49.34,49.34,48.53,48.62,1250700,0.0,0
2019-04-10,48.78,48.97,48.45,48.89,797000,0.0,0
2019-04-11,47.61,48.37,46.76,48.33,1615900,0.0,0
2019-04-12,48.84,49.21,48.19,48.35,1473800,0.0,0
2019-04-15,48.5,48.88,48.31,48.63,1110000,0.0,0
2019-04-16,48.86,49.02,48.34,48.59,1130200,0.0,0
2019-04-17,48.76,48.86,47.64,47.76,1518200,0.0,0
2019-04-18,47.81,48.32,47.74,48.2,1014600,0.0,0
2019-04-22,48.07,48.51,47.41,47.57,1292000,0.0,0
2019-04-23,47.64,48.6,47.57,48.58,1485100,0.0,0
2019-04-24,48.72,49.32,48.42,49.06,2507800,0.0,0
2019-04-25,51.72,52.63,50.71,51.23,4896800,0.0,0
2019-04-26,51.35,51.64,50.93,51.53,2202000,0.0,0
2019-04-29,51.53,52.09,51.0,51.77,2039000,0.0,0
2019-04-30,51.6,52.37,51.07,51.95,2840800,0.0,0
2019-05-01,51.96,52.91,51.86,51.93,1337300,0.0,0
2019-05-02,51.89,53.02,51.72,52.98,1483100,0.0,0
2019-05-03,53.15,54.79,53.15,54.7,1975900,0.0,0
2019-05-06,53.64,54.36,53.25,54.29,1969200,0.0,0
2019-05-07,53.81,54.19,53.2,53.57,2547200,0.0,0
2019-05-08,53.37,54.14,53.28,53.33,1346600,0.0,0
2019-05-09,52.85,53.29,52.29,53.17,1571700,0.0,0
2019-05-10,52.87,53.38,51.76,53.29,1137700,0.0,0
2019-05-13,52.19,52.28,51.1,51.54,1861800,0.0,0
2019-05-14,51.66,52.36,51.55,52.16,1208000,0.0,0
2019-05-15,51.77,52.5,51.38,52.33,1126400,0.0,0
2019-05-16,52.45,52.69,52.22,52.37,1073100,0.0,0
2019-05-17,51.98,52.79,51.7,51.96,779300,0.0,0
2019-05-20,51.54,51.83,51.25,51.49,889400,0.0,0
2019-05-21,51.77,52.62,51.6,52.51,1046400,0.0,0
2019-05-22,52.16,52.18,51.74,51.9,1034300,0.0,0
2019-05-23,51.45,52.5,51.17,51.61,2655600,0.0,0
2019-05-24,51.93,52.21,51.77,52.13,874300,0.0,0
2019-05-28,52.28,52.34,50.19,50.21,1430600,0.0,0
