Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,12.49,12.77,12.4,12.7,18399400,0.0,0
2019-03-22,12.51,12.54,11.9,11.97,20823900,0.0,0
2019-03-25,12.0,12.38,11.94,12.16,13195100,0.0,0
2019-03-26,12.27,12.5,12.24,12.48,14315600,0.0,0
2019-03-27,12.52,12.71,12.31,12.49,12661300,0.0,0
2019-03-28,12.44,12.65,12.36,12.51,9593400,0.0,0
2019-03-29,12.82,12.97,12.53,12.67,16889300,0.0,0
2019-04-01,12.93,13.14,12.81,12.87,19060700,0.0,0
2019-04-02,12.92,13.05,12.64,12.89,17950300,0.0,0
2019-04-03,13.1,13.25,12.87,12.93,20937800,0.0,0
2019-04-04,12.84,13.36,12.76,13.32,20719000,0.0,0
2019-04-05,13.33,13.36,13.09,13.1,14640900,0.0,0
2019-04-08,13.22,13.5,13.22,13.5,17947100,0.0,0
2019-04-09,13.47,13.47,12.98,13.15,16000200,0.0,0
2019-04-10,13.18,13.33,13.11,13.26,12390500,0.0,0
2019-04-11,13.11,13.24,12.92,13.18,16534500,0.0,0
2019-04-12,13.44,13.79,13.42,13.51,26915900,0.05,0
2019-04-15,13.44,13.53,13.27,13.5,15439300,0.0,0
2019-04-16,13.48,13.99,13.46,13.97,20299800,0.0,0
2019-04-17,14.17,14.48,13.9,14.01,31700500,0.0,0
2019-04-18,13.86,13.96,13.59,13.81,27426700,0.0,0
2019-04-22,13.69,13.72,13.07,13.46,24351200,0.0,0
2019-04-23,13.46,13.5,13.08,13.28,19119400,0.0,0
2019-04-24,13.21,13.42,13.0,13.39,31512700,0.0,0
2019-04-25,12.85,12.92,11.98,12.04,46459300,0.0,0
2019-04-26,12.09,12.52,12.06,12.33,23605200,0.0,0
2019-04-29,12.28,12.42,12.13,12.26,15525500,0.0,0
2019-04-30,12.2,12.35,12.0,12.14,19578600,0.0,0
2019-05-01,12.02,12.08,11.5,11.55,31549800,0.0,0
2019-05-02,11.39,11.58,11.26,11.35,21879600,0.0,0
2019-05-03,11.49,11.85,11.45,11.79,23411700,0.0,0
2019-05-06,11.3,11.62,11.29,11.56,19892000,0.0,0
2019-05-07,11.42,11.54,11.21,11.28,22783300,0.0,0
2019-05-08,11.19,11.42,11.09,11.21,18093300,0.0,0
2019-05-09,11.08,11.23,10.8,11.13,17882700,0.0,0
2019-05-10,11.01,11.28,10.78,11.21,19163100,0.0,0
2019-05-13,10.79,10.85,10.4,10.56,28910500,0.0,0
2019-05-14,10.67,10.88,10.62,10.71,18222200,0.0,0
2019-05-15,10.57,10.78,10.47,10.7,16125900,0.0,0
2019-05-16,10.83,10.87,10.5,10.51,15201300,0.0,0
2019-05-17,10.39,10.51,10.15,10.23,25625100,0.0,0
2019-05-20,10.17,10.25,10.01,10.06,14752000,0.0,0
2019-05-21,10.1,10.27,10.06,10.21,19315300,0.0,0
2019-05-22,10.08,10.18,9.9,9.92,18387100,0.0,0
2019-05-23,9.76,9.83,9.61,9.81,22137200,0.0,0
2019-05-24,9.92,10.03,9.79,9.94,16447000,0.0,0
2019-05-28,10.06,10.16,9.86,9.89,15714800,0.0,0
2019-05-29,9.75,9.87,9.63,9.85,14107300,0.0,0
2019-05-30,9.88,9.94,9.58,9.69,15900300,0.0,0
2019-05-31,9.51,9.65,9.34,9.58,22076200,0.0,0
2019-06-03,9.61,9.8,9.53,9.78,24158300,0.0,0
2019-06-04,9.89,10.18,9.71,10.18,29427600,0.0,0
2019-06-05,10.21,10.26,9.67,9.96,25823500,0.0,0
2019-06-06,9.98,10.16,9.88,10.05,20227700,0.0,0
2019-06-07,10.19,10.58,10.15,10.21,31108800,0.0,0
2019-06-10,10.3,10.55,10.29,10.46,19845300,0.0,0
2019-06-11,10.89,10.99,10.46,10.47,28608100,0.0,0
2019-06-12,10.42,10.57,10.31,10.44,12641300,0.0,0
2019-06-13,10.55,10.75,10.47,10.68,14470500,0.0,0
2019-06-14,10.6,10.69,10.45,10.5,14385700,0.0,0
2019-06-17,10.46,10.68,10.31,10.59,12378700,0.0,0
2019-06-18,10.8,11.19,10.78,10.98,24961100,0.0,0
2019-06-19,10.91,11.12,10.84,11.04,18815600,0.0,0
2019-06-20,11.42,11.51,11.16,11.22,22356400,0.0,0
2019-06-21,11.22,11.29,11.14,11.18,22171500,0.0,0
2019-06-24,11.21,11.25,11.06,11.18,14296500,0.0,0
2019-06-25,11.22,11.36,11.16,11.18,13721700,0.0,0
2019-06-26,11.19,11.34,11.06,11.33,15438800,0.0,0
2019-06-27,11.41,11.63,11.25,11.4,17177500,0.0,0
2019-06-28,11.47,11.47,11.24,11.45,18130800,0.0,0
2019-07-01,11.23,11.31,10.71,11.29,39747000,0.0,0
2019-07-02,11.21,11.3,10.98,11.29,16519500,0.0,0
2019-07-03,11.22,11.25,11.08,11.15,9252700,0.0,0
2019-07-05,10.93,11.17,10.77,11.14,11436900,0.0,0
2019-07-08,11.08,11.29,11.03,11.07,15674300,0.0,0
2019-07-09,10.86,10.88,10.45,10.72,24168600,0.0,0
2019-07-10,10.9,11.02,10.68,10.8,16509400,0.0,0
2019-07-11,10.93,11.0,10.76,10.95,19004900,0.0,0
2019-07-12,10.97,11.08,10.91,10.92,11815000,0.05,0
2019-07-15,11.06,11.13,10.91,11.04,14485100,0.0,0
2019-07-16,11.11,11.29,11.0,11.02,19193700,0.0,0
2019-07-17,10.99,11.06,10.82,10.96,18415100,0.0,0
2019-07-18,10.87,11.08,10.85,11.05,12665800,0.0,0
2019-07-19,11.32,11.59,11.22,11.38,30374500,0.0,0
2019-07-22,11.45,11.5,11.27,11.38,13686100,0.0,0
2019-07-23,11.43,11.62,11.41,11.54,13936300,0.0,0
2019-07-24,11.43,11.96,11.42,11.83,20942100,0.0,0
2019-07-25,11.94,11.94,11.16,11.31,25283600,0.0,0
2019-07-26,11.31,11.48,11.16,11.45,14341700,0.0,0
2019-07-29,11.44,11.56,11.34,11.5,14526400,0.0,0
2019-07-30,11.36,11.43,11.27,11.36,15139900,0.0,0
2019-07-31,11.29,11.36,10.75,10.96,18292800,0.0,0
2019-08-01,10.79,10.97,10.45,10.6,23839600,0.0,0
2019-08-02,10.45,10.56,10.03,10.2,25816700,0.0,0
2019-08-05,9.96,10.11,9.74,9.98,25537600,0.0,0
2019-08-06,10.01,10.09,9.81,10.05,17080700,0.0,0
2019-08-07,9.88,10.06,9.8,9.99,21874400,0.0,0
2019-08-08,10.13,10.26,9.98,10.03,24263300,0.0,0
2019-08-09,9.95,9.97,9.62,9.66,20112800,0.0,0
2019-08-12,9.58,9.63,9.36,9.43,13866400,0.0,0
2019-08-13,9.43,9.92,9.32,9.8,29866400,0.0,0
2019-08-14,9.45,9.52,9.26,9.27,27274500,0.0,0
2019-08-15,9.29,9.3,8.7,8.91,26881200,0.0,0
2019-08-16,9.01,9.15,8.9,9.02,18373200,0.0,0
2019-08-19,9.22,9.33,9.14,9.16,16936200,0.0,0
2019-08-20,9.1,9.12,8.93,9.1,13179000,0.0,0
2019-08-21,9.18,9.23,9.06,9.06,17332900,0.0,0
2019-08-22,9.13,9.2,9.01,9.05,13827300,0.0,0
2019-08-23,8.96,9.1,8.72,8.75,22529000,0.0,0
2019-08-26,8.78,8.85,8.68,8.76,19840600,0.0,0
2019-08-27,8.84,8.94,8.6,8.63,15942200,0.0,0
2019-08-28,8.66,8.91,8.5,8.87,15456200,0.0,0
2019-08-29,9.07,9.17,8.98,9.04,14882600,0.0,0
2019-08-30,9.13,9.18,9.01,9.1,12318300,0.0,0
2019-09-03,8.92,9.08,8.8,8.99,18071900,0.0,0
2019-09-04,9.22,9.32,9.14,9.2,12091700,0.0,0
2019-09-05,9.39,9.68,9.38,9.44,24776100,0.0,0
2019-09-06,9.45,9.45,9.31,9.33,18782500,0.0,0
2019-09-09,9.38,9.66,9.35,9.61,19778200,0.0,0
2019-09-10,9.61,10.09,9.61,10.03,30521000,0.0,0
2019-09-11,10.04,10.13,9.67,9.99,20235100,0.0,0
2019-09-12,10.19,10.42,9.94,10.27,27660800,0.0,0
2019-09-13,10.55,10.87,10.52,10.66,27450100,0.0,0
2019-09-16,10.51,10.59,10.33,10.37,21058100,0.0,0
2019-09-17,10.2,10.43,10.12,10.31,22280300,0.0,0
2019-09-18,10.23,10.36,10.0,10.26,26245500,0.0,0
2019-09-19,10.22,10.55,10.21,10.35,19849600,0.0,0
2019-09-20,10.4,10.63,10.32,10.37,23390300,0.0,0
2019-09-23,10.11,10.44,10.11,10.23,18743100,0.0,0
2019-09-24,10.21,10.22,9.84,9.92,20225500,0.0,0
2019-09-25,9.84,10.09,9.72,9.98,23425800,0.0,0
2019-09-26,9.92,9.96,9.7,9.71,19347000,0.0,0
2019-09-27,9.74,9.81,9.52,9.56,22210100,0.0,0
2019-09-30,9.53,9.59,9.47,9.48,11988000,0.0,0
2019-10-01,9.46,9.51,9.05,9.09,26848600,0.0,0
2019-10-02,8.96,9.04,8.77,8.79,25488900,0.0,0
2019-10-03,8.74,8.83,8.52,8.78,28429400,0.0,0
2019-10-04,8.8,8.89,8.64,8.75,21138400,0.0,0
2019-10-07,8.71,8.97,8.65,8.68,21117800,0.0,0
2019-10-08,8.59,8.62,8.4,8.43,29695600,0.0,0
2019-10-09,8.52,8.59,8.35,8.47,20374500,0.0,0
2019-10-10,8.7,9.06,8.55,8.88,61232700,0.0,0
2019-10-11,9.11,9.62,9.1,9.51,45962300,0.05,0
2019-10-14,9.17,9.53,9.11,9.46,24309100,0.0,0
2019-10-15,9.39,9.58,9.29,9.48,19444600,0.0,0
2019-10-16,9.44,9.6,9.39,9.46,17311500,0.0,0
2019-10-17,9.55,9.69,9.37,9.41,14449500,0.0,0
2019-10-18,9.44,9.73,9.44,9.54,17182200,0.0,0
2019-10-21,9.76,9.96,9.71,9.78,23376900,0.0,0
2019-10-22,9.75,9.97,9.66,9.89,23467400,0.0,0
2019-10-23,9.93,10.34,9.55,10.09,36496000,0.0,0
2019-10-24,10.07,10.19,9.47,9.55,32498200,0.0,0
2019-10-25,9.57,10.31,9.57,10.1,35421900,0.0,0
2019-10-28,10.21,10.29,10.15,10.2,17882100,0.0,0
2019-10-29,10.09,10.23,10.06,10.19,14533700,0.0,0
2019-10-30,10.05,10.15,9.9,10.09,19786200,0.0,0
2019-10-31,9.99,10.11,9.6,9.78,23321300,0.0,0
2019-11-01,9.92,10.57,9.88,10.48,31504400,0.0,0
2019-11-04,10.72,10.95,10.58,10.76,28404600,0.0,0
2019-11-05,11.01,11.26,10.85,10.87,34170400,0.0,0
2019-11-06,10.91,10.91,10.47,10.6,21392100,0.0,0
2019-11-07,10.9,11.53,10.87,11.23,38830300,0.0,0
2019-11-08,11.11,11.48,10.99,11.48,24304900,0.0,0
2019-11-11,11.12,11.23,10.92,11.05,19063400,0.0,0
2019-11-12,11.05,11.19,10.89,11.0,15505200,0.0,0
2019-11-13,11.03,11.2,10.74,10.8,22247000,0.0,0
2019-11-14,10.81,10.9,10.64,10.77,14364000,0.0,0
2019-11-15,10.92,11.2,10.83,11.12,20827500,0.0,0
2019-11-18,11.05,11.08,10.89,10.97,15201100,0.0,0
2019-11-19,11.16,11.25,10.96,11.24,20572000,0.0,0
2019-11-20,11.07,11.3,10.89,10.99,24073800,0.0,0
2019-11-21,10.89,11.0,10.81,10.97,17158200,0.0,0
2019-11-22,11.09,11.44,11.09,11.31,22244000,0.0,0
2019-11-25,11.43,11.82,11.33,11.62,28558500,0.0,0
2019-11-26,11.58,11.78,11.52,11.67,28062500,0.0,0
2019-11-27,11.69,11.71,11.44,11.57,13480100,0.0,0
2019-11-29,11.45,11.46,11.23,11.34,11141800,0.0,0
2019-12-02,11.33,11.62,11.15,11.41,24408400,0.0,0
2019-12-03,11.0,11.02,10.66,10.88,29930400,0.0,0
2019-12-04,11.08,11.29,11.05,11.07,17331900,0.0,0
2019-12-05,11.14,11.33,11.06,11.29,13960900,0.0,0
2019-12-06,11.51,11.7,11.48,11.6,18135100,0.0,0
2019-12-09,11.74,12.2,11.7,12.06,31400000,0.0,0
2019-12-10,12.05,12.24,12.0,12.23,17322900,0.0,0
2019-12-11,12.38,12.8,12.38,12.79,33362100,0.0,0
2019-12-12,12.62,13.13,12.59,13.01,39236800,0.0,0
2019-12-13,13.05,13.33,12.78,12.82,26652700,0.0,0
2019-12-16,13.22,13.25,12.87,12.9,22353600,0.0,0
