Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,39.26,39.94,39.22,39.89,2980000,0.0,0
2019-03-22,39.93,40.62,39.8,40.4,3805200,0.0,0
2019-03-25,40.4,40.51,40.22,40.49,3407100,0.0,0
2019-03-26,40.55,40.75,40.39,40.62,3284300,0.0,0
2019-03-27,40.67,40.69,40.18,40.35,4854800,0.0,0
2019-03-28,40.41,40.57,39.81,40.04,4550700,0.0,0
2019-03-29,40.06,40.25,39.87,40.24,5481600,0.0,0
2019-04-01,40.17,40.24,39.74,40.09,3686100,0.0,0
2019-04-02,40.15,40.2,39.78,39.98,3406900,0.0,0
2019-04-03,39.89,40.04,39.6,39.74,4049200,0.0,0
2019-04-04,39.84,39.86,37.98,38.15,12163100,0.0,0
2019-04-05,39.07,39.7,38.69,39.63,13492200,0.0,0
2019-04-08,39.61,39.65,38.96,39.09,5707200,0.0,0
2019-04-09,39.0,39.53,38.83,39.51,3467300,0.0,0
2019-04-10,39.5,39.84,39.38,39.49,4799600,0.0,0
2019-04-11,39.45,39.87,39.38,39.86,4130000,0.0,0
2019-04-12,39.67,40.05,39.55,40.01,2557800,0.0,0
2019-04-15,39.99,40.19,39.83,39.93,2854400,0.0,0
2019-04-16,39.84,40.04,39.1,39.13,3910800,0.0,0
2019-04-17,39.18,39.18,38.76,38.91,3115000,0.0,0
2019-04-18,38.91,39.46,38.83,39.17,4477100,0.0,0
2019-04-22,39.21,39.41,39.03,39.26,2942400,0.0,0
2019-04-23,39.27,39.48,38.89,39.4,4088400,0.0,0
2019-04-24,39.53,40.26,39.3,39.52,3941600,0.0,0
2019-04-25,39.24,40.06,39.22,39.8,3142000,0.0,0
2019-04-26,39.93,40.31,39.93,40.12,2819800,0.0,0
2019-04-29,40.13,40.18,39.83,40.0,2800300,0.0,0
2019-04-30,40.0,40.71,39.86,40.65,4589900,0.0,0
2019-05-01,40.46,40.85,40.46,40.57,3545600,0.0,0
2019-05-02,40.62,40.79,40.17,40.59,3880200,0.0,0
2019-05-03,40.77,41.13,40.62,41.11,3956300,0.0,0
2019-05-06,40.85,41.17,40.79,40.89,4577900,0.38,0
2019-05-07,40.88,41.12,40.77,41.02,3077200,0.0,0
2019-05-08,40.93,40.93,40.39,40.44,5984400,0.0,0
2019-05-09,40.48,40.7,40.2,40.36,2600900,0.0,0
2019-05-10,40.34,41.13,40.15,41.11,2829800,0.0,0
2019-05-13,40.9,41.48,40.87,41.43,3667700,0.0,0
2019-05-14,41.34,41.45,40.92,41.09,2748000,0.0,0
2019-05-15,41.14,41.19,40.81,40.82,2597900,0.0,0
2019-05-16,40.8,41.29,40.67,41.14,2655900,0.0,0
2019-05-17,40.83,41.6,40.83,41.45,3145000,0.0,0
2019-05-20,41.62,41.86,41.34,41.56,3805800,0.0,0
2019-05-21,41.61,41.72,41.35,41.37,2986300,0.0,0
2019-05-22,41.44,41.64,41.14,41.61,4032400,0.0,0
2019-05-23,41.63,42.18,41.54,42.11,3866100,0.0,0
2019-05-24,42.08,42.2,41.79,41.83,2666900,0.0,0
2019-05-28,41.85,41.86,40.59,40.64,5841200,0.0,0
2019-05-29,40.74,40.74,39.45,40.0,5302200,0.0,0
2019-05-30,39.95,40.32,39.86,39.97,2256000,0.0,0
