Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,153.49,156.55,153.49,155.83,477300,0,0
2019-03-22,155.54,156.49,152.09,152.24,604500,0,0
2019-03-25,151.7,152.62,150.14,151.14,401200,0,0
2019-03-26,152.5,153.85,152.16,152.86,662200,0,0
2019-03-27,152.62,154.29,150.51,152.06,514700,0,0
2019-03-28,152.41,154.42,151.23,153.71,488400,0,0
2019-03-29,156.73,157.35,155.01,156.93,772000,0,0
2019-04-01,163.8,163.8,158.35,161.47,1002500,0,0
2019-04-02,161.47,165.89,158.41,165.32,892400,0,0
2019-04-03,167.27,168.3,165.82,166.71,613300,0,0
2019-04-04,166.72,167.44,164.32,166.0,526600,0,0
2019-04-05,166.6,167.43,165.81,167.33,499100,0,0
2019-04-08,167.05,167.91,165.43,167.88,308800,0,0
2019-04-09,167.53,167.86,165.27,165.66,583200,0,0
2019-04-10,165.43,168.19,164.98,168.15,565000,0,0
2019-04-11,168.42,168.84,166.66,167.29,354200,0,0
2019-04-12,168.29,168.69,166.75,167.01,659200,0,0
2019-04-15,166.82,167.47,164.76,166.61,588300,0,0
2019-04-16,167.26,167.39,165.54,166.12,465600,0,0
2019-04-17,165.18,167.0,164.28,164.45,593400,0,0
2019-04-18,164.34,164.85,162.04,163.4,659600,0,0
2019-04-22,163.4,163.97,162.5,163.75,450200,0,0
2019-04-23,163.4,164.53,162.24,163.95,594900,0,0
2019-04-24,163.95,166.64,163.75,164.25,868300,0,0
2019-04-25,156.55,168.94,156.0,162.47,1031300,0,0
2019-04-26,161.89,163.23,159.54,159.87,499600,0,0
2019-04-29,160.26,160.63,158.56,159.1,363600,0,0
2019-04-30,158.8,158.91,156.43,156.9,504800,0,0
2019-05-01,157.0,157.0,152.2,152.26,835700,0,0
2019-05-02,151.58,154.45,150.37,152.32,557800,0,0
2019-05-03,152.74,155.17,152.2,154.37,585900,0,0
2019-05-06,151.0,153.29,150.29,152.93,521400,0,0
2019-05-07,150.91,152.28,150.01,151.67,604200,0,0
2019-05-08,151.0,151.92,149.35,149.62,516500,0,0
2019-05-09,147.95,148.41,145.44,146.83,497700,0,0
2019-05-10,146.18,148.77,143.52,148.57,675200,0,0
