Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,105.11,109.13,104.9,108.98,5331000,0.0,0
2019-03-22,108.98,110.14,108.31,109.23,6868700,0.0,0
2019-03-25,109.23,109.28,107.17,107.26,3464500,0.0,0
2019-03-26,107.73,108.81,107.47,108.73,2948100,0.0,0
2019-03-27,108.82,109.28,107.62,108.79,3894600,0.0,0
2019-03-28,109.31,110.04,108.51,109.99,3116900,0.0,0
2019-03-29,110.41,112.08,110.02,111.89,5454600,0.0,0
2019-04-01,112.26,112.79,111.51,112.56,2937300,0.0,0
2019-04-02,112.78,112.99,112.02,112.9,2543400,0.0,0
2019-04-03,113.32,114.32,112.67,113.7,3899100,0.0,0
2019-04-04,113.78,113.85,112.28,112.81,2506800,0.0,0
2019-04-05,113.01,113.34,112.03,112.17,2537400,0.0,0
2019-04-08,112.15,112.6,110.96,112.43,5314700,0.0,0
2019-04-09,111.96,112.82,111.54,112.54,2863000,0.0,0
2019-04-10,113.18,113.18,110.78,111.17,3674800,0.0,0
2019-04-11,111.41,112.08,110.54,111.69,3352000,0.0,0
2019-04-12,112.45,112.48,111.63,111.95,2983500,0.0,0
2019-04-15,111.82,111.98,111.04,111.93,1934800,0.0,0
2019-04-16,112.29,112.51,110.03,110.38,4615400,0.0,0
2019-04-17,110.52,110.6,109.66,109.91,1879100,0.0,0
2019-04-18,109.88,110.31,109.09,109.7,2079100,0.0,0
2019-04-22,109.69,111.01,109.31,111.01,2954000,0.0,0
2019-04-23,111.28,111.99,110.62,111.59,2779800,0.0,0
2019-04-24,111.55,111.9,110.83,110.84,2351000,0.0,0
2019-04-25,110.78,111.08,109.75,110.35,3692100,0.0,0
2019-04-26,110.67,110.67,109.31,109.71,3044600,0.0,0
2019-04-29,109.5,110.64,108.78,110.34,7539300,0.0,0
2019-04-30,114.93,116.71,113.87,114.69,8346600,0.0,0
2019-05-01,114.53,116.19,113.86,113.98,6462400,0.0,0
2019-05-02,115.06,116.56,114.59,116.54,5374900,0.0,0
2019-05-03,116.69,116.72,115.4,116.5,2907300,0.0,0
2019-05-06,114.83,116.52,114.61,116.06,2627300,0.0,0
2019-05-07,115.59,115.83,113.65,114.65,3309200,0.0,0
2019-05-08,114.52,115.63,114.23,114.89,3286900,0.0,0
2019-05-09,113.92,114.82,112.78,114.63,3041300,0.0,0
2019-05-10,114.22,115.49,112.79,115.47,2040000,0.0,0
2019-05-13,113.71,114.64,113.12,114.21,3211000,0.0,0
2019-05-14,114.76,116.47,114.66,115.67,2855300,0.0,0
2019-05-15,114.89,116.35,114.71,115.99,2216400,0.0,0
2019-05-16,116.57,118.49,116.33,117.82,3405300,0.0,0
2019-05-17,116.57,118.35,116.57,117.46,2664900,0.0,0
2019-05-20,116.73,117.75,116.61,117.05,1914600,0.0,0
2019-05-21,118.59,119.84,118.23,119.12,4226200,0.0,0
2019-05-22,118.86,120.44,118.52,119.7,3108100,0.0,0
2019-05-23,118.84,119.21,117.41,119.12,2815800,0.0,0
2019-05-24,119.86,120.55,117.2,117.47,2998100,0.0,0
2019-05-28,118.09,119.4,117.3,118.07,4177800,0.0,0
2019-05-29,117.81,117.9,116.79,117.79,2340800,0.0,0
2019-05-30,117.93,118.56,117.05,118.27,2602800,0.0,0
2019-05-31,117.78,119.37,117.49,119.01,3747300,0.0,0
2019-06-03,119.51,120.26,114.58,115.32,4191000,0.0,0
2019-06-04,116.19,119.03,115.56,118.95,2765700,0.0,0
2019-06-05,119.89,120.67,119.29,120.48,2277800,0.0,0
2019-06-06,120.53,120.82,119.13,120.27,2142100,0.0,0
2019-06-07,120.69,121.73,120.69,121.22,3003900,0.0,0
2019-06-10,121.8,121.95,120.25,120.98,2220700,0.0,0
2019-06-11,121.96,121.96,119.77,120.38,2770300,0.0,0
2019-06-12,120.42,120.42,119.33,119.65,1864800,0.0,0
2019-06-13,120.2,120.34,119.24,119.89,2085600,0.35,0
2019-06-14,119.74,120.69,119.5,120.45,2368200,0.0,0
2019-06-17,120.71,121.18,119.81,120.57,1698900,0.0,0
2019-06-18,121.52,122.05,120.88,121.66,2847800,0.0,0
2019-06-19,122.03,122.9,120.95,122.32,2533100,0.0,0
2019-06-20,123.03,124.28,122.66,122.91,2532100,0.0,0
2019-06-21,122.89,122.92,121.32,121.74,3239800,0.0,0
2019-06-24,121.64,121.69,120.2,120.27,2249400,0.0,0
2019-06-25,120.35,121.42,120.01,120.31,2352000,0.0,0
2019-06-26,120.43,120.82,119.31,120.32,2736500,0.0,0
2019-06-27,120.77,120.95,119.6,120.39,2552100,0.0,0
2019-06-28,120.54,122.13,120.46,121.72,8997000,0.0,0
2019-07-01,122.68,126.0,121.79,123.59,3249000,0.0,0
2019-07-02,123.65,124.6,123.06,123.93,2302400,0.0,0
2019-07-03,124.4,125.67,124.19,125.62,1706600,0.0,0
2019-07-05,125.02,125.88,123.36,125.8,2886100,0.0,0
