Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,25.49,25.49,24.56,24.62,49773000,0.0,0
2019-03-22,24.5,24.55,23.65,23.79,17101900,0.0,0
2019-03-25,23.85,24.15,23.36,23.6,9234400,0.0,0
2019-03-26,23.8,24.23,23.67,24.14,9769900,0.0,0
2019-03-27,23.99,24.35,23.89,24.11,10826900,0.0,0
2019-03-28,24.24,24.79,24.23,24.76,11870900,0.22,0
2019-03-29,25.0,25.13,24.55,24.59,10691100,0.0,0
2019-04-01,24.93,25.72,24.84,25.59,14375700,0.0,0
2019-04-02,25.49,25.96,25.41,25.56,8824400,0.0,0
2019-04-03,25.85,26.23,25.53,25.6,7998500,0.0,0
2019-04-04,25.51,26.17,25.51,26.08,9416200,0.0,0
2019-04-05,26.13,26.27,25.81,26.02,5612200,0.0,0
2019-04-08,25.99,26.23,25.91,26.2,7319200,0.0,0
2019-04-09,26.02,26.08,25.67,25.77,6073400,0.0,0
2019-04-10,25.79,26.06,25.55,26.05,6313800,0.0,0
2019-04-11,26.17,26.48,26.01,26.29,6802500,0.0,0
2019-04-12,26.71,27.26,26.49,26.97,9033200,0.0,0
2019-04-15,26.91,27.06,26.38,26.45,5983500,0.0,0
2019-04-16,26.45,27.11,26.36,27.03,8182300,0.0,0
2019-04-17,27.05,27.29,26.84,27.01,6068300,0.0,0
2019-04-18,27.03,27.12,26.59,26.81,7824900,0.0,0
2019-04-22,26.57,27.02,26.54,26.87,8936200,0.0,0
2019-04-23,26.75,27.76,26.6,27.64,11397100,0.0,0
2019-04-24,27.42,27.69,27.04,27.57,7744000,0.0,0
2019-04-25,27.45,27.81,27.27,27.55,7492100,0.0,0
2019-04-26,27.61,27.73,27.4,27.69,6924400,0.0,0
2019-04-29,27.74,28.32,27.7,28.03,6522700,0.0,0
2019-04-30,28.02,28.18,27.79,28.1,6268900,0.0,0
2019-05-01,28.08,28.4,27.57,27.78,10078100,0.0,0
2019-05-02,27.83,28.31,27.83,28.11,6301200,0.0,0
2019-05-03,28.23,28.45,28.14,28.25,5559800,0.0,0
2019-05-06,27.74,28.25,27.58,28.08,6461300,0.0,0
2019-05-07,27.69,27.88,27.2,27.37,6630400,0.0,0
2019-05-08,27.31,27.5,27.02,27.04,5807600,0.0,0
2019-05-09,26.73,27.22,26.6,27.13,5357400,0.0,0
2019-05-10,26.95,27.42,26.75,27.33,4444600,0.0,0
2019-05-13,26.61,27.13,26.36,26.4,8909800,0.0,0
2019-05-14,26.48,26.95,26.45,26.69,7171200,0.0,0
2019-05-15,26.33,26.52,25.96,26.32,7111300,0.0,0
2019-05-16,26.49,26.92,26.46,26.56,4422800,0.0,0
2019-05-17,26.27,26.91,26.26,26.59,7313900,0.0,0
2019-05-20,26.51,26.89,26.51,26.68,5004700,0.0,0
2019-05-21,26.75,26.91,26.58,26.73,4823200,0.0,0
2019-05-22,26.52,26.75,26.5,26.67,4767300,0.0,0
2019-05-23,26.38,26.52,26.17,26.34,8023700,0.0,0
2019-05-24,26.49,26.66,26.39,26.55,5542100,0.0,0
2019-05-28,26.54,26.7,26.34,26.37,7925500,0.0,0
2019-05-29,26.21,26.61,26.17,26.57,6506700,0.0,0
2019-05-30,26.62,26.81,25.96,26.21,4868100,0.0,0
2019-05-31,25.94,26.03,25.74,25.83,8431400,0.0,0
2019-06-03,25.77,26.27,25.63,25.9,6703600,0.0,0
2019-06-04,26.36,26.65,26.28,26.64,8037300,0.0,0
2019-06-05,26.58,26.66,26.16,26.49,7697200,0.0,0
2019-06-06,26.47,26.57,26.17,26.41,6160900,0.0,0
2019-06-07,26.35,26.39,26.09,26.16,5782400,0.0,0
2019-06-10,26.45,26.63,26.26,26.34,6921600,0.0,0
2019-06-11,26.54,26.95,26.51,26.72,6272200,0.0,0
2019-06-12,26.57,26.68,26.27,26.43,7410200,0.0,0
