Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,47.49,48.27,47.49,48.1,1427900,0.0,0
2019-03-22,47.99,48.11,46.53,46.87,1043900,0.0,0
2019-03-25,46.8,47.1,46.47,46.55,1097800,0.0,0
2019-03-26,46.83,46.83,46.12,46.27,813300,0.0,0
2019-03-27,46.4,46.62,45.85,46.08,1142700,0.0,0
2019-03-28,46.24,46.85,46.23,46.66,916800,0.0,0
2019-03-29,47.0,47.11,46.59,46.91,902900,0.0,0
2019-04-01,47.31,48.31,47.2,48.07,1004400,0.0,0
2019-04-02,48.09,48.22,47.75,47.89,640400,0.0,0
2019-04-03,48.16,48.39,47.66,47.76,543800,0.0,0
2019-04-04,47.71,48.09,47.21,47.27,637900,0.0,0
2019-04-05,47.55,48.7,47.19,47.66,654400,0.0,0
2019-04-08,47.55,48.35,47.49,48.32,650200,0.0,0
2019-04-09,48.13,48.51,47.59,47.76,495900,0.0,0
2019-04-10,47.7,48.1,47.47,48.07,599700,0.0,0
2019-04-11,48.16,48.86,47.98,48.59,711200,0.0,0
2019-04-12,48.93,49.32,48.78,49.13,1032200,0.0,0
2019-04-15,49.1,49.29,48.5,48.8,437800,0.0,0
2019-04-16,48.91,49.07,48.85,48.9,445000,0.0,0
2019-04-17,49.08,49.28,48.7,48.82,601300,0.0,0
2019-04-18,48.72,49.29,48.39,49.27,683000,0.0,0
2019-04-22,49.12,49.39,48.86,49.13,569100,0.0,0
2019-04-23,49.36,50.06,49.36,49.93,889100,0.0,0
2019-04-24,50.77,54.37,50.11,52.66,3449300,0.0,0
2019-04-25,52.15,52.99,50.54,51.29,2776300,0.0,0
2019-04-26,51.28,51.28,50.06,50.8,1164900,0.0,0
2019-04-29,50.91,52.24,50.6,51.84,1218800,0.0,0
2019-04-30,51.64,52.26,51.21,52.19,1320800,0.0,0
2019-05-01,52.36,53.15,51.95,52.24,1213500,0.0,0
2019-05-02,52.21,52.27,51.07,51.31,1067200,0.0,0
2019-05-03,51.61,52.21,51.4,52.06,670000,0.0,0
2019-05-06,50.8,51.93,50.77,51.82,629600,0.0,0
2019-05-07,51.4,51.65,51.08,51.37,1028400,0.0,0
2019-05-08,51.24,51.29,50.79,50.97,591600,0.0,0
2019-05-09,50.6,51.26,50.4,51.07,921300,0.0,0
2019-05-10,50.94,51.24,49.85,50.65,819400,0.0,0
2019-05-13,49.64,49.83,48.44,48.76,941900,0.0,0
2019-05-14,49.0,49.64,48.82,49.17,631500,0.0,0
2019-05-15,48.8,49.36,48.55,49.14,564000,0.0,0
2019-05-16,49.17,49.86,49.14,49.5,687800,0.0,0
2019-05-17,48.98,49.75,48.76,48.84,532600,0.0,0
2019-05-20,48.53,48.76,48.09,48.28,797300,0.0,0
2019-05-21,48.62,49.25,48.56,48.97,670700,0.0,0
2019-05-22,49.74,50.63,49.15,50.27,1033300,0.0,0
2019-05-23,49.87,49.92,48.19,48.64,683800,0.17,0
2019-05-24,48.86,49.24,48.55,48.81,375400,0.0,0
2019-05-28,48.96,49.3,48.39,48.42,733900,0.0,0
2019-05-29,48.23,48.3,47.61,47.89,505700,0.0,0
2019-05-30,47.92,48.52,47.92,48.27,373500,0.0,0
2019-05-31,47.77,48.21,47.55,47.8,687100,0.0,0
2019-06-03,47.79,48.32,47.33,47.66,657100,0.0,0
2019-06-04,48.25,49.03,47.95,48.98,443400,0.0,0
2019-06-05,49.23,49.45,48.68,49.44,382900,0.0,0
2019-06-06,49.46,49.61,48.76,49.55,685600,0.0,0
2019-06-07,49.7,50.2,49.56,50.15,610900,0.0,0
2019-06-10,50.57,51.32,50.48,51.18,616900,0.0,0
2019-06-11,51.6,51.63,51.01,51.26,751200,0.0,0
2019-06-12,51.23,51.42,50.5,50.89,706200,0.0,0
2019-06-13,51.12,51.65,50.97,51.37,468600,0.0,0
2019-06-14,51.25,51.25,50.52,50.56,453300,0.0,0
