Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,237.6,242.8,235.9,241.54,960000,0,0
2019-03-22,241.18,241.91,236.49,237.46,655100,0,0
2019-03-25,236.72,237.98,235.13,237.7,526500,0,0
2019-03-26,239.14,241.63,239.14,241.14,564100,0,0
2019-03-27,241.14,242.5,238.84,242.16,529600,0,0
2019-03-28,242.95,243.92,241.92,243.58,317900,0,0
2019-03-29,245.32,246.81,244.32,246.59,462200,0,0
2019-04-01,248.82,250.82,246.9,249.06,920300,0,0
2019-04-02,250.65,251.06,248.47,250.1,568700,0,0
2019-04-03,250.94,250.94,249.02,249.97,531100,0,0
2019-04-04,250.26,250.43,246.72,248.32,404400,0,0
2019-04-05,249.33,250.88,248.46,250.31,402500,0,0
2019-04-08,250.18,251.01,247.86,250.88,220100,0,0
2019-04-09,249.42,251.41,249.42,250.28,339600,0,0
2019-04-10,250.9,252.34,249.89,250.15,313200,0,0
2019-04-11,250.42,251.42,248.71,249.92,715100,0,0
2019-04-12,251.36,251.8,249.55,251.38,309700,0,0
2019-04-15,251.75,252.66,250.28,251.57,337400,0,0
2019-04-16,252.97,253.96,251.22,252.09,264800,0,0
2019-04-17,252.45,253.6,250.64,251.17,370300,0,0
2019-04-18,250.77,251.51,248.62,251.42,413600,0,0
2019-04-22,249.83,252.85,249.83,252.5,359000,0,0
2019-04-23,253.94,257.18,252.4,256.67,326600,0,0
2019-04-24,256.52,257.68,255.7,256.34,343100,0,0
2019-04-25,256.2,257.83,255.36,257.22,272900,0,0
2019-04-26,257.53,258.23,256.21,257.87,275600,0,0
2019-04-29,258.76,260.95,258.15,260.22,429000,0,0
2019-04-30,261.01,261.97,259.42,260.95,381600,0,0
2019-05-01,261.02,261.56,257.49,257.57,323100,0,0
2019-05-02,257.12,258.86,255.32,256.84,458700,0,0
2019-05-03,258.0,258.98,256.93,257.75,255200,0,0
2019-05-06,253.05,257.22,252.41,256.63,344200,0,0
2019-05-07,254.31,255.08,246.26,248.66,732800,0,0
2019-05-08,250.32,268.35,227.82,266.19,1107000,0,0
2019-05-09,265.59,266.99,260.47,266.19,724000,0,0
2019-05-10,263.92,265.87,260.1,263.63,1071900,0,0
2019-05-13,256.54,259.04,255.81,257.09,590100,0,0
2019-05-14,255.0,265.63,254.51,264.63,667200,0,0
2019-05-15,263.56,268.71,263.23,264.18,611100,0,0
2019-05-16,265.56,271.7,265.18,271.13,789200,0,0
2019-05-17,268.39,270.81,268.39,269.26,420900,0,0
2019-05-20,267.02,272.91,266.49,272.08,556200,0,0
2019-05-21,273.93,274.99,272.67,273.55,402400,0,0
2019-05-22,273.4,276.89,273.34,274.99,348100,0,0
2019-05-23,272.68,272.68,265.63,266.67,530400,0,0
2019-05-24,268.89,270.28,264.26,266.8,415400,0,0
2019-05-28,267.93,272.14,266.64,267.72,844600,0,0
2019-05-29,266.84,267.19,258.33,260.0,957200,0,0
2019-05-30,260.66,263.44,259.47,260.69,712800,0,0
2019-05-31,256.88,259.73,256.41,258.21,622900,0,0
2019-06-03,259.03,260.26,248.93,250.27,981200,0,0
2019-06-04,252.71,253.98,248.94,253.65,979500,0,0
2019-06-05,258.64,263.13,250.77,251.65,1582800,0,0
2019-06-06,252.0,252.66,237.09,251.33,3270600,0,0
2019-06-07,251.33,259.73,251.02,258.99,1490900,0,0
2019-06-10,260.28,268.12,260.28,266.22,924800,0,0
2019-06-11,269.48,271.09,265.16,266.72,788000,0,0
2019-06-12,266.88,269.07,265.66,267.46,377900,0,0
2019-06-13,269.51,274.08,268.86,272.88,693100,0,0
2019-06-14,271.83,274.69,271.44,272.66,399100,0,0
2019-06-17,272.63,273.65,267.76,268.48,464600,0,0
2019-06-18,270.95,273.47,269.61,273.31,490600,0,0
2019-06-19,273.49,278.01,272.19,277.63,340000,0,0
2019-06-20,280.0,283.45,276.68,277.77,523600,0,0
2019-06-21,278.2,281.19,277.77,279.11,713000,0,0
2019-06-24,280.01,281.26,278.56,279.19,320300,0,0
2019-06-25,279.47,279.91,275.47,277.33,345000,0,0
2019-06-26,278.39,279.25,274.88,277.12,303900,0,0
2019-06-27,278.41,280.49,277.46,279.21,287600,0,0
2019-06-28,279.65,281.11,278.36,280.85,624800,0,0
2019-07-01,283.77,285.0,280.08,283.17,583200,0,0
2019-07-02,283.66,287.0,282.69,286.02,448500,0,0
2019-07-03,286.51,289.78,286.33,289.6,254300,0,0
2019-07-05,287.72,291.79,287.1,291.77,432000,0,0
2019-07-08,291.03,292.58,290.03,290.83,274700,0,0
2019-07-09,290.66,294.56,288.85,294.46,598800,0,0
2019-07-10,296.15,296.79,291.57,292.29,341500,0,0
2019-07-11,288.71,294.71,288.01,293.39,287900,0,0
2019-07-12,293.87,295.15,291.12,292.16,546900,0,0
2019-07-15,292.82,292.98,287.66,292.53,813100,0,0
2019-07-16,293.08,293.08,290.72,291.0,363300,0,0
2019-07-17,291.34,292.4,288.85,289.73,525300,0,0
2019-07-18,290.21,291.72,288.7,290.5,498700,0,0
2019-07-19,292.91,292.91,288.6,288.83,480700,0,0
2019-07-22,290.2,292.98,288.16,288.37,872100,0,0
2019-07-23,289.05,290.24,286.84,289.98,436600,0,0
2019-07-24,289.99,291.08,287.79,288.34,475800,0,0
2019-07-25,289.92,289.92,284.63,285.48,383700,0,0
2019-07-26,287.57,289.44,286.06,287.23,386500,0,0
2019-07-29,287.22,287.84,285.4,286.71,337600,0,0
2019-07-30,285.86,286.64,282.96,283.71,419700,0,0
2019-07-31,284.27,288.49,280.78,284.17,477500,0,0
2019-08-01,284.01,287.61,280.14,281.6,446300,0,0
2019-08-02,279.54,280.78,274.41,278.15,469800,0,0
2019-08-05,272.86,272.86,264.93,266.74,834600,0,0
2019-08-06,269.07,270.94,267.46,269.24,497900,0,0
2019-08-07,280.0,293.31,275.0,291.33,1354000,0,0
2019-08-08,292.5,296.92,290.48,296.37,698800,0,0
2019-08-09,295.5,297.13,293.55,295.72,405100,0,0
2019-08-12,294.45,295.47,288.01,289.02,434900,0,0
2019-08-13,288.36,296.8,288.27,295.87,513200,0,0
2019-08-14,291.39,293.38,285.21,285.77,625700,0,0
2019-08-15,287.0,287.98,284.68,286.73,468000,0,0
2019-08-16,288.81,292.0,288.04,291.27,387800,0,0
2019-08-19,294.9,298.36,284.68,297.59,380800,0,0
2019-08-20,297.19,298.4,295.21,295.7,443100,0,0
2019-08-21,297.38,301.31,297.02,300.98,488100,0,0
2019-08-22,302.24,302.58,297.13,300.45,445100,0,0
2019-08-23,299.1,302.61,291.76,292.97,837800,0,0
2019-08-26,295.3,296.67,290.9,292.49,527000,0,0
2019-08-27,293.87,295.26,290.2,292.57,489400,0,0
2019-08-28,291.16,296.49,288.85,295.55,275300,0,0
2019-08-29,298.0,300.84,297.59,299.31,315400,0,0
2019-08-30,301.53,303.26,296.77,298.4,358500,0,0
2019-09-03,297.18,298.63,291.97,292.92,419600,0,0
2019-09-04,296.57,298.24,294.5,298.11,465000,0,0
2019-09-05,301.99,304.21,301.83,302.53,298300,0,0
2019-09-06,302.48,304.65,301.17,302.64,341700,0,0
2019-09-09,304.01,304.53,290.01,290.55,681500,0,0
2019-09-10,288.44,289.6,282.84,286.26,911400,0,0
2019-09-11,282.5,290.45,282.5,285.8,778800,0,0
2019-09-12,288.09,294.22,288.09,288.95,616600,0,0
2019-09-13,290.5,295.28,285.54,292.12,667500,0,0
2019-09-16,290.67,301.21,290.14,297.86,712100,0,0
2019-09-17,298.2,301.4,293.93,297.26,550900,0,0
2019-09-18,297.1,298.32,291.67,295.14,626900,0,0
2019-09-19,295.6,296.87,291.52,291.9,342200,0,0
2019-09-20,293.06,294.67,288.59,289.1,589100,0,0
2019-09-23,288.41,289.61,287.33,287.72,457300,0,0
2019-09-24,290.07,290.93,284.07,285.91,832700,0,0
2019-09-25,285.63,292.66,284.27,291.57,544400,0,0
2019-09-26,290.46,294.97,288.8,292.7,457400,0,0
2019-09-27,293.63,294.85,285.78,288.0,475400,0,0
2019-09-30,288.12,288.75,284.91,286.78,1243900,0,0
2019-10-01,288.06,294.98,282.52,283.02,635400,0,0
2019-10-02,280.84,281.86,277.24,279.38,557500,0,0
2019-10-03,277.74,281.9,274.74,281.3,420600,0,0
2019-10-04,282.04,289.86,281.98,289.72,682400,0,0
2019-10-07,288.45,288.45,284.35,284.59,359900,0,0
2019-10-08,282.05,284.32,276.18,279.85,450200,0,0
2019-10-09,282.06,283.28,279.34,282.64,383800,0,0
2019-10-10,281.85,289.08,281.85,288.44,541600,0,0
2019-10-11,291.75,296.36,290.97,291.29,441600,0,0
2019-10-14,291.35,293.08,289.03,290.65,235600,0,0
2019-10-15,290.95,296.1,290.95,295.92,411200,0,0
2019-10-16,295.33,297.0,290.29,294.83,546200,0,0
2019-10-17,294.83,297.07,293.07,293.88,307100,0,0
2019-10-18,293.3,295.85,289.49,291.83,667200,0,0
2019-10-21,292.05,295.62,291.18,292.2,512500,0,0
2019-10-22,292.77,295.65,286.11,286.28,751400,0,0
2019-10-23,286.55,291.58,285.37,291.43,437100,0,0
2019-10-24,292.5,298.25,291.51,296.24,463200,0,0
2019-10-25,295.06,299.95,294.5,298.88,548700,0,0
2019-10-28,300.77,304.52,299.73,302.05,470100,0,0
2019-10-29,301.21,303.26,298.42,298.59,310100,0,0
2019-10-30,298.51,300.4,296.29,300.03,235100,0,0
2019-10-31,299.5,300.51,293.24,294.22,489100,0,0
2019-11-01,296.48,296.48,291.13,294.34,544200,0,0
2019-11-04,296.13,296.13,291.87,293.04,309100,0,0
2019-11-05,292.91,293.63,287.04,291.73,579500,0,0
2019-11-06,292.12,294.77,290.38,294.07,455100,0,0
2019-11-07,288.15,299.99,285.3,296.58,777900,0,0
2019-11-08,294.89,296.85,291.56,293.45,482600,0,0
2019-11-11,292.09,295.45,290.51,291.0,548100,0,0
2019-11-12,291.06,294.76,289.92,290.73,505700,0,0
2019-11-13,289.77,294.27,289.22,291.01,335400,0,0
2019-11-14,290.09,294.09,289.66,293.41,418500,0,0
2019-11-15,294.76,298.33,292.27,297.34,437000,0,0
2019-11-18,297.0,299.38,295.3,298.49,390600,0,0
2019-11-19,298.67,302.15,297.79,301.92,477000,0,0
2019-11-20,301.68,304.61,298.39,301.0,630200,0,0
2019-11-21,300.59,301.88,294.58,295.27,464700,0,0
2019-11-22,296.32,298.17,292.95,295.18,605200,0,0
2019-11-25,296.03,300.18,294.7,299.52,557400,0,0
2019-11-26,300.5,308.41,299.67,307.42,657000,0,0
2019-11-27,308.95,309.39,306.4,306.88,372900,0,0
2019-11-29,306.15,308.74,305.28,306.92,227900,0,0
2019-12-02,306.8,315.75,306.8,308.42,670800,0,0
2019-12-03,304.61,306.93,301.29,305.88,469000,0,0
2019-12-04,305.88,309.38,303.85,306.21,495600,0,0
2019-12-05,306.0,306.56,302.75,303.18,442300,0,0
2019-12-06,305.12,307.97,304.2,307.78,272300,0,0
2019-12-09,307.35,307.48,302.62,302.62,279600,0,0
2019-12-10,303.24,303.85,301.68,302.54,302500,0,0
2019-12-11,302.7,303.74,299.54,303.06,213200,0,0
2019-12-12,301.8,304.5,297.53,301.52,943700,0,0
2019-12-13,300.11,305.49,299.35,304.72,603500,0,0
2019-12-16,307.0,310.1,304.38,307.61,583900,0,0
2019-12-17,307.9,308.67,300.74,303.62,683200,0,0
2019-12-18,304.0,304.97,296.43,296.79,1983900,0,0
2019-12-19,289.43,295.29,284.02,288.87,2172200,0,0
2019-12-20,290.45,293.96,285.47,290.3,1810900,0,0
2019-12-23,290.27,290.27,283.66,284.56,1126400,0,0
2019-12-24,285.24,287.94,284.56,285.47,256900,0,0
2019-12-26,286.38,287.26,282.36,283.0,547100,0,0
2019-12-27,284.13,287.89,282.79,285.82,713100,0,0
2019-12-30,285.61,287.32,284.03,286.26,725500,0,0
2019-12-31,285.12,287.91,284.88,287.72,542400,0,0
2020-01-02,289.88,291.41,286.73,287.74,814000,0,0
2020-01-03,284.17,291.67,283.87,290.81,859100,0,0
2020-01-06,289.21,290.48,287.61,289.19,988200,0,0
2020-01-07,289.28,295.09,289.1,291.75,1574300,0,0
2020-01-08,292.91,299.14,292.12,297.02,1058200,0,0
2020-01-09,298.93,300.33,292.4,298.51,955600,0,0
2020-01-10,300.15,300.15,291.83,292.4,983700,0,0
2020-01-13,291.88,301.33,291.02,299.4,1359300,0,0
2020-01-14,299.39,299.97,295.63,296.18,936600,0,0
2020-01-15,297.02,305.43,296.57,303.08,988200,0,0
2020-01-16,304.68,309.69,303.83,308.97,1001700,0,0
2020-01-17,309.8,310.64,307.12,310.04,1005600,0,0
2020-01-21,310.03,313.86,309.19,310.98,820100,0,0
2020-01-22,313.81,319.39,312.52,318.3,826800,0,0
2020-01-23,318.29,318.96,314.85,316.7,649600,0,0
2020-01-24,317.5,320.96,316.37,320.63,731600,0,0
2020-01-27,315.64,318.6,312.61,313.25,593900,0,0
2020-01-28,314.9,318.82,314.46,317.45,499400,0,0
2020-01-29,318.03,322.29,317.12,319.55,367100,0,0
2020-01-30,317.7,321.42,316.64,321.18,498900,0,0
2020-01-31,320.87,322.38,315.21,315.23,897200,0,0
2020-02-03,317.25,321.84,315.43,319.08,650900,0,0
2020-02-04,322.99,325.73,322.29,323.93,478400,0,0
2020-02-05,326.46,327.48,323.55,326.87,571600,0,0
2020-02-06,327.66,329.85,326.86,328.85,582100,0,0
2020-02-07,310.01,310.04,302.37,306.76,2258000,0,0
2020-02-10,305.62,313.95,304.62,313.68,1084800,0,0
2020-02-11,315.24,317.78,311.29,315.75,919200,0,0
2020-02-12,315.63,317.22,314.24,316.38,657900,0,0
2020-02-13,314.63,320.21,314.01,317.58,655700,0,0
2020-02-14,317.99,320.04,315.28,318.43,830000,0,0
2020-02-18,318.0,323.6,317.46,320.57,756100,0,0
2020-02-19,321.04,325.52,320.8,321.11,854300,0,0
2020-02-20,320.77,322.26,312.99,317.39,1047600,0,0
2020-02-21,315.0,315.22,306.44,308.92,905300,0,0
2020-02-24,298.78,303.31,295.13,298.42,832600,0,0
2020-02-25,299.29,299.46,286.83,288.38,962000,0,0
2020-02-26,290.66,296.7,284.1,284.2,1079800,0,0
2020-02-27,278.23,280.03,265.4,265.67,2044300,0,0
2020-02-28,255.55,268.79,253.84,265.79,1680300,0,0
2020-03-02,267.44,282.9,267.44,282.04,1452700,0,0
2020-03-03,281.1,283.38,264.49,266.41,1444700,0,0
2020-03-04,270.9,272.58,264.27,268.25,1213700,0,0
2020-03-05,260.72,261.45,251.38,252.72,1250700,0,0
2020-03-06,244.98,249.82,242.15,249.16,1936200,0,0
2020-03-09,228.98,234.79,220.0,222.59,2406400,0,0
2020-03-10,229.32,237.92,221.11,237.67,2659200,0,0
2020-03-11,230.82,233.4,218.28,222.47,1452800,0,0
2020-03-12,208.54,223.97,204.26,214.43,2677000,0,0
2020-03-13,227.99,236.82,214.79,235.46,1779600,0,0
2020-03-16,210.0,214.12,200.22,210.91,1759900,0,0
2020-03-17,214.78,225.73,198.63,224.34,1768000,0,0
2020-03-18,207.17,220.41,169.24,200.51,1921000,0,0
2020-03-19,197.39,209.56,183.9,193.3,1441900,0,0
