Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,127.0,129.9,126.98,129.62,327500,0.0,0
2019-03-22,130.01,131.63,129.61,130.07,374600,0.0,0
2019-03-25,130.4,131.25,129.75,130.71,267400,0.0,0
2019-03-26,131.35,132.81,131.23,132.77,418900,0.0,0
2019-03-27,132.5,133.53,132.11,132.5,445700,0.0,0
2019-03-28,132.45,134.26,132.45,134.16,319200,0.0,0
2019-03-29,134.12,134.68,133.05,133.29,490700,0.0,0
2019-04-01,133.35,133.5,131.42,132.69,331400,0.0,0
2019-04-02,132.53,133.44,130.38,133.05,317000,0.0,0
2019-04-03,133.23,133.91,131.97,132.83,429900,0.0,0
2019-04-04,133.28,133.28,132.42,133.07,145300,0.0,0
2019-04-05,133.65,134.43,132.87,134.32,172000,0.0,0
2019-04-08,134.4,134.4,133.17,133.34,170500,0.0,0
2019-04-09,133.5,133.59,132.15,132.44,246000,0.0,0
2019-04-10,133.04,134.36,132.8,133.95,361900,0.0,0
2019-04-11,134.06,134.18,132.13,132.4,285700,0.0,0
2019-04-12,132.28,133.58,131.28,133.54,382700,0.0,0
2019-04-15,133.72,133.72,131.75,132.0,278400,0.0,0
2019-04-16,131.87,132.24,127.46,128.1,315500,0.0,0
2019-04-17,128.28,128.28,126.38,126.67,525000,0.0,0
2019-04-18,126.81,128.56,126.58,127.82,322200,0.0,0
2019-04-22,127.3,127.6,124.01,125.3,389900,0.0,0
2019-04-23,125.92,127.2,125.37,127.1,352400,0.0,0
2019-04-24,128.03,129.39,127.01,128.71,339800,0.0,0
2019-04-25,128.12,129.74,127.6,129.29,273600,0.0,0
2019-04-26,129.92,130.17,129.21,129.47,278800,0.0,0
2019-04-29,129.4,129.79,128.15,128.23,282800,0.0,0
2019-04-30,128.58,129.62,127.03,129.42,534200,0.0,0
2019-05-01,129.27,130.84,129.24,129.41,317200,0.0,0
2019-05-02,129.7,130.89,129.07,129.65,493700,0.0,0
2019-05-03,129.37,130.53,127.79,128.56,444800,0.0,0
2019-05-06,128.86,129.97,128.16,128.42,328500,0.0,0
2019-05-07,128.12,128.55,124.72,125.46,450800,0.0,0
2019-05-08,125.98,127.75,125.16,125.23,419900,0.0,0
2019-05-09,124.9,125.68,123.96,124.78,402600,0.0,0
2019-05-10,124.69,125.64,123.95,125.08,623700,0.0,0
2019-05-13,124.44,125.52,124.25,124.91,1015300,0.0,0
2019-05-14,124.94,125.55,124.2,124.39,582200,0.0,0
2019-05-15,124.1,125.87,123.97,125.78,765000,0.0,0
2019-05-16,125.79,126.66,125.21,126.16,461200,0.0,0
2019-05-17,125.38,126.81,125.35,126.77,871200,0.0,0
2019-05-20,127.15,127.16,125.34,125.88,545700,0.0,0
2019-05-21,126.47,127.46,126.18,127.45,511000,0.0,0
2019-05-22,127.46,127.85,126.75,127.75,619100,0.0,0
2019-05-23,127.66,128.14,126.46,127.84,680400,0.0,0
2019-05-24,128.18,128.83,127.75,128.06,371400,0.0,0
2019-05-28,128.84,129.12,128.02,128.2,1666900,0.0,0
2019-05-29,128.33,128.33,125.33,125.65,588700,0.0,0
2019-05-30,126.0,126.68,125.68,126.3,298600,0.0,0
2019-05-31,125.89,127.43,125.48,126.4,614000,0.0,0
2019-06-03,126.68,127.12,125.26,126.52,489000,0.0,0
2019-06-04,126.48,126.79,124.77,125.39,552400,0.0,0
2019-06-05,126.27,128.47,125.63,128.33,471400,0.0,0
2019-06-06,128.69,128.89,126.98,127.84,280900,0.0,0
2019-06-07,128.57,128.91,127.53,127.53,240300,0.0,0
2019-06-10,127.22,127.33,126.05,126.8,341900,0.0,0
2019-06-11,127.02,127.33,125.72,126.49,308100,0.0,0
2019-06-12,126.35,127.43,125.83,126.94,479200,0.0,0
2019-06-13,127.17,128.57,127.1,128.36,254300,0.0,0
2019-06-14,128.6,129.22,128.38,128.73,357000,0.0,0
2019-06-17,129.75,130.74,129.75,130.43,317200,0.0,0
2019-06-18,131.3,131.71,129.37,130.05,339900,0.0,0
2019-06-19,129.71,131.25,129.05,130.91,399600,0.0,0
2019-06-20,130.83,131.63,130.22,130.91,356300,1.02,0
2019-06-21,130.59,130.59,127.97,130.37,1003400,0.0,0
2019-06-24,130.69,130.69,128.55,129.18,398700,0.0,0
2019-06-25,129.42,130.26,127.85,127.93,329400,0.0,0
2019-06-26,127.94,128.38,123.04,123.24,761600,0.0,0
2019-06-27,123.48,125.24,123.48,125.21,393300,0.0,0
2019-06-28,125.19,126.06,124.74,125.44,748700,0.0,0
2019-07-01,126.19,126.19,122.86,124.77,354800,0.0,0
2019-07-02,125.1,126.68,124.7,126.65,275400,0.0,0
2019-07-03,127.0,128.43,126.85,128.4,191100,0.0,0
2019-07-05,127.57,128.06,125.63,127.56,226700,0.0,0
2019-07-08,127.54,128.45,127.52,128.35,265600,0.0,0
2019-07-09,128.33,129.43,127.51,129.27,343600,0.0,0
2019-07-10,129.51,130.12,128.57,129.93,321900,0.0,0
2019-07-11,129.81,129.81,127.5,128.32,359400,0.0,0
2019-07-12,128.32,128.91,127.8,127.96,206700,0.0,0
2019-07-15,128.36,128.96,127.55,128.32,255400,0.0,0
2019-07-16,127.96,128.0,126.86,127.66,419600,0.0,0
2019-07-17,127.98,128.32,126.2,127.15,265800,0.0,0
2019-07-18,126.73,127.36,125.58,126.96,220500,0.0,0
2019-07-19,127.1,127.2,124.49,124.57,282300,0.0,0
2019-07-22,124.7,124.92,123.44,124.06,298900,0.0,0
2019-07-23,124.28,126.69,123.98,126.67,266100,0.0,0
2019-07-24,127.08,127.33,126.01,127.27,440800,0.0,0
2019-07-25,127.25,127.31,126.22,126.75,238700,0.0,0
2019-07-26,126.73,127.87,126.08,127.41,212400,0.0,0
2019-07-29,127.78,129.03,127.78,128.55,220800,0.0,0
2019-07-30,128.36,129.47,127.55,128.09,255300,0.0,0
2019-07-31,127.98,129.62,127.77,128.61,721600,0.0,0
2019-08-01,128.32,128.77,126.87,127.22,356700,0.0,0
2019-08-02,130.11,130.65,127.87,128.87,569900,0.0,0
2019-08-05,128.22,128.46,123.04,124.0,598600,0.0,0
2019-08-06,124.23,125.84,124.13,125.42,605900,0.0,0
2019-08-07,124.94,127.21,123.72,125.79,502200,0.0,0
2019-08-08,126.07,128.12,125.05,128.09,369600,0.0,0
2019-08-09,127.88,129.11,127.57,128.78,415600,0.0,0
2019-08-12,128.79,129.56,128.24,129.18,379400,0.0,0
2019-08-13,129.41,130.15,128.9,129.51,350700,0.0,0
2019-08-14,128.86,129.64,126.18,126.26,418600,0.0,0
2019-08-15,126.76,128.35,126.26,126.66,426700,0.0,0
2019-08-16,126.89,127.91,126.41,127.28,649700,0.0,0
2019-08-19,128.01,128.17,127.21,127.96,376300,0.0,0
