Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,85.53,88.34,85.46,88.3,1520300,0,0
2019-03-22,88.0,88.18,85.12,85.19,1321000,0,0
2019-03-25,84.58,85.58,83.51,85.02,865000,0,0
2019-03-26,85.89,86.36,84.53,84.84,980400,0,0
2019-03-27,84.77,84.89,80.83,81.83,1980900,0,0
2019-03-28,82.17,82.96,81.63,82.35,917100,0,0
2019-03-29,82.92,84.03,82.26,83.97,1339500,0,0
2019-04-01,84.59,85.93,83.27,85.22,1221400,0,0
2019-04-02,85.38,85.9,84.27,85.63,1924300,0,0
2019-04-03,86.11,87.94,86.08,87.49,1632800,0,0
2019-04-04,87.81,87.85,82.44,83.5,3227400,0,0
2019-04-05,83.93,85.05,83.47,84.11,1138600,0,0
2019-04-08,84.09,86.85,83.31,86.08,1622200,0,0
2019-04-09,85.47,87.44,85.34,87.31,1800500,0,0
2019-04-10,87.6,89.97,87.38,89.62,2780100,0,0
2019-04-11,90.0,90.87,89.02,89.68,2030200,0,0
2019-04-12,90.3,92.91,90.02,92.71,2505300,0,0
2019-04-15,92.85,95.59,92.8,95.22,2523200,0,0
2019-04-16,95.95,96.96,93.44,94.05,2184400,0,0
2019-04-17,94.37,94.96,91.56,92.37,1777600,0,0
2019-04-18,89.86,91.12,88.21,91.08,2208900,0,0
2019-04-22,90.84,91.94,90.61,91.57,1244500,0,0
2019-04-23,91.8,92.13,90.28,91.99,1793200,0,0
2019-04-24,92.45,93.21,92.04,92.26,1385000,0,0
2019-04-25,92.82,93.38,91.35,92.9,1411200,0,0
2019-04-26,93.0,93.39,91.4,93.02,1191100,0,0
2019-04-29,93.5,94.19,92.75,93.03,1314600,0,0
2019-04-30,93.02,93.76,92.6,93.42,1266100,0,0
2019-05-01,93.64,93.64,91.79,91.89,1517600,0,0
2019-05-02,91.82,92.62,90.49,91.51,2159400,0,0
2019-05-03,86.05,86.68,82.8,85.96,4383200,0,0
2019-05-06,83.65,85.2,82.85,85.01,2356200,0,0
2019-05-07,84.0,84.15,80.73,81.78,3097000,0,0
2019-05-08,81.59,82.22,80.89,81.65,1492200,0,0
2019-05-09,80.25,82.26,79.75,81.81,1448700,0,0
2019-05-10,81.26,83.22,80.34,82.9,1738500,0,0
2019-05-13,80.75,81.76,79.42,79.49,1921800,0,0
2019-05-14,80.02,81.66,80.0,81.2,1388500,0,0
2019-05-15,80.77,82.25,80.5,81.05,1113900,0,0
2019-05-16,81.11,83.58,81.11,83.24,1271100,0,0
2019-05-17,82.36,84.07,81.78,82.62,1273900,0,0
2019-05-20,81.62,82.06,80.69,81.35,882600,0,0
2019-05-21,82.44,82.97,81.95,82.56,915300,0,0
2019-05-22,81.97,82.62,81.53,81.96,737900,0,0
2019-05-23,80.65,80.72,76.72,77.49,2720200,0,0
2019-05-24,78.2,78.9,77.26,77.74,1522700,0,0
2019-05-28,77.87,79.3,77.04,77.24,1760300,0,0
2019-05-29,76.61,77.38,75.05,75.82,1729700,0,0
2019-05-30,75.8,76.43,75.11,76.05,1418600,0,0
2019-05-31,75.0,75.25,72.24,72.48,2543500,0,0
2019-06-03,72.32,72.85,68.87,69.65,2633500,0,0
2019-06-04,70.71,72.5,70.39,72.47,1695400,0,0
2019-06-05,73.48,73.75,71.6,73.15,1356000,0,0
2019-06-06,73.47,73.91,72.43,73.59,1192700,0,0
2019-06-07,73.75,74.61,73.49,73.82,1192800,0,0
2019-06-10,74.41,75.64,74.35,74.68,1348600,0,0
2019-06-11,75.18,76.16,74.7,75.98,2122200,0,0
2019-06-12,75.52,77.07,75.22,76.99,1407000,0,0
2019-06-13,77.25,77.32,76.11,76.61,1233600,0,0
2019-06-14,76.53,77.13,75.69,75.71,1221400,0,0
2019-06-17,75.54,76.69,74.44,74.53,1145900,0,0
2019-06-18,75.74,75.77,74.65,74.95,1168100,0,0
2019-06-19,75.32,77.13,74.5,76.96,1168200,0,0
2019-06-20,77.87,79.32,76.4,76.94,1589400,0,0
2019-06-21,76.93,77.39,74.98,76.13,2731100,0,0
2019-06-24,79.04,79.19,75.69,75.84,1685500,0,0
2019-06-25,76.1,76.48,74.67,74.87,1525300,0,0
2019-06-26,75.18,76.28,74.82,75.25,1411600,0,0
2019-06-27,75.79,77.11,74.87,76.75,926900,0,0
2019-06-28,77.09,77.62,76.01,76.83,2056400,0,0
2019-07-01,78.11,78.63,76.88,77.19,1263400,0,0
2019-07-02,77.44,78.45,77.2,78.11,1167100,0,0
2019-07-03,78.48,79.45,78.04,78.84,1089100,0,0
2019-07-05,78.39,78.94,77.19,78.89,635200,0,0
2019-07-08,77.97,79.48,77.87,78.55,950700,0,0
2019-07-09,78.45,80.7,78.01,80.55,1718400,0,0
2019-07-10,80.98,81.46,80.41,81.05,1710200,0,0
2019-07-11,81.59,84.2,81.18,84.06,2341700,0,0
2019-07-12,84.3,84.76,83.03,84.71,1751200,0,0
2019-07-15,84.94,85.23,83.64,85.02,1819700,0,0
2019-07-16,85.02,85.64,83.95,84.77,1215500,0,0
2019-07-17,84.68,86.83,84.46,86.55,1292100,0,0
2019-07-18,86.02,86.73,85.39,86.45,1266500,0,0
2019-07-19,87.06,88.65,86.97,87.36,1768700,0,0
2019-07-22,87.56,88.15,86.87,87.55,868600,0,0
2019-07-23,88.29,88.32,86.32,87.61,1024200,0,0
2019-07-24,87.14,87.24,86.16,86.58,1607100,0,0
2019-07-25,86.04,86.66,85.09,85.34,1012400,0,0
2019-07-26,85.82,86.19,85.26,85.36,1033900,0,0
2019-07-29,85.34,85.34,81.21,82.96,1924700,0,0
2019-07-30,82.13,83.36,82.1,82.44,1148800,0,0
2019-07-31,82.43,82.55,79.38,80.31,1758200,0,0
2019-08-01,80.44,81.41,78.85,79.02,1826200,0,0
2019-08-02,88.0,92.79,85.89,86.05,5660100,0,0
2019-08-05,83.37,83.38,78.83,80.86,2952600,0,0
2019-08-06,81.46,82.49,80.54,82.06,1976200,0,0
2019-08-07,80.49,81.81,79.05,81.46,1990200,0,0
2019-08-08,82.1,84.66,82.1,84.37,1702000,0,0
2019-08-09,84.25,85.3,83.08,83.53,1549900,0,0
