Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,82.55,84.12,82.46,83.89,908300,0.0,0
2019-03-22,83.48,83.64,81.89,81.91,1137300,0.0,0
2019-03-25,81.91,82.62,81.68,82.28,661200,0.0,0
2019-03-26,82.69,83.62,82.48,83.26,1422500,0.0,0
2019-03-27,83.52,83.61,81.9,82.02,1293900,0.0,0
2019-03-28,82.24,83.1,82.07,82.62,1205000,0.0,0
2019-03-29,83.28,83.72,82.96,83.57,1248200,0.0,0
2019-04-01,84.31,84.87,83.97,84.74,1166900,0.0,0
2019-04-02,85.06,85.48,84.67,85.35,755800,0.0,0
2019-04-03,85.95,86.61,85.74,86.18,896800,0.0,0
2019-04-04,86.31,86.81,85.87,85.97,909000,0.0,0
2019-04-05,86.28,86.6,85.99,86.39,1583400,0.0,0
2019-04-08,86.16,86.61,85.59,86.59,1325300,0.0,0
2019-04-09,86.01,86.28,85.5,85.79,748700,0.0,0
2019-04-10,85.92,85.95,85.48,85.7,1445300,0.0,0
2019-04-11,85.96,86.73,85.48,86.51,1925700,0.0,0
2019-04-12,86.98,87.49,86.86,87.32,905900,0.0,0
2019-04-15,87.5,88.02,86.89,87.48,726300,0.0,0
2019-04-16,87.66,87.86,87.03,87.3,1040300,0.0,0
2019-04-17,88.03,88.28,87.26,87.27,1012900,0.0,0
2019-04-18,87.7,88.36,87.41,88.16,1468100,0.0,0
2019-04-22,87.59,88.17,87.26,88.02,1229600,0.0,0
2019-04-23,88.03,88.89,87.83,88.62,1030300,0.0,0
2019-04-24,88.9,89.13,88.48,88.72,1038100,0.0,0
2019-04-25,88.11,88.67,86.89,87.45,2097600,0.0,0
2019-04-26,81.04,85.25,80.6,84.9,3262900,0.0,0
2019-04-29,85.25,86.1,85.0,85.52,2122300,0.0,0
2019-04-30,85.55,86.19,85.12,86.01,1667100,0.0,0
2019-05-01,86.09,86.43,84.95,85.05,998300,0.0,0
2019-05-02,85.03,85.65,84.48,85.5,823700,0.0,0
2019-05-03,85.82,86.32,85.6,86.23,684100,0.0,0
2019-05-06,84.77,84.86,84.03,84.61,981800,0.0,0
2019-05-07,83.55,83.77,82.8,83.16,1557800,0.0,0
2019-05-08,82.27,82.72,81.78,82.16,2002600,0.0,0
2019-05-09,81.34,82.0,80.95,81.94,998800,0.0,0
2019-05-10,81.43,82.39,80.35,82.31,938100,0.0,0
2019-05-13,80.46,80.67,79.66,80.19,2065200,0.0,0
2019-05-14,80.43,81.48,80.16,80.2,1372700,0.0,0
2019-05-15,79.89,81.48,79.58,81.04,1013800,0.0,0
2019-05-16,81.83,81.91,80.98,81.03,1042100,0.0,0
2019-05-17,80.24,81.01,79.63,80.21,1335100,0.0,0
2019-05-20,79.45,79.65,78.82,79.03,1278700,0.0,0
2019-05-21,79.6,79.93,79.44,79.59,1108400,0.0,0
2019-05-22,79.51,79.93,79.18,79.28,1725300,0.0,0
2019-05-23,78.46,78.92,77.87,78.2,1777500,0.0,0
2019-05-24,78.66,78.95,77.71,77.74,1154800,0.0,0
2019-05-28,77.85,78.08,76.49,76.5,1611700,0.0,0
2019-05-29,75.87,76.62,75.41,76.3,2756100,0.0,0
2019-05-30,76.45,77.12,76.04,76.61,2324800,0.07,0
2019-05-31,75.8,76.17,75.66,75.92,1993100,0.0,0
2019-06-03,74.44,75.87,73.38,75.54,2567000,0.0,0
2019-06-04,76.34,77.62,75.93,77.54,1952100,0.0,0
2019-06-05,78.0,78.64,77.36,78.6,1661400,0.0,0
2019-06-06,78.7,79.39,78.28,79.14,1078700,0.0,0
2019-06-07,79.59,79.71,78.64,78.74,1102100,0.0,0
2019-06-10,79.04,79.15,78.44,78.69,1126000,0.0,0
2019-06-11,79.43,79.81,78.54,78.93,1306000,0.0,0
2019-06-12,78.77,78.87,77.75,77.95,1143700,0.0,0
2019-06-13,78.29,78.5,77.95,78.28,1010000,0.0,0
2019-06-14,78.12,78.16,76.6,77.1,1651100,0.0,0
2019-06-17,77.01,77.26,76.22,76.42,1600600,0.0,0
2019-06-18,77.03,78.37,77.03,78.11,1771200,0.0,0
2019-06-19,78.16,78.69,77.86,78.61,1380800,0.0,0
2019-06-20,79.58,80.64,79.24,80.58,1260600,0.0,0
2019-06-21,80.36,80.67,79.75,80.18,1971200,0.0,0
2019-06-24,80.19,80.66,79.93,80.42,1001900,0.0,0
2019-06-25,80.48,80.99,80.05,80.39,1806100,0.0,0
2019-06-26,80.34,80.75,79.5,79.62,2126000,0.0,0
2019-06-27,79.91,80.26,79.61,80.15,1708500,0.0,0
2019-06-28,80.3,81.69,79.94,81.28,4831400,0.0,0
2019-07-01,82.3,82.93,81.69,82.43,1466200,0.0,0
2019-07-02,82.6,82.6,81.39,81.72,935900,0.0,0
2019-07-03,81.77,82.34,81.37,82.34,826500,0.0,0
2019-07-05,81.57,81.66,79.66,80.74,1058000,0.0,0
2019-07-08,80.54,81.04,79.92,80.21,1106100,0.0,0
2019-07-09,80.0,80.24,79.69,80.03,1403600,0.0,0
2019-07-10,80.15,80.78,79.1,79.15,1094000,0.0,0
2019-07-11,79.15,79.57,78.87,79.46,1594100,0.0,0
2019-07-12,80.01,81.09,80.01,81.07,852000,0.0,0
2019-07-15,81.16,81.2,80.14,80.51,768900,0.0,0
2019-07-16,80.46,81.33,80.36,81.17,956800,0.0,0
2019-07-17,81.02,81.21,79.37,79.46,1169200,0.0,0
2019-07-18,79.28,79.7,78.51,78.87,1879600,0.0,0
2019-07-19,79.17,79.49,78.23,78.28,2866000,0.0,0
2019-07-22,78.17,78.96,78.17,78.76,1514200,0.0,0
2019-07-23,79.25,81.39,79.24,81.19,1821000,0.0,0
2019-07-24,80.88,82.54,80.69,82.01,1311900,0.0,0
2019-07-25,82.05,82.27,81.18,81.56,1651400,0.0,0
2019-07-26,73.97,79.27,73.97,78.22,5223900,0.0,0
2019-07-29,77.95,78.11,75.98,76.6,3040300,0.0,0
2019-07-30,76.15,76.59,75.77,76.57,1842200,0.0,0
2019-07-31,76.42,76.64,75.1,75.82,2104300,0.0,0
2019-08-01,75.66,75.81,73.01,73.53,1995000,0.0,0
2019-08-02,73.48,73.58,71.64,73.42,2103300,0.0,0
2019-08-05,70.64,71.32,69.92,70.2,2497200,0.0,0
2019-08-06,70.52,71.29,69.79,71.21,1976500,0.0,0
2019-08-07,70.16,70.98,69.44,70.93,1942400,0.0,0
2019-08-08,71.36,71.83,70.92,71.63,1463800,0.0,0
2019-08-09,71.45,71.46,70.03,70.29,1314000,0.0,0
2019-08-12,69.75,70.03,68.83,68.87,1255800,0.0,0
2019-08-13,69.13,70.98,68.7,69.8,1152200,0.0,0
2019-08-14,68.67,68.85,66.79,67.13,2245800,0.0,0
2019-08-15,67.32,67.44,66.48,67.13,1353400,0.0,0
2019-08-16,67.76,69.01,67.58,68.73,2405400,0.0,0
2019-08-19,69.7,70.19,69.41,69.87,1081100,0.0,0
2019-08-20,69.66,70.21,69.13,69.8,1800800,0.0,0
2019-08-21,70.66,70.74,69.88,70.04,1321500,0.0,0
2019-08-22,70.43,70.65,69.5,69.54,1159000,0.0,0
2019-08-23,69.13,69.84,67.83,68.17,1642000,0.0,0
2019-08-26,68.82,68.97,67.66,68.94,2003200,0.0,0
2019-08-27,69.52,69.9,68.71,68.83,1179700,0.0,0
2019-08-28,68.36,69.47,68.23,69.43,1486000,0.0,0
2019-08-29,70.34,70.68,69.63,70.55,1079900,0.07,0
2019-08-30,71.1,71.43,70.63,70.76,1610700,0.0,0
2019-09-03,70.01,70.29,68.8,68.88,1480700,0.0,0
2019-09-04,68.83,69.11,65.39,66.83,7384600,0.0,0
2019-09-05,67.6,68.44,67.37,67.97,4264800,0.0,0
2019-09-06,68.37,68.92,68.09,68.34,3043400,0.0,0
2019-09-09,68.34,68.71,67.66,67.88,3339400,0.0,0
2019-09-10,67.97,68.92,67.88,68.48,2494100,0.0,0
2019-09-11,68.74,70.45,68.1,70.45,2322700,0.0,0
2019-09-12,70.61,70.83,69.26,69.84,1593300,0.0,0
2019-09-13,69.84,70.22,69.69,69.88,1556000,0.0,0
2019-09-16,69.58,70.05,69.31,69.36,1510400,0.0,0
2019-09-17,69.19,69.56,68.58,68.92,1354700,0.0,0
2019-09-18,68.54,69.59,68.12,69.55,1423400,0.0,0
2019-09-19,69.54,70.09,68.66,68.66,1494200,0.0,0
2019-09-20,68.72,69.03,67.8,68.05,5981400,0.0,0
2019-09-23,67.67,68.32,67.52,67.82,1978500,0.0,0
2019-09-24,67.78,68.1,66.36,66.81,3026300,0.0,0
2019-09-25,66.87,67.87,66.7,67.71,2266300,0.0,0
2019-09-26,67.7,68.7,67.15,67.85,2472000,0.0,0
2019-09-27,68.27,68.85,67.7,68.47,2142600,0.0,0
2019-09-30,68.83,69.01,68.11,68.43,2229800,0.0,0
2019-10-01,68.82,69.09,66.07,66.15,3189600,0.0,0
2019-10-02,65.32,65.81,63.55,64.3,4360200,0.0,0
2019-10-03,64.09,65.81,63.39,65.55,2463700,0.0,0
2019-10-04,65.57,66.41,65.1,66.37,1428900,0.0,0
2019-10-07,66.12,66.34,65.46,65.51,1405000,0.0,0
2019-10-08,64.71,64.87,63.97,64.11,1462000,0.0,0
2019-10-09,64.88,64.88,63.79,64.74,1669500,0.0,0
2019-10-10,64.56,65.61,64.56,65.3,1283700,0.0,0
2019-10-11,66.13,68.33,66.13,67.82,3217100,0.0,0
2019-10-14,67.46,67.93,67.15,67.83,1521100,0.0,0
2019-10-15,67.78,69.49,67.71,69.37,2312400,0.0,0
2019-10-16,69.21,70.0,68.95,69.21,2122000,0.0,0
2019-10-17,69.64,70.93,69.45,70.77,1696300,0.0,0
2019-10-18,70.3,71.21,70.17,70.8,1680600,0.0,0
2019-10-21,71.26,72.24,71.01,71.78,1771500,0.0,0
2019-10-22,71.46,72.74,70.89,72.12,1346700,0.0,0
2019-10-23,72.04,72.31,71.49,72.2,1508000,0.0,0
2019-10-24,72.18,72.18,70.32,71.37,2113700,0.0,0
2019-10-25,71.21,71.21,67.38,68.23,4163700,0.0,0
2019-10-28,68.25,70.27,68.25,68.51,3127600,0.0,0
2019-10-29,68.28,68.81,67.47,68.36,4458000,0.0,0
2019-10-30,68.18,69.64,67.9,69.28,1749200,0.0,0
2019-10-31,69.07,69.28,68.21,68.86,1355800,0.0,0
2019-11-01,69.49,71.67,69.29,71.66,2128400,0.0,0
2019-11-04,72.16,73.84,71.66,73.59,2442600,0.0,0
2019-11-05,73.77,74.2,72.84,73.37,1571900,0.0,0
2019-11-06,73.24,73.25,72.52,73.05,1274100,0.0,0
2019-11-07,73.41,73.54,72.02,72.15,1366600,0.0,0
2019-11-08,72.09,72.79,71.77,72.74,860700,0.0,0
2019-11-11,72.08,72.68,71.79,71.94,1206400,0.0,0
2019-11-12,71.88,72.51,71.62,71.96,1575900,0.0,0
2019-11-13,71.34,71.72,70.81,70.84,1256600,0.0,0
2019-11-14,71.21,71.6,70.82,70.99,1432300,0.0,0
2019-11-15,71.32,72.6,71.19,71.49,1894700,0.0,0
2019-11-18,71.29,71.45,70.81,71.01,1224300,0.0,0
2019-11-19,71.21,71.46,70.59,70.96,1599600,0.0,0
2019-11-20,70.68,70.97,69.95,69.96,2629800,0.0,0
2019-11-21,70.14,71.2,69.61,70.79,1805300,0.0,0
2019-11-22,71.14,71.3,70.22,70.56,1318800,0.0,0
2019-11-25,70.59,71.57,70.38,71.34,1831300,0.0,0
2019-11-26,71.51,72.06,71.43,72.01,1111100,0.0,0
2019-11-27,72.03,72.37,71.68,72.29,968400,0.07,0
2019-11-29,72.29,72.29,71.87,72.1,762000,0.0,0
2019-12-02,72.57,72.91,71.68,71.71,1976500,0.0,0
2019-12-03,71.02,71.21,70.23,71.04,1894100,0.0,0
2019-12-04,71.31,72.57,71.31,71.34,2008400,0.0,0
2019-12-05,71.38,72.62,71.26,72.23,1997700,0.0,0
2019-12-06,72.89,73.48,72.78,72.8,1711200,0.0,0
2019-12-09,75.01,76.05,73.73,74.07,2938700,0.0,0
2019-12-10,74.08,74.3,73.69,73.77,1776100,0.0,0
2019-12-11,74.64,75.69,74.21,74.9,2535900,0.0,0
2019-12-12,74.9,76.22,74.43,76.09,2222000,0.0,0
2019-12-13,75.98,76.7,75.11,75.12,1537000,0.0,0
2019-12-16,75.75,76.62,75.29,76.08,1826000,0.0,0
2019-12-17,76.0,76.73,75.59,76.66,1722700,0.0,0
2019-12-18,76.56,76.76,76.04,76.56,1954700,0.0,0
2019-12-19,76.65,76.9,76.35,76.57,1586500,0.0,0
2019-12-20,77.21,77.21,75.66,75.67,3584900,0.0,0
2019-12-23,75.85,76.79,75.31,76.77,1503800,0.0,0
2019-12-24,76.99,77.22,76.12,76.31,270100,0.0,0
2019-12-26,76.56,76.79,75.84,76.21,830600,0.0,0
2019-12-27,76.41,76.59,76.1,76.5,781300,0.0,0
2019-12-30,76.55,76.78,75.94,76.2,646900,0.0,0
2019-12-31,76.12,76.46,75.9,76.31,865500,0.0,0
2020-01-02,76.92,77.48,76.44,77.47,1622600,0.0,0
2020-01-03,76.12,77.27,75.95,77.15,1143500,0.0,0
2020-01-06,76.23,76.91,75.89,76.75,1986100,0.0,0
2020-01-07,76.74,77.02,76.1,77.0,1677200,0.0,0
2020-01-08,76.98,77.22,76.32,76.93,2287200,0.0,0
2020-01-09,77.36,78.58,77.36,77.9,2785100,0.0,0
2020-01-10,78.03,78.55,77.57,77.92,2112000,0.0,0
2020-01-13,77.92,78.8,77.74,78.72,2350600,0.0,0
2020-01-14,78.72,79.32,78.13,78.26,1917100,0.0,0
2020-01-15,78.5,78.91,77.54,77.92,1192700,0.0,0
2020-01-16,78.39,78.86,77.42,78.18,1071300,0.0,0
2020-01-17,78.08,79.1,78.08,78.7,1451200,0.0,0
2020-01-21,78.3,78.37,77.4,78.1,1480300,0.0,0
2020-01-22,78.57,78.83,77.53,77.58,1403200,0.0,0
2020-01-23,77.28,77.78,76.74,77.51,936900,0.0,0
2020-01-24,77.71,77.86,76.17,76.83,1153500,0.0,0
