Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,164.52,166.48,164.35,165.96,702400,0.0,0
2019-03-22,165.54,165.68,161.94,162.08,816500,0.0,0
2019-03-25,162.5,163.4,161.66,162.83,854000,0.0,0
2019-03-26,164.1,164.67,162.14,163.1,905900,0.0,0
2019-03-27,163.48,164.74,161.88,162.77,712100,0.0,0
2019-03-28,163.38,164.37,162.28,163.94,859100,0.0,0
2019-03-29,165.03,165.57,164.67,165.43,1333700,0.0,0
2019-04-01,166.38,168.84,166.17,168.39,1055100,0.0,0
2019-04-02,168.01,168.28,165.66,166.07,1367800,0.0,0
2019-04-03,166.72,166.72,162.95,163.93,1484900,0.0,0
2019-04-04,164.18,166.49,164.0,165.32,1062100,0.0,0
2019-04-05,165.41,167.24,164.75,167.23,1240400,0.0,0
2019-04-08,166.64,168.6,166.23,168.38,1159800,0.0,0
2019-04-09,167.27,167.67,165.21,165.32,1037100,0.0,0
2019-04-10,165.37,165.96,163.8,165.52,926700,0.0,0
2019-04-11,165.95,168.76,165.55,168.54,1212300,1.02,0
2019-04-12,169.76,172.54,169.15,171.98,1454000,0.0,0
2019-04-15,171.43,171.81,168.61,169.1,1601500,0.0,0
2019-04-16,169.79,171.79,169.79,170.81,931700,0.0,0
2019-04-17,172.05,173.51,171.34,171.59,988400,0.0,0
2019-04-18,171.95,174.02,171.57,173.87,1348300,0.0,0
2019-04-22,172.91,174.87,172.32,174.05,1466900,0.0,0
2019-04-23,176.63,180.05,175.79,179.3,1948100,0.0,0
2019-04-24,189.86,189.86,177.21,177.69,3087200,0.0,0
2019-04-25,176.71,177.19,172.96,173.9,1799100,0.0,0
2019-04-26,174.16,175.15,173.18,175.07,852300,0.0,0
2019-04-29,175.0,176.62,174.61,176.19,844900,0.0,0
2019-04-30,176.53,176.95,173.74,175.71,1213200,0.0,0
2019-05-01,176.1,176.9,173.38,173.42,1224100,0.0,0
2019-05-02,172.85,173.38,169.89,171.63,2036500,0.0,0
2019-05-03,172.29,173.81,172.13,173.71,1354400,0.0,0
2019-05-06,170.68,172.75,169.7,172.41,992100,0.0,0
2019-05-07,170.48,171.05,167.08,167.61,1614700,0.0,0
2019-05-08,167.51,167.86,165.06,165.46,2021500,0.0,0
2019-05-09,164.76,170.24,164.36,169.15,2037700,0.0,0
2019-05-10,167.86,170.62,166.64,170.17,1254300,0.0,0
2019-05-13,167.67,168.14,163.98,165.16,1762500,0.0,0
2019-05-14,165.21,167.54,164.99,165.65,847900,0.0,0
2019-05-15,164.21,166.38,162.86,164.9,787500,0.0,0
2019-05-16,165.5,167.56,165.27,166.99,634200,0.0,0
2019-05-17,165.03,165.57,163.3,163.57,998100,0.0,0
2019-05-20,165.28,167.58,164.57,166.44,1359100,0.0,0
2019-05-21,167.33,169.12,166.98,168.56,1182300,0.0,0
2019-05-22,167.72,168.33,165.59,166.43,939200,0.0,0
2019-05-23,164.94,165.42,159.95,160.83,1883600,0.0,0
2019-05-24,161.15,162.04,158.74,161.27,1508100,0.0,0
2019-05-28,161.51,162.65,160.32,160.9,2609600,0.0,0
2019-05-29,160.8,161.19,159.13,159.58,1204100,0.0,0
2019-05-30,159.72,160.89,158.88,159.5,839400,0.0,0
2019-05-31,157.74,158.86,157.51,158.11,1306300,0.0,0
2019-06-03,158.65,162.7,158.32,160.4,1515300,0.0,0
2019-06-04,161.5,165.08,161.5,164.95,1034400,0.0,0
2019-06-05,165.5,169.07,165.4,169.04,1251600,0.0,0
2019-06-06,169.03,169.69,166.82,169.08,862000,0.0,0
2019-06-07,170.23,171.44,169.58,171.04,973400,0.0,0
2019-06-10,172.84,173.47,170.25,170.47,1054100,0.0,0
2019-06-11,171.11,171.5,165.69,166.87,853900,0.0,0
2019-06-12,167.06,167.56,165.84,167.18,585500,0.0,0
2019-06-13,167.29,169.04,166.6,169.04,1128000,0.0,0
2019-06-14,169.35,169.35,167.27,168.37,724400,0.0,0
2019-06-17,168.8,169.53,167.51,168.89,925000,0.0,0
2019-06-18,169.67,171.93,169.47,170.67,857800,0.0,0
2019-06-19,171.3,171.54,169.64,170.7,531700,0.0,0
2019-06-20,172.88,175.41,171.45,174.96,1266000,0.0,0
2019-06-21,175.13,175.33,172.84,174.44,1851300,0.0,0
2019-06-24,173.73,175.29,173.36,174.83,976300,0.0,0
2019-06-25,175.07,175.8,174.12,174.65,763500,0.0,0
2019-06-26,174.27,176.72,173.89,175.89,1334100,0.0,0
