Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,46.47,48.36,46.47,48.22,7582700,0.0,0
2019-03-22,48.39,49.12,48.36,48.89,5314500,0.0,0
2019-03-25,48.7,49.31,48.57,49.23,3267600,0.0,0
2019-03-26,49.34,50.04,49.04,49.91,3734600,0.0,0
2019-03-27,49.8,49.99,49.41,49.43,4201300,0.0,0
2019-03-28,49.55,49.8,49.31,49.62,4718700,0.0,0
2019-03-29,49.59,50.07,49.47,49.87,4884900,0.0,0
2019-04-01,49.86,49.92,48.78,49.13,6089800,0.0,0
2019-04-02,49.13,49.15,48.81,49.12,4857300,0.0,0
2019-04-03,48.97,49.03,48.44,48.46,5171100,0.0,0
2019-04-04,48.59,48.7,48.32,48.43,3342600,0.0,0
2019-04-05,48.42,49.04,48.36,49.03,3686800,0.0,0
2019-04-08,48.96,49.51,48.9,49.44,3642500,0.0,0
2019-04-09,49.3,49.89,49.16,49.65,4412800,0.49,0
2019-04-10,49.61,50.2,49.6,50.15,4208800,0.0,0
2019-04-11,50.31,50.34,49.91,50.16,2666400,0.0,0
2019-04-12,49.98,50.28,49.75,50.18,1959900,0.0,0
2019-04-15,50.29,50.42,50.05,50.32,2331900,0.0,0
2019-04-16,50.32,50.76,49.87,50.07,3025000,0.0,0
2019-04-17,50.24,50.42,49.9,50.35,2420700,0.0,0
2019-04-18,50.19,50.56,50.11,50.32,2321800,0.0,0
2019-04-22,50.32,50.49,50.16,50.35,1732000,0.0,0
2019-04-23,50.3,50.59,49.43,49.63,4866400,0.0,0
2019-04-24,49.51,49.86,49.09,49.31,5687200,0.0,0
2019-04-25,49.08,49.27,48.66,48.86,4034800,0.0,0
2019-04-26,49.18,49.71,48.93,49.7,2812300,0.0,0
2019-04-29,49.56,49.71,49.46,49.56,2248400,0.0,0
2019-04-30,49.69,50.23,49.57,50.07,4730600,0.0,0
2019-05-01,50.16,50.33,49.76,49.92,3563700,0.0,0
2019-05-02,49.66,49.96,49.28,49.87,2978200,0.0,0
2019-05-03,49.84,50.1,49.72,49.79,2408000,0.0,0
2019-05-06,49.74,50.17,49.43,50.05,2224400,0.0,0
2019-05-07,49.68,50.04,49.53,49.8,3548000,0.0,0
2019-05-08,49.86,49.86,49.24,49.49,2645100,0.0,0
2019-05-09,49.56,50.15,49.4,50.02,3621400,0.0,0
2019-05-10,49.78,50.21,49.28,50.14,2921700,0.0,0
2019-05-13,49.75,50.5,49.58,50.39,3053600,0.0,0
2019-05-14,50.37,50.88,50.11,50.56,3254200,0.0,0
2019-05-15,50.5,51.04,50.11,50.99,2355800,0.0,0
2019-05-16,51.0,51.56,50.56,50.69,5230400,0.0,0
2019-05-17,50.64,51.13,50.49,50.98,3954400,0.0,0
2019-05-20,50.93,51.45,50.82,51.28,4319400,0.0,0
2019-05-21,51.34,51.38,50.87,50.97,3501400,0.0,0
2019-05-22,51.07,51.37,50.57,51.28,2876200,0.0,0
