Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,80.86,81.94,80.32,81.76,464100,0.0,0
2019-03-22,81.03,81.18,79.65,79.71,772700,0.0,0
2019-03-25,79.75,80.78,79.54,80.25,438200,0.0,0
2019-03-26,80.86,81.36,80.59,81.26,361000,0.0,0
2019-03-27,81.14,81.81,81.08,81.34,395900,0.0,0
2019-03-28,81.46,81.88,80.4,81.19,477700,0.0,0
2019-03-29,81.79,82.05,81.12,81.34,603200,0.0,0
2019-04-01,81.81,83.6,81.81,83.54,685300,0.0,0
2019-04-02,83.47,83.93,82.95,83.25,633400,0.0,0
2019-04-03,83.95,84.41,83.73,84.06,548700,0.0,0
2019-04-04,84.1,84.86,83.85,84.11,294300,0.1725,0
2019-04-05,84.13,84.88,83.78,84.86,606700,0.0,0
2019-04-08,84.68,85.1,84.62,85.0,408300,0.0,0
2019-04-09,84.48,84.51,83.65,83.77,376000,0.0,0
2019-04-10,83.82,84.69,83.65,84.56,350500,0.0,0
2019-04-11,84.85,85.66,84.5,84.99,423800,0.0,0
2019-04-12,86.05,86.66,85.6,86.37,370500,0.0,0
2019-04-15,86.16,86.69,85.49,85.65,351000,0.0,0
2019-04-16,86.0,86.84,85.92,86.63,397100,0.0,0
2019-04-17,87.02,87.02,85.74,85.79,703000,0.0,0
2019-04-18,86.04,90.79,86.04,88.26,1051900,0.0,0
2019-04-22,88.37,88.39,85.96,86.59,710900,0.0,0
2019-04-23,86.48,86.76,86.05,86.34,611300,0.0,0
2019-04-24,86.16,86.27,85.63,85.88,526200,0.0,0
2019-04-25,85.27,86.37,84.79,86.08,406200,0.0,0
2019-04-26,86.24,86.55,85.65,86.53,282600,0.0,0
2019-04-29,86.72,87.56,86.61,87.24,447300,0.0,0
2019-04-30,87.34,87.34,86.3,87.19,465700,0.0,0
2019-05-01,87.1,87.55,86.62,86.84,435300,0.0,0
2019-05-02,86.92,87.49,86.45,87.03,390800,0.0,0
2019-05-03,87.26,87.84,87.0,87.43,284300,0.0,0
2019-05-06,86.14,87.75,85.89,87.47,250700,0.0,0
2019-05-07,86.93,87.32,85.52,86.09,328400,0.0,0
2019-05-08,85.81,87.01,85.57,86.4,426100,0.0,0
2019-05-09,85.62,86.93,85.44,86.67,338900,0.0,0
2019-05-10,86.3,87.87,85.91,87.76,331700,0.0,0
2019-05-13,86.35,86.8,85.39,85.83,481300,0.0,0
2019-05-14,85.98,87.4,85.98,86.84,415900,0.0,0
2019-05-15,86.04,86.77,85.61,86.28,356900,0.0,0
2019-05-16,86.69,87.35,86.65,86.92,442300,0.0,0
2019-05-17,86.05,87.67,86.03,86.92,507100,0.0,0
2019-05-20,86.81,87.93,86.74,87.82,589900,0.0,0
2019-05-21,88.3,88.93,88.03,88.34,473500,0.0,0
2019-05-22,87.98,88.27,87.68,87.97,500700,0.0,0
2019-05-23,86.98,87.13,85.65,86.19,565000,0.0,0
2019-05-24,86.42,86.86,85.98,86.72,443800,0.0,0
2019-05-28,86.57,86.77,85.72,85.81,649200,0.0,0
2019-05-29,85.57,86.48,85.28,86.34,532400,0.0,0
2019-05-30,86.34,87.15,85.93,86.02,308900,0.0,0
2019-05-31,85.11,85.67,84.87,85.05,412900,0.0,0
2019-06-03,84.97,86.37,84.85,86.34,436200,0.0,0
2019-06-04,87.38,87.82,86.78,87.75,526800,0.0,0
2019-06-05,87.89,88.17,87.05,87.82,536300,0.0,0
2019-06-06,88.01,88.62,87.7,88.45,309900,0.0,0
2019-06-07,88.33,89.05,88.33,88.39,329900,0.0,0
2019-06-10,89.14,89.24,88.3,88.32,354800,0.0,0
2019-06-11,88.78,89.03,87.9,87.94,422800,0.0,0
2019-06-12,87.85,88.26,87.43,87.97,430500,0.0,0
2019-06-13,87.99,88.47,87.78,88.15,386700,0.0,0
2019-06-14,88.22,88.78,87.85,88.69,335500,0.0,0
2019-06-17,88.74,89.0,87.75,87.84,275900,0.0,0
2019-06-18,87.89,88.56,87.49,88.31,330800,0.0,0
2019-06-19,88.25,89.02,87.95,88.12,378000,0.0,0
2019-06-20,88.73,89.01,87.58,88.89,378300,0.0,0
2019-06-21,89.01,89.11,87.57,87.6,1055800,0.0,0
2019-06-24,87.66,88.82,87.66,87.86,450000,0.0,0
2019-06-25,87.94,88.02,87.34,87.77,371500,0.0,0
2019-06-26,87.91,88.15,87.11,87.11,384300,0.0,0
2019-06-27,87.35,88.09,87.3,87.96,343700,0.0,0
2019-06-28,88.55,89.19,88.55,88.98,913500,0.0,0
2019-07-01,89.58,90.78,89.58,90.64,460600,0.0,0
2019-07-02,90.68,90.8,89.5,90.02,400800,0.0,0
2019-07-03,90.33,91.45,90.32,91.31,255200,0.1725,0
2019-07-05,91.34,91.51,90.67,91.45,408600,0.0,0
2019-07-08,91.0,91.3,90.49,90.55,451200,0.0,0
2019-07-09,89.99,91.25,89.99,91.22,463900,0.0,0
2019-07-10,91.22,91.52,90.67,90.8,485500,0.0,0
2019-07-11,91.16,91.38,90.45,91.36,565500,0.0,0
2019-07-12,91.53,91.86,91.01,91.73,452800,0.0,0
2019-07-15,92.02,92.04,91.39,91.94,375900,0.0,0
2019-07-16,92.1,92.1,91.45,91.59,504600,0.0,0
2019-07-17,91.44,91.71,90.64,90.99,348400,0.0,0
2019-07-18,90.9,91.66,90.72,91.51,411100,0.0,0
2019-07-19,91.62,91.89,90.68,90.72,341800,0.0,0
2019-07-22,90.71,91.1,90.53,90.78,374900,0.0,0
2019-07-23,90.79,91.31,90.26,91.0,358100,0.0,0
2019-07-24,90.86,91.12,90.03,90.56,556000,0.0,0
2019-07-25,91.76,92.93,91.07,91.83,673200,0.0,0
2019-07-26,92.1,92.63,91.37,92.6,629800,0.0,0
2019-07-29,92.75,92.82,91.25,91.58,478000,0.0,0
2019-07-30,91.18,91.83,90.96,91.4,351200,0.0,0
2019-07-31,91.39,91.83,90.62,91.0,613500,0.0,0
2019-08-01,90.78,90.87,87.44,88.3,718000,0.0,0
2019-08-02,88.23,88.29,86.82,87.34,558800,0.0,0
2019-08-05,86.01,86.02,83.83,84.41,614400,0.0,0
2019-08-06,84.9,86.13,84.27,86.08,535300,0.0,0
2019-08-07,84.61,86.13,83.38,85.69,540000,0.0,0
2019-08-08,86.56,87.91,86.12,87.79,526400,0.0,0
2019-08-09,88.68,88.68,86.38,87.7,280800,0.0,0
2019-08-12,87.04,88.69,86.78,86.99,391400,0.0,0
2019-08-13,86.57,88.94,86.41,88.19,367200,0.0,0
2019-08-14,87.03,87.28,84.72,84.77,511800,0.0,0
2019-08-15,85.12,85.88,84.78,85.51,317700,0.0,0
2019-08-16,85.94,87.26,85.91,86.86,593000,0.0,0
2019-08-19,88.31,88.31,85.91,87.39,277300,0.0,0
2019-08-20,87.16,87.21,86.15,86.26,316200,0.0,0
2019-08-21,86.93,87.44,86.18,87.4,307700,0.0,0
2019-08-22,87.83,88.4,87.03,88.01,387200,0.0,0
2019-08-23,87.84,88.41,85.43,85.83,383400,0.0,0
2019-08-26,86.6,87.06,86.04,86.81,267400,0.0,0
2019-08-27,87.37,87.5,85.65,86.22,331900,0.0,0
2019-08-28,85.61,86.94,85.61,86.78,302800,0.0,0
2019-08-29,86.62,88.34,86.62,87.76,477200,0.0,0
2019-08-30,88.58,89.1,88.23,88.95,658600,0.0,0
2019-09-03,87.94,88.26,86.81,87.83,609900,0.0,0
2019-09-04,88.71,88.75,88.0,88.45,367200,0.0,0
2019-09-05,89.49,91.25,89.49,90.52,367500,0.0,0
2019-09-06,90.64,91.61,90.13,91.36,463700,0.0,0
2019-09-09,91.91,93.0,91.49,92.77,571700,0.0,0
2019-09-10,92.97,94.08,92.91,93.94,533600,0.0,0
2019-09-11,93.99,94.81,92.43,94.8,637400,0.0,0
2019-09-12,94.43,95.01,93.95,94.4,513800,0.0,0
2019-09-13,95.06,95.76,94.38,95.02,581300,0.0,0
2019-09-16,94.51,94.6,93.24,93.39,352600,0.0,0
2019-09-17,93.06,94.03,92.68,94.01,359200,0.0,0
2019-09-18,93.44,94.67,92.89,94.61,382800,0.0,0
2019-09-19,94.47,95.02,93.85,93.99,259800,0.0,0
2019-09-20,95.35,95.69,93.99,94.32,775700,0.0,0
2019-09-23,93.54,95.23,93.35,95.02,318800,0.0,0
2019-09-24,95.71,95.75,94.52,94.71,418200,0.0,0
2019-09-25,94.69,95.83,94.5,95.11,278700,0.0,0
2019-09-26,95.05,95.87,94.77,95.72,266600,0.0,0
2019-09-27,96.26,96.58,95.36,95.86,249400,0.0,0
2019-09-30,96.02,96.38,95.29,95.42,513800,0.0,0
2019-10-01,95.92,96.28,93.88,93.96,328000,0.0,0
2019-10-02,93.06,93.34,91.82,92.17,509800,0.0,0
2019-10-03,91.84,92.5,90.52,92.5,468400,0.1725,0
2019-10-04,92.79,94.39,92.6,94.36,232200,0.0,0
2019-10-07,93.89,94.4,93.6,93.65,340900,0.0,0
2019-10-08,92.98,92.98,92.04,92.21,450500,0.0,0
2019-10-09,92.94,93.43,92.5,92.7,341300,0.0,0
2019-10-10,92.39,93.85,92.39,93.06,339400,0.0,0
2019-10-11,94.63,95.23,94.0,94.1,397100,0.0,0
2019-10-14,93.6,94.17,93.31,93.93,245900,0.0,0
2019-10-15,95.28,95.84,94.59,94.99,466000,0.0,0
2019-10-16,94.65,94.88,93.83,94.12,394800,0.0,0
2019-10-17,94.8,95.26,94.19,94.38,286200,0.0,0
2019-10-18,94.25,94.91,93.96,94.52,386100,0.0,0
2019-10-21,95.24,95.6,94.82,95.52,314600,0.0,0
2019-10-22,95.66,96.18,95.45,95.77,325000,0.0,0
2019-10-23,95.54,96.35,95.27,95.51,386200,0.0,0
2019-10-24,96.57,97.63,95.97,96.31,567300,0.0,0
2019-10-25,95.82,96.64,94.94,96.23,440300,0.0,0
2019-10-28,96.6,97.52,96.6,96.68,263500,0.0,0
2019-10-29,96.41,97.65,96.41,97.64,447400,0.0,0
2019-10-30,97.47,97.47,96.18,97.09,268100,0.0,0
2019-10-31,96.59,97.2,96.08,97.17,516700,0.0,0
2019-11-01,97.48,98.3,97.4,97.94,268700,0.0,0
2019-11-04,98.46,98.74,97.01,97.8,601300,0.0,0
2019-11-05,97.81,99.13,97.63,97.97,361400,0.0,0
2019-11-06,97.77,98.38,97.54,98.36,375600,0.0,0
2019-11-07,98.61,99.46,98.61,98.78,312400,0.0,0
2019-11-08,98.82,99.04,97.96,98.77,393200,0.0,0
2019-11-11,98.25,99.04,97.86,98.55,339100,0.0,0
2019-11-12,98.83,99.5,98.36,99.2,298000,0.0,0
2019-11-13,98.6,99.44,98.02,99.41,393900,0.0,0
2019-11-14,99.14,100.05,99.08,99.98,413400,0.0,0
2019-11-15,100.19,100.66,98.96,99.07,800200,0.0,0
2019-11-18,98.68,99.41,98.29,99.37,449200,0.0,0
2019-11-19,99.65,100.09,99.06,99.23,464000,0.0,0
2019-11-20,99.02,100.31,98.84,99.93,602900,0.0,0
2019-11-21,100.12,100.37,99.44,100.18,392800,0.0,0
2019-11-22,100.51,100.84,99.85,100.77,325000,0.0,0
2019-11-25,100.87,101.45,100.53,101.2,402700,0.0,0
2019-11-26,101.07,102.23,100.9,102.18,1211500,0.0,0
2019-11-27,102.61,103.36,102.25,102.96,440200,0.0,0
2019-11-29,102.91,103.11,102.5,102.59,265800,0.0,0
2019-12-02,103.14,103.45,102.24,102.24,655400,0.0,0
2019-12-03,101.15,101.15,100.07,100.56,483100,0.0,0
2019-12-04,100.66,101.83,100.66,101.45,463900,0.0,0
2019-12-05,101.47,102.06,101.37,101.92,346200,0.0,0
2019-12-06,102.94,103.42,102.68,103.13,357500,0.0,0
