Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,35.43,35.79,35.22,35.76,8168100,0.0,0
2019-03-22,35.51,35.71,34.74,34.89,10049500,0.0,0
2019-03-25,34.93,35.46,34.72,35.19,6922200,0.0,0
2019-03-26,35.36,35.41,35.01,35.3,6867200,0.0,0
2019-03-27,35.35,35.66,34.92,35.05,7006500,0.0,0
2019-03-28,35.14,35.65,35.1,35.48,5591300,0.0,0
2019-03-29,35.72,35.81,35.35,35.52,9432600,0.0,0
2019-04-01,35.81,36.21,35.74,36.15,7145600,0.0,0
2019-04-02,36.22,36.39,36.01,36.2,5667100,0.0,0
2019-04-03,36.62,37.0,36.6,36.76,9029200,0.0,0
2019-04-04,36.77,37.28,36.76,37.14,7116100,0.0,0
2019-04-05,37.2,37.35,36.94,37.28,4497800,0.0,0
2019-04-08,37.12,37.43,37.11,37.4,5992400,0.0,0
2019-04-09,37.2,37.42,37.05,37.21,6528900,0.0,0
2019-04-10,37.24,37.74,37.13,37.58,5471100,0.0,0
2019-04-11,37.71,37.91,37.47,37.66,4581500,0.0,0
2019-04-12,37.92,38.35,37.85,38.02,4949700,0.0,0
2019-04-15,38.2,38.31,37.68,37.89,5179400,0.0,0
2019-04-16,37.88,38.21,37.78,37.97,5985300,0.0,0
2019-04-17,38.4,38.55,38.18,38.29,8643500,0.0,0
2019-04-18,38.3,38.73,38.28,38.59,10678000,0.0,0
2019-04-22,38.3,38.4,37.81,37.82,7203800,0.0,0
2019-04-23,37.73,38.15,37.51,38.14,9507500,0.0,0
2019-04-24,37.83,38.19,37.7,38.03,5564700,0.0,0
2019-04-25,37.84,38.03,37.29,37.45,8154600,0.0,0
2019-04-26,38.35,38.4,37.76,37.99,11830500,0.0,0
2019-04-29,38.06,38.57,38.0,38.31,9601100,0.0,0
2019-04-30,37.27,37.79,36.92,37.29,16035500,0.0,0
2019-05-01,37.34,37.53,37.02,37.1,8843300,0.0,0
2019-05-02,36.82,37.19,36.58,36.62,11291900,0.0,0
2019-05-03,36.9,37.25,36.55,37.15,7201000,0.0,0
2019-05-06,35.91,36.55,35.67,36.47,7506200,0.0,0
2019-05-07,37.21,37.24,36.64,36.89,11257000,0.0,0
2019-05-08,36.79,37.13,36.52,36.59,7082900,0.0,0
2019-05-09,35.99,36.07,35.64,35.98,8898600,0.0,0
2019-05-10,35.91,36.37,35.47,36.28,6440600,0.0,0
