Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,81.45,82.43,81.36,82.3,673000,0.0,0
2019-03-22,81.94,82.28,81.07,81.31,976100,0.0,0
2019-03-25,81.22,82.01,80.96,81.86,879100,0.0,0
2019-03-26,82.16,82.99,82.11,82.91,1599400,0.0,0
2019-03-27,82.99,84.35,82.73,83.56,1805800,0.0,0
2019-03-28,83.57,84.09,82.9,83.29,779900,0.0,0
2019-03-29,83.55,84.11,82.98,84.01,1320700,0.0,0
2019-04-01,84.35,85.64,84.31,85.5,1190800,0.0,0
2019-04-02,85.33,85.99,84.89,85.86,1081300,0.0,0
2019-04-03,86.29,86.68,85.79,86.16,1306400,0.0,0
2019-04-04,86.01,86.05,85.16,85.81,862100,0.0,0
2019-04-05,86.12,86.12,85.62,85.78,660600,0.0,0
2019-04-08,85.78,86.77,85.42,86.68,903500,0.0,0
2019-04-09,86.35,86.91,85.65,85.84,807900,0.0,0
2019-04-10,86.08,86.66,85.66,86.39,856900,0.0,0
2019-04-11,86.74,86.74,85.82,86.6,952800,0.0,0
2019-04-12,86.89,87.29,86.45,86.54,674500,0.0,0
2019-04-15,86.65,86.67,85.74,86.26,851700,0.0,0
2019-04-16,86.57,86.57,85.11,85.39,946500,0.0,0
2019-04-17,85.74,85.98,83.49,83.85,1233600,0.0,0
2019-04-18,83.59,84.68,83.15,84.18,1682600,0.0,0
2019-04-22,84.11,84.26,83.51,83.74,548400,0.0,0
2019-04-23,83.8,84.69,83.62,84.58,919600,0.0,0
2019-04-24,84.78,85.17,84.16,84.27,721000,0.0,0
2019-04-25,84.15,84.15,82.95,83.39,803800,0.0,0
2019-04-26,83.07,83.72,82.85,83.47,830400,0.0,0
2019-04-29,83.55,83.74,82.62,83.14,770700,0.0,0
2019-04-30,82.78,84.13,82.78,83.41,1498200,0.0,0
2019-05-01,79.78,80.94,76.77,77.89,3911000,0.0,0
2019-05-02,77.97,78.06,75.58,76.62,1692400,0.0,0
2019-05-03,77.11,77.47,76.34,77.39,949900,0.0,0
2019-05-06,76.38,77.35,75.9,77.16,790500,0.0,0
2019-05-07,76.43,77.05,75.7,76.24,1510900,0.0,0
