Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,188.61,191.2,187.49,190.26,4031500,0.0,0
2019-03-22,188.39,189.41,183.61,184.76,5703100,0.0,0
2019-03-25,185.12,187.2,182.36,184.32,3751000,0.0,0
2019-03-26,185.81,188.13,184.5,186.45,2910100,0.0,0
2019-03-27,186.36,187.35,184.55,185.81,2343800,0.0,0
2019-03-28,186.5,187.65,185.08,186.93,2343400,0.0,0
2019-03-29,188.4,188.82,186.89,187.72,2632800,0.0,0
2019-04-01,189.69,193.69,189.31,192.37,3562600,0.0,0
2019-04-02,191.88,193.37,191.06,193.11,2247000,0.0,0
2019-04-03,194.82,196.62,194.13,196.4,3227900,0.0,0
2019-04-04,196.34,199.75,196.04,197.74,2582300,0.0,0
2019-04-05,198.86,200.93,197.57,197.88,2447100,0.0,0
2019-04-08,198.28,199.11,196.71,198.04,1891500,0.0,0
2019-04-09,196.76,197.11,194.44,196.16,2400900,0.0,0
2019-04-10,197.32,198.66,195.82,198.47,1907100,0.0,0
2019-04-11,199.69,200.88,197.09,198.32,2802100,0.0,0
2019-04-12,202.4,205.3,201.78,203.22,5096600,0.0,0
2019-04-15,199.57,201.17,195.26,195.47,6617200,0.0,0
2019-04-16,195.18,198.43,194.81,197.35,4852600,0.0,0
2019-04-17,197.47,203.87,197.3,203.28,4195300,0.0,0
2019-04-18,202.49,203.24,200.59,201.33,2874300,0.0,0
2019-04-22,200.56,201.02,199.6,200.05,1591400,0.0,0
2019-04-23,199.71,200.63,198.23,199.6,2120900,0.0,0
2019-04-24,198.49,199.0,195.29,196.08,4606100,0.0,0
2019-04-25,195.26,198.06,194.68,196.92,2075300,0.0,0
2019-04-26,197.25,198.61,195.87,198.57,1543100,0.0,0
2019-04-29,198.98,203.38,198.75,202.32,2997000,0.0,0
2019-04-30,202.34,203.37,199.61,201.34,1833000,0.0,0
2019-05-01,201.81,203.78,199.5,200.18,1981800,0.0,0
2019-05-02,199.89,201.64,198.61,200.43,1514700,0.0,0
2019-05-03,201.43,204.11,201.1,202.91,1897600,0.0,0
2019-05-06,198.29,202.38,197.23,201.84,1927800,0.0,0
2019-05-07,198.82,199.47,196.54,198.13,2839500,0.0,0
2019-05-08,196.92,198.68,196.34,196.48,1817600,0.0,0
2019-05-09,195.08,197.73,193.51,197.15,2333400,0.0,0
2019-05-10,196.51,197.61,194.57,197.56,2089400,0.0,0
2019-05-13,193.5,193.5,189.69,190.64,3605600,0.0,0
2019-05-14,190.66,193.73,190.57,191.92,2463300,0.0,0
2019-05-15,190.31,193.2,189.12,192.04,2271100,0.0,0
2019-05-16,192.26,195.56,192.25,194.71,2008100,0.0,0
2019-05-17,191.94,194.67,191.94,193.04,1928300,0.0,0
2019-05-20,192.71,193.39,191.22,192.86,2483400,0.0,0
2019-05-21,194.25,194.89,193.6,194.69,2327600,0.0,0
2019-05-22,193.05,194.07,191.12,191.18,2427200,0.0,0
2019-05-23,188.71,188.71,185.35,187.7,3184100,0.0,0
2019-05-24,188.6,189.76,187.42,188.71,1637200,0.0,0
2019-05-28,187.73,189.01,185.18,185.23,3040000,0.0,0
2019-05-29,184.4,185.29,181.63,184.7,2815800,0.85,0
2019-05-30,184.74,186.0,182.7,184.03,1919300,0.0,0
2019-05-31,181.48,181.6,179.06,179.24,2640100,0.0,0
2019-06-03,178.46,180.22,177.51,179.93,2857800,0.0,0
2019-06-04,182.86,186.61,182.4,186.5,2420800,0.0,0
2019-06-05,186.71,186.77,183.68,185.08,1967800,0.0,0
2019-06-06,184.71,187.34,183.97,186.43,1653500,0.0,0
2019-06-07,186.5,187.21,185.16,186.43,1838600,0.0,0
2019-06-10,187.99,193.49,187.99,190.66,2372000,0.0,0
2019-06-11,191.82,192.63,190.06,191.26,1632200,0.0,0
2019-06-12,190.16,190.59,186.45,186.83,2058800,0.0,0
