Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,292.19,299.66,291.97,299.05,310200,0.0,0
2019-03-22,298.0,298.0,286.66,286.82,446300,0.0,0
2019-03-25,286.19,287.53,282.53,283.97,308500,0.0,0
2019-03-26,286.24,286.24,281.0,283.7,421400,0.0,0
2019-03-27,284.49,286.48,281.94,284.36,367300,0.0,0
2019-03-28,285.66,289.95,284.4,288.06,384200,0.0,0
2019-03-29,290.21,295.72,289.04,295.08,427700,0.0,0
2019-04-01,295.63,305.37,295.63,305.2,509300,0.0,0
2019-04-02,304.87,307.22,302.58,305.21,442000,0.0,0
2019-04-03,306.68,308.58,304.38,305.52,389400,0.0,0
2019-04-04,304.95,309.36,304.95,307.54,304400,0.0,0
2019-04-05,307.88,312.7,307.5,310.34,410200,0.0,0
2019-04-08,309.3,310.35,308.1,308.83,313200,0.0,0
2019-04-09,308.21,308.21,299.14,299.34,339400,0.0,0
2019-04-10,294.15,298.3,291.22,297.27,497200,0.0,0
2019-04-11,300.05,307.17,300.05,302.98,415700,0.0,0
2019-04-12,300.54,302.27,296.67,298.93,687700,0.0,0
2019-04-15,298.94,300.21,297.51,298.86,292500,0.0,0
2019-04-16,300.01,301.04,296.82,300.05,301900,0.0,0
2019-04-17,302.47,304.25,299.36,302.32,314800,0.0,0
2019-04-18,302.86,305.74,300.54,302.18,520600,0.0,0
2019-04-22,296.85,302.01,283.98,285.54,881900,0.0,0
2019-04-23,282.66,288.05,280.01,287.49,633900,0.0,0
2019-04-24,287.5,290.5,286.42,288.63,584300,0.0,0
2019-04-25,287.56,289.63,283.21,289.26,468800,0.0,0
2019-04-26,289.21,290.36,285.34,286.23,280700,0.0,0
2019-04-29,286.52,287.64,279.07,279.31,566700,0.0,0
2019-04-30,278.74,280.04,275.31,276.51,1038200,0.0,0
2019-05-01,277.86,278.72,269.12,269.51,594900,0.0,0
2019-05-02,268.88,275.25,268.67,273.52,466600,0.0,0
2019-05-03,275.8,278.88,275.13,278.03,556300,0.0,0
2019-05-06,271.36,274.43,268.81,273.88,499500,0.0,0
2019-05-07,270.95,271.98,266.29,271.08,602000,0.0,0
2019-05-08,270.88,273.37,268.53,271.19,378400,0.0,0
2019-05-09,267.83,269.35,262.44,268.12,490500,0.0,0
2019-05-10,266.73,269.1,262.43,263.87,456600,1.44,0
2019-05-13,259.3,260.32,255.02,256.28,687600,0.0,0
2019-05-14,257.11,259.19,255.57,258.32,354600,0.0,0
2019-05-15,255.99,259.21,254.73,258.06,363400,0.0,0
