Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,28.7608,29.0498,28.6163,28.9439,9167300,0.0,0
2019-03-22,28.6837,28.7993,27.6046,27.6817,10438000,0.0,0
2019-03-25,27.46,27.6238,26.9398,27.2095,9254700,0.0,0
2019-03-26,27.5371,27.9225,27.2866,27.4311,6093500,0.0,0
2019-03-27,27.3733,27.6238,27.1806,27.5179,6746400,0.0,0
2019-03-28,27.2962,28.1923,27.2192,28.1249,8155900,0.0,0
2019-03-29,28.4139,28.6259,27.884,28.2309,7680600,0.0,0
2019-04-01,28.5488,29.0691,28.279,29.0402,11365500,0.0,0
2019-04-02,29.0113,29.599,28.8379,28.8475,11866500,0.0,0
2019-04-03,29.0306,29.3485,28.6644,28.8379,8063000,0.0,0
2019-04-04,28.8282,29.4256,28.5103,29.31,9072200,0.0,0
2019-04-05,29.4449,30.0133,29.2811,29.8399,8285800,0.0,0
2019-04-08,29.9555,30.2831,29.8881,30.1482,6805200,0.0,0
2019-04-09,29.9266,29.9555,29.4641,29.6858,7704200,0.0,0
2019-04-10,29.8303,30.1868,29.7725,29.9074,4913400,0.0,0
2019-04-11,29.8688,30.3024,29.6954,30.0615,5744500,0.0,0
2019-04-12,30.4469,30.6493,29.9363,30.1868,7024200,0.0,0
2019-04-15,30.1193,30.5529,29.8496,30.1482,6961100,0.0,0
2019-04-16,30.3698,30.7745,30.1868,30.6493,5614300,0.0,0
2019-04-17,30.9094,31.0347,30.4084,30.4373,10626300,0.0,0
2019-04-18,30.5433,31.1214,29.9555,29.9941,9759200,0.0,0
2019-04-22,30.6589,30.919,29.4931,29.9555,22164600,0.0,0
2019-04-23,30.0423,30.3891,29.6087,30.0133,13363800,0.0,0
2019-04-24,29.8303,29.8688,28.9149,29.0113,11444000,0.0,0
2019-04-25,29.0595,29.0787,28.1249,28.1538,8840400,0.0,0
2019-04-26,27.8744,27.9129,27.2577,27.7973,9934500,0.0,0
2019-04-29,27.8936,28.1441,27.6913,27.7202,6507100,0.0,0
2019-04-30,27.8069,27.8358,27.1806,27.2962,10142700,0.0,0
2019-05-01,27.3348,27.5275,26.564,26.5833,8826500,0.0,0
2019-05-02,26.4387,26.8819,26.2171,26.7278,10142700,0.0,0
2019-05-03,26.7952,27.1517,26.6122,26.7567,8127700,0.0,0
2019-05-06,26.4965,26.8723,26.2749,26.6218,7067800,0.0,0
2019-05-07,26.2268,26.3713,25.6197,25.957,10469600,0.0,0
2019-05-08,25.8703,26.1689,25.2921,25.533,11995500,0.0,0
2019-05-09,25.2247,25.2632,24.5502,25.0416,12767700,0.0,0
2019-05-10,24.9067,24.9356,24.03,24.4346,14085600,0.0,0
2019-05-13,23.9529,24.2612,23.4422,23.7505,17946700,0.0,0
2019-05-14,23.9721,24.714,23.8565,24.5021,9745500,0.0,0
2019-05-15,24.1456,24.7911,24.001,24.6562,8288200,0.0,0
2019-05-16,24.8682,25.2343,24.7333,24.9356,8362800,0.0,0
2019-05-17,24.5984,24.8586,24.1648,24.2612,7923900,0.0,0
2019-05-20,24.0878,24.4732,24.0299,24.1648,7073000,0.0,0
2019-05-21,24.2805,24.8104,24.2419,24.6562,8764900,0.0,0
2019-05-22,24.4924,24.5502,23.6927,23.8372,13154000,0.0,0
2019-05-23,23.2977,23.3651,22.1896,22.6521,23565700,0.0,0
2019-05-24,22.8834,22.9701,22.0355,22.1318,10217300,0.0,0
2019-05-28,22.2282,22.392,21.8717,22.1511,11673400,0.0,0
2019-05-29,21.7946,22.286,21.5634,22.1704,12559400,0.0,0
2019-05-30,22.1318,22.2185,21.2261,21.361,12157000,0.0,0
2019-05-31,20.8889,21.0045,20.3686,20.5131,16450300,0.0,0
2019-06-03,20.5709,21.0623,20.4361,20.8118,10669300,0.0,0
2019-06-04,21.113,21.56,21.0547,21.3365,9992700,0.18,0
2019-06-05,21.3073,21.4142,20.3843,20.5884,21224800,0.0,0
2019-06-06,20.7632,21.0353,20.6078,20.9381,16250700,0.0,0
2019-06-07,21.0353,21.3656,20.8215,21.0159,15266500,0.0,0
2019-06-10,21.181,21.6863,21.1422,21.1422,10838300,0.0,0
2019-06-11,21.4045,21.7931,21.2199,21.4531,10124300,0.0,0
2019-06-12,21.181,21.2879,20.4426,20.4718,18400900,0.0,0
2019-06-13,21.0256,21.1616,20.6272,21.045,23940000,0.0,0
2019-06-14,20.9867,21.0936,20.5592,20.773,10687900,0.0,0
2019-06-17,20.6467,21.6183,20.5884,21.3462,12372800,0.0,0
2019-06-18,21.4725,21.8806,21.3268,21.5891,12887800,0.0,0
2019-06-19,21.5988,21.7057,21.1519,21.1908,11726500,0.0,0
2019-06-20,21.8514,22.3178,21.7834,22.2304,14720600,0.0,0
2019-06-21,22.3372,22.5996,21.968,22.1915,19469700,0.0,0
2019-06-24,22.2595,22.3858,21.8126,21.8709,17465300,0.0,0
2019-06-25,21.8223,22.0749,21.5211,21.8612,8246600,0.0,0
2019-06-26,22.1818,22.8716,22.0652,22.5413,14331500,0.0,0
2019-06-27,22.5413,22.6676,22.0458,22.0846,9923000,0.0,0
2019-06-28,22.1818,22.5024,21.9583,22.0943,36268900,0.0,0
2019-07-01,22.5996,22.8716,22.2012,22.2984,11608300,0.0,0
2019-07-02,22.1818,22.1915,21.5891,22.0069,14286700,0.0,0
2019-07-03,21.9972,22.2012,21.8223,22.1915,6255300,0.0,0
2019-07-05,22.0166,22.4344,21.9778,22.3761,8454700,0.0,0
2019-07-08,22.3178,22.8328,22.1818,22.5899,14363000,0.0,0
2019-07-09,22.4538,22.9008,22.1041,22.9008,13350800,0.0,0
2019-07-10,23.0368,23.1728,22.6967,22.9299,15516200,0.0,0
2019-07-11,22.9299,23.1728,22.823,23.1728,12268800,0.0,0
2019-07-12,23.2214,23.3574,23.0174,23.0757,11853900,0.0,0
