Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,83.03,83.17,82.16,82.82,942900,0.0,0
2019-03-22,82.68,82.85,80.78,81.4,1100600,0.0,0
2019-03-25,81.18,82.02,80.94,81.84,653300,0.0,0
2019-03-26,82.31,82.74,81.85,82.54,622400,0.0,0
2019-03-27,82.58,83.27,81.88,82.72,801700,0.0,0
2019-03-28,82.9,83.58,82.83,83.4,778400,0.0,0
2019-03-29,83.65,83.72,82.81,82.87,1204400,0.0,0
2019-04-01,83.3,83.69,82.87,83.51,925700,0.0,0
2019-04-02,83.41,83.57,82.81,82.97,569300,0.0,0
2019-04-03,83.25,83.87,82.47,83.1,745500,0.0,0
2019-04-04,83.08,84.18,82.85,83.86,1303800,0.0,0
2019-04-05,84.07,84.48,83.9,84.37,589900,0.0,0
2019-04-08,84.09,84.47,83.87,84.34,541100,0.0,0
2019-04-09,84.19,84.19,82.61,83.0,1356600,0.0,0
2019-04-10,83.01,83.66,82.67,83.44,568900,0.0,0
2019-04-11,83.72,84.09,83.2,83.68,528000,0.0,0
2019-04-12,83.96,85.41,83.87,85.36,953600,0.0,0
2019-04-15,85.37,85.81,85.27,85.69,719600,0.0,0
2019-04-16,85.86,87.44,85.85,87.41,1011800,0.0,0
2019-04-17,87.32,88.28,85.0,87.9,1037100,0.0,0
2019-04-18,88.1,88.1,86.29,86.54,1172900,0.0,0
2019-04-22,86.18,87.04,85.7,85.88,966300,0.0,0
2019-04-23,97.76,100.27,96.53,98.11,7378300,0.0,0
2019-04-24,98.44,100.9,98.01,100.57,3572200,0.0,0
2019-04-25,97.32,100.38,96.49,98.91,1552500,0.0,0
2019-04-26,99.42,100.73,99.29,100.0,1176600,0.0,0
2019-04-29,100.03,100.98,98.14,99.15,1686100,0.0,0
2019-04-30,99.39,99.99,98.74,99.95,1026200,0.68,0
2019-05-01,99.99,101.22,99.93,100.18,993800,0.0,0
2019-05-02,100.12,101.73,100.07,101.61,1565500,0.0,0
2019-05-03,102.05,103.03,100.42,102.79,1177300,0.0,0
2019-05-06,101.01,102.41,99.87,101.75,1439700,0.0,0
2019-05-07,101.02,101.8,99.13,99.3,1373000,0.0,0
2019-05-08,99.01,99.93,98.37,98.92,684500,0.0,0
2019-05-09,98.41,98.81,97.11,98.58,878700,0.0,0
2019-05-10,98.29,99.15,96.66,98.81,748900,0.0,0
2019-05-13,96.68,96.68,93.95,94.17,1364500,0.0,0
2019-05-14,94.63,96.26,94.21,94.96,752900,0.0,0
2019-05-15,94.94,96.52,94.42,95.58,982400,0.0,0
2019-05-16,95.68,96.66,95.28,96.44,850000,0.0,0
2019-05-17,96.01,97.04,94.98,95.33,1274400,0.0,0
2019-05-20,94.59,94.84,93.74,94.34,896600,0.0,0
2019-05-21,94.44,95.57,94.07,95.19,645500,0.0,0
2019-05-22,94.97,97.51,94.89,97.22,1324300,0.0,0
2019-05-23,96.34,97.16,95.59,96.1,1476800,0.0,0
2019-05-24,96.37,97.57,96.09,96.48,532800,0.0,0
2019-05-28,96.89,97.41,95.99,96.03,779100,0.0,0
2019-05-29,95.48,95.9,94.7,95.32,669000,0.0,0
2019-05-30,95.57,96.79,95.04,96.19,506300,0.0,0
2019-05-31,94.65,95.39,93.32,93.36,848700,0.0,0
2019-06-03,93.43,95.89,92.81,95.25,886300,0.0,0
2019-06-04,97.23,101.24,96.97,101.11,1407700,0.0,0
2019-06-05,101.42,102.27,100.06,101.55,699300,0.0,0
2019-06-06,101.43,102.96,101.05,102.5,708800,0.0,0
2019-06-07,103.02,104.26,102.31,103.94,736400,0.0,0
2019-06-10,104.22,105.98,103.27,103.76,1075100,0.0,0
2019-06-11,104.57,105.61,103.56,103.7,1222900,0.0,0
2019-06-12,103.86,104.81,103.56,104.75,628100,0.0,0
2019-06-13,105.11,105.94,104.79,105.51,951300,0.0,0
2019-06-14,105.12,105.69,104.87,105.45,556800,0.0,0
2019-06-17,105.79,105.79,104.32,104.59,672400,0.0,0
2019-06-18,105.98,106.55,104.56,105.86,498200,0.0,0
2019-06-19,105.87,106.2,104.07,105.32,693400,0.0,0
2019-06-20,106.61,106.82,105.37,105.88,672600,0.0,0
2019-06-21,105.91,106.1,104.54,105.26,1043000,0.0,0
2019-06-24,105.72,106.1,104.27,104.4,571600,0.0,0
2019-06-25,104.16,104.51,102.82,103.15,1428700,0.0,0
2019-06-26,103.52,105.16,103.32,103.44,638700,0.0,0
2019-06-27,103.78,104.97,103.44,103.94,453700,0.0,0
2019-06-28,104.05,105.13,103.39,103.7,1782300,0.0,0
2019-07-01,104.7,105.88,103.93,104.43,932900,0.0,0
2019-07-02,104.38,104.62,102.51,102.73,683600,0.0,0
2019-07-03,102.95,105.1,102.95,104.4,788100,0.0,0
2019-07-05,103.85,105.08,103.7,104.92,720700,0.0,0
2019-07-08,104.34,106.38,104.34,106.15,900100,0.0,0
2019-07-09,105.63,106.68,104.61,106.19,629200,0.0,0
2019-07-10,106.33,106.62,105.96,106.27,792100,0.0,0
2019-07-11,106.59,106.59,104.47,105.6,747700,0.0,0
2019-07-12,105.98,107.72,105.97,107.22,957300,0.0,0
2019-07-15,107.27,109.67,106.2,107.59,795400,0.0,0
2019-07-16,107.74,108.58,107.4,107.79,780900,0.0,0
2019-07-17,107.94,107.95,106.36,106.58,751200,0.0,0
2019-07-18,106.34,107.79,106.09,107.33,1002500,0.0,0
2019-07-19,107.53,107.53,105.63,105.64,1047900,0.0,0
