Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,16.95,17.16,16.87,17.1,3595200,0.0,0
2019-03-22,16.97,17.09,16.22,16.28,4026200,0.0,0
2019-03-25,16.17,16.41,16.05,16.25,3862600,0.0,0
2019-03-26,16.38,16.65,16.3,16.46,2727800,0.0,0
2019-03-27,16.49,16.68,16.38,16.52,2771100,0.0,0
2019-03-28,16.77,17.63,16.77,17.05,5212200,0.0,0
2019-03-29,17.11,17.28,17.0,17.2,4365900,0.0,0
2019-04-01,17.27,17.51,17.24,17.49,5498800,0.0,0
2019-04-02,17.53,17.56,17.13,17.23,3235100,0.0,0
2019-04-03,17.39,17.43,17.14,17.15,4099500,0.0,0
2019-04-04,17.18,17.73,17.17,17.69,3165300,0.0,0
2019-04-05,17.77,17.97,17.71,17.76,4303500,0.0,0
2019-04-08,17.73,18.04,17.56,17.64,3398900,0.0,0
2019-04-09,17.56,17.64,17.27,17.3,3168700,0.0,0
2019-04-10,17.3,17.47,17.09,17.33,3247700,0.0,0
2019-04-11,17.4,17.81,17.35,17.62,5940800,0.0,0
2019-04-12,17.68,17.83,17.57,17.82,4787700,0.0,0
2019-04-15,17.82,17.97,17.73,17.79,6548800,0.0,0
2019-04-16,17.84,18.1,17.8,18.04,5223100,0.0,0
2019-04-17,18.09,18.3,18.04,18.09,3035700,0.0,0
2019-04-18,18.03,18.34,17.98,18.17,3786300,0.0,0
2019-04-22,18.13,18.22,17.9,17.92,3681000,0.0,0
2019-04-23,18.02,18.11,17.75,18.1,3473800,0.0,0
2019-04-24,18.19,18.34,18.03,18.24,3088100,0.0,0
2019-04-25,18.16,18.23,17.81,18.03,3668700,0.0,0
2019-04-26,18.07,18.19,17.84,18.07,3433800,0.0,0
2019-04-29,18.02,18.24,17.77,17.85,4502700,0.0,0
2019-04-30,17.74,17.83,17.33,17.38,5350700,0.0,0
2019-05-01,17.42,17.72,17.41,17.45,9151100,0.0,0
2019-05-02,17.71,18.37,16.45,16.57,13817000,0.0,0
2019-05-03,16.65,17.25,16.5,17.14,9776200,0.0,0
2019-05-06,16.83,17.18,16.61,17.12,5906900,0.0,0
2019-05-07,17.03,17.27,16.89,17.08,5117300,0.0,0
2019-05-08,17.01,17.24,16.76,16.85,5694500,0.0,0
2019-05-09,16.96,16.96,16.5,16.85,6422400,0.0,0
2019-05-10,16.8,16.83,16.12,16.35,9089500,0.0,0
2019-05-13,16.05,16.07,15.52,15.65,6575300,0.15,0
2019-05-14,15.71,16.05,15.51,15.99,7064900,0.0,0
2019-05-15,15.93,16.37,15.66,15.92,3603900,0.0,0
2019-05-16,16.02,16.5,15.92,16.32,4026400,0.0,0
2019-05-17,16.16,16.63,16.13,16.32,3798200,0.0,0
2019-05-20,16.23,16.23,15.87,16.08,3779300,0.0,0
2019-05-21,16.09,16.4,16.03,16.39,3056400,0.0,0
2019-05-22,16.2,16.27,15.91,15.92,4495200,0.0,0
2019-05-23,15.75,15.87,15.32,15.42,4759500,0.0,0
2019-05-24,15.53,15.68,15.18,15.32,3938900,0.0,0
2019-05-28,15.35,15.51,15.29,15.29,4955200,0.0,0
2019-05-29,15.2,15.25,14.8,15.04,4345900,0.0,0
2019-05-30,14.98,15.1,14.68,14.72,3899700,0.0,0
2019-05-31,14.52,14.65,14.17,14.41,5126100,0.0,0
2019-06-03,14.33,14.76,14.21,14.46,6428700,0.0,0
2019-06-04,14.65,15.31,14.59,15.27,3733700,0.0,0
2019-06-05,15.5,15.66,15.06,15.44,4433600,0.0,0
2019-06-06,15.39,15.65,15.29,15.59,3393300,0.0,0
2019-06-07,15.59,15.84,15.38,15.77,3833000,0.0,0
2019-06-10,15.87,16.12,15.79,15.86,2482200,0.0,0
2019-06-11,16.01,16.18,15.93,15.93,2820000,0.0,0
2019-06-12,15.94,15.95,15.44,15.6,3007300,0.0,0
2019-06-13,15.68,15.96,15.59,15.93,2342300,0.0,0
2019-06-14,15.84,16.17,15.63,16.1,3374600,0.0,0
2019-06-17,16.07,16.65,16.02,16.35,4328900,0.0,0
2019-06-18,16.5,16.88,16.42,16.84,3612400,0.0,0
2019-06-19,16.82,16.89,16.44,16.72,3878000,0.0,0
2019-06-20,16.89,17.05,16.78,17.03,2865600,0.0,0
2019-06-21,17.04,17.16,16.76,17.1,5968500,0.0,0
2019-06-24,16.96,17.07,16.14,16.21,4368200,0.0,0
2019-06-25,16.29,16.34,16.05,16.16,3047700,0.0,0
2019-06-26,16.17,16.65,16.09,16.42,3280300,0.0,0
2019-06-27,16.56,16.63,16.24,16.49,2879200,0.0,0
2019-06-28,16.58,16.77,16.5,16.71,4664400,0.0,0
2019-07-01,16.92,17.17,16.27,16.47,4223300,0.0,0
2019-07-02,16.45,16.68,16.35,16.41,2554000,0.0,0
2019-07-03,16.47,16.89,16.42,16.87,1544400,0.0,0
2019-07-05,16.83,16.94,16.61,16.87,1707700,0.0,0
2019-07-08,16.57,16.98,16.57,16.95,5073600,0.0,0
2019-07-09,16.89,16.93,16.58,16.67,2741100,0.0,0
2019-07-10,16.6,16.6,15.83,15.86,5518000,0.0,0
2019-07-11,15.87,15.88,15.43,15.61,5794700,0.0,0
2019-07-12,15.62,15.99,15.59,15.9,4285500,0.0,0
2019-07-15,15.95,16.22,15.91,16.13,3700400,0.0,0
2019-07-16,16.18,16.59,16.08,16.43,4732400,0.0,0
2019-07-17,16.35,16.47,15.99,16.0,4543800,0.0,0
2019-07-18,16.0,16.08,15.61,15.98,12442200,0.0,0
2019-07-19,16.07,16.26,15.97,16.04,3246100,0.0,0
2019-07-22,16.14,16.16,15.49,15.5,2696100,0.0,0
2019-07-23,15.54,15.75,15.46,15.72,2329000,0.0,0
2019-07-24,15.76,16.07,15.63,16.07,3299100,0.0,0
2019-07-25,15.97,16.14,15.61,15.65,5081000,0.0,0
2019-07-26,15.65,15.83,15.4,15.68,3601900,0.0,0
2019-07-29,15.65,15.78,15.19,15.36,4530300,0.0,0
2019-07-30,15.26,15.48,14.92,15.42,6069300,0.0,0
2019-07-31,15.42,15.72,15.28,15.62,7722800,0.0,0
2019-08-01,15.92,15.92,14.07,14.61,13793100,0.0,0
2019-08-02,14.47,14.8,14.47,14.71,7077000,0.0,0
2019-08-05,14.47,14.77,14.3,14.56,6560700,0.0,0
2019-08-06,14.74,14.89,14.46,14.59,9462200,0.0,0
2019-08-07,14.34,14.5,14.0,14.32,6454600,0.0,0
2019-08-08,14.55,14.85,14.43,14.55,7104500,0.0,0
2019-08-09,14.44,14.7,14.28,14.63,3021400,0.0,0
2019-08-12,14.53,14.58,14.01,14.25,5766000,0.15,0
2019-08-13,14.19,14.96,14.07,14.28,9416700,0.0,0
2019-08-14,13.93,14.0,13.53,13.66,7450100,0.0,0
2019-08-15,13.68,13.72,12.7,12.85,10924600,0.0,0
2019-08-16,13.07,13.42,12.96,13.35,6071100,0.0,0
2019-08-19,13.65,13.83,13.52,13.53,4621400,0.0,0
2019-08-20,13.47,13.64,13.29,13.54,4270400,0.0,0
2019-08-21,13.73,13.94,13.66,13.72,5053600,0.0,0
2019-08-22,13.8,13.97,13.73,13.89,4098100,0.0,0
2019-08-23,13.71,13.78,13.3,13.38,7760500,0.0,0
2019-08-26,13.45,13.56,13.28,13.46,4604200,0.0,0
2019-08-27,13.54,13.58,13.1,13.23,3939900,0.0,0
2019-08-28,13.16,13.32,13.1,13.29,3201100,0.0,0
2019-08-29,13.37,13.61,13.27,13.39,3326400,0.0,0
2019-08-30,13.43,13.71,13.26,13.39,3798900,0.0,0
2019-09-03,13.27,13.38,12.65,12.86,6121700,0.0,0
2019-09-04,13.04,13.52,13.02,13.35,7002400,0.0,0
2019-09-05,13.63,14.25,13.56,14.05,9074500,0.0,0
2019-09-06,14.1,14.32,13.75,13.84,4622100,0.0,0
2019-09-09,13.87,14.77,13.86,14.76,10022400,0.0,0
2019-09-10,14.68,15.23,14.68,15.23,9339100,0.0,0
2019-09-11,15.24,15.7,14.78,15.61,7138400,0.0,0
2019-09-12,15.64,15.67,15.08,15.6,4687400,0.0,0
2019-09-13,15.71,15.85,15.43,15.52,2820600,0.0,0
2019-09-16,15.38,15.6,15.22,15.32,4418900,0.0,0
2019-09-17,15.29,15.29,14.46,14.54,7070100,0.0,0
2019-09-18,14.51,14.68,14.45,14.58,4382100,0.0,0
2019-09-19,14.59,14.6,14.15,14.2,3570500,0.0,0
2019-09-20,14.26,14.45,13.98,14.05,6884400,0.0,0
