Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,132.59,135.31,132.29,135.16,770000,0.0,0
2019-03-22,134.27,135.01,132.72,132.73,1560100,0.0,0
2019-03-25,132.04,132.07,129.89,130.97,1305500,0.0,0
2019-03-26,131.47,131.67,127.87,128.1,1717700,0.0,0
2019-03-27,127.61,128.74,126.13,127.04,1427600,0.0,0
2019-03-28,127.68,127.7,126.17,127.02,1031500,0.0,0
2019-03-29,127.72,129.1,126.77,128.72,1410600,0.0,0
2019-04-01,129.96,130.56,129.18,130.3,1405500,0.0,0
2019-04-02,130.15,130.27,128.02,128.98,958400,0.0,0
2019-04-03,129.81,130.47,129.25,129.54,994000,0.0,0
2019-04-04,129.83,130.89,129.36,130.66,1488700,0.0,0
2019-04-05,130.87,132.68,130.79,132.37,1592400,0.0,0
2019-04-08,131.77,132.0,130.04,130.16,993000,0.0,0
2019-04-09,129.6,131.12,129.22,130.59,1132000,0.0,0
2019-04-10,131.19,132.98,130.6,132.22,1111400,0.0,0
2019-04-11,132.38,133.0,128.03,128.47,1020800,0.0,0
2019-04-12,128.96,130.6,125.89,126.24,2693200,0.0,0
2019-04-15,126.38,126.61,124.77,125.47,1651100,0.0,0
2019-04-16,126.54,126.54,112.16,112.92,5138500,0.0,0
2019-04-17,113.3,113.79,108.9,110.58,3955700,0.0,0
2019-04-18,110.42,114.22,110.35,113.77,3832200,0.0,0
2019-04-22,113.7,115.79,112.5,113.53,3140700,0.0,0
2019-04-23,114.88,119.95,114.75,118.65,3050300,0.0,0
2019-04-24,118.72,123.85,118.65,122.26,3483800,0.0,0
2019-04-25,121.68,123.46,121.05,122.97,1425400,0.0,0
2019-04-26,122.42,124.02,120.29,123.95,1887500,0.0,0
2019-04-29,124.18,124.45,121.97,123.82,2223000,0.0,0
2019-04-30,128.8,129.91,122.0,125.61,3623900,0.0,0
2019-05-01,125.18,125.94,121.44,122.51,2823500,0.0,0
2019-05-02,122.73,124.15,121.16,123.92,2810200,0.0,0
2019-05-03,124.68,124.83,122.76,124.01,1580700,0.0,0
2019-05-06,121.91,127.26,121.61,127.14,1824900,0.0,0
2019-05-07,125.53,127.1,123.46,124.9,1859900,0.0,0
2019-05-08,124.7,124.89,123.35,123.5,2050000,0.0,0
2019-05-09,122.12,123.54,120.97,123.01,1475500,0.0,0
2019-05-10,122.96,123.41,119.61,122.17,1152900,0.0,0
2019-05-13,120.01,120.9,118.09,120.61,1588000,0.0,0
2019-05-14,120.79,122.16,120.3,120.68,1409100,0.0,0
2019-05-15,120.16,122.56,119.07,121.61,1252300,0.0,0
2019-05-16,121.77,122.89,120.68,121.14,1430600,0.0,0
2019-05-17,119.6,123.32,119.6,121.94,1216100,0.0,0
2019-05-20,121.22,124.45,121.22,124.09,1976700,0.0,0
2019-05-21,125.05,127.13,124.63,126.58,1683400,0.0,0
2019-05-22,125.79,126.83,125.43,126.58,1012900,0.0,0
2019-05-23,125.81,126.02,123.94,125.09,2532000,0.0,0
2019-05-24,124.52,125.9,121.18,122.26,2335000,0.0,0
2019-05-28,121.74,124.14,121.45,121.47,2719800,0.0,0
2019-05-29,121.34,121.47,119.34,120.31,1136000,0.0,0
2019-05-30,120.88,121.94,119.8,121.01,1044800,0.0,0
2019-05-31,120.31,121.19,118.8,119.81,1558300,0.4,0
2019-06-03,119.85,122.51,118.86,121.86,1588300,0.0,0
2019-06-04,122.86,125.03,122.72,124.34,2470400,0.0,0
2019-06-05,125.62,125.62,122.76,123.56,1981100,0.0,0
2019-06-06,123.93,125.61,123.29,124.81,987800,0.0,0
2019-06-07,125.5,127.87,125.44,127.19,1035000,0.0,0
2019-06-10,127.77,129.98,127.56,129.03,1180200,0.0,0
2019-06-11,129.1,129.12,125.68,126.82,2082800,0.0,0
2019-06-12,126.42,126.42,123.57,125.52,1173000,0.0,0
2019-06-13,125.63,126.45,124.74,126.17,1001000,0.0,0
2019-06-14,126.39,127.03,124.85,125.42,748800,0.0,0
2019-06-17,125.29,127.06,124.66,126.95,911800,0.0,0
2019-06-18,127.27,129.07,126.45,127.83,1125800,0.0,0
2019-06-19,128.38,129.73,126.29,128.86,1073800,0.0,0
2019-06-20,129.98,131.05,125.01,126.86,2082900,0.0,0
2019-06-21,126.49,127.71,124.57,127.01,1819400,0.0,0
2019-06-24,128.76,130.31,128.04,129.84,1551500,0.0,0
2019-06-25,130.28,135.04,129.4,133.89,3246300,0.0,0
2019-06-26,133.72,133.78,130.96,132.39,2027100,0.0,0
2019-06-27,132.8,134.57,132.48,132.82,1330300,0.0,0
2019-06-28,132.82,134.32,131.07,133.88,1885800,0.0,0
2019-07-01,135.06,135.1,132.52,133.26,1286600,0.0,0
2019-07-02,133.5,134.56,131.11,134.05,957800,0.0,0
2019-07-03,134.82,136.96,134.78,136.86,805700,0.0,0
2019-07-05,135.91,137.24,134.47,137.21,1139500,0.0,0
2019-07-08,136.34,137.28,135.56,136.05,1289200,0.0,0
2019-07-09,134.56,136.07,131.07,133.71,1355400,0.0,0
2019-07-10,137.07,137.07,134.55,135.38,1220400,0.0,0
2019-07-11,137.9,138.14,134.9,137.33,1412800,0.0,0
2019-07-12,137.29,140.43,136.89,140.16,1201300,0.0,0
2019-07-15,139.82,140.67,137.07,139.58,1104300,0.0,0
2019-07-16,139.59,140.51,138.33,138.37,1124800,0.0,0
2019-07-17,138.36,140.65,137.46,138.64,1295000,0.0,0
2019-07-18,138.68,140.41,137.6,139.89,1059300,0.0,0
2019-07-19,140.1,140.62,138.08,138.15,1092700,0.0,0
2019-07-22,138.84,140.05,138.37,139.23,1234100,0.0,0
2019-07-23,139.42,139.66,137.36,139.33,1166600,0.0,0
2019-07-24,138.9,142.17,137.53,141.93,1278500,0.0,0
2019-07-25,142.08,142.11,140.02,140.52,1042600,0.0,0
2019-07-26,143.13,144.65,142.37,143.68,2639400,0.0,0
2019-07-29,143.62,145.56,142.69,144.77,2752700,0.0,0
2019-07-30,130.04,135.65,127.1,131.54,6907300,0.0,0
2019-07-31,131.19,134.92,130.94,132.24,3187400,0.0,0
2019-08-01,131.92,131.92,127.31,128.31,1631800,0.0,0
