Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,180.72,185.1,180.72,185.07,4755700,0.0,0
2019-03-22,184.43,187.1,183.81,183.88,5173600,0.0,0
2019-03-25,183.88,186.77,183.65,184.79,3845900,0.0,0
2019-03-26,185.77,187.23,183.87,184.46,4143300,0.0,0
2019-03-27,184.76,186.67,183.53,184.37,4298400,0.0,0
2019-03-28,185.01,186.47,184.28,185.16,3326100,0.0,0
2019-03-29,185.93,187.09,185.24,186.94,4674100,0.0,0
2019-04-01,188.01,190.85,187.88,190.6,5381400,0.0,0
2019-04-02,190.46,190.46,189.02,189.3,2717800,0.0,0
2019-04-03,189.95,193.66,189.11,193.49,4581500,0.0,0
2019-04-04,193.87,195.32,192.91,195.28,3138400,0.0,0
2019-04-05,195.68,197.89,195.44,196.85,3615300,0.0,0
2019-04-08,196.18,198.54,196.05,198.3,3040900,0.0,0
2019-04-09,197.05,197.48,195.29,195.72,3721700,0.0,0
2019-04-10,196.07,196.4,192.91,194.29,3587500,0.0,0
2019-04-11,194.75,196.3,193.9,196.29,2465100,0.0,0
2019-04-12,196.92,198.99,196.92,198.59,3097900,0.0,0
2019-04-15,198.9,199.85,198.16,199.58,3049900,0.0,0
2019-04-16,199.96,200.68,199.02,199.2,3271400,0.0,0
2019-04-17,200.05,201.51,200.03,201.22,3271900,0.0,0
2019-04-18,200.71,202.42,199.81,200.36,3162500,0.0,0
2019-04-22,198.85,200.93,198.74,199.5,2593900,0.0,0
2019-04-23,199.85,201.98,198.18,200.74,3702600,0.0,0
2019-04-24,200.84,202.93,200.24,201.39,2750900,0.0,0
2019-04-25,200.7,202.36,199.77,201.18,3292100,0.0,0
2019-04-26,200.57,200.83,198.1,198.36,3560300,0.0,0
2019-04-29,198.07,198.55,195.17,196.95,3785200,0.0,0
2019-04-30,196.35,198.5,195.61,198.45,3415600,0.0,0
2019-05-01,197.96,198.27,193.54,193.67,4644700,0.0,0
2019-05-02,194.16,195.88,193.67,195.83,2810000,0.0,0
2019-05-03,196.79,197.09,195.16,195.39,3583400,0.0,0
2019-05-06,193.62,194.78,193.2,194.48,2619400,0.0,0
2019-05-07,191.68,192.55,187.98,189.75,4622100,0.0,0
2019-05-08,189.48,191.54,188.69,190.14,3122600,0.0,0
2019-05-09,188.33,190.05,186.65,189.56,2917700,0.0,0
2019-05-10,188.23,190.45,185.11,189.56,3863600,0.0,0
2019-05-13,186.08,186.72,184.26,185.43,3325900,0.0,0
2019-05-14,185.59,187.79,185.11,186.68,3663600,0.0,0
2019-05-15,185.89,187.84,185.36,186.82,3355800,0.0,0
2019-05-16,187.51,189.93,187.24,187.42,3854000,0.0,0
2019-05-17,185.94,189.49,185.83,187.61,5223800,0.0,0
2019-05-20,186.2,187.89,185.7,186.03,4782800,0.0,0
2019-05-21,182.31,187.56,181.54,186.51,8555600,0.0,0
2019-05-22,185.58,187.26,183.2,184.04,5706000,0.0,0
2019-05-23,183.59,187.58,181.47,187.05,7754000,0.0,0
2019-05-24,187.58,188.86,185.5,188.6,3799500,0.0,0
2019-05-28,189.37,191.4,186.42,186.61,5165800,0.0,0
2019-05-29,185.37,186.93,183.18,185.09,4569900,0.0,0
2019-05-30,185.23,187.54,185.19,186.15,3029800,0.0,0
2019-05-31,184.75,185.38,183.8,184.96,3681500,0.0,0
2019-06-03,184.63,186.92,183.88,184.68,4620200,0.0,0
2019-06-04,186.64,190.46,186.48,190.22,5118100,0.0,0
2019-06-05,190.33,192.99,189.42,192.96,3704600,1.36,0
2019-06-06,192.92,193.9,191.27,193.43,3732900,0.0,0
2019-06-07,193.46,195.25,192.49,193.56,3522300,0.0,0
2019-06-10,194.8,196.06,193.58,194.3,3154500,0.0,0
2019-06-11,195.25,197.03,192.13,194.26,3708500,0.0,0
2019-06-12,195.04,196.4,194.23,195.17,2551500,0.0,0
2019-06-13,196.16,198.84,195.67,198.52,3630900,0.0,0
2019-06-14,197.5,202.59,197.5,201.87,4898000,0.0,0
2019-06-17,203.08,204.83,202.1,203.06,4620500,0.0,0
2019-06-18,204.16,206.19,203.19,203.55,3891300,0.0,0
2019-06-19,203.96,204.53,202.0,204.0,3648200,0.0,0
2019-06-20,205.6,207.65,205.34,207.25,5171500,0.0,0
2019-06-21,207.26,207.97,205.12,205.42,9855000,0.0,0
2019-06-24,204.21,205.29,201.23,201.61,4943500,0.0,0
2019-06-25,202.39,203.18,200.33,200.86,3587900,0.0,0
2019-06-26,201.45,203.39,200.77,202.51,3071200,0.0,0
2019-06-27,203.68,204.06,202.11,203.1,2286800,0.0,0
2019-06-28,203.83,205.04,203.46,204.03,11069000,0.0,0
2019-07-01,205.73,208.29,204.23,206.3,4097700,0.0,0
2019-07-02,206.26,206.28,204.51,206.16,3160500,0.0,0
2019-07-03,205.84,208.72,205.73,208.08,2183700,0.0,0
2019-07-05,205.99,208.15,205.76,207.45,2547800,0.0,0
2019-07-08,206.98,209.4,206.6,208.88,2705300,0.0,0
2019-07-09,207.91,209.29,207.2,207.98,2397400,0.0,0
2019-07-10,206.73,207.32,204.87,206.76,3457400,0.0,0
2019-07-11,208.23,210.02,207.02,209.98,3450100,0.0,0
2019-07-12,210.93,214.11,210.54,214.09,4429800,0.0,0
2019-07-15,214.8,215.14,212.7,214.56,3141300,0.0,0
2019-07-16,213.18,214.21,212.62,213.14,2657400,0.0,0
2019-07-17,212.62,213.46,211.52,211.52,3037300,0.0,0
2019-07-18,211.42,212.13,208.97,210.38,3069600,0.0,0
2019-07-19,210.6,211.15,208.9,209.0,3254800,0.0,0
2019-07-22,208.96,209.22,206.39,207.27,2764900,0.0,0
2019-07-23,208.54,210.07,207.72,209.04,2589900,0.0,0
2019-07-24,209.15,210.72,209.03,210.64,2207100,0.0,0
2019-07-25,210.22,211.83,209.58,211.47,2335300,0.0,0
2019-07-26,211.45,213.09,210.04,212.8,2675500,0.0,0
2019-07-29,212.68,214.13,212.25,213.91,2407200,0.0,0
2019-07-30,213.4,214.45,212.75,213.24,2172600,0.0,0
2019-07-31,212.25,213.67,208.15,209.64,3426400,0.0,0
2019-08-01,210.08,213.49,208.0,208.8,3431500,0.0,0
2019-08-02,207.85,209.1,207.08,208.13,2884900,0.0,0
2019-08-05,205.56,205.98,200.21,201.06,4553200,0.0,0
2019-08-06,201.13,205.13,200.62,204.84,3646800,0.0,0
