Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,58.64,59.79,58.43,59.61,2210700,0.0,0
2019-03-22,58.53,59.03,56.82,57.6,3292500,0.0,0
2019-03-25,57.45,58.64,56.91,58.37,2997200,0.0,0
2019-03-26,59.5,60.32,58.98,59.89,3149200,0.0,0
2019-03-27,59.83,60.3,58.67,59.08,2283700,0.0,0
2019-03-28,58.44,59.83,58.37,59.76,1747400,0.0,0
2019-03-29,60.38,60.71,58.93,59.05,2244600,0.0,0
2019-04-01,59.88,60.24,59.22,59.65,2580400,0.0,0
2019-04-02,60.34,60.34,58.94,59.16,3058500,0.0,0
2019-04-03,59.36,59.62,58.14,58.39,1893800,0.0,0
2019-04-04,58.33,59.62,57.97,59.56,2487900,0.0,0
2019-04-05,59.8,61.86,59.67,61.76,4768400,0.0,0
2019-04-08,61.86,62.37,61.36,61.84,4155500,0.0,0
2019-04-09,61.48,62.07,60.67,61.31,3084400,0.0,0
2019-04-10,61.72,62.38,61.61,62.12,2856800,0.0,0
2019-04-11,61.73,62.44,61.01,62.05,2128400,0.0,0
2019-04-12,63.72,64.95,63.34,64.8,6405700,0.0,0
2019-04-15,64.41,64.96,63.97,64.25,2041800,0.0,0
2019-04-16,64.0,65.17,63.39,65.01,2643200,0.0,0
2019-04-17,65.34,65.68,64.45,64.63,2135300,0.0,0
2019-04-18,64.75,65.28,64.37,64.57,2199100,0.0,0
2019-04-22,65.64,66.93,64.96,66.55,4294700,0.0,0
2019-04-23,66.42,66.74,65.58,66.14,3839000,0.0,0
2019-04-24,66.42,66.91,64.47,64.56,4279000,0.0,0
2019-04-25,65.15,65.83,62.67,62.92,7603500,0.0,0
2019-04-26,62.24,62.96,61.52,62.6,3828900,0.0,0
2019-04-29,62.76,63.15,62.11,62.66,2737400,0.0,0
2019-04-30,63.23,63.37,62.45,62.86,3587700,0.0,0
2019-05-01,63.12,63.87,61.86,61.87,2170000,0.0,0
2019-05-02,60.57,61.79,59.98,60.71,2991100,0.0,0
2019-05-03,61.52,62.51,60.84,61.99,2662900,0.0,0
2019-05-06,60.68,61.84,59.92,61.58,2618000,0.0,0
2019-05-07,60.6,61.1,59.95,61.08,9202700,0.0,0
2019-05-08,61.1,62.59,60.99,62.19,2537000,0.0,0
2019-05-09,61.23,62.14,60.65,62.02,1877800,0.0,0
2019-05-10,61.93,62.59,61.14,62.33,2329500,0.0,0
2019-05-13,61.82,62.12,60.87,61.66,2268800,0.0,0
2019-05-14,62.26,63.72,62.12,62.92,2201100,0.0,0
2019-05-15,62.35,63.99,62.05,63.76,2327100,0.0,0
2019-05-16,64.35,65.41,64.17,65.05,2268900,0.0,0
2019-05-17,64.26,65.25,64.09,64.4,1648600,0.0,0
2019-05-20,64.44,64.67,63.69,64.0,2147600,0.0,0
2019-05-21,64.23,65.19,63.97,65.15,2106000,0.0,0
2019-05-22,64.43,64.72,62.67,62.83,2984600,0.0,0
2019-05-23,60.97,61.16,56.86,57.85,4962600,0.0,0
2019-05-24,58.72,59.8,57.39,58.3,2504100,0.0,0
2019-05-28,58.97,59.5,57.91,58.02,2449400,0.0,0
2019-05-29,56.81,57.41,56.12,57.39,2569000,0.0,0
2019-05-30,57.29,57.71,56.33,56.65,1832800,0.0,0
2019-05-31,55.22,56.03,54.49,54.76,2807700,0.0,0
2019-06-03,55.19,55.5,53.45,53.66,3584400,0.0,0
2019-06-04,54.12,54.83,53.31,54.74,3408500,0.0,0
2019-06-05,54.89,54.96,52.53,53.12,4479600,0.0,0
2019-06-06,53.25,54.67,53.25,54.43,4964700,0.0,0
2019-06-07,54.63,55.79,54.26,55.44,4557300,0.0,0
2019-06-10,55.69,56.77,55.31,56.15,2174800,0.0,0
2019-06-11,56.89,57.45,56.28,56.86,2770100,0.0,0
2019-06-12,56.19,56.99,55.52,55.6,4592300,0.0,0
2019-06-13,56.89,57.75,56.58,57.16,3230400,0.0,0
2019-06-14,57.15,57.58,56.1,56.37,4809100,0.25,0
2019-06-17,55.97,57.38,55.89,56.97,2656900,0.0,0
2019-06-18,57.66,58.84,56.62,57.8,3647000,0.0,0
2019-06-19,57.67,58.59,57.01,58.01,2106400,0.0,0
2019-06-20,59.56,60.8,59.38,60.37,3548400,0.0,0
2019-06-21,60.71,61.32,60.18,60.26,3357000,0.0,0
2019-06-24,60.3,60.97,59.99,60.64,2402900,0.0,0
2019-06-25,60.36,61.71,60.36,61.23,2126900,0.0,0
2019-06-26,62.14,64.78,62.02,64.37,3620900,0.0,0
