Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,47.02,48.04,46.97,47.89,1921500,0.0,0
2019-03-22,47.54,47.94,47.24,47.48,2181200,0.0,0
2019-03-25,47.56,47.91,47.32,47.36,2425300,0.0,0
2019-03-26,47.57,48.05,47.57,48.03,2122000,0.0,0
2019-03-27,48.04,48.42,47.97,48.15,1897000,0.0,0
2019-03-28,48.26,48.51,47.86,48.29,1737000,0.0,0
2019-03-29,48.66,48.7,48.29,48.64,1881700,0.0,0
2019-04-01,48.86,49.24,48.67,48.78,2376100,0.0,0
2019-04-02,48.79,48.91,48.35,48.44,1605800,0.0,0
2019-04-03,48.79,48.84,48.15,48.64,3282700,0.0,0
2019-04-04,48.7,49.05,48.51,48.92,1878400,0.0,0
2019-04-05,48.92,49.09,48.73,48.85,1460400,0.0,0
2019-04-08,48.85,48.94,48.56,48.81,1544200,0.0,0
2019-04-09,48.73,48.76,48.44,48.61,1187100,0.0,0
2019-04-10,48.59,48.97,48.41,48.9,1425400,0.0,0
2019-04-11,49.13,49.54,48.96,49.48,1378400,0.0,0
2019-04-12,49.88,50.12,49.68,49.96,1320000,0.0,0
2019-04-15,49.95,50.06,49.52,49.65,848500,0.0,0
2019-04-16,49.85,50.32,49.69,50.31,1150800,0.0,0
2019-04-17,50.43,50.43,49.35,49.49,1867500,0.0,0
2019-04-18,49.39,50.34,49.37,49.84,1753600,0.0,0
2019-04-22,49.64,49.81,49.44,49.79,898700,0.0,0
2019-04-23,49.76,50.2,49.63,50.0,1411300,0.0,0
2019-04-24,50.01,50.6,49.56,50.13,1733100,0.0,0
2019-04-25,49.91,50.05,49.47,49.87,1266100,0.0,0
2019-04-26,50.01,50.48,49.83,50.44,1313900,0.0,0
2019-04-29,50.53,51.01,50.48,50.65,2060500,0.0,0
2019-04-30,50.67,51.18,50.37,51.18,2534600,0.0,0
2019-05-01,51.07,51.26,50.25,50.29,2813300,0.0,0
2019-05-02,50.82,51.32,49.49,51.01,3576800,0.0,0
2019-05-03,51.12,51.73,50.99,51.58,1878000,0.0,0
2019-05-06,50.92,51.61,50.65,51.41,1722100,0.0,0
2019-05-07,51.28,51.55,50.83,51.17,2821600,0.0,0
2019-05-08,51.06,51.99,51.0,51.37,2112000,0.0,0
2019-05-09,50.95,51.58,50.9,51.37,1625900,0.0,0
2019-05-10,51.14,52.0,50.92,51.86,2742500,0.0,0
2019-05-13,51.31,51.47,50.57,50.84,1644700,0.0,0
2019-05-14,51.09,51.92,50.98,51.58,2068500,0.0,0
2019-05-15,51.27,52.14,51.18,51.79,1922700,0.0,0
2019-05-16,51.95,52.71,51.86,52.44,2060600,0.0,0
2019-05-17,51.97,52.93,51.97,52.42,2419000,0.0,0
2019-05-20,52.39,52.63,51.77,51.99,1913700,0.0,0
2019-05-21,52.37,52.72,52.3,52.47,2014500,0.0,0
2019-05-22,52.47,53.11,52.46,53.04,2929300,0.0,0
2019-05-23,52.66,52.75,51.83,52.17,2095600,0.0,0
2019-05-24,52.25,52.55,51.81,52.09,2484200,0.0,0
2019-05-28,52.0,52.21,51.2,51.32,6276500,0.0,0
2019-05-29,51.85,52.05,51.34,52.04,2804800,0.0,0
2019-05-30,52.17,52.49,51.65,51.92,1658300,0.0,0
2019-05-31,51.61,51.89,51.23,51.81,2216000,0.3,0
2019-06-03,51.69,52.63,51.64,52.57,2436100,0.0,0
2019-06-04,53.12,53.15,52.63,53.03,2882700,0.0,0
2019-06-05,53.03,54.07,53.03,54.07,2239200,0.0,0
2019-06-06,54.06,54.3,53.87,54.11,1646500,0.0,0
2019-06-07,54.15,54.53,54.07,54.09,1311700,0.0,0
2019-06-10,54.38,54.44,53.79,53.95,1308100,0.0,0
2019-06-11,54.12,54.22,53.55,53.81,1819700,0.0,0
2019-06-12,53.81,54.14,53.48,53.77,1578400,0.0,0
2019-06-13,53.87,53.99,53.3,53.63,1649500,0.0,0
