Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,200.53,205.02,200.53,204.27,172700,0.0,0
2019-03-22,202.97,203.53,198.18,199.67,479900,0.0,0
2019-03-25,199.95,201.26,198.38,199.91,258100,0.0,0
2019-03-26,201.22,202.32,197.66,199.79,321100,0.0,0
2019-03-27,194.83,202.05,193.65,199.52,354700,0.0,0
2019-03-28,199.84,201.85,199.23,201.62,199400,0.0,0
2019-03-29,203.17,204.1,202.9,203.67,271900,0.0,0
2019-04-01,205.19,209.11,205.15,208.82,362200,0.0,0
2019-04-02,209.16,209.38,206.97,207.23,267500,0.0,0
2019-04-03,208.29,208.51,203.58,205.07,274600,0.0,0
2019-04-04,205.38,208.68,205.38,205.92,240200,0.0,0
2019-04-05,206.17,209.24,206.17,209.18,254600,0.0,0
2019-04-08,207.61,210.84,206.61,210.58,208000,0.0,0
2019-04-09,209.33,210.83,207.61,209.26,469500,0.0,0
2019-04-10,209.02,209.21,207.21,208.62,204500,0.0,0
2019-04-11,208.68,214.86,207.92,213.83,364400,0.0,0
2019-04-12,215.34,216.27,214.58,215.55,329400,0.0,0
2019-04-15,215.36,215.55,213.44,215.44,435900,0.0,0
2019-04-16,216.43,217.96,215.67,217.29,249400,0.0,0
2019-04-17,217.73,219.19,215.27,216.21,276300,0.0,0
2019-04-18,217.28,218.82,216.57,217.14,173600,0.0,0
2019-04-22,216.6,216.6,214.33,215.36,173800,0.0,0
2019-04-23,216.8,223.22,216.8,221.83,354100,0.0,0
2019-04-24,222.15,222.91,220.59,221.5,275200,0.0,0
2019-04-25,221.85,222.68,216.98,219.52,266200,0.0,0
2019-04-26,219.47,219.94,216.87,217.77,255700,0.0,0
2019-04-29,218.05,219.73,216.68,217.18,241900,0.0,0
2019-04-30,217.45,219.12,216.27,218.79,329300,0.0,0
2019-05-01,219.79,222.13,219.18,219.34,223100,0.0,0
2019-05-02,211.92,212.81,197.17,204.1,881200,0.0,0
2019-05-03,204.1,209.45,203.55,208.42,421600,0.0,0
2019-05-06,206.65,207.51,204.17,207.05,337000,0.0,0
2019-05-07,205.19,206.49,203.3,205.0,360600,0.0,0
2019-05-08,204.38,205.75,201.44,203.4,407800,0.0,0
2019-05-09,202.22,204.79,200.74,203.85,305200,0.0,0
2019-05-10,203.5,205.34,200.9,204.99,316700,0.0,0
2019-05-13,201.66,202.59,199.17,201.79,418000,0.0,0
2019-05-14,202.14,204.38,201.0,202.24,209600,0.0,0
2019-05-15,200.47,202.65,198.57,201.52,167100,0.0,0
2019-05-16,202.89,206.95,202.38,205.18,281400,0.0,0
2019-05-17,203.6,205.58,202.91,203.48,218700,0.0,0
2019-05-20,202.97,207.2,202.97,206.38,243800,0.0,0
2019-05-21,207.71,208.76,206.43,208.37,184100,0.0,0
2019-05-22,207.83,207.83,205.8,206.45,203900,0.0,0
2019-05-23,204.8,205.69,199.52,201.67,329000,0.86,0
2019-05-24,202.67,203.95,201.34,202.87,187500,0.0,0
2019-05-28,202.83,203.86,201.87,201.93,357500,0.0,0
2019-05-29,201.86,203.41,200.74,201.74,257900,0.0,0
2019-05-30,202.2,204.31,201.6,202.2,217800,0.0,0
2019-05-31,201.69,202.62,200.12,202.46,245200,0.0,0
2019-06-03,202.46,207.11,202.44,205.13,291800,0.0,0
2019-06-04,206.34,209.73,205.29,208.36,357200,0.0,0
2019-06-05,209.62,213.19,208.74,213.01,259300,0.0,0
2019-06-06,213.74,213.95,210.03,211.88,198400,0.0,0
2019-06-07,213.05,215.9,210.26,215.37,232200,0.0,0
2019-06-10,216.89,217.23,211.29,211.94,275100,0.0,0
2019-06-11,212.36,213.0,204.99,206.55,355100,0.0,0
2019-06-12,206.29,208.23,205.42,208.2,208400,0.0,0
2019-06-13,209.25,212.42,207.69,212.13,184400,0.0,0
2019-06-14,212.35,212.86,209.19,212.0,238800,0.0,0
2019-06-17,212.4,215.12,211.79,213.2,178400,0.0,0
2019-06-18,214.15,217.3,213.31,216.32,209800,0.0,0
2019-06-19,216.32,219.81,216.32,218.9,244500,0.0,0
2019-06-20,220.51,222.69,219.53,221.84,327300,0.0,0
2019-06-21,221.81,222.03,218.55,220.01,609400,0.0,0
2019-06-24,219.94,222.32,219.66,219.76,219500,0.0,0
2019-06-25,219.76,223.08,218.35,220.58,331600,0.0,0
2019-06-26,220.66,221.35,218.68,220.4,376100,0.0,0
2019-06-27,220.96,222.56,219.83,221.03,240300,0.0,0
2019-06-28,221.48,223.49,220.6,221.82,795800,0.0,0
2019-07-01,223.47,224.87,220.85,221.53,238700,0.0,0
2019-07-02,222.21,229.03,221.8,226.31,507500,0.0,0
2019-07-03,226.55,230.03,226.27,229.71,179100,0.0,0
2019-07-05,228.88,229.26,224.75,227.54,167800,0.0,0
2019-07-08,225.71,227.14,224.81,225.86,194800,0.0,0
2019-07-09,224.73,228.45,223.6,228.24,224700,0.0,0
2019-07-10,228.99,229.96,226.89,227.4,219400,0.0,0
2019-07-11,227.29,229.94,226.26,229.69,260600,0.0,0
2019-07-12,230.35,232.37,229.38,231.62,183200,0.0,0
2019-07-15,231.68,231.85,229.02,231.8,178600,0.0,0
2019-07-16,232.24,234.75,231.87,233.08,222500,0.0,0
2019-07-17,232.1,232.1,227.43,228.35,248000,0.0,0
2019-07-18,227.22,227.98,223.75,226.89,241600,0.0,0
2019-07-19,228.22,229.85,226.64,227.03,155600,0.0,0
2019-07-22,226.68,226.74,223.57,225.87,276500,0.0,0
2019-07-23,228.28,228.28,223.91,227.31,181100,0.0,0
2019-07-24,226.46,231.57,226.46,230.64,175200,0.0,0
2019-07-25,230.64,232.82,229.54,230.34,309400,0.0,0
2019-07-26,230.45,231.45,229.27,230.93,191200,0.0,0
2019-07-29,231.06,231.54,229.14,230.81,150800,0.0,0
2019-07-30,228.88,230.14,227.24,230.11,189000,0.0,0
2019-07-31,230.1,232.13,225.34,225.34,379800,0.0,0
2019-08-01,207.28,213.6,202.67,212.22,1137700,0.0,0
2019-08-02,212.02,212.15,201.07,203.51,852100,0.0,0
2019-08-05,200.89,203.15,194.87,199.14,512800,0.0,0
2019-08-06,200.37,204.05,198.68,203.42,441800,0.0,0
2019-08-07,200.65,205.33,199.9,204.68,546100,0.0,0
2019-08-08,205.6,210.44,205.6,209.37,351800,0.0,0
2019-08-09,209.09,209.09,205.69,206.64,214900,0.0,0
2019-08-12,205.3,205.3,200.12,201.26,228900,0.0,0
2019-08-13,201.84,204.47,200.61,201.1,179600,0.0,0
2019-08-14,198.69,199.69,196.7,198.2,330700,0.0,0
2019-08-15,198.69,201.53,197.4,201.3,305500,0.0,0
2019-08-16,202.64,205.54,201.31,204.14,290700,0.0,0
2019-08-19,206.65,207.24,197.4,205.54,183400,0.0,0
2019-08-20,204.98,205.58,203.61,204.82,161800,0.0,0
2019-08-21,206.85,208.08,205.76,206.71,182600,0.0,0
2019-08-22,207.3,207.81,204.49,205.83,157100,0.0,0
2019-08-23,205.21,206.83,200.74,201.62,337400,0.0,0
2019-08-26,203.55,203.97,199.89,201.96,285100,0.0,0
2019-08-27,202.74,203.08,198.91,199.98,150400,0.0,0
2019-08-28,198.97,202.13,197.85,201.16,222800,0.0,0
2019-08-29,203.56,206.05,202.74,205.45,181700,0.86,0
2019-08-30,207.1,208.37,206.5,207.16,159300,0.0,0
2019-09-03,204.86,206.65,203.43,206.21,197400,0.0,0
2019-09-04,207.87,208.49,205.87,206.73,226900,0.0,0
2019-09-05,208.19,212.82,208.08,212.36,382600,0.0,0
2019-09-06,213.44,215.29,212.31,213.11,231500,0.0,0
2019-09-09,213.62,214.84,210.69,213.55,367100,0.0,0
2019-09-10,213.71,216.01,211.17,215.96,226000,0.0,0
2019-09-11,216.32,218.94,215.55,218.44,201300,0.0,0
2019-09-12,218.5,218.94,213.98,214.88,336200,0.0,0
2019-09-13,215.73,217.94,215.73,216.39,247200,0.0,0
2019-09-16,218.06,221.47,217.91,220.7,277100,0.0,0
2019-09-17,219.8,220.95,217.42,219.14,255900,0.0,0
2019-09-18,219.05,219.17,215.63,217.77,281400,0.0,0
2019-09-19,218.41,218.84,216.37,216.54,179300,0.0,0
2019-09-20,217.05,217.29,212.37,212.93,445900,0.0,0
2019-09-23,211.52,212.51,210.31,210.47,183700,0.0,0
2019-09-24,212.03,213.49,210.44,210.77,235100,0.0,0
2019-09-25,211.62,212.54,210.5,211.87,182600,0.0,0
2019-09-26,212.41,213.55,211.04,212.38,226500,0.0,0
2019-09-27,213.44,214.2,209.94,211.51,229400,0.0,0
2019-09-30,212.18,213.36,209.7,209.93,170900,0.0,0
2019-10-01,210.77,211.97,203.65,204.65,321500,0.0,0
2019-10-02,203.38,203.38,197.84,198.4,265900,0.0,0
2019-10-03,199.09,201.32,196.74,201.14,206900,0.0,0
2019-10-04,201.66,203.52,199.48,203.18,237600,0.0,0
2019-10-07,202.74,205.68,201.81,203.74,214200,0.0,0
2019-10-08,202.45,204.06,200.32,201.47,251000,0.0,0
2019-10-09,203.96,205.48,202.81,203.82,147800,0.0,0
2019-10-10,203.37,208.78,203.37,206.75,230700,0.0,0
2019-10-11,208.73,211.83,208.73,209.88,196800,0.0,0
2019-10-14,209.26,211.63,208.62,210.6,179700,0.0,0
2019-10-15,211.29,213.14,210.35,211.31,256700,0.0,0
2019-10-16,211.48,213.6,210.22,213.12,185600,0.0,0
2019-10-17,212.71,213.41,209.75,209.89,234800,0.0,0
2019-10-18,210.15,210.16,206.72,208.25,205900,0.0,0
2019-10-21,209.37,210.68,208.6,209.15,180700,0.0,0
2019-10-22,209.72,213.82,208.21,213.27,314800,0.0,0
2019-10-23,212.76,215.41,210.4,215.25,272700,0.0,0
2019-10-24,215.98,219.38,213.8,218.78,244100,0.0,0
2019-10-25,218.92,221.59,218.6,219.24,171000,0.0,0
2019-10-28,220.05,222.38,220.05,220.73,179600,0.0,0
2019-10-29,220.06,221.76,219.67,220.61,290300,0.0,0
2019-10-30,220.06,223.24,218.66,223.11,162400,0.0,0
2019-10-31,222.15,223.67,220.17,223.67,178800,0.0,0
2019-11-01,225.23,230.12,225.19,228.2,350000,0.0,0
2019-11-04,229.88,229.88,225.67,226.75,238900,0.0,0
2019-11-05,227.03,228.38,224.94,228.12,282000,0.0,0
2019-11-06,228.0,231.93,227.97,231.93,289300,0.0,0
2019-11-07,237.89,251.9,232.93,248.25,642400,0.0,0
2019-11-08,248.87,250.69,246.55,249.0,453700,0.0,0
2019-11-11,247.8,251.76,245.99,249.68,297900,0.0,0
2019-11-12,248.96,253.99,248.34,251.73,306400,0.0,0
2019-11-13,249.87,253.29,248.07,252.26,304200,0.0,0
2019-11-14,251.31,254.39,251.31,253.15,352900,0.0,0
2019-11-15,253.84,256.89,253.84,254.6,280300,0.0,0
2019-11-18,253.78,255.88,253.35,255.79,357100,0.0,0
2019-11-19,256.53,258.52,254.98,255.05,255100,0.0,0
2019-11-20,254.14,255.22,250.42,252.02,324200,0.0,0
2019-11-21,251.25,251.34,247.67,248.52,339200,0.0,0
2019-11-22,249.89,250.52,246.0,247.61,327200,0.0,0
2019-11-25,248.44,248.99,246.23,246.97,282100,0.0,0
2019-11-26,248.44,249.26,246.81,247.21,355900,0.0,0
2019-11-27,248.02,251.45,246.87,251.37,235400,1.03,0
2019-11-29,250.75,252.68,248.93,250.49,143000,0.0,0
2019-12-02,249.5,250.69,247.29,248.87,404200,0.0,0
2019-12-03,246.94,249.75,246.45,248.05,376000,0.0,0
2019-12-04,249.13,254.36,249.13,253.31,445800,0.0,0
2019-12-05,253.99,254.37,250.06,250.85,390800,0.0,0
2019-12-06,253.63,254.0,251.86,252.22,247700,0.0,0
2019-12-09,251.51,252.99,249.61,252.04,243700,0.0,0
2019-12-10,252.32,253.0,250.13,250.6,209200,0.0,0
2019-12-11,250.89,252.6,249.41,252.55,244500,0.0,0
2019-12-12,252.5,255.08,252.43,253.36,225900,0.0,0
2019-12-13,251.97,254.59,249.51,250.06,176800,0.0,0
2019-12-16,251.46,252.56,250.1,251.13,216700,0.0,0
2019-12-17,251.32,251.5,249.4,251.22,231900,0.0,0
2019-12-18,251.37,251.43,249.08,250.53,290800,0.0,0
2019-12-19,250.47,253.13,249.6,253.05,335000,0.0,0
