Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,83.96,85.29,83.84,85.26,2076200,0.0,0
2019-03-22,84.84,85.05,83.71,84.04,3209500,0.0,0
2019-03-25,84.12,84.19,83.12,83.5,1488500,0.0,0
2019-03-26,83.64,83.64,82.37,82.98,3342400,0.0,0
2019-03-27,82.98,83.29,81.21,81.94,3627200,0.0,0
2019-03-28,82.09,82.86,82.03,82.69,1977000,0.0,0
2019-03-29,82.4,83.33,82.36,82.59,2857100,0.0,0
2019-04-01,83.42,84.34,83.01,83.63,3434400,0.0,0
2019-04-02,83.58,84.69,83.34,84.51,3389100,0.0,0
2019-04-03,85.09,86.49,84.8,86.25,2853800,0.0,0
2019-04-04,86.62,87.09,86.28,86.77,2016100,0.0,0
2019-04-05,86.91,87.54,86.66,86.9,2618400,0.0,0
2019-04-08,87.18,87.7,86.55,87.63,1561400,0.0,0
2019-04-09,87.31,87.58,86.39,86.56,2480400,0.0,0
2019-04-10,86.65,87.54,86.51,87.44,1039600,0.0,0
2019-04-11,87.73,88.14,87.41,87.98,1696600,0.0,0
2019-04-12,88.35,88.78,87.69,88.18,1337400,0.0,0
2019-04-15,88.38,88.46,87.19,87.62,1371900,0.0,0
2019-04-16,87.84,88.07,87.54,87.6,1619400,0.0,0
2019-04-17,87.96,88.2,87.15,87.21,2058900,0.0,0
2019-04-18,87.13,87.17,85.47,86.69,1717600,0.0,0
2019-04-22,86.21,87.49,85.8,87.36,2225000,0.0,0
2019-04-23,87.32,87.98,86.99,87.36,2799300,0.0,0
2019-04-24,86.58,87.45,86.31,86.95,3268700,0.0,0
2019-04-25,86.79,87.5,86.68,87.08,1156000,0.0,0
2019-04-26,87.39,87.96,86.9,87.46,2292300,0.0,0
2019-04-29,87.91,87.91,86.58,86.71,3069400,0.0,0
2019-04-30,86.96,87.37,86.06,86.45,4313400,0.0,0
2019-05-01,90.29,93.14,89.67,92.02,5930600,0.0,0
2019-05-02,91.87,92.15,89.92,90.66,2553900,0.0,0
2019-05-03,91.05,92.88,90.86,92.75,2559100,0.0,0
2019-05-06,90.72,92.1,90.45,91.72,2378800,0.0,0
2019-05-07,90.77,91.46,89.38,89.93,1894000,0.0,0
2019-05-08,89.62,90.5,89.38,90.13,2273000,0.0,0
2019-05-09,89.48,90.87,89.2,90.57,1773700,0.0,0
2019-05-10,89.82,91.31,89.16,90.96,1782300,0.0,0
