Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,33.35,33.82,33.18,33.64,2030700,0.0,0
2019-03-22,33.43,33.46,32.35,32.37,2525500,0.0,0
2019-03-25,32.34,32.94,32.18,32.53,2766100,0.0,0
2019-03-26,32.76,33.36,32.71,33.32,1825100,0.0,0
2019-03-27,33.44,34.2,33.25,34.01,2785700,0.0,0
2019-03-28,33.96,34.57,33.9,34.08,2630200,0.0,0
2019-03-29,34.3,34.7,34.03,34.11,1954800,0.0,0
2019-04-01,34.51,35.37,34.34,35.36,1684500,0.0,0
2019-04-02,35.39,36.16,35.06,36.14,2253700,0.0,0
2019-04-03,36.35,36.47,35.7,36.31,2079600,0.0,0
2019-04-04,36.73,38.14,36.63,37.37,4103600,0.0,0
2019-04-05,37.39,38.97,37.1,38.56,3838100,0.0,0
2019-04-08,38.09,38.56,37.71,38.54,2901000,0.0,0
2019-04-09,38.21,38.24,36.95,37.15,1639600,0.0,0
2019-04-10,37.03,37.71,36.77,37.62,1432200,0.0,0
2019-04-11,37.61,37.95,37.55,37.71,1323600,0.0,0
2019-04-12,38.21,38.64,37.89,38.48,1419200,0.0,0
2019-04-15,38.62,38.74,38.13,38.33,975600,0.0,0
2019-04-16,38.57,39.14,38.4,38.99,2714600,0.0,0
2019-04-17,39.22,39.49,39.15,39.26,1602300,0.0,0
2019-04-18,39.33,39.6,38.75,39.12,2650000,0.0,0
2019-04-22,38.66,38.93,37.85,38.0,3722400,0.0,0
2019-04-23,38.19,38.57,36.48,37.23,5588800,0.0,0
2019-04-24,36.3,36.71,35.23,36.14,4601900,0.0,0
2019-04-25,36.04,36.04,34.68,34.91,3228800,0.0,0
2019-04-26,35.12,35.65,34.41,35.5,2483200,0.0,0
2019-04-29,35.44,36.07,35.38,35.91,1382400,0.0,0
2019-04-30,35.76,35.79,35.03,35.62,1405300,0.0,0
2019-05-01,35.66,35.69,34.91,34.92,2036400,0.0,0
2019-05-02,34.99,35.64,34.75,35.46,1682200,0.0,0
2019-05-03,35.66,35.87,35.19,35.6,805600,0.0,0
2019-05-06,34.82,35.17,34.27,35.05,1271800,0.0,0
2019-05-07,34.91,34.98,34.42,34.73,1275100,0.0,0
2019-05-08,34.87,35.09,34.64,34.65,1938400,0.0,0
2019-05-09,34.21,34.6,33.76,34.39,1278900,0.0,0
2019-05-10,34.26,34.5,33.37,34.34,1238500,0.0,0
2019-05-13,33.48,33.48,32.37,32.53,1649500,0.0,0
2019-05-14,32.72,33.6,32.58,33.23,1564900,0.0,0
