Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,47.26,47.78,47.23,47.72,1188500,0,0
2019-03-22,47.57,47.75,46.82,46.85,933600,0,0
2019-03-25,46.98,47.01,46.54,46.81,994800,0,0
2019-03-26,47.08,47.56,46.97,47.24,1008100,0,0
2019-03-27,47.24,47.33,46.38,46.91,1318000,0,0
2019-03-28,47.08,47.56,46.87,47.53,1104000,0,0
2019-03-29,47.71,48.44,47.53,48.4,1527200,0,0
2019-04-01,48.54,48.82,47.93,48.19,1863200,0,0
2019-04-02,48.25,48.38,47.95,48.17,1216600,0,0
2019-04-03,48.31,48.32,47.51,47.52,1494900,0,0
2019-04-04,47.56,47.56,46.93,47.31,2011800,0,0
2019-04-05,47.48,47.96,47.05,47.13,1752700,0,0
2019-04-08,47.19,47.49,46.18,46.81,2156800,0,0
2019-04-09,46.74,47.12,46.64,47.0,1037100,0,0
2019-04-10,47.1,47.76,47.02,47.56,1475500,0,0
2019-04-11,47.53,47.7,47.28,47.39,975700,0,0
2019-04-12,47.68,47.98,47.38,47.54,1217200,0,0
2019-04-15,47.58,47.63,47.01,47.04,833800,0,0
2019-04-16,47.32,47.44,45.61,45.79,1054400,0,0
2019-04-17,45.88,46.07,43.24,43.43,1916700,0,0
2019-04-18,43.55,43.81,42.95,43.4,1766100,0,0
2019-04-22,43.21,43.7,42.61,43.0,2039200,0,0
2019-04-23,42.99,44.36,42.86,44.26,2874500,0,0
2019-04-24,43.89,44.76,43.77,44.73,1300100,0,0
2019-04-25,44.51,45.33,44.39,45.2,1028600,0,0
2019-04-26,45.17,45.57,45.01,45.57,1248800,0,0
2019-04-29,45.48,45.72,45.09,45.59,990100,0,0
2019-04-30,45.7,46.46,45.26,46.38,2048200,0,0
2019-05-01,46.31,46.5,45.93,46.01,1577100,0,0
2019-05-02,46.31,46.48,44.9,46.35,3485700,0,0
2019-05-03,46.46,47.05,46.46,46.72,1409400,0,0
2019-05-06,46.11,46.78,45.78,46.69,1366800,0,0
2019-05-07,46.39,46.68,45.24,45.65,1129800,0,0
2019-05-08,45.64,46.06,45.29,45.72,1015100,0,0
2019-05-09,45.31,45.64,44.61,45.5,1257800,0,0
2019-05-10,45.39,45.62,44.7,45.6,1312100,0,0
2019-05-13,44.84,45.15,44.49,44.61,1185600,0,0
2019-05-14,44.76,45.25,44.68,44.91,1068200,0,0
2019-05-15,44.6,45.01,44.5,44.89,1156400,0,0
2019-05-16,45.05,45.73,44.73,45.07,2230700,0,0
2019-05-17,44.75,45.29,44.75,44.87,1285700,0,0
2019-05-20,44.62,45.06,44.57,44.8,1168800,0,0
2019-05-21,45.0,45.31,44.8,44.85,1441200,0,0
2019-05-22,44.8,45.13,44.55,44.98,1322400,0,0
2019-05-23,44.7,44.87,44.29,44.68,1949700,0,0
2019-05-24,44.88,45.16,44.59,44.69,848200,0,0
2019-05-28,44.68,45.01,44.04,44.08,2047800,0,0
2019-05-29,43.87,43.99,43.39,43.59,1174400,0,0
