Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,15.36,15.58,15.36,15.49,17721300,0.0,0
2019-03-22,15.27,15.41,14.76,14.78,12345200,0.0,0
2019-03-25,14.79,14.87,14.55,14.64,12410800,0.0,0
2019-03-26,14.68,14.94,14.67,14.8,9274600,0.0,0
2019-03-27,14.85,14.92,14.66,14.75,7722000,0.0,0
2019-03-28,14.84,15.02,14.72,14.75,9649400,0.0,0
2019-03-29,14.91,14.94,14.81,14.92,9937300,0.0,0
2019-04-01,15.03,15.38,15.02,15.37,10995700,0.0,0
2019-04-02,15.4,15.48,15.29,15.29,6484600,0.0,0
2019-04-03,15.49,15.54,15.22,15.32,12210800,0.0,0
2019-04-04,15.37,15.57,15.32,15.53,9514000,0.0,0
2019-04-05,15.48,15.63,15.47,15.61,6083900,0.0,0
2019-04-08,15.6,15.72,15.53,15.65,6414100,0.0,0
2019-04-09,15.58,15.6,15.37,15.42,5019000,0.0,0
2019-04-10,15.44,15.73,15.41,15.73,5654600,0.0,0
2019-04-11,15.64,15.78,15.56,15.73,6985300,0.0,0
2019-04-12,15.84,15.93,15.75,15.85,5240100,0.0,0
2019-04-15,15.81,15.95,15.81,15.94,5233300,0.0,0
2019-04-16,15.95,16.14,15.93,16.05,14190900,0.0,0
2019-04-17,16.08,16.13,15.88,16.02,9137100,0.0,0
2019-04-18,16.04,16.15,15.96,16.1,9627200,0.0,0
2019-04-22,16.1,16.12,16.03,16.04,5423700,0.0,0
2019-04-23,16.06,16.13,15.95,15.98,10311800,0.0,0
2019-04-24,15.96,16.06,15.72,15.73,9147100,0.0,0
2019-04-25,15.72,15.77,15.4,15.48,9782100,0.0,0
2019-04-26,15.34,15.41,15.07,15.24,11613400,0.0,0
2019-04-29,15.21,15.43,15.15,15.19,7794900,0.0,0
2019-04-30,15.16,15.28,15.01,15.28,10384900,0.0,0
2019-05-01,15.42,15.53,15.25,15.26,6609900,0.0,0
2019-05-02,15.28,15.44,15.12,15.22,5105200,0.0,0
2019-05-03,15.25,15.43,15.24,15.4,5138900,0.0,0
2019-05-06,15.07,15.21,14.93,15.14,5543600,0.0,0
2019-05-07,14.95,15.1,14.82,14.92,7565500,0.0,0
2019-05-08,14.91,15.02,14.82,14.84,5554900,0.0,0
2019-05-09,14.66,14.72,14.37,14.71,7525300,0.0,0
2019-05-10,14.58,14.68,14.28,14.3,14643500,0.0,0
2019-05-13,13.97,14.05,13.62,13.69,12346300,0.0,0
2019-05-14,13.72,13.91,13.72,13.77,9175600,0.0,0
2019-05-15,13.59,13.96,13.58,13.94,15286000,0.0,0
2019-05-16,13.96,14.19,13.95,14.05,14153400,0.0,0
2019-05-17,14.13,14.42,13.99,14.13,16330300,0.0,0
2019-05-20,13.92,14.37,13.89,14.26,11407900,0.0,0
2019-05-21,14.38,14.8,14.36,14.74,11137600,0.0,0
2019-05-22,14.66,14.7,14.18,14.22,8819400,0.0,0
2019-05-23,14.04,14.06,13.79,13.84,12423700,0.0,0
2019-05-24,13.8,14.66,13.8,13.91,24819200,0.0,0
2019-05-28,13.96,14.14,13.67,13.7,16535100,0.0,0
2019-05-29,13.59,13.81,13.52,13.66,8328800,0.0,0
2019-05-30,13.77,13.88,13.66,13.75,9041300,0.0,0
2019-05-31,13.48,13.51,13.14,13.26,13987000,0.0,0
2019-06-03,13.28,13.41,13.1,13.23,11098000,0.0,0
2019-06-04,13.39,13.7,13.36,13.66,8911000,0.0,0
2019-06-05,13.85,13.88,13.46,13.62,8914100,0.0,0
2019-06-06,13.52,13.59,13.23,13.52,10444300,0.0,0
2019-06-07,13.51,13.69,13.43,13.62,8912000,0.0,0
