Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,19.27,19.66,19.27,19.53,11842800,0.0,0
2019-03-22,19.43,19.49,18.67,18.68,15765300,0.0,0
2019-03-25,18.63,18.66,18.22,18.33,15882400,0.0,0
2019-03-26,18.45,18.7,18.36,18.48,10991500,0.0,0
2019-03-27,18.46,18.72,18.22,18.29,13537800,0.0,0
2019-03-28,18.32,18.6,18.27,18.36,15678400,0.0,0
2019-03-29,18.57,18.82,18.54,18.77,12159900,0.0,0
2019-04-01,19.06,19.41,18.88,19.37,13958500,0.0,0
2019-04-02,19.46,19.51,19.0,19.05,16597200,0.0,0
2019-04-03,19.11,19.35,18.99,19.08,14054200,0.0,0
2019-04-04,19.11,19.19,18.98,19.09,9354000,0.0,0
2019-04-05,19.12,19.26,19.08,19.12,6320700,0.0,0
2019-04-08,19.07,19.33,19.07,19.26,7296100,0.0,0
2019-04-09,19.14,19.21,18.84,18.93,12549700,0.0,0
2019-04-10,18.92,19.32,18.91,19.29,12761900,0.0,0
2019-04-11,19.28,19.41,19.2,19.26,11975900,0.0,0
2019-04-12,19.36,19.56,19.34,19.52,8572500,0.0,0
2019-04-15,19.54,19.59,19.33,19.51,8880500,0.0,0
2019-04-16,19.56,19.91,19.51,19.87,10751300,0.0,0
2019-04-17,19.9,19.95,19.74,19.8,8671000,0.0,0
2019-04-18,19.79,19.92,19.76,19.82,7436000,0.0,0
2019-04-22,19.73,19.79,19.16,19.21,9455600,0.0,0
2019-04-23,19.28,19.5,19.11,19.41,8000600,0.0,0
2019-04-24,19.35,19.57,19.2,19.2,11881900,0.0,0
2019-04-25,19.17,19.22,18.94,18.94,13499400,0.0,0
2019-04-26,18.79,18.92,18.64,18.75,7894600,0.0,0
2019-04-29,18.67,19.11,18.67,18.99,9036700,0.0,0
2019-04-30,18.94,19.28,18.92,19.27,8299200,0.0,0
2019-05-01,19.27,19.5,19.11,19.25,9269900,0.0,0
2019-05-02,19.31,19.45,19.2,19.36,8627500,0.0,0
2019-05-03,19.51,19.66,19.41,19.6,6821300,0.0,0
2019-05-06,19.16,19.43,19.01,19.41,11525300,0.0,0
2019-05-07,19.19,19.27,18.81,18.94,9272100,0.0,0
2019-05-08,18.86,19.12,18.84,18.87,6271300,0.0,0
2019-05-09,18.68,18.68,18.26,18.64,8803300,0.0,0
2019-05-10,18.54,18.65,18.13,18.47,10180100,0.0,0
2019-05-13,17.92,18.05,17.51,17.65,11637100,0.0,0
2019-05-14,17.71,18.0,17.55,17.68,8363300,0.0,0
2019-05-15,17.51,18.2,17.45,18.09,12947100,0.0,0
2019-05-16,18.15,18.42,18.1,18.3,7430300,0.0,0
2019-05-17,18.08,18.49,18.07,18.37,11414300,0.0,0
2019-05-20,18.11,18.56,18.04,18.32,14502100,0.0,0
2019-05-21,18.43,18.92,18.43,18.78,11554600,0.0,0
2019-05-22,18.61,18.76,18.35,18.55,16045800,0.0,0
2019-05-23,18.28,18.64,18.1,18.54,14652000,0.0,0
2019-05-24,18.86,19.54,18.74,19.35,13551000,0.0,0
2019-05-28,19.3,19.45,18.99,18.99,17343400,0.0,0
2019-05-29,18.87,18.93,18.18,18.36,19384800,0.0,0
2019-05-30,18.51,18.65,18.34,18.49,9387600,0.0,0
2019-05-31,18.21,18.22,17.73,18.05,13082700,0.0,0
2019-06-03,18.11,18.39,17.98,18.03,9809100,0.0,0
2019-06-04,18.36,18.76,18.19,18.73,10299600,0.0,0
2019-06-05,18.84,18.98,18.54,18.9,8291300,0.0,0
2019-06-06,18.98,19.1,18.81,18.99,7820000,0.0,0
2019-06-07,19.01,19.3,18.99,19.04,8454100,0.0,0
2019-06-10,19.16,19.36,19.15,19.21,7656100,0.0,0
2019-06-11,19.38,19.47,19.21,19.34,7689200,0.1602,0
2019-06-12,19.34,19.49,19.19,19.4,10798500,0.0,0
2019-06-13,19.44,19.57,19.4,19.47,6705700,0.0,0
2019-06-14,19.45,19.47,19.23,19.39,6987500,0.0,0
2019-06-17,19.35,19.5,19.27,19.38,7188800,0.0,0
2019-06-18,19.49,20.02,19.48,19.98,9406900,0.0,0
2019-06-19,20.03,20.23,19.93,20.09,8971500,0.0,0
2019-06-20,20.34,20.35,20.14,20.32,9745500,0.0,0
2019-06-21,20.28,20.28,19.98,20.16,15220600,0.0,0
2019-06-24,20.16,20.33,20.03,20.12,9726300,0.0,0
2019-06-25,20.19,20.36,20.04,20.06,9236900,0.0,0
2019-06-26,20.2,20.3,20.15,20.25,8431000,0.0,0
2019-06-27,20.3,20.54,20.18,20.2,7896600,0.0,0
2019-06-28,20.29,20.41,20.19,20.25,10777300,0.0,0
2019-07-01,20.57,20.82,20.34,20.44,7054400,0.0,0
2019-07-02,20.55,20.59,20.36,20.51,7058000,0.0,0
2019-07-03,20.5,20.71,20.41,20.61,5034400,0.0,0
2019-07-05,20.46,20.65,20.37,20.61,6394700,0.0,0
2019-07-08,20.45,20.58,20.16,20.2,9759100,0.0,0
2019-07-09,20.05,20.22,19.98,20.09,8638000,0.0,0
2019-07-10,20.29,20.34,20.04,20.05,5646600,0.0,0
2019-07-11,20.09,20.32,19.94,20.31,10293700,0.0,0
2019-07-12,20.45,20.72,20.42,20.68,6845900,0.0,0
2019-07-15,20.7,20.87,20.7,20.79,8419000,0.0,0
2019-07-16,20.85,21.06,20.73,20.75,6269000,0.0,0
2019-07-17,20.72,20.84,20.63,20.63,5692800,0.0,0
2019-07-18,20.55,20.88,20.53,20.82,5734000,0.0,0
2019-07-19,20.89,21.02,20.82,20.83,7724600,0.0,0
2019-07-22,20.94,20.98,20.84,20.88,9753600,0.0,0
2019-07-23,21.0,21.14,20.87,21.07,8395700,0.0,0
2019-07-24,21.03,21.17,20.89,21.01,6886200,0.0,0
2019-07-25,20.93,20.93,20.61,20.77,5332100,0.0,0
2019-07-26,20.82,21.02,20.68,20.96,5061900,0.0,0
2019-07-29,20.91,21.04,20.82,20.94,5866900,0.0,0
2019-07-30,20.9,21.02,20.77,20.98,4525800,0.0,0
2019-07-31,20.92,21.02,20.35,20.49,12752200,0.0,0
2019-08-01,20.48,20.99,20.25,20.44,12234100,0.0,0
2019-08-02,20.02,20.15,19.41,19.61,10942600,0.0,0
2019-08-05,19.44,19.48,18.49,18.66,9648400,0.0,0
2019-08-06,18.82,18.97,18.58,18.75,8275800,0.0,0
2019-08-07,18.48,18.68,18.32,18.59,8637000,0.0,0
2019-08-08,18.75,19.08,18.71,19.02,6054000,0.0,0
2019-08-09,18.94,18.97,18.63,18.78,5250900,0.0,0
2019-08-12,18.65,18.68,18.31,18.45,4568900,0.0,0
2019-08-13,18.39,19.27,18.33,19.03,11827700,0.0,0
2019-08-14,18.71,18.89,18.57,18.78,18915500,0.0,0
2019-08-15,18.67,18.79,17.96,18.14,10146000,0.0,0
2019-08-16,18.36,18.69,18.34,18.58,10972700,0.0,0
2019-08-19,18.95,19.12,18.71,18.71,7609100,0.0,0
2019-08-20,18.39,18.6,18.3,18.42,8141300,0.0,0
2019-08-21,18.65,18.7,18.44,18.47,7503000,0.0,0
2019-08-22,18.51,18.61,18.34,18.44,11687700,0.0,0
