Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,59.85,61.43,59.66,61.22,916000,0,0
2019-03-22,61.0,61.05,59.75,59.8,1159200,0,0
2019-03-25,59.86,60.0,58.64,58.87,986700,0,0
2019-03-26,59.1,59.62,58.31,59.34,1191900,0,0
2019-03-27,59.2,59.76,58.6,58.79,1114700,0,0
2019-03-28,58.81,59.54,58.69,58.89,922300,0,0
2019-03-29,59.3,60.12,59.21,60.11,1939900,0,0
2019-04-01,60.62,61.02,59.94,60.99,1295900,0,0
2019-04-02,60.96,61.21,60.51,60.67,1151300,0,0
2019-04-03,60.95,61.07,60.08,60.56,2687400,0,0
2019-04-04,60.61,61.56,60.31,61.36,1764000,0,0
2019-04-05,61.61,63.02,61.39,62.73,1882200,0,0
2019-04-08,62.65,63.0,60.87,61.63,1550000,0,0
2019-04-09,61.54,62.02,61.42,61.99,962000,0,0
2019-04-10,62.01,62.16,61.51,61.84,1014100,0,0
2019-04-11,61.93,62.01,60.56,60.93,1565000,0,0
2019-04-12,61.37,62.11,60.51,61.78,1237000,0,0
2019-04-15,61.97,62.34,61.37,61.89,874700,0,0
2019-04-16,62.14,62.28,61.2,61.33,1429500,0,0
2019-04-17,61.44,61.44,59.79,60.73,1921100,0,0
2019-04-18,61.03,62.1,60.11,61.5,1792600,0,0
2019-04-22,61.33,62.69,61.25,61.4,1114700,0,0
2019-04-23,61.32,63.45,61.05,63.26,1415300,0,0
2019-04-24,63.2,64.56,63.03,64.18,1018600,0,0
2019-04-25,63.78,64.12,62.94,63.82,1149500,0,0
2019-04-26,64.07,64.75,64.06,64.47,801300,0,0
2019-04-29,64.34,64.76,63.29,63.49,1417700,0,0
2019-04-30,63.69,64.11,63.0,64.06,1227700,0,0
2019-05-01,64.06,64.2,62.18,62.44,1696000,0,0
2019-05-02,62.51,62.88,61.45,62.77,2295900,0,0
2019-05-03,63.0,63.65,62.59,63.23,1916500,0,0
2019-05-06,62.6,63.55,61.11,63.28,2361300,0,0
2019-05-07,65.81,69.9,64.98,66.71,4688300,0,0
2019-05-08,67.04,68.87,65.55,68.71,3071700,0,0
2019-05-09,67.93,69.67,67.35,69.26,2626000,0,0
2019-05-10,68.92,69.27,68.04,68.9,2229300,0,0
2019-05-13,67.81,68.0,66.61,66.97,1567200,0,0
2019-05-14,67.35,67.84,66.95,67.31,886600,0,0
2019-05-15,65.75,66.77,65.73,66.58,1473100,0,0
2019-05-16,66.75,67.78,66.47,67.09,972300,0,0
2019-05-17,66.75,68.11,66.66,67.92,1972700,0,0
2019-05-20,67.44,68.61,67.01,68.49,1727200,0,0
2019-05-21,68.82,69.36,68.75,68.89,1543000,0,0
2019-05-22,68.86,69.27,68.53,68.66,1291300,0,0
2019-05-23,68.35,68.72,67.41,67.67,1492700,0,0
2019-05-24,67.59,67.81,66.99,67.02,1262400,0,0
2019-05-28,67.24,67.43,66.09,66.15,2207600,0,0
2019-05-29,66.34,66.34,65.12,65.37,1542700,0,0
2019-05-30,65.69,65.72,64.79,65.13,987700,0,0
2019-05-31,64.81,64.95,64.28,64.46,1329500,0,0
2019-06-03,64.23,65.45,64.23,65.16,1169800,0,0
2019-06-04,65.81,66.66,65.58,66.41,1181000,0,0
2019-06-05,66.57,67.69,66.31,67.59,1115200,0,0
2019-06-06,67.35,69.13,67.28,68.72,1493600,0,0
2019-06-07,68.99,70.57,68.99,69.76,1698000,0,0
2019-06-10,69.73,71.2,69.4,70.74,991300,0,0
2019-06-11,71.25,71.56,69.99,71.12,1376000,0,0
2019-06-12,71.05,71.96,70.54,71.63,1342500,0,0
2019-06-13,71.68,71.79,71.08,71.39,669800,0,0
2019-06-14,71.36,71.75,70.75,71.28,654500,0,0
2019-06-17,71.29,71.51,70.75,71.42,642900,0,0
2019-06-18,72.07,72.81,71.45,72.04,1057700,0,0
2019-06-19,72.17,72.56,71.69,72.06,1231800,0,0
2019-06-20,72.43,72.52,70.6,70.94,1446700,0,0
2019-06-21,71.1,71.1,68.87,69.88,2531600,0,0
2019-06-24,70.04,70.33,69.39,69.92,1143100,0,0
2019-06-25,69.92,70.32,69.24,69.32,1481000,0,0
2019-06-26,69.33,69.62,68.48,68.89,1282200,0,0
2019-06-27,68.89,69.48,68.74,69.15,1311000,0,0
2019-06-28,69.55,70.02,68.95,69.9,1774700,0,0
2019-07-01,70.28,71.5,69.28,69.5,1591300,0,0
2019-07-02,69.71,69.71,68.63,68.87,1000000,0,0
2019-07-03,68.9,69.85,68.9,69.23,832000,0,0
2019-07-05,68.82,69.28,68.07,69.16,971700,0,0
2019-07-08,69.11,69.11,68.4,68.94,826900,0,0
2019-07-09,68.97,69.18,68.61,68.9,1081800,0,0
2019-07-10,69.0,69.55,68.8,69.23,925100,0,0
2019-07-11,69.56,70.79,68.93,69.45,1560700,0,0
2019-07-12,69.66,71.32,69.05,70.58,2144100,0,0
2019-07-15,70.59,71.63,70.29,71.35,1526900,0,0
2019-07-16,71.5,71.53,69.7,69.93,2760300,0,0
2019-07-17,70.03,70.46,69.31,69.33,1137500,0,0
2019-07-18,69.33,69.33,68.37,68.88,1109800,0,0
2019-07-19,69.0,69.76,67.46,67.5,1353700,0,0
2019-07-22,67.73,67.73,66.53,66.78,1119000,0,0
2019-07-23,67.12,67.69,66.69,67.5,938700,0,0
2019-07-24,67.31,67.8,67.03,67.63,819100,0,0
2019-07-25,67.49,67.6,66.97,67.39,798500,0,0
2019-07-26,67.76,67.87,67.12,67.8,867500,0,0
2019-07-29,67.66,68.27,67.63,68.18,879200,0,0
2019-07-30,67.66,68.91,67.49,68.88,806000,0,0
2019-07-31,69.05,69.48,66.04,66.54,1669700,0,0
2019-08-01,65.99,67.14,65.01,66.62,1303000,0,0
2019-08-02,66.58,66.88,65.46,65.9,1262800,0,0
2019-08-05,65.18,65.92,64.33,64.54,2026800,0,0
2019-08-06,60.0,63.0,59.72,61.76,3141900,0,0
2019-08-07,60.17,62.83,60.01,62.46,3178800,0,0
2019-08-08,62.82,62.89,61.95,62.58,1262500,0,0
