Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,18.37,18.66,18.27,18.46,7758100,0.0,0
2019-03-22,18.42,18.46,17.89,18.13,6581400,0.0,0
2019-03-25,18.13,18.19,17.85,18.03,5983100,0.0,0
2019-03-26,18.19,18.41,18.1,18.41,6486200,0.0,0
2019-03-27,18.4,18.47,18.13,18.32,8444400,0.0,0
2019-03-28,18.4,18.5,18.25,18.49,6256700,0.2,0
2019-03-29,18.54,18.62,18.37,18.42,6376100,0.0,0
2019-04-01,18.54,18.81,18.52,18.79,6406200,0.0,0
2019-04-02,18.85,18.99,18.71,18.94,8707900,0.0,0
2019-04-03,19.03,19.07,18.67,18.81,12362500,0.0,0
2019-04-04,18.79,18.84,18.6,18.76,4770500,0.0,0
2019-04-05,18.8,18.88,18.75,18.84,3975500,0.0,0
2019-04-08,18.81,18.92,18.75,18.9,4844000,0.0,0
2019-04-09,18.87,18.89,18.43,18.47,4375000,0.0,0
2019-04-10,18.52,18.71,18.51,18.67,8473900,0.0,0
2019-04-11,18.74,18.78,18.42,18.58,4255600,0.0,0
2019-04-12,18.65,18.75,18.41,18.73,4817700,0.0,0
2019-04-15,18.73,18.78,18.42,18.53,5776100,0.0,0
2019-04-16,18.56,18.6,18.37,18.52,5528800,0.0,0
2019-04-17,18.65,18.65,18.28,18.33,3678400,0.0,0
2019-04-18,18.31,18.52,18.25,18.42,5204600,0.0,0
2019-04-22,18.35,18.35,18.04,18.21,4459200,0.0,0
2019-04-23,18.26,18.53,18.18,18.44,5829500,0.0,0
2019-04-24,18.52,18.6,18.41,18.47,6242700,0.0,0
2019-04-25,18.35,18.55,18.14,18.42,8154900,0.0,0
2019-04-26,18.48,18.74,18.43,18.69,5655300,0.0,0
2019-04-29,18.71,19.04,18.7,18.74,9877300,0.0,0
2019-04-30,18.72,18.8,18.57,18.75,7415600,0.0,0
2019-05-01,18.83,19.11,18.81,18.98,15027800,0.0,0
2019-05-02,19.0,19.48,18.96,19.1,10758000,0.0,0
2019-05-03,19.17,19.4,19.1,19.37,6314600,0.0,0
2019-05-06,19.13,19.4,19.0,19.37,9966700,0.0,0
2019-05-07,19.19,19.3,18.71,18.87,8058600,0.0,0
2019-05-08,18.89,18.96,18.56,18.58,8126300,0.0,0
2019-05-09,18.43,18.74,18.43,18.52,10631900,0.0,0
2019-05-10,18.4,18.73,18.27,18.72,4974300,0.0,0
2019-05-13,18.38,18.51,18.19,18.35,6669400,0.0,0
2019-05-14,18.37,18.71,18.34,18.51,4804800,0.0,0
2019-05-15,18.41,18.91,18.41,18.79,4250900,0.0,0
2019-05-16,18.79,18.97,18.79,18.85,3813500,0.0,0
2019-05-17,18.68,18.87,18.63,18.69,4522900,0.0,0
2019-05-20,18.65,18.7,18.35,18.49,2746000,0.0,0
2019-05-21,18.6,18.74,18.48,18.69,5289600,0.0,0
2019-05-22,18.67,18.71,18.56,18.63,2742300,0.0,0
2019-05-23,18.45,18.69,18.32,18.65,6009500,0.0,0
2019-05-24,18.79,18.93,18.65,18.77,4135200,0.0,0
2019-05-28,18.83,18.85,18.4,18.4,6955800,0.0,0
2019-05-29,18.32,18.36,17.96,18.11,5463800,0.0,0
2019-05-30,18.14,18.3,17.91,17.93,8239800,0.0,0
2019-05-31,17.64,17.79,17.44,17.65,8376400,0.0,0
2019-06-03,17.68,17.71,17.37,17.59,9246600,0.0,0
2019-06-04,17.69,17.8,17.5,17.64,10045300,0.0,0
2019-06-05,17.79,17.92,17.51,17.75,10673600,0.0,0
2019-06-06,17.73,17.8,17.55,17.67,6177000,0.0,0
2019-06-07,17.75,17.96,17.69,17.87,7116700,0.0,0
2019-06-10,17.99,18.07,17.87,18.01,3941500,0.0,0
2019-06-11,18.13,18.19,17.94,18.11,4406700,0.0,0
2019-06-12,18.12,18.16,17.94,17.96,4881600,0.0,0
2019-06-13,17.96,18.08,17.89,18.07,4896900,0.0,0
2019-06-14,18.03,18.04,17.77,17.84,5239000,0.0,0
2019-06-17,17.87,18.15,17.84,18.07,5773200,0.0,0
2019-06-18,18.16,18.45,18.05,18.17,5075600,0.0,0
2019-06-19,18.17,18.19,17.82,18.0,7335700,0.0,0
2019-06-20,18.22,18.22,17.95,18.17,5569400,0.0,0
2019-06-21,18.12,18.12,17.71,17.71,13464900,0.0,0
2019-06-24,17.71,17.78,17.25,17.41,8600300,0.0,0
2019-06-25,17.55,17.72,17.35,17.35,7950200,0.0,0
2019-06-26,17.38,17.47,17.25,17.37,8094300,0.0,0
2019-06-27,17.51,17.76,17.4,17.75,5004700,0.2,0
2019-06-28,17.78,17.97,17.78,17.96,8481100,0.0,0
2019-07-01,18.09,18.24,17.75,17.91,8333600,0.0,0
2019-07-02,17.89,18.09,17.81,17.98,5367400,0.0,0
2019-07-03,18.02,18.21,18.01,18.19,2427000,0.0,0
2019-07-05,18.07,18.18,17.83,18.14,3275400,0.0,0
2019-07-08,18.08,18.14,17.98,18.07,3959300,0.0,0
2019-07-09,17.94,17.97,17.67,17.82,4898400,0.0,0
2019-07-10,17.99,18.08,17.8,18.07,7969500,0.0,0
2019-07-11,18.07,18.13,17.68,17.9,4726900,0.0,0
2019-07-12,17.94,18.06,17.87,17.94,4605900,0.0,0
2019-07-15,17.92,17.98,17.77,17.87,4854000,0.0,0
2019-07-16,17.86,18.04,17.66,18.04,4015900,0.0,0
2019-07-17,18.0,18.02,17.58,17.64,5122000,0.0,0
2019-07-18,17.6,17.69,17.42,17.54,3555700,0.0,0
2019-07-19,17.55,17.59,17.39,17.41,3490500,0.0,0
2019-07-22,17.34,17.44,17.19,17.22,4317700,0.0,0
2019-07-23,17.36,17.6,17.24,17.59,2918000,0.0,0
2019-07-24,17.57,17.65,17.45,17.59,2796000,0.0,0
2019-07-25,17.6,17.6,17.39,17.46,2449600,0.0,0
2019-07-26,17.47,17.56,17.34,17.36,4757400,0.0,0
2019-07-29,17.42,17.49,17.21,17.25,8474400,0.0,0
2019-07-30,17.18,17.44,17.17,17.42,4438900,0.0,0
2019-07-31,17.42,17.56,17.05,17.14,7662500,0.0,0
2019-08-01,17.18,17.18,16.81,16.81,9884000,0.0,0
2019-08-02,16.8,17.0,16.74,16.82,7749000,0.0,0
2019-08-05,16.69,16.81,16.12,16.36,10118800,0.0,0
2019-08-06,16.52,16.68,16.41,16.52,10201800,0.0,0
2019-08-07,16.24,16.55,15.81,16.38,11041800,0.0,0
2019-08-08,16.42,16.77,16.32,16.56,13727500,0.0,0
2019-08-09,16.51,16.71,16.24,16.4,11904400,0.0,0
2019-08-12,16.26,16.34,16.03,16.08,4709300,0.0,0
2019-08-13,16.02,16.36,16.0,16.26,5153000,0.0,0
2019-08-14,16.08,16.12,15.55,15.59,8815900,0.0,0
2019-08-15,15.57,15.64,15.29,15.37,10447100,0.0,0
2019-08-16,15.43,15.7,15.36,15.62,6919800,0.0,0
2019-08-19,15.81,15.83,15.72,15.76,4919000,0.0,0
2019-08-20,15.7,15.79,15.64,15.72,7209200,0.0,0
2019-08-21,15.86,15.86,15.64,15.71,5716600,0.0,0
2019-08-22,15.68,15.88,15.59,15.86,4361600,0.0,0
2019-08-23,15.79,15.85,15.42,15.46,8621600,0.0,0
2019-08-26,15.57,15.71,15.48,15.54,4894900,0.0,0
2019-08-27,15.61,15.71,15.46,15.51,6958000,0.0,0
2019-08-28,15.49,15.68,15.48,15.55,7680800,0.0,0
2019-08-29,15.71,15.97,15.71,15.75,5924000,0.0,0
2019-08-30,15.78,15.91,15.7,15.81,6300600,0.0,0
2019-09-03,15.68,15.81,15.59,15.8,5787800,0.0,0
2019-09-04,15.93,16.14,15.93,16.1,10226800,0.0,0
2019-09-05,16.19,16.5,16.13,16.48,14782900,0.0,0
2019-09-06,16.46,16.58,16.37,16.42,8090700,0.0,0
2019-09-09,16.44,16.89,16.35,16.89,6115800,0.0,0
2019-09-10,16.88,17.19,16.88,17.18,8803500,0.0,0
2019-09-11,17.25,17.34,16.96,17.17,6886900,0.0,0
2019-09-12,17.21,17.26,16.71,16.83,8777600,0.0,0
2019-09-13,16.96,17.22,16.95,17.07,8476400,0.0,0
2019-09-16,16.97,17.22,16.96,17.16,7781200,0.0,0
2019-09-17,17.13,17.16,16.96,17.0,7303500,0.0,0
2019-09-18,17.03,17.11,16.93,17.05,5597500,0.0,0
2019-09-19,17.08,17.19,16.97,17.02,4273400,0.0,0
2019-09-20,17.05,17.15,16.92,16.99,10822800,0.0,0
