Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,107.73,109.35,107.57,109.25,1113500,0.0,0
2019-03-22,109.34,110.66,109.3,109.74,1387800,0.0,0
2019-03-25,109.28,110.41,109.27,110.15,758800,0.0,0
2019-03-26,110.49,111.11,110.26,110.96,860200,0.0,0
2019-03-27,110.97,111.92,110.18,110.93,781500,0.0,0
2019-03-28,111.21,112.13,111.11,112.02,892200,0.0,0
2019-03-29,112.3,112.62,111.63,112.51,1077800,0.0,0
2019-04-01,112.45,112.68,110.95,111.54,705100,0.0,0
2019-04-02,111.67,112.51,110.77,112.43,1012800,0.0,0
2019-04-03,112.43,113.05,111.64,112.54,1122800,0.0,0
2019-04-04,112.7,113.07,112.41,112.59,827200,0.0,0
2019-04-05,112.89,113.72,112.71,113.53,829600,0.0,0
2019-04-08,113.5,113.96,113.16,113.92,611000,0.0,0
2019-04-09,113.66,114.37,113.15,113.68,754000,0.0,0
2019-04-10,113.75,114.08,113.41,113.96,589800,0.0,0
2019-04-11,113.95,114.14,112.9,113.58,1049300,0.0,0
2019-04-12,113.47,114.0,113.06,113.76,810400,0.0,0
2019-04-15,113.9,114.44,113.67,114.38,428500,0.0,0
2019-04-16,114.38,114.85,113.96,114.47,798800,0.0,0
2019-04-17,114.72,114.72,113.14,114.39,956700,0.0,0
2019-04-18,114.69,114.98,114.03,114.6,859300,0.0,0
2019-04-22,114.44,115.2,114.21,114.67,673300,0.0,0
2019-04-23,114.67,115.36,114.02,114.5,1026000,0.0,0
2019-04-24,114.41,115.48,114.32,114.7,1452900,0.0,0
2019-04-25,117.69,122.11,117.58,119.97,2966300,0.0,0
2019-04-26,120.02,123.57,120.02,122.64,1948100,0.0,0
2019-04-29,122.01,122.14,120.85,121.8,1688800,0.0,0
2019-04-30,121.98,122.77,120.93,122.33,1518700,0.0,0
2019-05-01,122.47,122.76,120.43,120.44,1443300,0.0,0
2019-05-02,120.42,122.96,119.17,120.06,1591200,0.0,0
2019-05-03,120.13,120.5,118.78,119.37,1128200,0.0,0
2019-05-06,118.89,121.25,118.62,121.14,1421900,0.0,0
2019-05-07,121.32,121.8,120.04,121.8,1727700,0.0,0
2019-05-08,121.63,122.96,121.19,122.34,1426600,0.0,0
2019-05-09,122.31,123.08,121.23,122.96,1270800,0.0,0
2019-05-10,122.94,124.41,122.39,124.32,1267900,0.0,0
2019-05-13,123.64,124.81,123.46,124.5,1778300,0.0,0
2019-05-14,124.31,124.92,123.94,124.49,1667500,0.0,0
2019-05-15,124.68,125.39,124.44,125.16,1305000,0.0,0
2019-05-16,125.11,126.04,124.66,125.89,2067800,0.0,0
2019-05-17,125.4,127.05,125.38,126.3,1818900,0.0,0
2019-05-20,126.3,126.85,126.17,126.69,945400,0.0,0
2019-05-21,127.26,127.97,126.64,127.68,1732800,0.0,0
2019-05-22,127.86,129.13,127.5,128.78,1360900,0.0,0
2019-05-23,128.18,129.53,128.03,128.29,1606000,0.722,0
2019-05-24,128.21,128.92,127.72,128.26,963800,0.0,0
2019-05-28,128.65,128.97,126.4,126.4,2919400,0.0,0
2019-05-29,126.07,127.19,125.84,126.97,1726200,0.0,0
2019-05-30,127.64,128.95,127.01,128.87,982300,0.0,0
2019-05-31,128.05,130.05,127.23,130.01,1331500,0.0,0
2019-06-03,129.98,130.97,129.23,130.37,1251200,0.0,0
2019-06-04,130.5,131.59,130.24,131.16,1079700,0.0,0
2019-06-05,131.71,134.31,131.33,134.0,1730300,0.0,0
2019-06-06,134.31,135.48,133.33,135.21,1414100,0.0,0
2019-06-07,135.61,137.28,135.57,135.97,1339300,0.0,0
2019-06-10,135.97,136.28,134.17,134.72,1216400,0.0,0
2019-06-11,134.72,135.32,134.02,134.8,1123000,0.0,0
2019-06-12,135.21,136.22,135.21,136.17,753500,0.0,0
2019-06-13,136.5,137.08,135.25,135.59,1191900,0.0,0
2019-06-14,135.91,136.87,135.5,136.27,1129000,0.0,0
2019-06-17,136.45,136.55,134.4,135.66,1148700,0.0,0
2019-06-18,136.15,136.44,135.09,136.2,1311200,0.0,0
2019-06-19,136.06,136.26,135.19,135.86,1678200,0.0,0
2019-06-20,135.06,135.82,133.14,135.6,1618900,0.0,0
2019-06-21,135.61,136.18,135.04,135.1,2156700,0.0,0
2019-06-24,135.63,136.45,135.17,135.42,1626000,0.0,0
2019-06-25,135.62,135.96,134.2,135.17,1129400,0.0,0
2019-06-26,134.39,134.62,132.17,132.17,1828700,0.0,0
2019-06-27,131.87,132.95,131.52,132.88,1078200,0.0,0
2019-06-28,132.84,133.08,131.6,132.05,1901400,0.0,0
2019-07-01,132.7,132.91,131.53,132.26,1023100,0.0,0
2019-07-02,132.48,134.4,132.42,134.08,1121400,0.0,0
2019-07-03,134.36,136.49,134.36,135.96,766200,0.0,0
2019-07-05,135.85,136.21,134.59,136.21,855000,0.0,0
2019-07-08,136.02,137.02,136.02,136.54,1069900,0.0,0
2019-07-09,136.71,136.98,136.2,136.57,820500,0.0,0
2019-07-10,136.52,137.18,136.23,136.52,725000,0.0,0
2019-07-11,136.46,136.46,134.53,135.06,1074800,0.0,0
2019-07-12,135.62,135.67,134.56,135.14,655800,0.0,0
2019-07-15,135.75,136.98,135.29,136.32,1070900,0.0,0
2019-07-16,136.92,138.46,136.36,138.35,1393800,0.0,0
2019-07-17,140.83,143.64,140.19,143.55,2333200,0.0,0
2019-07-18,143.87,145.41,142.73,145.32,1745900,0.0,0
2019-07-19,144.93,145.12,143.03,143.03,1124000,0.0,0
2019-07-22,143.48,145.25,143.48,144.88,1106000,0.0,0
2019-07-23,145.23,145.7,144.23,145.11,1630900,0.0,0
2019-07-24,144.45,144.98,142.9,144.59,1940700,0.0,0
