Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-03-21,271.8,275.45,271.5,274.62,525600,0.0,0
2019-03-22,274.58,274.58,269.42,270.49,678100,0.0,0
2019-03-25,270.39,270.39,262.97,268.07,975500,0.0,0
2019-03-26,269.08,270.75,258.21,260.88,1532100,0.0,0
2019-03-27,261.19,265.9,257.13,260.86,1257600,0.0,0
2019-03-28,261.68,262.28,258.38,261.12,879600,0.55,0
2019-03-29,263.25,265.0,259.94,264.5,1215800,0.0,0
2019-04-01,266.77,267.36,262.59,266.81,899100,0.0,0
2019-04-02,268.48,269.38,260.26,260.84,1084200,0.0,0
2019-04-03,262.48,263.48,256.58,262.27,1779300,0.0,0
2019-04-04,263.22,270.36,261.92,269.84,1174500,0.0,0
2019-04-05,268.86,275.17,267.28,274.92,1122100,0.0,0
2019-04-08,274.5,277.07,270.44,272.01,1084500,0.0,0
2019-04-09,270.93,273.62,267.57,273.08,1003000,0.0,0
2019-04-10,273.39,273.72,264.71,264.99,1209300,0.0,0
2019-04-11,266.04,267.06,253.94,259.27,2114400,0.0,0
2019-04-12,260.05,260.75,250.27,251.88,1840700,0.0,0
2019-04-15,253.19,253.4,249.64,252.56,2509800,0.0,0
2019-04-16,254.97,256.07,231.68,233.77,4794300,0.0,0
2019-04-17,235.17,235.84,224.37,231.57,3951900,0.0,0
2019-04-18,232.46,241.25,232.42,239.33,2018700,0.0,0
2019-04-22,240.08,246.35,239.96,241.23,1578300,0.0,0
2019-04-23,241.69,247.26,238.23,247.04,2078900,0.0,0
2019-04-24,247.4,249.69,245.45,248.48,1883200,0.0,0
2019-04-25,247.86,251.73,246.21,250.44,1487200,0.0,0
2019-04-26,250.54,257.78,250.48,256.54,1684700,0.0,0
2019-04-29,256.55,257.71,253.94,255.39,994700,0.0,0
2019-04-30,255.44,256.54,247.59,253.97,1383200,0.0,0
2019-05-01,248.68,252.56,240.64,244.77,2707200,0.0,0
2019-05-02,245.73,247.34,238.98,245.98,1758300,0.0,0
2019-05-03,246.4,249.53,244.66,248.09,1361400,0.0,0
2019-05-06,244.59,252.32,243.66,248.24,2213400,0.0,0
2019-05-07,246.98,247.95,241.36,243.89,1388000,0.0,0
2019-05-08,242.67,248.25,240.43,246.38,1130900,0.0,0
2019-05-09,243.91,244.74,240.82,242.51,1388600,0.0,0
2019-05-10,242.83,244.19,237.39,242.68,1115700,0.0,0
2019-05-13,238.38,240.8,234.29,234.35,1369700,0.0,0
2019-05-14,234.73,236.47,232.43,233.78,1974400,0.0,0
2019-05-15,233.46,243.26,231.68,242.3,1509100,0.0,0
2019-05-16,242.95,244.23,239.95,240.85,1436800,0.0,0
2019-05-17,240.4,248.09,239.15,246.42,1389100,0.0,0
2019-05-20,245.72,249.72,244.83,248.62,1633200,0.0,0
2019-05-21,249.41,256.05,249.2,255.31,1470900,0.0,0
2019-05-22,254.15,259.83,254.06,259.26,2141600,0.0,0
2019-05-23,257.54,258.63,254.15,258.03,1888200,0.0,0
2019-05-24,258.3,263.43,258.3,261.84,2333300,0.0,0
2019-05-28,261.31,262.83,250.58,250.62,1660800,0.0,0
2019-05-29,249.14,250.35,246.6,249.62,1082200,0.0,0
2019-05-30,249.84,250.43,243.96,246.46,835500,0.0,0
2019-05-31,244.31,246.33,239.83,243.48,1709100,0.0,0
2019-06-03,253.46,257.84,245.81,248.9,2589800,0.0,0
2019-06-04,249.5,252.6,245.62,251.4,1903100,0.0,0
2019-06-05,252.19,253.73,249.12,250.51,1665900,0.0,0
2019-06-06,251.02,251.16,245.06,245.45,1134200,0.0,0
2019-06-07,246.69,248.78,244.88,247.46,899600,0.0,0
2019-06-10,247.91,250.25,246.01,248.26,673200,0.0,0
2019-06-11,248.06,255.08,241.39,241.83,1232200,0.0,0
2019-06-12,242.01,244.78,241.52,244.69,1639100,0.0,0
2019-06-13,244.34,253.61,243.89,253.29,1297900,0.0,0
2019-06-14,253.71,254.21,248.83,250.41,966500,0.0,0
2019-06-17,250.14,254.09,249.39,253.33,636300,0.0,0
2019-06-18,254.65,257.85,253.11,256.5,1010100,0.0,0
2019-06-19,256.24,257.76,254.42,255.34,1209500,0.0,0
2019-06-20,256.95,258.63,253.05,257.37,1137500,0.0,0
2019-06-21,258.48,270.34,257.44,268.68,2522500,0.0,0
2019-06-24,269.48,269.48,263.53,265.77,1197000,0.0,0
2019-06-25,266.69,267.36,259.31,260.36,1171700,0.0,0
2019-06-26,260.14,262.21,256.56,260.47,1132500,0.0,0
2019-06-27,261.05,267.85,260.52,263.66,1003300,0.55,0
2019-06-28,264.49,265.47,259.07,264.35,2360800,0.0,0
2019-07-01,265.87,265.87,259.56,260.21,1017200,0.0,0
2019-07-02,259.97,259.97,253.63,258.51,1171200,0.0,0
2019-07-03,259.02,263.54,258.96,261.57,481100,0.0,0
2019-07-05,261.06,266.49,260.45,263.71,645900,0.0,0
2019-07-08,262.93,263.73,258.76,263.21,733500,0.0,0
2019-07-09,261.57,264.63,258.26,259.21,957600,0.0,0
2019-07-10,259.75,267.38,259.59,266.96,1058000,0.0,0
2019-07-11,279.74,283.21,275.42,279.19,2364700,0.0,0
2019-07-12,280.15,290.35,279.8,290.21,2058800,0.0,0
2019-07-15,289.87,289.87,283.0,284.3,1317100,0.0,0
2019-07-16,285.07,286.62,281.64,283.29,797000,0.0,0
2019-07-17,282.08,284.39,280.78,280.98,706200,0.0,0
2019-07-18,278.28,285.63,275.71,282.32,831600,0.0,0
2019-07-19,282.67,283.0,277.29,280.67,733400,0.0,0
2019-07-22,281.7,282.64,277.84,281.18,771100,0.0,0
2019-07-23,280.63,282.31,277.0,280.67,772000,0.0,0
2019-07-24,280.49,280.49,270.6,275.11,1490700,0.0,0
2019-07-25,275.1,277.1,272.19,273.46,798400,0.0,0
2019-07-26,274.71,277.41,272.34,275.88,886400,0.0,0
2019-07-29,276.01,282.37,275.95,280.02,704800,0.0,0
2019-07-30,278.07,283.51,273.46,283.51,935600,0.0,0
2019-07-31,300.22,301.36,289.78,295.69,2666800,0.0,0
2019-08-01,297.44,300.74,294.55,297.13,1637300,0.0,0
2019-08-02,295.95,299.37,292.06,292.88,1693200,0.0,0
2019-08-05,290.29,290.29,281.51,285.66,1528500,0.0,0
2019-08-06,287.12,291.69,285.06,291.21,1051800,0.0,0
2019-08-07,287.11,293.74,283.56,292.84,935500,0.0,0
2019-08-08,293.53,295.55,290.0,294.2,578900,0.0,0
2019-08-09,294.85,298.7,293.14,296.72,750700,0.0,0
2019-08-12,298.93,298.93,293.15,294.45,1143900,0.0,0
2019-08-13,293.18,304.38,293.18,303.78,1100600,0.0,0
2019-08-14,300.12,301.18,294.3,295.24,2099700,0.0,0
2019-08-15,296.58,296.98,289.62,290.02,1080200,0.0,0
2019-08-16,294.27,296.67,293.21,295.94,609400,0.0,0
2019-08-19,298.69,300.14,296.68,297.51,791100,0.0,0
